trial0018601, AA, 1011, 14, 72.214286, GDX, 560, 4, 140.000000, ZIC, 335, 8, 41.875000, ZIP, 279, 6, 46.500000, 
trial0018602, AA, 848, 14, 60.571429, GDX, 261, 4, 65.250000, ZIC, 578, 8, 72.250000, ZIP, 406, 6, 67.666667, 
trial0018603, AA, 849, 14, 60.642857, GDX, 455, 4, 113.750000, ZIC, 102, 8, 12.750000, ZIP, 919, 6, 153.166667, 
trial0018604, AA, 669, 14, 47.785714, GDX, 524, 4, 131.000000, ZIC, 585, 8, 73.125000, ZIP, 429, 6, 71.500000, 
trial0018605, AA, 1147, 14, 81.928571, GDX, 42, 4, 10.500000, ZIC, 168, 8, 21.000000, ZIP, 462, 6, 77.000000, 
trial0018606, AA, 1293, 14, 92.357143, GDX, 158, 4, 39.500000, ZIC, 529, 8, 66.125000, ZIP, 338, 6, 56.333333, 
trial0018607, AA, 530, 14, 37.857143, GDX, 312, 4, 78.000000, ZIC, 482, 8, 60.250000, ZIP, 914, 6, 152.333333, 
trial0018608, AA, 478, 14, 34.142857, GDX, 173, 4, 43.250000, ZIC, 460, 8, 57.500000, ZIP, 831, 6, 138.500000, 
trial0018609, AA, 1363, 14, 97.357143, GDX, 171, 4, 42.750000, ZIC, 446, 8, 55.750000, ZIP, 297, 6, 49.500000, 
trial0018610, AA, 1271, 14, 90.785714, GDX, 441, 4, 110.250000, ZIC, 36, 8, 4.500000, ZIP, 677, 6, 112.833333, 
trial0018611, AA, 1402, 14, 100.142857, GDX, 512, 4, 128.000000, ZIC, 81, 8, 10.125000, ZIP, 467, 6, 77.833333, 
trial0018612, AA, 1027, 14, 73.357143, GDX, 323, 4, 80.750000, ZIC, 405, 8, 50.625000, ZIP, 321, 6, 53.500000, 
trial0018613, AA, 1061, 14, 75.785714, GDX, 449, 4, 112.250000, ZIC, 286, 8, 35.750000, ZIP, 442, 6, 73.666667, 
trial0018614, AA, 1017, 14, 72.642857, GDX, 204, 4, 51.000000, ZIC, 528, 8, 66.000000, ZIP, 418, 6, 69.666667, 
trial0018615, AA, 1045, 14, 74.642857, GDX, 41, 4, 10.250000, ZIC, 373, 8, 46.625000, ZIP, 556, 6, 92.666667, 
trial0018616, AA, 1310, 14, 93.571429, GDX, 142, 4, 35.500000, ZIC, 252, 8, 31.500000, ZIP, 295, 6, 49.166667, 
trial0018617, AA, 1551, 14, 110.785714, GDX, 12, 4, 3.000000, ZIC, 331, 8, 41.375000, ZIP, 218, 6, 36.333333, 
trial0018618, AA, 1273, 14, 90.928571, GDX, 123, 4, 30.750000, ZIC, 174, 8, 21.750000, ZIP, 595, 6, 99.166667, 
trial0018619, AA, 1172, 14, 83.714286, GDX, 180, 4, 45.000000, ZIC, 191, 8, 23.875000, ZIP, 623, 6, 103.833333, 
trial0018620, AA, 1193, 14, 85.214286, GDX, 135, 4, 33.750000, ZIC, 394, 8, 49.250000, ZIP, 163, 6, 27.166667, 
trial0018621, AA, 872, 14, 62.285714, GDX, 290, 4, 72.500000, ZIC, 215, 8, 26.875000, ZIP, 359, 6, 59.833333, 
trial0018622, AA, 1199, 14, 85.642857, GDX, 408, 4, 102.000000, ZIC, 109, 8, 13.625000, ZIP, 678, 6, 113.000000, 
trial0018623, AA, 1587, 14, 113.357143, GDX, 324, 4, 81.000000, ZIC, 69, 8, 8.625000, ZIP, 123, 6, 20.500000, 
trial0018624, AA, 905, 14, 64.642857, GDX, 487, 4, 121.750000, ZIC, 353, 8, 44.125000, ZIP, 630, 6, 105.000000, 
trial0018625, AA, 1093, 14, 78.071429, GDX, 307, 4, 76.750000, ZIC, 166, 8, 20.750000, ZIP, 697, 6, 116.166667, 
trial0018626, AA, 658, 14, 47.000000, GDX, 489, 4, 122.250000, ZIC, 523, 8, 65.375000, ZIP, 567, 6, 94.500000, 
trial0018627, AA, 1103, 14, 78.785714, GDX, 368, 4, 92.000000, ZIC, 178, 8, 22.250000, ZIP, 225, 6, 37.500000, 
trial0018628, AA, 1005, 14, 71.785714, GDX, 221, 4, 55.250000, ZIC, 337, 8, 42.125000, ZIP, 874, 6, 145.666667, 
trial0018629, AA, 1352, 14, 96.571429, GDX, 163, 4, 40.750000, ZIC, 104, 8, 13.000000, ZIP, 254, 6, 42.333333, 
trial0018630, AA, 983, 14, 70.214286, GDX, 132, 4, 33.000000, ZIC, 218, 8, 27.250000, ZIP, 591, 6, 98.500000, 
trial0018631, AA, 2310, 14, 165.000000, GDX, 9, 4, 2.250000, ZIC, 338, 8, 42.250000, ZIP, 71, 6, 11.833333, 
trial0018632, AA, 1388, 14, 99.142857, GDX, 132, 4, 33.000000, ZIC, 744, 8, 93.000000, ZIP, 271, 6, 45.166667, 
trial0018633, AA, 1272, 14, 90.857143, GDX, 198, 4, 49.500000, ZIC, 784, 8, 98.000000, ZIP, 679, 6, 113.166667, 
trial0018634, AA, 1789, 14, 127.785714, GDX, 66, 4, 16.500000, ZIC, 357, 8, 44.625000, ZIP, 1226, 6, 204.333333, 
trial0018635, AA, 1652, 14, 118.000000, GDX, 117, 4, 29.250000, ZIC, 684, 8, 85.500000, ZIP, 266, 6, 44.333333, 
trial0018636, AA, 1239, 14, 88.500000, GDX, 704, 4, 176.000000, ZIC, 269, 8, 33.625000, ZIP, 622, 6, 103.666667, 
trial0018637, AA, 1793, 14, 128.071429, GDX, 263, 4, 65.750000, ZIC, 592, 8, 74.000000, ZIP, 319, 6, 53.166667, 
trial0018638, AA, 1444, 14, 103.142857, GDX, 299, 4, 74.750000, ZIC, 497, 8, 62.125000, ZIP, 524, 6, 87.333333, 
trial0018639, AA, 1209, 14, 86.357143, GDX, 9, 4, 2.250000, ZIC, 594, 8, 74.250000, ZIP, 913, 6, 152.166667, 
trial0018640, AA, 1137, 14, 81.214286, GDX, 133, 4, 33.250000, ZIC, 406, 8, 50.750000, ZIP, 937, 6, 156.166667, 
trial0018641, AA, 1386, 14, 99.000000, GDX, 408, 4, 102.000000, ZIC, 351, 8, 43.875000, ZIP, 781, 6, 130.166667, 
trial0018642, AA, 1835, 14, 131.071429, GDX, 319, 4, 79.750000, ZIC, 638, 8, 79.750000, ZIP, 214, 6, 35.666667, 
trial0018643, AA, 1144, 14, 81.714286, GDX, 185, 4, 46.250000, ZIC, 649, 8, 81.125000, ZIP, 540, 6, 90.000000, 
trial0018644, AA, 1418, 14, 101.285714, GDX, 451, 4, 112.750000, ZIC, 594, 8, 74.250000, ZIP, 712, 6, 118.666667, 
trial0018645, AA, 785, 14, 56.071429, GDX, 382, 4, 95.500000, ZIC, 653, 8, 81.625000, ZIP, 881, 6, 146.833333, 
trial0018646, AA, 927, 14, 66.214286, GDX, 290, 4, 72.500000, ZIC, 1297, 8, 162.125000, ZIP, 313, 6, 52.166667, 
trial0018647, AA, 1991, 14, 142.214286, GDX, 0, 4, 0.000000, ZIC, 596, 8, 74.500000, ZIP, 545, 6, 90.833333, 
trial0018648, AA, 1037, 14, 74.071429, GDX, 579, 4, 144.750000, ZIC, 819, 8, 102.375000, ZIP, 620, 6, 103.333333, 
trial0018649, AA, 1097, 14, 78.357143, GDX, 138, 4, 34.500000, ZIC, 800, 8, 100.000000, ZIP, 334, 6, 55.666667, 
trial0018650, AA, 1453, 14, 103.785714, GDX, 207, 4, 51.750000, ZIC, 180, 8, 22.500000, ZIP, 779, 6, 129.833333, 
trial0018651, AA, 922, 14, 65.857143, GDX, 295, 4, 73.750000, ZIC, 580, 8, 72.500000, ZIP, 737, 6, 122.833333, 
trial0018652, AA, 1651, 14, 117.928571, GDX, 171, 4, 42.750000, ZIC, 753, 8, 94.125000, ZIP, 595, 6, 99.166667, 
trial0018653, AA, 1632, 14, 116.571429, GDX, 546, 4, 136.500000, ZIC, 585, 8, 73.125000, ZIP, 530, 6, 88.333333, 
trial0018654, AA, 1508, 14, 107.714286, GDX, 893, 4, 223.250000, ZIC, 864, 8, 108.000000, ZIP, 643, 6, 107.166667, 
