trial0008401, GDX, 1073, 16, 67.062500, ZIC, 1997, 16, 124.812500, 
trial0008402, GDX, 982, 16, 61.375000, ZIC, 1015, 16, 63.437500, 
trial0008403, GDX, 1085, 16, 67.812500, ZIC, 1484, 16, 92.750000, 
trial0008404, GDX, 1303, 16, 81.437500, ZIC, 1914, 16, 119.625000, 
trial0008405, GDX, 1249, 16, 78.062500, ZIC, 1550, 16, 96.875000, 
trial0008406, GDX, 1265, 16, 79.062500, ZIC, 893, 16, 55.812500, 
trial0008407, GDX, 732, 16, 45.750000, ZIC, 1181, 16, 73.812500, 
trial0008408, GDX, 1447, 16, 90.437500, ZIC, 766, 16, 47.875000, 
trial0008409, GDX, 1102, 16, 68.875000, ZIC, 1507, 16, 94.187500, 
trial0008410, GDX, 1467, 16, 91.687500, ZIC, 783, 16, 48.937500, 
trial0008411, GDX, 1303, 16, 81.437500, ZIC, 802, 16, 50.125000, 
trial0008412, GDX, 639, 16, 39.937500, ZIC, 1115, 16, 69.687500, 
trial0008413, GDX, 1762, 16, 110.125000, ZIC, 796, 16, 49.750000, 
trial0008414, GDX, 427, 16, 26.687500, ZIC, 792, 16, 49.500000, 
trial0008415, GDX, 862, 16, 53.875000, ZIC, 2109, 16, 131.812500, 
trial0008416, GDX, 1552, 16, 97.000000, ZIC, 893, 16, 55.812500, 
trial0008417, GDX, 1108, 16, 69.250000, ZIC, 1871, 16, 116.937500, 
trial0008418, GDX, 1540, 16, 96.250000, ZIC, 1483, 16, 92.687500, 
trial0008419, GDX, 1159, 16, 72.437500, ZIC, 1601, 16, 100.062500, 
trial0008420, GDX, 825, 16, 51.562500, ZIC, 2924, 16, 182.750000, 
trial0008421, GDX, 716, 16, 44.750000, ZIC, 2466, 16, 154.125000, 
trial0008422, GDX, 1192, 16, 74.500000, ZIC, 1353, 16, 84.562500, 
trial0008423, GDX, 1782, 16, 111.375000, ZIC, 438, 16, 27.375000, 
trial0008424, GDX, 1247, 16, 77.937500, ZIC, 947, 16, 59.187500, 
trial0008425, GDX, 1231, 16, 76.937500, ZIC, 973, 16, 60.812500, 
trial0008426, GDX, 1098, 16, 68.625000, ZIC, 1072, 16, 67.000000, 
trial0008427, GDX, 1283, 16, 80.187500, ZIC, 2691, 16, 168.187500, 
trial0008428, GDX, 1524, 16, 95.250000, ZIC, 1118, 16, 69.875000, 
trial0008429, GDX, 1082, 16, 67.625000, ZIC, 1086, 16, 67.875000, 
trial0008430, GDX, 534, 16, 33.375000, ZIC, 1074, 16, 67.125000, 
trial0008431, GDX, 619, 16, 38.687500, ZIC, 794, 16, 49.625000, 
trial0008432, GDX, 271, 16, 16.937500, ZIC, 936, 16, 58.500000, 
trial0008433, GDX, 582, 16, 36.375000, ZIC, 512, 16, 32.000000, 
trial0008434, GDX, 929, 16, 58.062500, ZIC, 433, 16, 27.062500, 
trial0008435, GDX, 272, 16, 17.000000, ZIC, 615, 16, 38.437500, 
trial0008436, GDX, 603, 16, 37.687500, ZIC, 739, 16, 46.187500, 
trial0008437, GDX, 632, 16, 39.500000, ZIC, 889, 16, 55.562500, 
trial0008438, GDX, 747, 16, 46.687500, ZIC, 837, 16, 52.312500, 
trial0008439, GDX, 449, 16, 28.062500, ZIC, 727, 16, 45.437500, 
trial0008440, GDX, 689, 16, 43.062500, ZIC, 361, 16, 22.562500, 
trial0008441, GDX, 1011, 16, 63.187500, ZIC, 529, 16, 33.062500, 
trial0008442, GDX, 401, 16, 25.062500, ZIC, 1003, 16, 62.687500, 
trial0008443, GDX, 398, 16, 24.875000, ZIC, 559, 16, 34.937500, 
trial0008444, GDX, 645, 16, 40.312500, ZIC, 863, 16, 53.937500, 
trial0008445, GDX, 313, 16, 19.562500, ZIC, 277, 16, 17.312500, 
trial0008446, GDX, 257, 16, 16.062500, ZIC, 700, 16, 43.750000, 
trial0008447, GDX, 814, 16, 50.875000, ZIC, 656, 16, 41.000000, 
trial0008448, GDX, 328, 16, 20.500000, ZIC, 401, 16, 25.062500, 
trial0008449, GDX, 367, 16, 22.937500, ZIC, 968, 16, 60.500000, 
trial0008450, GDX, 316, 16, 19.750000, ZIC, 613, 16, 38.312500, 
trial0008451, GDX, 462, 16, 28.875000, ZIC, 430, 16, 26.875000, 
trial0008452, GDX, 244, 16, 15.250000, ZIC, 893, 16, 55.812500, 
trial0008453, GDX, 367, 16, 22.937500, ZIC, 897, 16, 56.062500, 
trial0008454, GDX, 214, 16, 13.375000, ZIC, 766, 16, 47.875000, 
trial0008455, GDX, 621, 16, 38.812500, ZIC, 479, 16, 29.937500, 
trial0008456, GDX, 796, 16, 49.750000, ZIC, 597, 16, 37.312500, 
trial0008457, GDX, 739, 16, 46.187500, ZIC, 158, 16, 9.875000, 
