trial0038156, AA, 538, 14, 38.428571, ZIC, 833, 16, 52.062500, ZIP, 157, 2, 78.500000, 
trial0038157, AA, 658, 14, 47.000000, ZIC, 697, 16, 43.562500, ZIP, 210, 2, 105.000000, 
trial0038158, AA, 734, 14, 52.428571, ZIC, 771, 16, 48.187500, ZIP, 39, 2, 19.500000, 
trial0038159, AA, 488, 14, 34.857143, ZIC, 846, 16, 52.875000, ZIP, 166, 2, 83.000000, 
trial0038160, AA, 636, 14, 45.428571, ZIC, 785, 16, 49.062500, ZIP, 149, 2, 74.500000, 
trial0038161, AA, 717, 14, 51.214286, ZIC, 974, 16, 60.875000, ZIP, 0, 2, 0.000000, 
trial0038162, AA, 809, 14, 57.785714, ZIC, 687, 16, 42.937500, ZIP, 273, 2, 136.500000, 
trial0038163, AA, 954, 14, 68.142857, ZIC, 572, 16, 35.750000, ZIP, 179, 2, 89.500000, 
trial0038164, AA, 461, 14, 32.928571, ZIC, 1303, 16, 81.437500, ZIP, 0, 2, 0.000000, 
trial0038165, AA, 1033, 14, 73.785714, ZIC, 733, 16, 45.812500, ZIP, 43, 2, 21.500000, 
trial0038166, AA, 759, 14, 54.214286, ZIC, 825, 16, 51.562500, ZIP, 68, 2, 34.000000, 
trial0038167, AA, 568, 14, 40.571429, ZIC, 1127, 16, 70.437500, ZIP, 54, 2, 27.000000, 
trial0038168, AA, 642, 14, 45.857143, ZIC, 995, 16, 62.187500, ZIP, 140, 2, 70.000000, 
trial0038169, AA, 934, 14, 66.714286, ZIC, 821, 16, 51.312500, ZIP, 0, 2, 0.000000, 
trial0038170, AA, 441, 14, 31.500000, ZIC, 1010, 16, 63.125000, ZIP, 251, 2, 125.500000, 
trial0038171, AA, 881, 14, 62.928571, ZIC, 448, 16, 28.000000, ZIP, 373, 2, 186.500000, 
trial0038172, AA, 878, 14, 62.714286, ZIC, 697, 16, 43.562500, ZIP, 199, 2, 99.500000, 
trial0038173, AA, 1042, 14, 74.428571, ZIC, 505, 16, 31.562500, ZIP, 125, 2, 62.500000, 
trial0038174, AA, 788, 14, 56.285714, ZIC, 692, 16, 43.250000, ZIP, 194, 2, 97.000000, 
trial0038175, AA, 1140, 14, 81.428571, ZIC, 475, 16, 29.687500, ZIP, 67, 2, 33.500000, 
trial0038176, AA, 971, 14, 69.357143, ZIC, 676, 16, 42.250000, ZIP, 88, 2, 44.000000, 
trial0038177, AA, 912, 14, 65.142857, ZIC, 577, 16, 36.062500, ZIP, 215, 2, 107.500000, 
trial0038178, AA, 636, 14, 45.428571, ZIC, 892, 16, 55.750000, ZIP, 88, 2, 44.000000, 
trial0038179, AA, 886, 14, 63.285714, ZIC, 594, 16, 37.125000, ZIP, 202, 2, 101.000000, 
trial0038180, AA, 874, 14, 62.428571, ZIC, 750, 16, 46.875000, ZIP, 79, 2, 39.500000, 
trial0038181, AA, 663, 14, 47.357143, ZIC, 841, 16, 52.562500, ZIP, 207, 2, 103.500000, 
trial0038182, AA, 775, 14, 55.357143, ZIC, 735, 16, 45.937500, ZIP, 92, 2, 46.000000, 
trial0038183, AA, 485, 14, 34.642857, ZIC, 1080, 16, 67.500000, ZIP, 80, 2, 40.000000, 
trial0038184, AA, 630, 14, 45.000000, ZIC, 808, 16, 50.500000, ZIP, 133, 2, 66.500000, 
trial0038185, AA, 733, 14, 52.357143, ZIC, 996, 16, 62.250000, ZIP, 0, 2, 0.000000, 
trial0038186, AA, 599, 14, 42.785714, ZIC, 1039, 16, 64.937500, ZIP, 110, 2, 55.000000, 
trial0038187, AA, 617, 14, 44.071429, ZIC, 1134, 16, 70.875000, ZIP, 7, 2, 3.500000, 
trial0038188, AA, 703, 14, 50.214286, ZIC, 954, 16, 59.625000, ZIP, 9, 2, 4.500000, 
trial0038189, AA, 311, 14, 22.214286, ZIC, 1116, 16, 69.750000, ZIP, 170, 2, 85.000000, 
trial0038190, AA, 766, 14, 54.714286, ZIC, 667, 16, 41.687500, ZIP, 196, 2, 98.000000, 
trial0038191, AA, 185, 14, 13.214286, ZIC, 263, 16, 16.437500, ZIP, 63, 2, 31.500000, 
trial0038192, AA, 267, 14, 19.071429, ZIC, 194, 16, 12.125000, ZIP, 14, 2, 7.000000, 
trial0038193, AA, 299, 14, 21.357143, ZIC, 129, 16, 8.062500, ZIP, 60, 2, 30.000000, 
trial0038194, AA, 233, 14, 16.642857, ZIC, 194, 16, 12.125000, ZIP, 32, 2, 16.000000, 
trial0038195, AA, 164, 14, 11.714286, ZIC, 313, 16, 19.562500, ZIP, 34, 2, 17.000000, 
trial0038196, AA, 258, 14, 18.428571, ZIC, 233, 16, 14.562500, ZIP, 2, 2, 1.000000, 
trial0038197, AA, 299, 14, 21.357143, ZIC, 108, 16, 6.750000, ZIP, 108, 2, 54.000000, 
trial0038198, AA, 179, 14, 12.785714, ZIC, 290, 16, 18.125000, ZIP, 51, 2, 25.500000, 
trial0038199, AA, 329, 14, 23.500000, ZIC, 129, 16, 8.062500, ZIP, 51, 2, 25.500000, 
trial0038200, AA, 264, 14, 18.857143, ZIC, 153, 16, 9.562500, ZIP, 59, 2, 29.500000, 
trial0038201, AA, 206, 14, 14.714286, ZIC, 334, 16, 20.875000, ZIP, 23, 2, 11.500000, 
trial0038202, AA, 184, 14, 13.142857, ZIC, 285, 16, 17.812500, ZIP, 97, 2, 48.500000, 
trial0038203, AA, 256, 14, 18.285714, ZIC, 115, 16, 7.187500, ZIP, 88, 2, 44.000000, 
trial0038204, AA, 295, 14, 21.071429, ZIC, 195, 16, 12.187500, ZIP, 9, 2, 4.500000, 
trial0038205, AA, 273, 14, 19.500000, ZIC, 193, 16, 12.062500, ZIP, 76, 2, 38.000000, 
trial0038206, AA, 335, 14, 23.928571, ZIC, 199, 16, 12.437500, ZIP, 0, 2, 0.000000, 
trial0038207, AA, 162, 14, 11.571429, ZIC, 328, 16, 20.500000, ZIP, 53, 2, 26.500000, 
trial0038208, AA, 231, 14, 16.500000, ZIC, 206, 16, 12.875000, ZIP, 39, 2, 19.500000, 
trial0038209, AA, 364, 14, 26.000000, ZIC, 132, 16, 8.250000, ZIP, 17, 2, 8.500000, 
trial0038210, AA, 295, 14, 21.071429, ZIC, 158, 16, 9.875000, ZIP, 25, 2, 12.500000, 
trial0038211, AA, 248, 14, 17.714286, ZIC, 265, 16, 16.562500, ZIP, 26, 2, 13.000000, 
trial0038212, AA, 228, 14, 16.285714, ZIC, 242, 16, 15.125000, ZIP, 37, 2, 18.500000, 
trial0038213, AA, 244, 14, 17.428571, ZIC, 171, 16, 10.687500, ZIP, 45, 2, 22.500000, 
trial0038214, AA, 215, 14, 15.357143, ZIC, 191, 16, 11.937500, ZIP, 69, 2, 34.500000, 
trial0038215, AA, 275, 14, 19.642857, ZIC, 138, 16, 8.625000, ZIP, 34, 2, 17.000000, 
trial0038216, AA, 367, 14, 26.214286, ZIC, 160, 16, 10.000000, ZIP, 0, 2, 0.000000, 
trial0038217, AA, 290, 14, 20.714286, ZIC, 295, 16, 18.437500, ZIP, 28, 2, 14.000000, 
trial0038218, AA, 292, 14, 20.857143, ZIC, 180, 16, 11.250000, ZIP, 1, 2, 0.500000, 
trial0038219, AA, 423, 14, 30.214286, ZIC, 151, 16, 9.437500, ZIP, 6, 2, 3.000000, 
trial0038220, AA, 187, 14, 13.357143, ZIC, 133, 16, 8.312500, ZIP, 90, 2, 45.000000, 
trial0038221, AA, 896, 14, 64.000000, ZIC, 990, 16, 61.875000, ZIP, 61, 2, 30.500000, 
trial0038222, AA, 889, 14, 63.500000, ZIC, 969, 16, 60.562500, ZIP, 141, 2, 70.500000, 
trial0038223, AA, 880, 14, 62.857143, ZIC, 859, 16, 53.687500, ZIP, 207, 2, 103.500000, 
trial0038224, AA, 445, 14, 31.785714, ZIC, 1407, 16, 87.937500, ZIP, 104, 2, 52.000000, 
trial0038225, AA, 654, 14, 46.714286, ZIC, 1240, 16, 77.500000, ZIP, 99, 2, 49.500000, 
trial0038226, AA, 572, 14, 40.857143, ZIC, 1279, 16, 79.937500, ZIP, 6, 2, 3.000000, 
trial0038227, AA, 746, 14, 53.285714, ZIC, 1086, 16, 67.875000, ZIP, 173, 2, 86.500000, 
trial0038228, AA, 453, 14, 32.357143, ZIC, 1189, 16, 74.312500, ZIP, 183, 2, 91.500000, 
trial0038229, AA, 985, 14, 70.357143, ZIC, 906, 16, 56.625000, ZIP, 0, 2, 0.000000, 
trial0038230, AA, 402, 14, 28.714286, ZIC, 1305, 16, 81.562500, ZIP, 55, 2, 27.500000, 
trial0038231, AA, 956, 14, 68.285714, ZIC, 845, 16, 52.812500, ZIP, 189, 2, 94.500000, 
trial0038232, AA, 845, 14, 60.357143, ZIC, 1168, 16, 73.000000, ZIP, 0, 2, 0.000000, 
trial0038233, AA, 985, 14, 70.357143, ZIC, 807, 16, 50.437500, ZIP, 230, 2, 115.000000, 
trial0038234, AA, 882, 14, 63.000000, ZIC, 1011, 16, 63.187500, ZIP, 52, 2, 26.000000, 
trial0038235, AA, 970, 14, 69.285714, ZIC, 788, 16, 49.250000, ZIP, 212, 2, 106.000000, 
trial0038236, AA, 1099, 14, 78.500000, ZIC, 845, 16, 52.812500, ZIP, 1, 2, 0.500000, 
trial0038237, AA, 858, 14, 61.285714, ZIC, 873, 16, 54.562500, ZIP, 180, 2, 90.000000, 
trial0038238, AA, 922, 14, 65.857143, ZIC, 845, 16, 52.812500, ZIP, 223, 2, 111.500000, 
