trial0017701, GDX, 59, 6, 9.833333, ZIC, 36, 4, 9.000000, ZIP, 1128, 22, 51.272727, 
trial0017702, GDX, 642, 6, 107.000000, ZIC, 182, 4, 45.500000, ZIP, 2326, 22, 105.727273, 
trial0017703, GDX, 500, 6, 83.333333, ZIC, 128, 4, 32.000000, ZIP, 2101, 22, 95.500000, 
trial0017704, GDX, 531, 6, 88.500000, ZIC, 32, 4, 8.000000, ZIP, 2318, 22, 105.363636, 
trial0017705, GDX, 0, 6, 0.000000, ZIC, 268, 4, 67.000000, ZIP, 2658, 22, 120.818182, 
trial0017706, GDX, 660, 6, 110.000000, ZIC, 196, 4, 49.000000, ZIP, 1829, 22, 83.136364, 
trial0017707, GDX, 289, 6, 48.166667, ZIC, 156, 4, 39.000000, ZIP, 2423, 22, 110.136364, 
trial0017708, GDX, 976, 6, 162.666667, ZIC, 720, 4, 180.000000, ZIP, 1085, 22, 49.318182, 
trial0017709, GDX, 675, 6, 112.500000, ZIC, 139, 4, 34.750000, ZIP, 1990, 22, 90.454545, 
trial0017710, GDX, 311, 6, 51.833333, ZIC, 84, 4, 21.000000, ZIP, 1990, 22, 90.454545, 
trial0017711, GDX, 778, 6, 129.666667, ZIC, 597, 4, 149.250000, ZIP, 1488, 22, 67.636364, 
trial0017712, GDX, 252, 6, 42.000000, ZIC, 292, 4, 73.000000, ZIP, 2305, 22, 104.772727, 
trial0017713, GDX, 503, 6, 83.833333, ZIC, 215, 4, 53.750000, ZIP, 2244, 22, 102.000000, 
trial0017714, GDX, 300, 6, 50.000000, ZIC, 205, 4, 51.250000, ZIP, 2006, 22, 91.181818, 
trial0017715, GDX, 655, 6, 109.166667, ZIC, 0, 4, 0.000000, ZIP, 1764, 22, 80.181818, 
trial0017716, GDX, 318, 6, 53.000000, ZIC, 50, 4, 12.500000, ZIP, 2115, 22, 96.136364, 
trial0017717, GDX, 1398, 6, 233.000000, ZIC, 149, 4, 37.250000, ZIP, 1551, 22, 70.500000, 
trial0017718, GDX, 317, 6, 52.833333, ZIC, 0, 4, 0.000000, ZIP, 3297, 22, 149.863636, 
trial0017719, GDX, 367, 6, 61.166667, ZIC, 0, 4, 0.000000, ZIP, 2656, 22, 120.727273, 
trial0017720, GDX, 551, 6, 91.833333, ZIC, 304, 4, 76.000000, ZIP, 1817, 22, 82.590909, 
trial0017721, GDX, 490, 6, 81.666667, ZIC, 0, 4, 0.000000, ZIP, 2483, 22, 112.863636, 
trial0017722, GDX, 791, 6, 131.833333, ZIC, 262, 4, 65.500000, ZIP, 1005, 22, 45.681818, 
trial0017723, GDX, 431, 6, 71.833333, ZIC, 394, 4, 98.500000, ZIP, 1439, 22, 65.409091, 
trial0017724, GDX, 1053, 6, 175.500000, ZIC, 58, 4, 14.500000, ZIP, 1510, 22, 68.636364, 
trial0017725, GDX, 706, 6, 117.666667, ZIC, 121, 4, 30.250000, ZIP, 1834, 22, 83.363636, 
trial0017726, GDX, 533, 6, 88.833333, ZIC, 137, 4, 34.250000, ZIP, 2364, 22, 107.454545, 
trial0017727, GDX, 926, 6, 154.333333, ZIC, 117, 4, 29.250000, ZIP, 1801, 22, 81.863636, 
trial0017728, GDX, 13, 6, 2.166667, ZIC, 120, 4, 30.000000, ZIP, 2180, 22, 99.090909, 
trial0017729, GDX, 674, 6, 112.333333, ZIC, 138, 4, 34.500000, ZIP, 1738, 22, 79.000000, 
trial0017730, GDX, 320, 6, 53.333333, ZIC, 406, 4, 101.500000, ZIP, 2139, 22, 97.227273, 
trial0017731, GDX, 86, 6, 14.333333, ZIC, 2, 4, 0.500000, ZIP, 470, 22, 21.363636, 
trial0017732, GDX, 151, 6, 25.166667, ZIC, 113, 4, 28.250000, ZIP, 513, 22, 23.318182, 
trial0017733, GDX, 116, 6, 19.333333, ZIC, 6, 4, 1.500000, ZIP, 219, 22, 9.954545, 
trial0017734, GDX, 44, 6, 7.333333, ZIC, 36, 4, 9.000000, ZIP, 430, 22, 19.545455, 
trial0017735, GDX, 243, 6, 40.500000, ZIC, 7, 4, 1.750000, ZIP, 552, 22, 25.090909, 
trial0017736, GDX, 12, 6, 2.000000, ZIC, 0, 4, 0.000000, ZIP, 434, 22, 19.727273, 
trial0017737, GDX, 118, 6, 19.666667, ZIC, 42, 4, 10.500000, ZIP, 451, 22, 20.500000, 
trial0017738, GDX, 43, 6, 7.166667, ZIC, 15, 4, 3.750000, ZIP, 258, 22, 11.727273, 
trial0017739, GDX, 111, 6, 18.500000, ZIC, 84, 4, 21.000000, ZIP, 263, 22, 11.954545, 
trial0017740, GDX, 89, 6, 14.833333, ZIC, 42, 4, 10.500000, ZIP, 627, 22, 28.500000, 
trial0017741, GDX, 113, 6, 18.833333, ZIC, 123, 4, 30.750000, ZIP, 671, 22, 30.500000, 
trial0017742, GDX, 81, 6, 13.500000, ZIC, 139, 4, 34.750000, ZIP, 254, 22, 11.545455, 
trial0017743, GDX, 226, 6, 37.666667, ZIC, 50, 4, 12.500000, ZIP, 144, 22, 6.545455, 
trial0017744, GDX, 101, 6, 16.833333, ZIC, 40, 4, 10.000000, ZIP, 607, 22, 27.590909, 
trial0017745, GDX, 81, 6, 13.500000, ZIC, 0, 4, 0.000000, ZIP, 628, 22, 28.545455, 
trial0017746, GDX, 196, 6, 32.666667, ZIC, 27, 4, 6.750000, ZIP, 596, 22, 27.090909, 
trial0017747, GDX, 147, 6, 24.500000, ZIC, 46, 4, 11.500000, ZIP, 324, 22, 14.727273, 
trial0017748, GDX, 86, 6, 14.333333, ZIC, 7, 4, 1.750000, ZIP, 721, 22, 32.772727, 
trial0017749, GDX, 61, 6, 10.166667, ZIC, 69, 4, 17.250000, ZIP, 428, 22, 19.454545, 
trial0017750, GDX, 49, 6, 8.166667, ZIC, 14, 4, 3.500000, ZIP, 646, 22, 29.363636, 
trial0017751, GDX, 71, 6, 11.833333, ZIC, 66, 4, 16.500000, ZIP, 192, 22, 8.727273, 
trial0017752, GDX, 103, 6, 17.166667, ZIC, 136, 4, 34.000000, ZIP, 303, 22, 13.772727, 
trial0017753, GDX, 117, 6, 19.500000, ZIC, 0, 4, 0.000000, ZIP, 441, 22, 20.045455, 
trial0017754, GDX, 135, 6, 22.500000, ZIC, 0, 4, 0.000000, ZIP, 265, 22, 12.045455, 
trial0017755, GDX, 273, 6, 45.500000, ZIC, 13, 4, 3.250000, ZIP, 379, 22, 17.227273, 
trial0017756, GDX, 0, 6, 0.000000, ZIC, 39, 4, 9.750000, ZIP, 27, 22, 1.227273, 
trial0017757, GDX, 260, 6, 43.333333, ZIC, 74, 4, 18.500000, ZIP, 528, 22, 24.000000, 
trial0017758, GDX, 243, 6, 40.500000, ZIC, 35, 4, 8.750000, ZIP, 343, 22, 15.590909, 
trial0017759, GDX, 60, 6, 10.000000, ZIC, 127, 4, 31.750000, ZIP, 293, 22, 13.318182, 
trial0017760, GDX, 238, 6, 39.666667, ZIC, 25, 4, 6.250000, ZIP, 611, 22, 27.772727, 
trial0017761, GDX, 154, 6, 25.666667, ZIC, 57, 4, 14.250000, ZIP, 755, 22, 34.318182, 
trial0017762, GDX, 31, 6, 5.166667, ZIC, 85, 4, 21.250000, ZIP, 638, 22, 29.000000, 
trial0017763, GDX, 141, 6, 23.500000, ZIC, 297, 4, 74.250000, ZIP, 951, 22, 43.227273, 
trial0017764, GDX, 195, 6, 32.500000, ZIC, 9, 4, 2.250000, ZIP, 1337, 22, 60.772727, 
trial0017765, GDX, 262, 6, 43.666667, ZIC, 38, 4, 9.500000, ZIP, 959, 22, 43.590909, 
trial0017766, GDX, 302, 6, 50.333333, ZIC, 41, 4, 10.250000, ZIP, 809, 22, 36.772727, 
trial0017767, GDX, 247, 6, 41.166667, ZIC, 320, 4, 80.000000, ZIP, 532, 22, 24.181818, 
trial0017768, GDX, 184, 6, 30.666667, ZIC, 124, 4, 31.000000, ZIP, 1193, 22, 54.227273, 
trial0017769, GDX, 367, 6, 61.166667, ZIC, 48, 4, 12.000000, ZIP, 782, 22, 35.545455, 
trial0017770, GDX, 262, 6, 43.666667, ZIC, 43, 4, 10.750000, ZIP, 770, 22, 35.000000, 
trial0017771, GDX, 29, 6, 4.833333, ZIC, 80, 4, 20.000000, ZIP, 930, 22, 42.272727, 
trial0017772, GDX, 242, 6, 40.333333, ZIC, 0, 4, 0.000000, ZIP, 937, 22, 42.590909, 
trial0017773, GDX, 368, 6, 61.333333, ZIC, 104, 4, 26.000000, ZIP, 1133, 22, 51.500000, 
trial0017774, GDX, 132, 6, 22.000000, ZIC, 156, 4, 39.000000, ZIP, 870, 22, 39.545455, 
trial0017775, GDX, 71, 6, 11.833333, ZIC, 72, 4, 18.000000, ZIP, 1217, 22, 55.318182, 
trial0017776, GDX, 70, 6, 11.666667, ZIC, 7, 4, 1.750000, ZIP, 1285, 22, 58.409091, 
trial0017777, GDX, 337, 6, 56.166667, ZIC, 71, 4, 17.750000, ZIP, 894, 22, 40.636364, 
trial0017778, GDX, 358, 6, 59.666667, ZIC, 100, 4, 25.000000, ZIP, 825, 22, 37.500000, 
