trial0030301, AA, 540, 26, 20.769231, GDX, 205, 6, 34.166667, 
trial0030302, AA, 627, 26, 24.115385, GDX, 34, 6, 5.666667, 
trial0030303, AA, 570, 26, 21.923077, GDX, 85, 6, 14.166667, 
trial0030304, AA, 473, 26, 18.192308, GDX, 213, 6, 35.500000, 
trial0030305, AA, 721, 26, 27.730769, GDX, 14, 6, 2.333333, 
trial0030306, AA, 628, 26, 24.153846, GDX, 207, 6, 34.500000, 
trial0030307, AA, 708, 26, 27.230769, GDX, 104, 6, 17.333333, 
trial0030308, AA, 573, 26, 22.038462, GDX, 98, 6, 16.333333, 
trial0030309, AA, 690, 26, 26.538462, GDX, 202, 6, 33.666667, 
trial0030310, AA, 612, 26, 23.538462, GDX, 55, 6, 9.166667, 
trial0030311, AA, 726, 26, 27.923077, GDX, 113, 6, 18.833333, 
trial0030312, AA, 493, 26, 18.961538, GDX, 118, 6, 19.666667, 
trial0030313, AA, 463, 26, 17.807692, GDX, 112, 6, 18.666667, 
trial0030314, AA, 529, 26, 20.346154, GDX, 100, 6, 16.666667, 
trial0030315, AA, 549, 26, 21.115385, GDX, 164, 6, 27.333333, 
trial0030316, AA, 434, 26, 16.692308, GDX, 92, 6, 15.333333, 
trial0030317, AA, 608, 26, 23.384615, GDX, 163, 6, 27.166667, 
trial0030318, AA, 654, 26, 25.153846, GDX, 161, 6, 26.833333, 
trial0030319, AA, 521, 26, 20.038462, GDX, 190, 6, 31.666667, 
trial0030320, AA, 664, 26, 25.538462, GDX, 41, 6, 6.833333, 
trial0030321, AA, 686, 26, 26.384615, GDX, 88, 6, 14.666667, 
trial0030322, AA, 649, 26, 24.961538, GDX, 228, 6, 38.000000, 
trial0030323, AA, 487, 26, 18.730769, GDX, 131, 6, 21.833333, 
trial0030324, AA, 700, 26, 26.923077, GDX, 97, 6, 16.166667, 
trial0030325, AA, 588, 26, 22.615385, GDX, 134, 6, 22.333333, 
trial0030326, AA, 483, 26, 18.576923, GDX, 155, 6, 25.833333, 
trial0030327, AA, 683, 26, 26.269231, GDX, 100, 6, 16.666667, 
trial0030328, AA, 426, 26, 16.384615, GDX, 89, 6, 14.833333, 
trial0030329, AA, 606, 26, 23.307692, GDX, 159, 6, 26.500000, 
trial0030330, AA, 757, 26, 29.115385, GDX, 103, 6, 17.166667, 
trial0030331, AA, 883, 26, 33.961538, GDX, 219, 6, 36.500000, 
trial0030332, AA, 967, 26, 37.192308, GDX, 80, 6, 13.333333, 
trial0030333, AA, 836, 26, 32.153846, GDX, 97, 6, 16.166667, 
trial0030334, AA, 713, 26, 27.423077, GDX, 280, 6, 46.666667, 
trial0030335, AA, 967, 26, 37.192308, GDX, 66, 6, 11.000000, 
trial0030336, AA, 705, 26, 27.115385, GDX, 223, 6, 37.166667, 
trial0030337, AA, 969, 26, 37.269231, GDX, 168, 6, 28.000000, 
