trial0039001, GDX, 129, 30, 4.300000, ZIP, 0, 2, 0.000000, 
trial0039002, GDX, 296, 30, 9.866667, ZIP, 66, 2, 33.000000, 
trial0039003, GDX, 330, 30, 11.000000, ZIP, 0, 2, 0.000000, 
trial0039004, GDX, 699, 30, 23.300000, ZIP, 105, 2, 52.500000, 
trial0039005, GDX, 271, 30, 9.033333, ZIP, 112, 2, 56.000000, 
trial0039006, GDX, 137, 30, 4.566667, ZIP, 0, 2, 0.000000, 
trial0039007, GDX, 519, 30, 17.300000, ZIP, 138, 2, 69.000000, 
trial0039008, GDX, 136, 30, 4.533333, ZIP, 216, 2, 108.000000, 
trial0039009, GDX, 712, 30, 23.733333, ZIP, 98, 2, 49.000000, 
trial0039010, GDX, 90, 30, 3.000000, ZIP, 14, 2, 7.000000, 
trial0039011, GDX, 141, 30, 4.700000, ZIP, 48, 2, 24.000000, 
trial0039012, GDX, 409, 30, 13.633333, ZIP, 32, 2, 16.000000, 
trial0039013, GDX, 81, 30, 2.700000, ZIP, 112, 2, 56.000000, 
trial0039014, GDX, 193, 30, 6.433333, ZIP, 0, 2, 0.000000, 
trial0039015, GDX, 658, 30, 21.933333, ZIP, 0, 2, 0.000000, 
trial0039016, GDX, 177, 30, 5.900000, ZIP, 0, 2, 0.000000, 
trial0039017, GDX, 82, 30, 2.733333, ZIP, 30, 2, 15.000000, 
trial0039018, GDX, 677, 30, 22.566667, ZIP, 114, 2, 57.000000, 
trial0039019, GDX, 631, 30, 21.033333, ZIP, 0, 2, 0.000000, 
trial0039020, GDX, 24, 30, 0.800000, ZIP, 80, 2, 40.000000, 
trial0039021, GDX, 376, 30, 12.533333, ZIP, 17, 2, 8.500000, 
trial0039022, GDX, 554, 30, 18.466667, ZIP, 115, 2, 57.500000, 
trial0039023, GDX, 181, 30, 6.033333, ZIP, 211, 2, 105.500000, 
trial0039024, GDX, 569, 30, 18.966667, ZIP, 94, 2, 47.000000, 
trial0039025, GDX, 185, 30, 6.166667, ZIP, 48, 2, 24.000000, 
trial0039026, GDX, 331, 30, 11.033333, ZIP, 198, 2, 99.000000, 
trial0039027, GDX, 266, 30, 8.866667, ZIP, 17, 2, 8.500000, 
trial0039028, GDX, 129, 30, 4.300000, ZIP, 45, 2, 22.500000, 
trial0039029, GDX, 193, 30, 6.433333, ZIP, 24, 2, 12.000000, 
trial0039030, GDX, 645, 30, 21.500000, ZIP, 5, 2, 2.500000, 
trial0039031, GDX, 789, 30, 26.300000, ZIP, 77, 2, 38.500000, 
trial0039032, GDX, 150, 30, 5.000000, ZIP, 290, 2, 145.000000, 
trial0039033, GDX, 608, 30, 20.266667, ZIP, 70, 2, 35.000000, 
trial0039034, GDX, 574, 30, 19.133333, ZIP, 66, 2, 33.000000, 
trial0039035, GDX, 416, 30, 13.866667, ZIP, 194, 2, 97.000000, 
trial0039036, GDX, 911, 30, 30.366667, ZIP, 137, 2, 68.500000, 
trial0039037, GDX, 481, 30, 16.033333, ZIP, 89, 2, 44.500000, 
trial0039038, GDX, 397, 30, 13.233333, ZIP, 266, 2, 133.000000, 
trial0039039, GDX, 191, 30, 6.366667, ZIP, 59, 2, 29.500000, 
trial0039040, GDX, 559, 30, 18.633333, ZIP, 131, 2, 65.500000, 
trial0039041, GDX, 418, 30, 13.933333, ZIP, 47, 2, 23.500000, 
trial0039042, GDX, 295, 30, 9.833333, ZIP, 129, 2, 64.500000, 
trial0039043, GDX, 748, 30, 24.933333, ZIP, 90, 2, 45.000000, 
trial0039044, GDX, 391, 30, 13.033333, ZIP, 40, 2, 20.000000, 
trial0039045, GDX, 719, 30, 23.966667, ZIP, 0, 2, 0.000000, 
trial0039046, GDX, 719, 30, 23.966667, ZIP, 247, 2, 123.500000, 
trial0039047, GDX, 562, 30, 18.733333, ZIP, 0, 2, 0.000000, 
trial0039048, GDX, 860, 30, 28.666667, ZIP, 70, 2, 35.000000, 
trial0039049, GDX, 396, 30, 13.200000, ZIP, 186, 2, 93.000000, 
trial0039050, GDX, 618, 30, 20.600000, ZIP, 32, 2, 16.000000, 
trial0039051, GDX, 367, 30, 12.233333, ZIP, 0, 2, 0.000000, 
trial0039052, GDX, 713, 30, 23.766667, ZIP, 59, 2, 29.500000, 
trial0039053, GDX, 330, 30, 11.000000, ZIP, 60, 2, 30.000000, 
trial0039054, GDX, 343, 30, 11.433333, ZIP, 40, 2, 20.000000, 
trial0039055, GDX, 606, 30, 20.200000, ZIP, 148, 2, 74.000000, 
trial0039056, GDX, 753, 30, 25.100000, ZIP, 99, 2, 49.500000, 
trial0039057, GDX, 598, 30, 19.933333, ZIP, 103, 2, 51.500000, 
trial0039058, GDX, 702, 30, 23.400000, ZIP, 122, 2, 61.000000, 
trial0039059, GDX, 230, 30, 7.666667, ZIP, 20, 2, 10.000000, 
trial0039060, GDX, 407, 30, 13.566667, ZIP, 20, 2, 10.000000, 
trial0039061, GDX, 581, 30, 19.366667, ZIP, 169, 2, 84.500000, 
trial0039062, GDX, 342, 30, 11.400000, ZIP, 170, 2, 85.000000, 
trial0039063, GDX, 630, 30, 21.000000, ZIP, 63, 2, 31.500000, 
trial0039064, GDX, 750, 30, 25.000000, ZIP, 133, 2, 66.500000, 
trial0039065, GDX, 202, 30, 6.733333, ZIP, 107, 2, 53.500000, 
trial0039066, GDX, 280, 30, 9.333333, ZIP, 7, 2, 3.500000, 
trial0039067, GDX, 441, 30, 14.700000, ZIP, 46, 2, 23.000000, 
trial0039068, GDX, 489, 30, 16.300000, ZIP, 128, 2, 64.000000, 
trial0039069, GDX, 720, 30, 24.000000, ZIP, 92, 2, 46.000000, 
trial0039070, GDX, 420, 30, 14.000000, ZIP, 45, 2, 22.500000, 
trial0039071, GDX, 208, 30, 6.933333, ZIP, 194, 2, 97.000000, 
trial0039072, GDX, 660, 30, 22.000000, ZIP, 158, 2, 79.000000, 
trial0039073, GDX, 476, 30, 15.866667, ZIP, 137, 2, 68.500000, 
trial0039074, GDX, 332, 30, 11.066667, ZIP, 224, 2, 112.000000, 
trial0039075, GDX, 434, 30, 14.466667, ZIP, 80, 2, 40.000000, 
trial0039076, GDX, 546, 30, 18.200000, ZIP, 165, 2, 82.500000, 
trial0039077, GDX, 340, 30, 11.333333, ZIP, 0, 2, 0.000000, 
trial0039078, GDX, 540, 30, 18.000000, ZIP, 312, 2, 156.000000, 
trial0039079, GDX, 572, 30, 19.066667, ZIP, 79, 2, 39.500000, 
trial0039080, GDX, 497, 30, 16.566667, ZIP, 81, 2, 40.500000, 
trial0039081, GDX, 171, 30, 5.700000, ZIP, 7, 2, 3.500000, 
trial0039082, GDX, 485, 30, 16.166667, ZIP, 165, 2, 82.500000, 
trial0039083, GDX, 609, 30, 20.300000, ZIP, 41, 2, 20.500000, 
trial0039084, GDX, 357, 30, 11.900000, ZIP, 132, 2, 66.000000, 
trial0039085, GDX, 291, 30, 9.700000, ZIP, 88, 2, 44.000000, 
trial0039086, GDX, 255, 30, 8.500000, ZIP, 31, 2, 15.500000, 
trial0039087, GDX, 177, 30, 5.900000, ZIP, 195, 2, 97.500000, 
trial0039088, GDX, 593, 30, 19.766667, ZIP, 149, 2, 74.500000, 
trial0039089, GDX, 306, 30, 10.200000, ZIP, 104, 2, 52.000000, 
trial0039090, GDX, 568, 30, 18.933333, ZIP, 42, 2, 21.000000, 
trial0039091, GDX, 420, 30, 14.000000, ZIP, 13, 2, 6.500000, 
trial0039092, GDX, 427, 30, 14.233333, ZIP, 0, 2, 0.000000, 
trial0039093, GDX, 387, 30, 12.900000, ZIP, 24, 2, 12.000000, 
trial0039094, GDX, 432, 30, 14.400000, ZIP, 101, 2, 50.500000, 
trial0039095, GDX, 639, 30, 21.300000, ZIP, 21, 2, 10.500000, 
trial0039096, GDX, 162, 30, 5.400000, ZIP, 43, 2, 21.500000, 
trial0039097, GDX, 438, 30, 14.600000, ZIP, 6, 2, 3.000000, 
trial0039098, GDX, 383, 30, 12.766667, ZIP, 29, 2, 14.500000, 
trial0039099, GDX, 217, 30, 7.233333, ZIP, 92, 2, 46.000000, 
trial0039100, GDX, 423, 30, 14.100000, ZIP, 41, 2, 20.500000, 
trial0039101, GDX, 397, 30, 13.233333, ZIP, 105, 2, 52.500000, 
trial0039102, GDX, 508, 30, 16.933333, ZIP, 62, 2, 31.000000, 
trial0039103, GDX, 473, 30, 15.766667, ZIP, 13, 2, 6.500000, 
trial0039104, GDX, 143, 30, 4.766667, ZIP, 0, 2, 0.000000, 
trial0039105, GDX, 645, 30, 21.500000, ZIP, 135, 2, 67.500000, 
trial0039106, GDX, 478, 30, 15.933333, ZIP, 72, 2, 36.000000, 
trial0039107, GDX, 625, 30, 20.833333, ZIP, 101, 2, 50.500000, 
trial0039108, GDX, 495, 30, 16.500000, ZIP, 68, 2, 34.000000, 
trial0039109, GDX, 543, 30, 18.100000, ZIP, 62, 2, 31.000000, 
trial0039110, GDX, 265, 30, 8.833333, ZIP, 0, 2, 0.000000, 
trial0039111, GDX, 430, 30, 14.333333, ZIP, 31, 2, 15.500000, 
trial0039112, GDX, 404, 30, 13.466667, ZIP, 17, 2, 8.500000, 
trial0039113, GDX, 172, 30, 5.733333, ZIP, 12, 2, 6.000000, 
trial0039114, GDX, 99, 30, 3.300000, ZIP, 90, 2, 45.000000, 
trial0039115, GDX, 529, 30, 17.633333, ZIP, 89, 2, 44.500000, 
trial0039116, GDX, 561, 30, 18.700000, ZIP, 81, 2, 40.500000, 
trial0039117, GDX, 260, 30, 8.666667, ZIP, 21, 2, 10.500000, 
trial0039118, GDX, 504, 30, 16.800000, ZIP, 71, 2, 35.500000, 
trial0039119, GDX, 260, 30, 8.666667, ZIP, 0, 2, 0.000000, 
trial0039120, GDX, 586, 30, 19.533333, ZIP, 69, 2, 34.500000, 
trial0039121, GDX, 879, 30, 29.300000, ZIP, 53, 2, 26.500000, 
trial0039122, GDX, 568, 30, 18.933333, ZIP, 122, 2, 61.000000, 
trial0039123, GDX, 806, 30, 26.866667, ZIP, 64, 2, 32.000000, 
trial0039124, GDX, 744, 30, 24.800000, ZIP, 106, 2, 53.000000, 
trial0039125, GDX, 239, 30, 7.966667, ZIP, 96, 2, 48.000000, 
trial0039126, GDX, 497, 30, 16.566667, ZIP, 32, 2, 16.000000, 
trial0039127, GDX, 743, 30, 24.766667, ZIP, 194, 2, 97.000000, 
trial0039128, GDX, 553, 30, 18.433333, ZIP, 138, 2, 69.000000, 
trial0039129, GDX, 917, 30, 30.566667, ZIP, 60, 2, 30.000000, 
trial0039130, GDX, 454, 30, 15.133333, ZIP, 178, 2, 89.000000, 
trial0039131, GDX, 790, 30, 26.333333, ZIP, 56, 2, 28.000000, 
trial0039132, GDX, 742, 30, 24.733333, ZIP, 16, 2, 8.000000, 
trial0039133, GDX, 627, 30, 20.900000, ZIP, 136, 2, 68.000000, 
trial0039134, GDX, 639, 30, 21.300000, ZIP, 152, 2, 76.000000, 
trial0039135, GDX, 430, 30, 14.333333, ZIP, 151, 2, 75.500000, 
trial0039136, GDX, 401, 30, 13.366667, ZIP, 190, 2, 95.000000, 
trial0039137, GDX, 470, 30, 15.666667, ZIP, 163, 2, 81.500000, 
