trial0033601, AA, 490, 4, 122.500000, GDX, 398, 28, 14.214286, 
trial0033602, AA, 357, 4, 89.250000, GDX, 677, 28, 24.178571, 
trial0033603, AA, 223, 4, 55.750000, GDX, 1026, 28, 36.642857, 
trial0033604, AA, 0, 4, 0.000000, GDX, 478, 28, 17.071429, 
trial0033605, AA, 63, 4, 15.750000, GDX, 1392, 28, 49.714286, 
trial0033606, AA, 198, 4, 49.500000, GDX, 146, 28, 5.214286, 
trial0033607, AA, 444, 4, 111.000000, GDX, 0, 28, 0.000000, 
trial0033608, AA, 98, 4, 24.500000, GDX, 640, 28, 22.857143, 
trial0033609, AA, 267, 4, 66.750000, GDX, 276, 28, 9.857143, 
trial0033610, AA, 361, 4, 90.250000, GDX, 600, 28, 21.428571, 
trial0033611, AA, 148, 4, 37.000000, GDX, 587, 28, 20.964286, 
trial0033612, AA, 327, 4, 81.750000, GDX, 513, 28, 18.321429, 
trial0033613, AA, 24, 4, 6.000000, GDX, 914, 28, 32.642857, 
trial0033614, AA, 263, 4, 65.750000, GDX, 546, 28, 19.500000, 
trial0033615, AA, 0, 4, 0.000000, GDX, 476, 28, 17.000000, 
trial0033616, AA, 338, 4, 84.500000, GDX, 972, 28, 34.714286, 
trial0033617, AA, 169, 4, 42.250000, GDX, 299, 28, 10.678571, 
trial0033618, AA, 33, 4, 8.250000, GDX, 1175, 28, 41.964286, 
trial0033619, AA, 482, 4, 120.500000, GDX, 554, 28, 19.785714, 
trial0033620, AA, 259, 4, 64.750000, GDX, 1383, 28, 49.392857, 
trial0033621, AA, 315, 4, 78.750000, GDX, 1041, 28, 37.178571, 
trial0033622, AA, 274, 4, 68.500000, GDX, 673, 28, 24.035714, 
trial0033623, AA, 42, 4, 10.500000, GDX, 1126, 28, 40.214286, 
trial0033624, AA, 252, 4, 63.000000, GDX, 833, 28, 29.750000, 
trial0033625, AA, 329, 4, 82.250000, GDX, 402, 28, 14.357143, 
trial0033626, AA, 160, 4, 40.000000, GDX, 548, 28, 19.571429, 
trial0033627, AA, 383, 4, 95.750000, GDX, 296, 28, 10.571429, 
trial0033628, AA, 359, 4, 89.750000, GDX, 964, 28, 34.428571, 
trial0033629, AA, 487, 4, 121.750000, GDX, 277, 28, 9.892857, 
trial0033630, AA, 3, 4, 0.750000, GDX, 665, 28, 23.750000, 
trial0033631, AA, 38, 4, 9.500000, GDX, 781, 28, 27.892857, 
trial0033632, AA, 215, 4, 53.750000, GDX, 151, 28, 5.392857, 
trial0033633, AA, 0, 4, 0.000000, GDX, 319, 28, 11.392857, 
trial0033634, AA, 0, 4, 0.000000, GDX, 507, 28, 18.107143, 
trial0033635, AA, 117, 4, 29.250000, GDX, 241, 28, 8.607143, 
trial0033636, AA, 72, 4, 18.000000, GDX, 498, 28, 17.785714, 
trial0033637, AA, 129, 4, 32.250000, GDX, 310, 28, 11.071429, 
trial0033638, AA, 0, 4, 0.000000, GDX, 694, 28, 24.785714, 
trial0033639, AA, 225, 4, 56.250000, GDX, 429, 28, 15.321429, 
trial0033640, AA, 206, 4, 51.500000, GDX, 0, 28, 0.000000, 
trial0033641, AA, 0, 4, 0.000000, GDX, 475, 28, 16.964286, 
trial0033642, AA, 146, 4, 36.500000, GDX, 482, 28, 17.214286, 
trial0033643, AA, 146, 4, 36.500000, GDX, 757, 28, 27.035714, 
trial0033644, AA, 67, 4, 16.750000, GDX, 580, 28, 20.714286, 
trial0033645, AA, 301, 4, 75.250000, GDX, 282, 28, 10.071429, 
trial0033646, AA, 4, 4, 1.000000, GDX, 726, 28, 25.928571, 
trial0033647, AA, 0, 4, 0.000000, GDX, 466, 28, 16.642857, 
trial0033648, AA, 303, 4, 75.750000, GDX, 354, 28, 12.642857, 
trial0033649, AA, 80, 4, 20.000000, GDX, 0, 28, 0.000000, 
trial0033650, AA, 0, 4, 0.000000, GDX, 333, 28, 11.892857, 
trial0033651, AA, 0, 4, 0.000000, GDX, 400, 28, 14.285714, 
trial0033652, AA, 0, 4, 0.000000, GDX, 754, 28, 26.928571, 
trial0033653, AA, 0, 4, 0.000000, GDX, 329, 28, 11.750000, 
trial0033654, AA, 87, 4, 21.750000, GDX, 523, 28, 18.678571, 
trial0033655, AA, 231, 4, 57.750000, GDX, 330, 28, 11.785714, 
trial0033656, AA, 224, 4, 56.000000, GDX, 467, 28, 16.678571, 
trial0033657, AA, 0, 4, 0.000000, GDX, 637, 28, 22.750000, 
trial0033658, AA, 0, 4, 0.000000, GDX, 257, 28, 9.178571, 
trial0033659, AA, 0, 4, 0.000000, GDX, 448, 28, 16.000000, 
trial0033660, AA, 0, 4, 0.000000, GDX, 79, 28, 2.821429, 
trial0033661, AA, 99, 4, 24.750000, GDX, 46, 28, 1.642857, 
trial0033662, AA, 0, 4, 0.000000, GDX, 352, 28, 12.571429, 
trial0033663, AA, 0, 4, 0.000000, GDX, 317, 28, 11.321429, 
trial0033664, AA, 14, 4, 3.500000, GDX, 172, 28, 6.142857, 
trial0033665, AA, 23, 4, 5.750000, GDX, 454, 28, 16.214286, 
trial0033666, AA, 0, 4, 0.000000, GDX, 137, 28, 4.892857, 
trial0033667, AA, 8, 4, 2.000000, GDX, 281, 28, 10.035714, 
trial0033668, AA, 90, 4, 22.500000, GDX, 486, 28, 17.357143, 
trial0033669, AA, 37, 4, 9.250000, GDX, 501, 28, 17.892857, 
trial0033670, AA, 12, 4, 3.000000, GDX, 292, 28, 10.428571, 
trial0033671, AA, 0, 4, 0.000000, GDX, 152, 28, 5.428571, 
trial0033672, AA, 18, 4, 4.500000, GDX, 313, 28, 11.178571, 
trial0033673, AA, 176, 4, 44.000000, GDX, 194, 28, 6.928571, 
trial0033674, AA, 0, 4, 0.000000, GDX, 426, 28, 15.214286, 
trial0033675, AA, 7, 4, 1.750000, GDX, 500, 28, 17.857143, 
trial0033676, AA, 0, 4, 0.000000, GDX, 193, 28, 6.892857, 
trial0033677, AA, 105, 4, 26.250000, GDX, 521, 28, 18.607143, 
trial0033678, AA, 79, 4, 19.750000, GDX, 176, 28, 6.285714, 
trial0033679, AA, 92, 4, 23.000000, GDX, 663, 28, 23.678571, 
trial0033680, AA, 18, 4, 4.500000, GDX, 466, 28, 16.642857, 
trial0033681, AA, 22, 4, 5.500000, GDX, 203, 28, 7.250000, 
trial0033682, AA, 192, 4, 48.000000, GDX, 97, 28, 3.464286, 
trial0033683, AA, 90, 4, 22.500000, GDX, 365, 28, 13.035714, 
trial0033684, AA, 8, 4, 2.000000, GDX, 199, 28, 7.107143, 
trial0033685, AA, 0, 4, 0.000000, GDX, 598, 28, 21.357143, 
trial0033686, AA, 57, 4, 14.250000, GDX, 334, 28, 11.928571, 
trial0033687, AA, 0, 4, 0.000000, GDX, 291, 28, 10.392857, 
trial0033688, AA, 16, 4, 4.000000, GDX, 467, 28, 16.678571, 
trial0033689, AA, 54, 4, 13.500000, GDX, 187, 28, 6.678571, 
trial0033690, AA, 25, 4, 6.250000, GDX, 515, 28, 18.392857, 
trial0033691, AA, 137, 4, 34.250000, GDX, 93, 28, 3.321429, 
trial0033692, AA, 98, 4, 24.500000, GDX, 248, 28, 8.857143, 
trial0033693, AA, 53, 4, 13.250000, GDX, 86, 28, 3.071429, 
trial0033694, AA, 38, 4, 9.500000, GDX, 656, 28, 23.428571, 
trial0033695, AA, 167, 4, 41.750000, GDX, 418, 28, 14.928571, 
trial0033696, AA, 0, 4, 0.000000, GDX, 209, 28, 7.464286, 
trial0033697, AA, 174, 4, 43.500000, GDX, 182, 28, 6.500000, 
trial0033698, AA, 47, 4, 11.750000, GDX, 771, 28, 27.535714, 
trial0033699, AA, 0, 4, 0.000000, GDX, 400, 28, 14.285714, 
trial0033700, AA, 0, 4, 0.000000, GDX, 44, 28, 1.571429, 
trial0033701, AA, 234, 4, 58.500000, GDX, 112, 28, 4.000000, 
trial0033702, AA, 0, 4, 0.000000, GDX, 650, 28, 23.214286, 
trial0033703, AA, 9, 4, 2.250000, GDX, 524, 28, 18.714286, 
trial0033704, AA, 89, 4, 22.250000, GDX, 133, 28, 4.750000, 
trial0033705, AA, 30, 4, 7.500000, GDX, 600, 28, 21.428571, 
trial0033706, AA, 86, 4, 21.500000, GDX, 962, 28, 34.357143, 
trial0033707, AA, 7, 4, 1.750000, GDX, 469, 28, 16.750000, 
trial0033708, AA, 24, 4, 6.000000, GDX, 522, 28, 18.642857, 
trial0033709, AA, 318, 4, 79.500000, GDX, 20, 28, 0.714286, 
trial0033710, AA, 117, 4, 29.250000, GDX, 415, 28, 14.821429, 
trial0033711, AA, 59, 4, 14.750000, GDX, 526, 28, 18.785714, 
trial0033712, AA, 277, 4, 69.250000, GDX, 169, 28, 6.035714, 
trial0033713, AA, 0, 4, 0.000000, GDX, 313, 28, 11.178571, 
trial0033714, AA, 117, 4, 29.250000, GDX, 1253, 28, 44.750000, 
trial0033715, AA, 76, 4, 19.000000, GDX, 1425, 28, 50.892857, 
trial0033716, AA, 189, 4, 47.250000, GDX, 1407, 28, 50.250000, 
trial0033717, AA, 259, 4, 64.750000, GDX, 1338, 28, 47.785714, 
trial0033718, AA, 154, 4, 38.500000, GDX, 1392, 28, 49.714286, 
trial0033719, AA, 209, 4, 52.250000, GDX, 1335, 28, 47.678571, 
trial0033720, AA, 148, 4, 37.000000, GDX, 1357, 28, 48.464286, 
trial0033721, AA, 19, 4, 4.750000, GDX, 802, 28, 28.642857, 
trial0033722, AA, 243, 4, 60.750000, GDX, 509, 28, 18.178571, 
trial0033723, AA, 36, 4, 9.000000, GDX, 901, 28, 32.178571, 
trial0033724, AA, 41, 4, 10.250000, GDX, 879, 28, 31.392857, 
trial0033725, AA, 124, 4, 31.000000, GDX, 822, 28, 29.357143, 
trial0033726, AA, 172, 4, 43.000000, GDX, 710, 28, 25.357143, 
trial0033727, AA, 80, 4, 20.000000, GDX, 128, 28, 4.571429, 
trial0033728, AA, 114, 4, 28.500000, GDX, 429, 28, 15.321429, 
trial0033729, AA, 52, 4, 13.000000, GDX, 247, 28, 8.821429, 
trial0033730, AA, 51, 4, 12.750000, GDX, 372, 28, 13.285714, 
trial0033731, AA, 6, 4, 1.500000, GDX, 268, 28, 9.571429, 
trial0033732, AA, 2, 4, 0.500000, GDX, 185, 28, 6.607143, 
trial0033733, AA, 0, 4, 0.000000, GDX, 173, 28, 6.178571, 
trial0033734, AA, 0, 4, 0.000000, GDX, 293, 28, 10.464286, 
trial0033735, AA, 0, 4, 0.000000, GDX, 99, 28, 3.535714, 
trial0033736, AA, 5, 4, 1.250000, GDX, 154, 28, 5.500000, 
trial0033737, AA, 0, 4, 0.000000, GDX, 124, 28, 4.428571, 
trial0033738, AA, 0, 4, 0.000000, GDX, 59, 28, 2.107143, 
trial0033739, AA, 0, 4, 0.000000, GDX, 158, 28, 5.642857, 
trial0033740, AA, 0, 4, 0.000000, GDX, 149, 28, 5.321429, 
trial0033741, AA, 6, 4, 1.500000, GDX, 377, 28, 13.464286, 
trial0033742, AA, 40, 4, 10.000000, GDX, 246, 28, 8.785714, 
trial0033743, AA, 15, 4, 3.750000, GDX, 465, 28, 16.607143, 
trial0033744, AA, 60, 4, 15.000000, GDX, 184, 28, 6.571429, 
trial0033745, AA, 0, 4, 0.000000, GDX, 188, 28, 6.714286, 
trial0033746, AA, 0, 4, 0.000000, GDX, 64, 28, 2.285714, 
