trial0038701, AA, 536, 8, 67.000000, ZIC, 493, 10, 49.300000, ZIP, 574, 14, 41.000000, 
trial0038702, AA, 503, 8, 62.875000, ZIC, 387, 10, 38.700000, ZIP, 606, 14, 43.285714, 
trial0038703, AA, 198, 8, 24.750000, ZIC, 638, 10, 63.800000, ZIP, 702, 14, 50.142857, 
trial0038704, AA, 459, 8, 57.375000, ZIC, 510, 10, 51.000000, ZIP, 528, 14, 37.714286, 
trial0038705, AA, 261, 8, 32.625000, ZIC, 345, 10, 34.500000, ZIP, 609, 14, 43.500000, 
trial0038706, AA, 532, 8, 66.500000, ZIC, 430, 10, 43.000000, ZIP, 594, 14, 42.428571, 
trial0038707, AA, 562, 8, 70.250000, ZIC, 371, 10, 37.100000, ZIP, 429, 14, 30.642857, 
trial0038708, AA, 450, 8, 56.250000, ZIC, 706, 10, 70.600000, ZIP, 311, 14, 22.214286, 
trial0038709, AA, 508, 8, 63.500000, ZIC, 120, 10, 12.000000, ZIP, 824, 14, 58.857143, 
trial0038710, AA, 463, 8, 57.875000, ZIC, 534, 10, 53.400000, ZIP, 553, 14, 39.500000, 
trial0038711, AA, 206, 8, 25.750000, ZIC, 381, 10, 38.100000, ZIP, 1047, 14, 74.785714, 
trial0038712, AA, 564, 8, 70.500000, ZIC, 643, 10, 64.300000, ZIP, 191, 14, 13.642857, 
trial0038713, AA, 607, 8, 75.875000, ZIC, 477, 10, 47.700000, ZIP, 566, 14, 40.428571, 
trial0038714, AA, 232, 8, 29.000000, ZIC, 513, 10, 51.300000, ZIP, 777, 14, 55.500000, 
trial0038715, AA, 856, 8, 107.000000, ZIC, 51, 10, 5.100000, ZIP, 387, 14, 27.642857, 
trial0038716, AA, 220, 8, 27.500000, ZIC, 863, 10, 86.300000, ZIP, 541, 14, 38.642857, 
trial0038717, AA, 248, 8, 31.000000, ZIC, 650, 10, 65.000000, ZIP, 786, 14, 56.142857, 
trial0038718, AA, 88, 8, 11.000000, ZIC, 565, 10, 56.500000, ZIP, 747, 14, 53.357143, 
trial0038719, AA, 531, 8, 66.375000, ZIC, 283, 10, 28.300000, ZIP, 609, 14, 43.500000, 
trial0038720, AA, 442, 8, 55.250000, ZIC, 489, 10, 48.900000, ZIP, 616, 14, 44.000000, 
trial0038721, AA, 636, 8, 79.500000, ZIC, 320, 10, 32.000000, ZIP, 717, 14, 51.214286, 
trial0038722, AA, 319, 8, 39.875000, ZIC, 512, 10, 51.200000, ZIP, 661, 14, 47.214286, 
trial0038723, AA, 481, 8, 60.125000, ZIC, 674, 10, 67.400000, ZIP, 367, 14, 26.214286, 
trial0038724, AA, 348, 8, 43.500000, ZIC, 266, 10, 26.600000, ZIP, 934, 14, 66.714286, 
trial0038725, AA, 312, 8, 39.000000, ZIC, 502, 10, 50.200000, ZIP, 536, 14, 38.285714, 
trial0038726, AA, 325, 8, 40.625000, ZIC, 698, 10, 69.800000, ZIP, 469, 14, 33.500000, 
trial0038727, AA, 298, 8, 37.250000, ZIC, 244, 10, 24.400000, ZIP, 1066, 14, 76.142857, 
trial0038728, AA, 402, 8, 50.250000, ZIC, 263, 10, 26.300000, ZIP, 720, 14, 51.428571, 
trial0038729, AA, 286, 8, 35.750000, ZIC, 816, 10, 81.600000, ZIP, 493, 14, 35.214286, 
trial0038730, AA, 491, 8, 61.375000, ZIC, 650, 10, 65.000000, ZIP, 419, 14, 29.928571, 
trial0038731, AA, 241, 8, 30.125000, ZIC, 93, 10, 9.300000, ZIP, 408, 14, 29.142857, 
trial0038732, AA, 365, 8, 45.625000, ZIC, 144, 10, 14.400000, ZIP, 234, 14, 16.714286, 
trial0038733, AA, 152, 8, 19.000000, ZIC, 160, 10, 16.000000, ZIP, 415, 14, 29.642857, 
trial0038734, AA, 136, 8, 17.000000, ZIC, 294, 10, 29.400000, ZIP, 340, 14, 24.285714, 
trial0038735, AA, 190, 8, 23.750000, ZIC, 355, 10, 35.500000, ZIP, 289, 14, 20.642857, 
trial0038736, AA, 160, 8, 20.000000, ZIC, 255, 10, 25.500000, ZIP, 323, 14, 23.071429, 
trial0038737, AA, 252, 8, 31.500000, ZIC, 117, 10, 11.700000, ZIP, 296, 14, 21.142857, 
trial0038738, AA, 156, 8, 19.500000, ZIC, 190, 10, 19.000000, ZIP, 379, 14, 27.071429, 
trial0038739, AA, 168, 8, 21.000000, ZIC, 175, 10, 17.500000, ZIP, 428, 14, 30.571429, 
trial0038740, AA, 110, 8, 13.750000, ZIC, 328, 10, 32.800000, ZIP, 244, 14, 17.428571, 
trial0038741, AA, 196, 8, 24.500000, ZIC, 209, 10, 20.900000, ZIP, 273, 14, 19.500000, 
trial0038742, AA, 255, 8, 31.875000, ZIC, 151, 10, 15.100000, ZIP, 256, 14, 18.285714, 
trial0038743, AA, 139, 8, 17.375000, ZIC, 114, 10, 11.400000, ZIP, 568, 14, 40.571429, 
trial0038744, AA, 167, 8, 20.875000, ZIC, 158, 10, 15.800000, ZIP, 400, 14, 28.571429, 
trial0038745, AA, 282, 8, 35.250000, ZIC, 212, 10, 21.200000, ZIP, 180, 14, 12.857143, 
trial0038746, AA, 96, 8, 12.000000, ZIC, 226, 10, 22.600000, ZIP, 268, 14, 19.142857, 
trial0038747, AA, 124, 8, 15.500000, ZIC, 177, 10, 17.700000, ZIP, 272, 14, 19.428571, 
trial0038748, AA, 59, 8, 7.375000, ZIC, 148, 10, 14.800000, ZIP, 468, 14, 33.428571, 
trial0038749, AA, 232, 8, 29.000000, ZIC, 195, 10, 19.500000, ZIP, 415, 14, 29.642857, 
trial0038750, AA, 156, 8, 19.500000, ZIC, 142, 10, 14.200000, ZIP, 419, 14, 29.928571, 
trial0038751, AA, 208, 8, 26.000000, ZIC, 127, 10, 12.700000, ZIP, 551, 14, 39.357143, 
trial0038752, AA, 118, 8, 14.750000, ZIC, 305, 10, 30.500000, ZIP, 473, 14, 33.785714, 
trial0038753, AA, 227, 8, 28.375000, ZIC, 132, 10, 13.200000, ZIP, 358, 14, 25.571429, 
trial0038754, AA, 295, 8, 36.875000, ZIC, 161, 10, 16.100000, ZIP, 231, 14, 16.500000, 
trial0038755, AA, 153, 8, 19.125000, ZIC, 166, 10, 16.600000, ZIP, 471, 14, 33.642857, 
trial0038756, AA, 166, 8, 20.750000, ZIC, 200, 10, 20.000000, ZIP, 286, 14, 20.428571, 
trial0038757, AA, 159, 8, 19.875000, ZIC, 230, 10, 23.000000, ZIP, 342, 14, 24.428571, 
trial0038758, AA, 241, 8, 30.125000, ZIC, 76, 10, 7.600000, ZIP, 362, 14, 25.857143, 
trial0038759, AA, 116, 8, 14.500000, ZIC, 148, 10, 14.800000, ZIP, 468, 14, 33.428571, 
trial0038760, AA, 117, 8, 14.625000, ZIC, 147, 10, 14.700000, ZIP, 429, 14, 30.642857, 
trial0038761, AA, 451, 8, 56.375000, ZIC, 362, 10, 36.200000, ZIP, 833, 14, 59.500000, 
trial0038762, AA, 470, 8, 58.750000, ZIC, 437, 10, 43.700000, ZIP, 716, 14, 51.142857, 
trial0038763, AA, 402, 8, 50.250000, ZIC, 586, 10, 58.600000, ZIP, 671, 14, 47.928571, 
trial0038764, AA, 296, 8, 37.000000, ZIC, 626, 10, 62.600000, ZIP, 781, 14, 55.785714, 
trial0038765, AA, 328, 8, 41.000000, ZIC, 642, 10, 64.200000, ZIP, 639, 14, 45.642857, 
trial0038766, AA, 431, 8, 53.875000, ZIC, 628, 10, 62.800000, ZIP, 559, 14, 39.928571, 
trial0038767, AA, 400, 8, 50.000000, ZIC, 336, 10, 33.600000, ZIP, 802, 14, 57.285714, 
trial0038768, AA, 503, 8, 62.875000, ZIC, 250, 10, 25.000000, ZIP, 621, 14, 44.357143, 
trial0038769, AA, 373, 8, 46.625000, ZIC, 933, 10, 93.300000, ZIP, 362, 14, 25.857143, 
trial0038770, AA, 762, 8, 95.250000, ZIC, 389, 10, 38.900000, ZIP, 554, 14, 39.571429, 
trial0038771, AA, 522, 8, 65.250000, ZIC, 555, 10, 55.500000, ZIP, 456, 14, 32.571429, 
trial0038772, AA, 445, 8, 55.625000, ZIC, 332, 10, 33.200000, ZIP, 623, 14, 44.500000, 
trial0038773, AA, 74, 8, 9.250000, ZIC, 542, 10, 54.200000, ZIP, 729, 14, 52.071429, 
trial0038774, AA, 475, 8, 59.375000, ZIC, 624, 10, 62.400000, ZIP, 510, 14, 36.428571, 
trial0038775, AA, 631, 8, 78.875000, ZIC, 377, 10, 37.700000, ZIP, 492, 14, 35.142857, 
trial0038776, AA, 316, 8, 39.500000, ZIC, 322, 10, 32.200000, ZIP, 694, 14, 49.571429, 
trial0038777, AA, 496, 8, 62.000000, ZIC, 486, 10, 48.600000, ZIP, 609, 14, 43.500000, 
trial0038778, AA, 706, 8, 88.250000, ZIC, 140, 10, 14.000000, ZIP, 765, 14, 54.642857, 
trial0038779, AA, 501, 8, 62.625000, ZIC, 431, 10, 43.100000, ZIP, 618, 14, 44.142857, 
trial0038780, AA, 730, 8, 91.250000, ZIC, 302, 10, 30.200000, ZIP, 485, 14, 34.642857, 
trial0038781, AA, 202, 8, 25.250000, ZIC, 624, 10, 62.400000, ZIP, 646, 14, 46.142857, 
trial0038782, AA, 636, 8, 79.500000, ZIC, 410, 10, 41.000000, ZIP, 586, 14, 41.857143, 
trial0038783, AA, 586, 8, 73.250000, ZIC, 433, 10, 43.300000, ZIP, 499, 14, 35.642857, 
trial0038784, AA, 243, 8, 30.375000, ZIC, 422, 10, 42.200000, ZIP, 1012, 14, 72.285714, 
trial0038785, AA, 479, 8, 59.875000, ZIC, 644, 10, 64.400000, ZIP, 401, 14, 28.642857, 
trial0038786, AA, 454, 8, 56.750000, ZIC, 452, 10, 45.200000, ZIP, 559, 14, 39.928571, 
trial0038787, AA, 369, 8, 46.125000, ZIC, 498, 10, 49.800000, ZIP, 709, 14, 50.642857, 
trial0038788, AA, 848, 8, 106.000000, ZIC, 230, 10, 23.000000, ZIP, 578, 14, 41.285714, 
trial0038789, AA, 447, 8, 55.875000, ZIC, 513, 10, 51.300000, ZIP, 483, 14, 34.500000, 
trial0038790, AA, 342, 8, 42.750000, ZIC, 715, 10, 71.500000, ZIP, 564, 14, 40.285714, 
trial0038791, AA, 517, 8, 64.625000, ZIC, 330, 10, 33.000000, ZIP, 699, 14, 49.928571, 
trial0038792, AA, 516, 8, 64.500000, ZIC, 203, 10, 20.300000, ZIP, 803, 14, 57.357143, 
trial0038793, AA, 951, 8, 118.875000, ZIC, 174, 10, 17.400000, ZIP, 212, 14, 15.142857, 
trial0038794, AA, 481, 8, 60.125000, ZIC, 588, 10, 58.800000, ZIP, 493, 14, 35.214286, 
trial0038795, AA, 728, 8, 91.000000, ZIC, 293, 10, 29.300000, ZIP, 414, 14, 29.571429, 
trial0038796, AA, 270, 8, 33.750000, ZIC, 341, 10, 34.100000, ZIP, 658, 14, 47.000000, 
trial0038797, AA, 564, 8, 70.500000, ZIC, 544, 10, 54.400000, ZIP, 404, 14, 28.857143, 
trial0038798, AA, 295, 8, 36.875000, ZIC, 665, 10, 66.500000, ZIP, 484, 14, 34.571429, 
trial0038799, AA, 195, 8, 24.375000, ZIC, 430, 10, 43.000000, ZIP, 861, 14, 61.500000, 
trial0038800, AA, 308, 8, 38.500000, ZIC, 421, 10, 42.100000, ZIP, 869, 14, 62.071429, 
trial0038801, AA, 393, 8, 49.125000, ZIC, 627, 10, 62.700000, ZIP, 521, 14, 37.214286, 
trial0038802, AA, 77, 8, 9.625000, ZIC, 149, 10, 14.900000, ZIP, 859, 14, 61.357143, 
trial0038803, AA, 225, 8, 28.125000, ZIC, 585, 10, 58.500000, ZIP, 716, 14, 51.142857, 
trial0038804, AA, 304, 8, 38.000000, ZIC, 692, 10, 69.200000, ZIP, 475, 14, 33.928571, 
trial0038805, AA, 478, 8, 59.750000, ZIC, 220, 10, 22.000000, ZIP, 884, 14, 63.142857, 
trial0038806, AA, 390, 8, 48.750000, ZIC, 339, 10, 33.900000, ZIP, 823, 14, 58.785714, 
trial0038807, AA, 354, 8, 44.250000, ZIC, 585, 10, 58.500000, ZIP, 534, 14, 38.142857, 
trial0038808, AA, 512, 8, 64.000000, ZIC, 432, 10, 43.200000, ZIP, 670, 14, 47.857143, 
trial0038809, AA, 305, 8, 38.125000, ZIC, 573, 10, 57.300000, ZIP, 379, 14, 27.071429, 
trial0038810, AA, 586, 8, 73.250000, ZIC, 202, 10, 20.200000, ZIP, 670, 14, 47.857143, 
trial0038811, AA, 340, 8, 42.500000, ZIC, 545, 10, 54.500000, ZIP, 715, 14, 51.071429, 
trial0038812, AA, 291, 8, 36.375000, ZIC, 297, 10, 29.700000, ZIP, 877, 14, 62.642857, 
trial0038813, AA, 532, 8, 66.500000, ZIC, 346, 10, 34.600000, ZIP, 586, 14, 41.857143, 
trial0038814, AA, 464, 8, 58.000000, ZIC, 533, 10, 53.300000, ZIP, 610, 14, 43.571429, 
trial0038815, AA, 161, 8, 20.125000, ZIC, 498, 10, 49.800000, ZIP, 787, 14, 56.214286, 
trial0038816, AA, 508, 8, 63.500000, ZIC, 432, 10, 43.200000, ZIP, 499, 14, 35.642857, 
trial0038817, AA, 262, 8, 32.750000, ZIC, 267, 10, 26.700000, ZIP, 789, 14, 56.357143, 
trial0038818, AA, 492, 8, 61.500000, ZIC, 362, 10, 36.200000, ZIP, 503, 14, 35.928571, 
trial0038819, AA, 197, 8, 24.625000, ZIC, 664, 10, 66.400000, ZIP, 622, 14, 44.428571, 
trial0038820, AA, 481, 8, 60.125000, ZIC, 322, 10, 32.200000, ZIP, 750, 14, 53.571429, 
trial0038821, AA, 311, 8, 38.875000, ZIC, 295, 10, 29.500000, ZIP, 360, 14, 25.714286, 
trial0038822, AA, 261, 8, 32.625000, ZIC, 392, 10, 39.200000, ZIP, 357, 14, 25.500000, 
trial0038823, AA, 363, 8, 45.375000, ZIC, 198, 10, 19.800000, ZIP, 379, 14, 27.071429, 
trial0038824, AA, 259, 8, 32.375000, ZIC, 167, 10, 16.700000, ZIP, 367, 14, 26.214286, 
trial0038825, AA, 202, 8, 25.250000, ZIC, 173, 10, 17.300000, ZIP, 593, 14, 42.357143, 
trial0038826, AA, 177, 8, 22.125000, ZIC, 324, 10, 32.400000, ZIP, 401, 14, 28.642857, 
trial0038827, AA, 269, 8, 33.625000, ZIC, 200, 10, 20.000000, ZIP, 522, 14, 37.285714, 
trial0038828, AA, 238, 8, 29.750000, ZIC, 308, 10, 30.800000, ZIP, 360, 14, 25.714286, 
trial0038829, AA, 131, 8, 16.375000, ZIC, 329, 10, 32.900000, ZIP, 457, 14, 32.642857, 
trial0038830, AA, 332, 8, 41.500000, ZIC, 152, 10, 15.200000, ZIP, 409, 14, 29.214286, 
trial0038831, AA, 308, 8, 38.500000, ZIC, 197, 10, 19.700000, ZIP, 421, 14, 30.071429, 
trial0038832, AA, 220, 8, 27.500000, ZIC, 81, 10, 8.100000, ZIP, 497, 14, 35.500000, 
trial0038833, AA, 372, 8, 46.500000, ZIC, 183, 10, 18.300000, ZIP, 357, 14, 25.500000, 
trial0038834, AA, 470, 8, 58.750000, ZIC, 262, 10, 26.200000, ZIP, 300, 14, 21.428571, 
trial0038835, AA, 300, 8, 37.500000, ZIC, 218, 10, 21.800000, ZIP, 425, 14, 30.357143, 
trial0038836, AA, 211, 8, 26.375000, ZIC, 241, 10, 24.100000, ZIP, 552, 14, 39.428571, 
trial0038837, AA, 166, 8, 20.750000, ZIC, 358, 10, 35.800000, ZIP, 375, 14, 26.785714, 
trial0038838, AA, 179, 8, 22.375000, ZIC, 349, 10, 34.900000, ZIP, 397, 14, 28.357143, 
trial0038839, AA, 369, 8, 46.125000, ZIC, 234, 10, 23.400000, ZIP, 416, 14, 29.714286, 
trial0038840, AA, 380, 8, 47.500000, ZIC, 218, 10, 21.800000, ZIP, 414, 14, 29.571429, 
trial0038841, AA, 257, 8, 32.125000, ZIC, 225, 10, 22.500000, ZIP, 420, 14, 30.000000, 
trial0038842, AA, 131, 8, 16.375000, ZIC, 227, 10, 22.700000, ZIP, 513, 14, 36.642857, 
trial0038843, AA, 131, 8, 16.375000, ZIC, 242, 10, 24.200000, ZIP, 489, 14, 34.928571, 
trial0038844, AA, 377, 8, 47.125000, ZIC, 350, 10, 35.000000, ZIP, 196, 14, 14.000000, 
trial0038845, AA, 230, 8, 28.750000, ZIC, 332, 10, 33.200000, ZIP, 446, 14, 31.857143, 
trial0038846, AA, 237, 8, 29.625000, ZIC, 247, 10, 24.700000, ZIP, 299, 14, 21.357143, 
trial0038847, AA, 302, 8, 37.750000, ZIC, 61, 10, 6.100000, ZIP, 636, 14, 45.428571, 
trial0038848, AA, 257, 8, 32.125000, ZIC, 235, 10, 23.500000, ZIP, 439, 14, 31.357143, 
trial0038849, AA, 125, 8, 15.625000, ZIC, 286, 10, 28.600000, ZIP, 546, 14, 39.000000, 
trial0038850, AA, 195, 8, 24.375000, ZIC, 268, 10, 26.800000, ZIP, 378, 14, 27.000000, 
trial0038851, AA, 261, 8, 32.625000, ZIC, 892, 10, 89.200000, ZIP, 1089, 14, 77.785714, 
trial0038852, AA, 913, 8, 114.125000, ZIC, 433, 10, 43.300000, ZIP, 800, 14, 57.142857, 
trial0038853, AA, 260, 8, 32.500000, ZIC, 791, 10, 79.100000, ZIP, 993, 14, 70.928571, 
trial0038854, AA, 935, 8, 116.875000, ZIC, 293, 10, 29.300000, ZIP, 854, 14, 61.000000, 
trial0038855, AA, 829, 8, 103.625000, ZIC, 419, 10, 41.900000, ZIP, 681, 14, 48.642857, 
trial0038856, AA, 337, 8, 42.125000, ZIC, 292, 10, 29.200000, ZIP, 1380, 14, 98.571429, 
trial0038857, AA, 513, 8, 64.125000, ZIC, 532, 10, 53.200000, ZIP, 1016, 14, 72.571429, 
trial0038858, AA, 858, 8, 107.250000, ZIC, 338, 10, 33.800000, ZIP, 927, 14, 66.214286, 
trial0038859, AA, 593, 8, 74.125000, ZIC, 749, 10, 74.900000, ZIP, 938, 14, 67.000000, 
trial0038860, AA, 513, 8, 64.125000, ZIC, 849, 10, 84.900000, ZIP, 942, 14, 67.285714, 
trial0038861, AA, 557, 8, 69.625000, ZIC, 668, 10, 66.800000, ZIP, 692, 14, 49.428571, 
trial0038862, AA, 667, 8, 83.375000, ZIC, 904, 10, 90.400000, ZIP, 697, 14, 49.785714, 
trial0038863, AA, 269, 8, 33.625000, ZIC, 919, 10, 91.900000, ZIP, 718, 14, 51.285714, 
trial0038864, AA, 697, 8, 87.125000, ZIC, 310, 10, 31.000000, ZIP, 969, 14, 69.214286, 
trial0038865, AA, 861, 8, 107.625000, ZIC, 921, 10, 92.100000, ZIP, 396, 14, 28.285714, 
trial0038866, AA, 452, 8, 56.500000, ZIC, 909, 10, 90.900000, ZIP, 724, 14, 51.714286, 
trial0038867, AA, 617, 8, 77.125000, ZIC, 752, 10, 75.200000, ZIP, 926, 14, 66.142857, 
trial0038868, AA, 790, 8, 98.750000, ZIC, 593, 10, 59.300000, ZIP, 948, 14, 67.714286, 
trial0038869, AA, 350, 8, 43.750000, ZIC, 513, 10, 51.300000, ZIP, 866, 14, 61.857143, 
trial0038870, AA, 427, 8, 53.375000, ZIC, 440, 10, 44.000000, ZIP, 1087, 14, 77.642857, 
trial0038871, AA, 725, 8, 90.625000, ZIC, 729, 10, 72.900000, ZIP, 597, 14, 42.642857, 
trial0038872, AA, 336, 8, 42.000000, ZIC, 926, 10, 92.600000, ZIP, 778, 14, 55.571429, 
