trial0043501, AA, 1008, 18, 56.000000, GDX, 93, 2, 46.500000, ZIC, 669, 12, 55.750000, 
trial0043502, AA, 1216, 18, 67.555556, GDX, 78, 2, 39.000000, ZIC, 520, 12, 43.333333, 
trial0043503, AA, 1575, 18, 87.500000, GDX, 0, 2, 0.000000, ZIC, 377, 12, 31.416667, 
trial0043504, AA, 1140, 18, 63.333333, GDX, 153, 2, 76.500000, ZIC, 564, 12, 47.000000, 
trial0043505, AA, 1050, 18, 58.333333, GDX, 148, 2, 74.000000, ZIC, 613, 12, 51.083333, 
trial0043506, AA, 1027, 18, 57.055556, GDX, 155, 2, 77.500000, ZIC, 666, 12, 55.500000, 
trial0043507, AA, 1029, 18, 57.166667, GDX, 103, 2, 51.500000, ZIC, 641, 12, 53.416667, 
trial0043508, AA, 1103, 18, 61.277778, GDX, 223, 2, 111.500000, ZIC, 509, 12, 42.416667, 
trial0043509, AA, 1106, 18, 61.444444, GDX, 44, 2, 22.000000, ZIC, 711, 12, 59.250000, 
trial0043510, AA, 1368, 18, 76.000000, GDX, 0, 2, 0.000000, ZIC, 395, 12, 32.916667, 
trial0043511, AA, 1042, 18, 57.888889, GDX, 227, 2, 113.500000, ZIC, 629, 12, 52.416667, 
trial0043512, AA, 918, 18, 51.000000, GDX, 0, 2, 0.000000, ZIC, 814, 12, 67.833333, 
trial0043513, AA, 1123, 18, 62.388889, GDX, 0, 2, 0.000000, ZIC, 814, 12, 67.833333, 
trial0043514, AA, 962, 18, 53.444444, GDX, 0, 2, 0.000000, ZIC, 809, 12, 67.416667, 
trial0043515, AA, 1281, 18, 71.166667, GDX, 137, 2, 68.500000, ZIC, 354, 12, 29.500000, 
trial0043516, AA, 1030, 18, 57.222222, GDX, 75, 2, 37.500000, ZIC, 731, 12, 60.916667, 
trial0043517, AA, 967, 18, 53.722222, GDX, 127, 2, 63.500000, ZIC, 774, 12, 64.500000, 
trial0043518, AA, 995, 18, 55.277778, GDX, 190, 2, 95.000000, ZIC, 628, 12, 52.333333, 
trial0043519, AA, 943, 18, 52.388889, GDX, 153, 2, 76.500000, ZIC, 788, 12, 65.666667, 
trial0043520, AA, 999, 18, 55.500000, GDX, 140, 2, 70.000000, ZIC, 721, 12, 60.083333, 
trial0043521, AA, 952, 18, 52.888889, GDX, 210, 2, 105.000000, ZIC, 537, 12, 44.750000, 
trial0043522, AA, 1200, 18, 66.666667, GDX, 157, 2, 78.500000, ZIC, 403, 12, 33.583333, 
trial0043523, AA, 967, 18, 53.722222, GDX, 64, 2, 32.000000, ZIC, 688, 12, 57.333333, 
trial0043524, AA, 1301, 18, 72.277778, GDX, 269, 2, 134.500000, ZIC, 318, 12, 26.500000, 
trial0043525, AA, 816, 18, 45.333333, GDX, 93, 2, 46.500000, ZIC, 601, 12, 50.083333, 
trial0043526, AA, 1273, 18, 70.722222, GDX, 0, 2, 0.000000, ZIC, 625, 12, 52.083333, 
trial0043527, AA, 1592, 18, 88.444444, GDX, 18, 2, 9.000000, ZIC, 310, 12, 25.833333, 
trial0043528, AA, 1064, 18, 59.111111, GDX, 51, 2, 25.500000, ZIC, 782, 12, 65.166667, 
trial0043529, AA, 1227, 18, 68.166667, GDX, 173, 2, 86.500000, ZIC, 582, 12, 48.500000, 
trial0043530, AA, 880, 18, 48.888889, GDX, 120, 2, 60.000000, ZIC, 762, 12, 63.500000, 
trial0043531, AA, 1040, 18, 57.777778, GDX, 0, 2, 0.000000, ZIC, 859, 12, 71.583333, 
trial0043532, AA, 1032, 18, 57.333333, GDX, 158, 2, 79.000000, ZIC, 858, 12, 71.500000, 
trial0043533, AA, 1032, 18, 57.333333, GDX, 360, 2, 180.000000, ZIC, 462, 12, 38.500000, 
trial0043534, AA, 978, 18, 54.333333, GDX, 126, 2, 63.000000, ZIC, 832, 12, 69.333333, 
trial0043535, AA, 783, 18, 43.500000, GDX, 0, 2, 0.000000, ZIC, 889, 12, 74.083333, 
trial0043536, AA, 869, 18, 48.277778, GDX, 0, 2, 0.000000, ZIC, 1052, 12, 87.666667, 
trial0043537, AA, 1414, 18, 78.555556, GDX, 62, 2, 31.000000, ZIC, 526, 12, 43.833333, 
trial0043538, AA, 1183, 18, 65.722222, GDX, 11, 2, 5.500000, ZIC, 599, 12, 49.916667, 
trial0043539, AA, 1434, 18, 79.666667, GDX, 218, 2, 109.000000, ZIC, 328, 12, 27.333333, 
trial0043540, AA, 1127, 18, 62.611111, GDX, 0, 2, 0.000000, ZIC, 617, 12, 51.416667, 
trial0043541, AA, 1031, 18, 57.277778, GDX, 0, 2, 0.000000, ZIC, 766, 12, 63.833333, 
trial0043542, AA, 1429, 18, 79.388889, GDX, 39, 2, 19.500000, ZIC, 358, 12, 29.833333, 
trial0043543, AA, 712, 18, 39.555556, GDX, 157, 2, 78.500000, ZIC, 902, 12, 75.166667, 
trial0043544, AA, 1381, 18, 76.722222, GDX, 5, 2, 2.500000, ZIC, 638, 12, 53.166667, 
trial0043545, AA, 1069, 18, 59.388889, GDX, 74, 2, 37.000000, ZIC, 537, 12, 44.750000, 
trial0043546, AA, 979, 18, 54.388889, GDX, 369, 2, 184.500000, ZIC, 676, 12, 56.333333, 
trial0043547, AA, 1018, 18, 56.555556, GDX, 22, 2, 11.000000, ZIC, 812, 12, 67.666667, 
trial0043548, AA, 514, 18, 28.555556, GDX, 353, 2, 176.500000, ZIC, 1137, 12, 94.750000, 
trial0043549, AA, 1106, 18, 61.444444, GDX, 207, 2, 103.500000, ZIC, 678, 12, 56.500000, 
trial0043550, AA, 1290, 18, 71.666667, GDX, 0, 2, 0.000000, ZIC, 702, 12, 58.500000, 
