trial0024901, AA, 563, 10, 56.300000, ZIP, 1529, 22, 69.500000, 
trial0024902, AA, 525, 10, 52.500000, ZIP, 1461, 22, 66.409091, 
trial0024903, AA, 581, 10, 58.100000, ZIP, 1391, 22, 63.227273, 
trial0024904, AA, 516, 10, 51.600000, ZIP, 1475, 22, 67.045455, 
trial0024905, AA, 252, 10, 25.200000, ZIP, 1931, 22, 87.772727, 
trial0024906, AA, 936, 10, 93.600000, ZIP, 933, 22, 42.409091, 
trial0024907, AA, 433, 10, 43.300000, ZIP, 1673, 22, 76.045455, 
trial0024908, AA, 352, 10, 35.200000, ZIP, 1818, 22, 82.636364, 
trial0024909, AA, 392, 10, 39.200000, ZIP, 1347, 22, 61.227273, 
trial0024910, AA, 337, 10, 33.700000, ZIP, 1506, 22, 68.454545, 
trial0024911, AA, 961, 10, 96.100000, ZIP, 1012, 22, 46.000000, 
trial0024912, AA, 417, 10, 41.700000, ZIP, 1821, 22, 82.772727, 
trial0024913, AA, 684, 10, 68.400000, ZIP, 1524, 22, 69.272727, 
trial0024914, AA, 633, 10, 63.300000, ZIP, 1626, 22, 73.909091, 
trial0024915, AA, 778, 10, 77.800000, ZIP, 1389, 22, 63.136364, 
trial0024916, AA, 587, 10, 58.700000, ZIP, 1510, 22, 68.636364, 
trial0024917, AA, 276, 10, 27.600000, ZIP, 1588, 22, 72.181818, 
trial0024918, AA, 625, 10, 62.500000, ZIP, 1602, 22, 72.818182, 
trial0024919, AA, 793, 10, 79.300000, ZIP, 1053, 22, 47.863636, 
trial0024920, AA, 714, 10, 71.400000, ZIP, 1422, 22, 64.636364, 
trial0024921, AA, 502, 10, 50.200000, ZIP, 1366, 22, 62.090909, 
trial0024922, AA, 660, 10, 66.000000, ZIP, 1234, 22, 56.090909, 
trial0024923, AA, 437, 10, 43.700000, ZIP, 1610, 22, 73.181818, 
trial0024924, AA, 709, 10, 70.900000, ZIP, 1278, 22, 58.090909, 
trial0024925, AA, 839, 10, 83.900000, ZIP, 1150, 22, 52.272727, 
trial0024926, AA, 735, 10, 73.500000, ZIP, 1381, 22, 62.772727, 
trial0024927, AA, 607, 10, 60.700000, ZIP, 1574, 22, 71.545455, 
trial0024928, AA, 417, 10, 41.700000, ZIP, 1675, 22, 76.136364, 
trial0024929, AA, 369, 10, 36.900000, ZIP, 1856, 22, 84.363636, 
trial0024930, AA, 364, 10, 36.400000, ZIP, 1609, 22, 73.136364, 
trial0024931, AA, 468, 10, 46.800000, ZIP, 995, 22, 45.227273, 
trial0024932, AA, 424, 10, 42.400000, ZIP, 1114, 22, 50.636364, 
trial0024933, AA, 618, 10, 61.800000, ZIP, 945, 22, 42.954545, 
trial0024934, AA, 514, 10, 51.400000, ZIP, 1099, 22, 49.954545, 
trial0024935, AA, 496, 10, 49.600000, ZIP, 1037, 22, 47.136364, 
trial0024936, AA, 513, 10, 51.300000, ZIP, 1014, 22, 46.090909, 
trial0024937, AA, 448, 10, 44.800000, ZIP, 964, 22, 43.818182, 
trial0024938, AA, 374, 10, 37.400000, ZIP, 1177, 22, 53.500000, 
trial0024939, AA, 552, 10, 55.200000, ZIP, 738, 22, 33.545455, 
trial0024940, AA, 242, 10, 24.200000, ZIP, 1415, 22, 64.318182, 
trial0024941, AA, 474, 10, 47.400000, ZIP, 1003, 22, 45.590909, 
trial0024942, AA, 390, 10, 39.000000, ZIP, 1470, 22, 66.818182, 
trial0024943, AA, 526, 10, 52.600000, ZIP, 1295, 22, 58.863636, 
trial0024944, AA, 342, 10, 34.200000, ZIP, 1167, 22, 53.045455, 
trial0024945, AA, 199, 10, 19.900000, ZIP, 1373, 22, 62.409091, 
trial0024946, AA, 342, 10, 34.200000, ZIP, 1253, 22, 56.954545, 
trial0024947, AA, 478, 10, 47.800000, ZIP, 1237, 22, 56.227273, 
trial0024948, AA, 788, 10, 78.800000, ZIP, 778, 22, 35.363636, 
trial0024949, AA, 422, 10, 42.200000, ZIP, 1011, 22, 45.954545, 
trial0024950, AA, 325, 10, 32.500000, ZIP, 749, 22, 34.045455, 
trial0024951, AA, 919, 10, 91.900000, ZIP, 896, 22, 40.727273, 
trial0024952, AA, 431, 10, 43.100000, ZIP, 1230, 22, 55.909091, 
trial0024953, AA, 503, 10, 50.300000, ZIP, 1063, 22, 48.318182, 
trial0024954, AA, 556, 10, 55.600000, ZIP, 820, 22, 37.272727, 
trial0024955, AA, 495, 10, 49.500000, ZIP, 1140, 22, 51.818182, 
trial0024956, AA, 480, 10, 48.000000, ZIP, 1036, 22, 47.090909, 
trial0024957, AA, 645, 10, 64.500000, ZIP, 1291, 22, 58.681818, 
trial0024958, AA, 435, 10, 43.500000, ZIP, 1202, 22, 54.636364, 
trial0024959, AA, 609, 10, 60.900000, ZIP, 863, 22, 39.227273, 
trial0024960, AA, 407, 10, 40.700000, ZIP, 1304, 22, 59.272727, 
trial0024961, AA, 1231, 10, 123.100000, ZIP, 2142, 22, 97.363636, 
trial0024962, AA, 1034, 10, 103.400000, ZIP, 2837, 22, 128.954545, 
trial0024963, AA, 609, 10, 60.900000, ZIP, 2569, 22, 116.772727, 
trial0024964, AA, 1230, 10, 123.000000, ZIP, 2296, 22, 104.363636, 
trial0024965, AA, 691, 10, 69.100000, ZIP, 2750, 22, 125.000000, 
trial0024966, AA, 1560, 10, 156.000000, ZIP, 1868, 22, 84.909091, 
trial0024967, AA, 1485, 10, 148.500000, ZIP, 2285, 22, 103.863636, 
trial0024968, AA, 1194, 10, 119.400000, ZIP, 2019, 22, 91.772727, 
trial0024969, AA, 756, 10, 75.600000, ZIP, 2590, 22, 117.727273, 
trial0024970, AA, 1262, 10, 126.200000, ZIP, 2243, 22, 101.954545, 
trial0024971, AA, 1032, 10, 103.200000, ZIP, 2634, 22, 119.727273, 
trial0024972, AA, 1423, 10, 142.300000, ZIP, 2307, 22, 104.863636, 
trial0024973, AA, 819, 10, 81.900000, ZIP, 1995, 22, 90.681818, 
trial0024974, AA, 1037, 10, 103.700000, ZIP, 2465, 22, 112.045455, 
trial0024975, AA, 1066, 10, 106.600000, ZIP, 2703, 22, 122.863636, 
trial0024976, AA, 1281, 10, 128.100000, ZIP, 2301, 22, 104.590909, 
trial0024977, AA, 869, 10, 86.900000, ZIP, 2479, 22, 112.681818, 
trial0024978, AA, 1293, 10, 129.300000, ZIP, 1889, 22, 85.863636, 
trial0024979, AA, 1243, 10, 124.300000, ZIP, 2720, 22, 123.636364, 
trial0024980, AA, 1024, 10, 102.400000, ZIP, 2792, 22, 126.909091, 
trial0024981, AA, 1017, 10, 101.700000, ZIP, 2652, 22, 120.545455, 
trial0024982, AA, 937, 10, 93.700000, ZIP, 2421, 22, 110.045455, 
trial0024983, AA, 1143, 10, 114.300000, ZIP, 2139, 22, 97.227273, 
trial0024984, AA, 751, 10, 75.100000, ZIP, 2952, 22, 134.181818, 
trial0024985, AA, 820, 10, 82.000000, ZIP, 2322, 22, 105.545455, 
trial0024986, AA, 793, 10, 79.300000, ZIP, 2921, 22, 132.772727, 
trial0024987, AA, 598, 10, 59.800000, ZIP, 2755, 22, 125.227273, 
trial0024988, AA, 821, 10, 82.100000, ZIP, 2548, 22, 115.818182, 
trial0024989, AA, 1086, 10, 108.600000, ZIP, 2626, 22, 119.363636, 
trial0024990, AA, 964, 10, 96.400000, ZIP, 2718, 22, 123.545455, 
trial0024991, AA, 866, 10, 86.600000, ZIP, 1661, 22, 75.500000, 
trial0024992, AA, 759, 10, 75.900000, ZIP, 1499, 22, 68.136364, 
trial0024993, AA, 775, 10, 77.500000, ZIP, 1357, 22, 61.681818, 
trial0024994, AA, 1068, 10, 106.800000, ZIP, 1178, 22, 53.545455, 
trial0024995, AA, 426, 10, 42.600000, ZIP, 1913, 22, 86.954545, 
trial0024996, AA, 1022, 10, 102.200000, ZIP, 1422, 22, 64.636364, 
trial0024997, AA, 144, 10, 14.400000, ZIP, 2353, 22, 106.954545, 
trial0024998, AA, 635, 10, 63.500000, ZIP, 1424, 22, 64.727273, 
trial0024999, AA, 848, 10, 84.800000, ZIP, 1610, 22, 73.181818, 
trial0025000, AA, 921, 10, 92.100000, ZIP, 1271, 22, 57.772727, 
trial0025001, AA, 1296, 10, 129.600000, ZIP, 984, 22, 44.727273, 
trial0025002, AA, 1204, 10, 120.400000, ZIP, 1373, 22, 62.409091, 
trial0025003, AA, 259, 10, 25.900000, ZIP, 2232, 22, 101.454545, 
trial0025004, AA, 1005, 10, 100.500000, ZIP, 1305, 22, 59.318182, 
trial0025005, AA, 726, 10, 72.600000, ZIP, 1954, 22, 88.818182, 
trial0025006, AA, 227, 10, 22.700000, ZIP, 2393, 22, 108.772727, 
trial0025007, AA, 754, 10, 75.400000, ZIP, 1555, 22, 70.681818, 
trial0025008, AA, 1094, 10, 109.400000, ZIP, 1471, 22, 66.863636, 
trial0025009, AA, 195, 10, 19.500000, ZIP, 2267, 22, 103.045455, 
trial0025010, AA, 338, 10, 33.800000, ZIP, 1619, 22, 73.590909, 
trial0025011, AA, 972, 10, 97.200000, ZIP, 1362, 22, 61.909091, 
trial0025012, AA, 518, 10, 51.800000, ZIP, 2066, 22, 93.909091, 
trial0025013, AA, 721, 10, 72.100000, ZIP, 1614, 22, 73.363636, 
trial0025014, AA, 1011, 10, 101.100000, ZIP, 1387, 22, 63.045455, 
trial0025015, AA, 947, 10, 94.700000, ZIP, 1482, 22, 67.363636, 
trial0025016, AA, 336, 10, 33.600000, ZIP, 2260, 22, 102.727273, 
trial0025017, AA, 1092, 10, 109.200000, ZIP, 1254, 22, 57.000000, 
trial0025018, AA, 816, 10, 81.600000, ZIP, 1683, 22, 76.500000, 
trial0025019, AA, 668, 10, 66.800000, ZIP, 1668, 22, 75.818182, 
trial0025020, AA, 501, 10, 50.100000, ZIP, 1577, 22, 71.681818, 
trial0025021, AA, 1211, 10, 121.100000, ZIP, 1840, 22, 83.636364, 
trial0025022, AA, 990, 10, 99.000000, ZIP, 2031, 22, 92.318182, 
trial0025023, AA, 640, 10, 64.000000, ZIP, 2447, 22, 111.227273, 
trial0025024, AA, 872, 10, 87.200000, ZIP, 2008, 22, 91.272727, 
trial0025025, AA, 1029, 10, 102.900000, ZIP, 2155, 22, 97.954545, 
trial0025026, AA, 1431, 10, 143.100000, ZIP, 1530, 22, 69.545455, 
trial0025027, AA, 808, 10, 80.800000, ZIP, 2281, 22, 103.681818, 
trial0025028, AA, 755, 10, 75.500000, ZIP, 2032, 22, 92.363636, 
trial0025029, AA, 751, 10, 75.100000, ZIP, 1986, 22, 90.272727, 
trial0025030, AA, 690, 10, 69.000000, ZIP, 2091, 22, 95.045455, 
trial0025031, AA, 331, 10, 33.100000, ZIP, 2194, 22, 99.727273, 
trial0025032, AA, 1189, 10, 118.900000, ZIP, 1904, 22, 86.545455, 
trial0025033, AA, 1203, 10, 120.300000, ZIP, 2116, 22, 96.181818, 
trial0025034, AA, 631, 10, 63.100000, ZIP, 1999, 22, 90.863636, 
trial0025035, AA, 1314, 10, 131.400000, ZIP, 1294, 22, 58.818182, 
trial0025036, AA, 918, 10, 91.800000, ZIP, 2153, 22, 97.863636, 
trial0025037, AA, 950, 10, 95.000000, ZIP, 1790, 22, 81.363636, 
trial0025038, AA, 331, 10, 33.100000, ZIP, 2605, 22, 118.409091, 
trial0025039, AA, 486, 10, 48.600000, ZIP, 2349, 22, 106.772727, 
trial0025040, AA, 1380, 10, 138.000000, ZIP, 1465, 22, 66.590909, 
trial0025041, AA, 956, 10, 95.600000, ZIP, 1705, 22, 77.500000, 
trial0025042, AA, 1206, 10, 120.600000, ZIP, 1648, 22, 74.909091, 
trial0025043, AA, 1584, 10, 158.400000, ZIP, 1561, 22, 70.954545, 
trial0025044, AA, 1007, 10, 100.700000, ZIP, 2250, 22, 102.272727, 
trial0025045, AA, 921, 10, 92.100000, ZIP, 2282, 22, 103.727273, 
trial0025046, AA, 880, 10, 88.000000, ZIP, 2232, 22, 101.454545, 
trial0025047, AA, 287, 10, 28.700000, ZIP, 2737, 22, 124.409091, 
trial0025048, AA, 879, 10, 87.900000, ZIP, 2225, 22, 101.136364, 
trial0025049, AA, 915, 10, 91.500000, ZIP, 2019, 22, 91.772727, 
trial0025050, AA, 1165, 10, 116.500000, ZIP, 1995, 22, 90.681818, 
trial0025051, AA, 1148, 10, 114.800000, ZIP, 1438, 22, 65.363636, 
trial0025052, AA, 979, 10, 97.900000, ZIP, 1770, 22, 80.454545, 
trial0025053, AA, 809, 10, 80.900000, ZIP, 1763, 22, 80.136364, 
trial0025054, AA, 646, 10, 64.600000, ZIP, 1979, 22, 89.954545, 
trial0025055, AA, 964, 10, 96.400000, ZIP, 1969, 22, 89.500000, 
trial0025056, AA, 566, 10, 56.600000, ZIP, 1989, 22, 90.409091, 
trial0025057, AA, 768, 10, 76.800000, ZIP, 2344, 22, 106.545455, 
trial0025058, AA, 723, 10, 72.300000, ZIP, 1848, 22, 84.000000, 
trial0025059, AA, 753, 10, 75.300000, ZIP, 1740, 22, 79.090909, 
trial0025060, AA, 383, 10, 38.300000, ZIP, 2459, 22, 111.772727, 
trial0025061, AA, 1378, 10, 137.800000, ZIP, 1836, 22, 83.454545, 
trial0025062, AA, 1253, 10, 125.300000, ZIP, 1403, 22, 63.772727, 
trial0025063, AA, 513, 10, 51.300000, ZIP, 2090, 22, 95.000000, 
