trial0019201, AA, 0, 16, 0.000000, GDX, 36, 10, 3.600000, ZIC, 0, 4, 0.000000, ZIP, 0, 2, 0.000000, 
trial0019202, AA, 51, 16, 3.187500, GDX, 82, 10, 8.200000, ZIC, 0, 4, 0.000000, ZIP, 0, 2, 0.000000, 
trial0019203, AA, 26, 16, 1.625000, GDX, 39, 10, 3.900000, ZIC, 49, 4, 12.250000, ZIP, 1, 2, 0.500000, 
trial0019204, AA, 92, 16, 5.750000, GDX, 159, 10, 15.900000, ZIC, 19, 4, 4.750000, ZIP, 86, 2, 43.000000, 
trial0019205, AA, 81, 16, 5.062500, GDX, 58, 10, 5.800000, ZIC, 0, 4, 0.000000, ZIP, 11, 2, 5.500000, 
trial0019206, AA, 32, 16, 2.000000, GDX, 71, 10, 7.100000, ZIC, 17, 4, 4.250000, ZIP, 34, 2, 17.000000, 
trial0019207, AA, 0, 16, 0.000000, GDX, 0, 10, 0.000000, ZIC, 0, 4, 0.000000, ZIP, 0, 2, 0.000000, 
trial0019208, AA, 128, 16, 8.000000, GDX, 135, 10, 13.500000, ZIC, 0, 4, 0.000000, ZIP, 15, 2, 7.500000, 
trial0019209, AA, 101, 16, 6.312500, GDX, 451, 10, 45.100000, ZIC, 17, 4, 4.250000, ZIP, 80, 2, 40.000000, 
trial0019210, AA, 13, 16, 0.812500, GDX, 9, 10, 0.900000, ZIC, 0, 4, 0.000000, ZIP, 25, 2, 12.500000, 
trial0019211, AA, 0, 16, 0.000000, GDX, 0, 10, 0.000000, ZIC, 57, 4, 14.250000, ZIP, 3, 2, 1.500000, 
trial0019212, AA, 14, 16, 0.875000, GDX, 13, 10, 1.300000, ZIC, 2, 4, 0.500000, ZIP, 15, 2, 7.500000, 
trial0019213, AA, 4, 16, 0.250000, GDX, 27, 10, 2.700000, ZIC, 0, 4, 0.000000, ZIP, 27, 2, 13.500000, 
trial0019214, AA, 126, 16, 7.875000, GDX, 219, 10, 21.900000, ZIC, 0, 4, 0.000000, ZIP, 39, 2, 19.500000, 
trial0019215, AA, 75, 16, 4.687500, GDX, 214, 10, 21.400000, ZIC, 0, 4, 0.000000, ZIP, 40, 2, 20.000000, 
trial0019216, AA, 37, 16, 2.312500, GDX, 83, 10, 8.300000, ZIC, 0, 4, 0.000000, ZIP, 22, 2, 11.000000, 
trial0019217, AA, 130, 16, 8.125000, GDX, 6, 10, 0.600000, ZIC, 10, 4, 2.500000, ZIP, 16, 2, 8.000000, 
trial0019218, AA, 0, 16, 0.000000, GDX, 27, 10, 2.700000, ZIC, 0, 4, 0.000000, ZIP, 0, 2, 0.000000, 
trial0019219, AA, 80, 16, 5.000000, GDX, 58, 10, 5.800000, ZIC, 0, 4, 0.000000, ZIP, 27, 2, 13.500000, 
trial0019220, AA, 0, 16, 0.000000, GDX, 18, 10, 1.800000, ZIC, 0, 4, 0.000000, ZIP, 18, 2, 9.000000, 
trial0019221, AA, 2, 16, 0.125000, GDX, 32, 10, 3.200000, ZIC, 0, 4, 0.000000, ZIP, 0, 2, 0.000000, 
trial0019222, AA, 95, 16, 5.937500, GDX, 129, 10, 12.900000, ZIC, 7, 4, 1.750000, ZIP, 4, 2, 2.000000, 
trial0019223, AA, 0, 16, 0.000000, GDX, 55, 10, 5.500000, ZIC, 12, 4, 3.000000, ZIP, 0, 2, 0.000000, 
trial0019224, AA, 191, 16, 11.937500, GDX, 245, 10, 24.500000, ZIC, 0, 4, 0.000000, ZIP, 22, 2, 11.000000, 
trial0019225, AA, 0, 16, 0.000000, GDX, 0, 10, 0.000000, ZIC, 0, 4, 0.000000, ZIP, 0, 2, 0.000000, 
trial0019226, AA, 132, 16, 8.250000, GDX, 22, 10, 2.200000, ZIC, 0, 4, 0.000000, ZIP, 0, 2, 0.000000, 
trial0019227, AA, 0, 16, 0.000000, GDX, 0, 10, 0.000000, ZIC, 0, 4, 0.000000, ZIP, 36, 2, 18.000000, 
trial0019228, AA, 60, 16, 3.750000, GDX, 158, 10, 15.800000, ZIC, 20, 4, 5.000000, ZIP, 78, 2, 39.000000, 
trial0019229, AA, 0, 16, 0.000000, GDX, 2, 10, 0.200000, ZIC, 32, 4, 8.000000, ZIP, 32, 2, 16.000000, 
trial0019230, AA, 38, 16, 2.375000, GDX, 76, 10, 7.600000, ZIC, 2, 4, 0.500000, ZIP, 12, 2, 6.000000, 
trial0019231, AA, 850, 16, 53.125000, GDX, 922, 10, 92.200000, ZIC, 281, 4, 70.250000, ZIP, 112, 2, 56.000000, 
trial0019232, AA, 704, 16, 44.000000, GDX, 280, 10, 28.000000, ZIC, 367, 4, 91.750000, ZIP, 383, 2, 191.500000, 
trial0019233, AA, 979, 16, 61.187500, GDX, 991, 10, 99.100000, ZIC, 0, 4, 0.000000, ZIP, 73, 2, 36.500000, 
