trial0055801, AA, 259, 16, 16.187500, GDX, 21, 2, 10.500000, ZIC, 0, 2, 0.000000, ZIP, 124, 12, 10.333333, 
trial0055802, AA, 243, 16, 15.187500, GDX, 0, 2, 0.000000, ZIC, 30, 2, 15.000000, ZIP, 124, 12, 10.333333, 
trial0055803, AA, 251, 16, 15.687500, GDX, 50, 2, 25.000000, ZIC, 9, 2, 4.500000, ZIP, 107, 12, 8.916667, 
trial0055804, AA, 216, 16, 13.500000, GDX, 29, 2, 14.500000, ZIC, 43, 2, 21.500000, ZIP, 109, 12, 9.083333, 
trial0055805, AA, 170, 16, 10.625000, GDX, 17, 2, 8.500000, ZIC, 47, 2, 23.500000, ZIP, 183, 12, 15.250000, 
trial0055806, AA, 253, 16, 15.812500, GDX, 44, 2, 22.000000, ZIC, 18, 2, 9.000000, ZIP, 89, 12, 7.416667, 
trial0055807, AA, 296, 16, 18.500000, GDX, 0, 2, 0.000000, ZIC, 74, 2, 37.000000, ZIP, 34, 12, 2.833333, 
trial0055808, AA, 239, 16, 14.937500, GDX, 15, 2, 7.500000, ZIC, 13, 2, 6.500000, ZIP, 118, 12, 9.833333, 
trial0055809, AA, 162, 16, 10.125000, GDX, 31, 2, 15.500000, ZIC, 38, 2, 19.000000, ZIP, 173, 12, 14.416667, 
trial0055810, AA, 296, 16, 18.500000, GDX, 58, 2, 29.000000, ZIC, 18, 2, 9.000000, ZIP, 38, 12, 3.166667, 
trial0055811, AA, 177, 16, 11.062500, GDX, 44, 2, 22.000000, ZIC, 37, 2, 18.500000, ZIP, 93, 12, 7.750000, 
trial0055812, AA, 207, 16, 12.937500, GDX, 40, 2, 20.000000, ZIC, 24, 2, 12.000000, ZIP, 107, 12, 8.916667, 
trial0055813, AA, 308, 16, 19.250000, GDX, 6, 2, 3.000000, ZIC, 0, 2, 0.000000, ZIP, 90, 12, 7.500000, 
trial0055814, AA, 178, 16, 11.125000, GDX, 17, 2, 8.500000, ZIC, 53, 2, 26.500000, ZIP, 156, 12, 13.000000, 
trial0055815, AA, 203, 16, 12.687500, GDX, 47, 2, 23.500000, ZIC, 62, 2, 31.000000, ZIP, 98, 12, 8.166667, 
trial0055816, AA, 240, 16, 15.000000, GDX, 65, 2, 32.500000, ZIC, 11, 2, 5.500000, ZIP, 68, 12, 5.666667, 
trial0055817, AA, 224, 16, 14.000000, GDX, 46, 2, 23.000000, ZIC, 14, 2, 7.000000, ZIP, 126, 12, 10.500000, 
trial0055818, AA, 163, 16, 10.187500, GDX, 32, 2, 16.000000, ZIC, 28, 2, 14.000000, ZIP, 181, 12, 15.083333, 
