trial0021301, AA, 508, 6, 84.666667, GDX, 225, 18, 12.500000, ZIP, 476, 8, 59.500000, 
trial0021302, AA, 25, 6, 4.166667, GDX, 431, 18, 23.944444, ZIP, 509, 8, 63.625000, 
trial0021303, AA, 409, 6, 68.166667, GDX, 441, 18, 24.500000, ZIP, 372, 8, 46.500000, 
trial0021304, AA, 53, 6, 8.833333, GDX, 1023, 18, 56.833333, ZIP, 266, 8, 33.250000, 
trial0021305, AA, 97, 6, 16.166667, GDX, 897, 18, 49.833333, ZIP, 433, 8, 54.125000, 
trial0021306, AA, 84, 6, 14.000000, GDX, 126, 18, 7.000000, ZIP, 470, 8, 58.750000, 
trial0021307, AA, 499, 6, 83.166667, GDX, 506, 18, 28.111111, ZIP, 338, 8, 42.250000, 
trial0021308, AA, 338, 6, 56.333333, GDX, 568, 18, 31.555556, ZIP, 189, 8, 23.625000, 
trial0021309, AA, 198, 6, 33.000000, GDX, 613, 18, 34.055556, ZIP, 633, 8, 79.125000, 
trial0021310, AA, 54, 6, 9.000000, GDX, 967, 18, 53.722222, ZIP, 329, 8, 41.125000, 
trial0021311, AA, 344, 6, 57.333333, GDX, 657, 18, 36.500000, ZIP, 349, 8, 43.625000, 
trial0021312, AA, 533, 6, 88.833333, GDX, 156, 18, 8.666667, ZIP, 346, 8, 43.250000, 
trial0021313, AA, 118, 6, 19.666667, GDX, 682, 18, 37.888889, ZIP, 729, 8, 91.125000, 
trial0021314, AA, 338, 6, 56.333333, GDX, 248, 18, 13.777778, ZIP, 322, 8, 40.250000, 
trial0021315, AA, 268, 6, 44.666667, GDX, 464, 18, 25.777778, ZIP, 305, 8, 38.125000, 
trial0021316, AA, 521, 6, 86.833333, GDX, 102, 18, 5.666667, ZIP, 388, 8, 48.500000, 
trial0021317, AA, 470, 6, 78.333333, GDX, 461, 18, 25.611111, ZIP, 498, 8, 62.250000, 
trial0021318, AA, 196, 6, 32.666667, GDX, 382, 18, 21.222222, ZIP, 552, 8, 69.000000, 
trial0021319, AA, 81, 6, 13.500000, GDX, 932, 18, 51.777778, ZIP, 223, 8, 27.875000, 
trial0021320, AA, 42, 6, 7.000000, GDX, 302, 18, 16.777778, ZIP, 119, 8, 14.875000, 
trial0021321, AA, 448, 6, 74.666667, GDX, 1122, 18, 62.333333, ZIP, 197, 8, 24.625000, 
trial0021322, AA, 148, 6, 24.666667, GDX, 182, 18, 10.111111, ZIP, 389, 8, 48.625000, 
trial0021323, AA, 80, 6, 13.333333, GDX, 675, 18, 37.500000, ZIP, 689, 8, 86.125000, 
trial0021324, AA, 384, 6, 64.000000, GDX, 482, 18, 26.777778, ZIP, 359, 8, 44.875000, 
trial0021325, AA, 275, 6, 45.833333, GDX, 1054, 18, 58.555556, ZIP, 309, 8, 38.625000, 
