B04, Bid, 094, 1, 39.00, 133
S09, Ask, 504, 1, 39.10, 134
B01, Bid, 051, 1, 39.15, 135
B00, Bid, 019, 1, 39.20, 136
S07, Ask, 238, 1, 39.25, 137
S01, Ask, 304, 1, 39.30, 138
S01, Ask, 837, 1, 39.35, 139
B05, Bid, 106, 1, 39.40, 140
B02, Bid, 042, 1, 39.45, 141
S09, Ask, 776, 1, 39.50, 142
B04, Bid, 094, 1, 39.55, 143
S05, Ask, 165, 1, 39.60, 144
B06, Bid, 131, 1, 39.65, 145
S09, Ask, 334, 1, 39.70, 146
B04, Bid, 094, 1, 39.75, 147
B00, Bid, 017, 1, 39.80, 148
S03, Ask, 816, 1, 39.85, 149
S06, Ask, 953, 1, 39.90, 150
S05, Ask, 673, 1, 40.00, 151
B04, Bid, 094, 1, 40.05, 152
S07, Ask, 238, 1, 40.15, 153
B00, Bid, 027, 1, 40.20, 154
B06, Bid, 131, 1, 40.25, 155
B04, Bid, 094, 1, 40.30, 156
S06, Ask, 261, 1, 40.40, 157
B00, Bid, 011, 1, 40.50, 158
S07, Ask, 238, 1, 40.55, 159
B03, Bid, 015, 1, 40.60, 160
S09, Ask, 601, 1, 40.70, 161
S03, Ask, 729, 1, 40.75, 162
B03, Bid, 073, 1, 40.80, 163
B03, Bid, 028, 1, 40.85, 164
S05, Ask, 590, 1, 40.90, 165
S09, Ask, 275, 1, 41.00, 166
B03, Bid, 022, 1, 41.05, 167
S09, Ask, 513, 1, 41.25, 168
S07, Ask, 238, 1, 41.30, 169
S08, Ask, 165, 1, 41.35, 170
B02, Bid, 050, 1, 41.40, 171
S01, Ask, 237, 1, 41.45, 172
B05, Bid, 106, 1, 41.50, 173
B04, Bid, 094, 1, 41.60, 174
B05, Bid, 106, 1, 41.65, 175
B04, Bid, 094, 1, 41.70, 176
S03, Ask, 604, 1, 41.75, 177
B01, Bid, 051, 1, 41.80, 178
B05, Bid, 106, 1, 41.85, 179
B02, Bid, 033, 1, 41.95, 180
S07, Ask, 238, 1, 42.00, 181
S01, Ask, 584, 1, 42.05, 182
B06, Bid, 131, 1, 42.10, 183
B05, Bid, 106, 1, 42.20, 184
S07, Ask, 238, 1, 42.30, 185
