trial0000029ZIC, 152.0, 10, 15.2, 1.0, 1.3174866648543744e-05, 9.101419823719828e-07ZIP, 884.0, 10, 88.4, 8.4, 9.63601063644762e-06, 8.770152512683576e-06
trial0000030ZIC, 371.0, 10, 37.1, 2.6, 1.2828769561173993e-05, 9.103847072906941e-07ZIP, 509.0, 10, 50.9, 6.8, 9.387692265741511e-06, 9.500601655921692e-06
trial0000031ZIC, 306.0, 10, 30.6, 2.1, 1.3275210779412847e-05, 8.976996914231398e-07ZIP, 647.0, 10, 64.7, 6.9, 9.47773316847223e-06, 8.786714676236604e-06
trial0000032ZIC, 503.0, 10, 50.3, 3.8, 1.2627390554561781e-05, 8.56966838712128e-07ZIP, 274.0, 10, 27.4, 4.8, 9.205688954415498e-06, 8.915629771963564e-06
trial0000033ZIC, 142.0, 10, 14.2, 1.5, 1.3267909555527185e-05, 9.383899839859189e-07ZIP, 585.0, 10, 58.5, 5.3, 9.691834310547678e-06, 9.290165371365016e-06
trial0000034ZIC, 167.0, 10, 16.7, 1.5, 1.3351623732114546e-05, 9.126558918126465e-07ZIP, 674.0, 10, 67.4, 7.9, 9.288199079449311e-06, 8.895095033039305e-06
trial0000035ZIC, 197.0, 10, 19.7, 1.6, 1.3529847724853465e-05, 9.600715750587365e-07ZIP, 622.0, 10, 62.2, 6.2, 9.507008640470394e-06, 8.784413062558964e-06
trial0000036ZIC, 256.0, 10, 25.6, 2.5, 1.302902414507253e-05, 9.207458283620155e-07ZIP, 550.0, 10, 55.0, 6.3, 9.564352728693447e-06, 8.906102647968366e-06
trial0000037ZIC, 362.0, 10, 36.2, 2.3, 1.28023090164907e-05, 9.971782431832794e-07ZIP, 485.0, 10, 48.5, 5.5, 9.18042437469426e-06, 8.759375375220338e-06
trial0000038ZIC, 239.0, 10, 23.9, 2.1, 1.3394615086513085e-05, 9.540273325423227e-07ZIP, 602.0, 10, 60.2, 7.7, 9.544758931824263e-06, 1.0019321087273357e-05
