36.44356727600098, 143
36.511802673339844, 89
36.6551399230957, 85
36.79618835449219, 82
42.786455154418945, 101
47.8179931640625, 110
58.766984939575195, 86
73.24304580688477, 125
74.88269805908203, 121
75.56591033935547, 110
76.88126564025879, 92
78.68614196777344, 90
79.74400520324707, 87
93.75371932983398, 95
113.7059211730957, 128
115.68589210510254, 110
118.87936592102051, 109
120.44706344604492, 106
126.64217948913574, 102
131.92763328552246, 103
138.24634552001953, 100
153.22651863098145, 116
158.21142196655273, 104
159.66825485229492, 115
183.9822292327881, 112
190.4630184173584, 89
193.888521194458, 102
193.98736953735352, 97
196.75540924072266, 98
203.47237586975098, 96
212.97154426574707, 99
230.77740669250488, 94
233.04476737976074, 93
233.17866325378418, 98
233.26706886291504, 93
234.22765731811523, 92
265.18664360046387, 103
271.7223644256592, 120
273.6979007720947, 121
278.94344329833984, 122
283.41121673583984, 120
309.86223220825195, 103
310.71295738220215, 102
311.84234619140625, 102
311.9304656982422, 101
316.1531925201416, 114
329.7457695007324, 117
346.62251472473145, 123
350.21023750305176, 116
350.6898880004883, 118
350.8545398712158, 115
357.23962783813477, 114
360.50305366516113, 114
369.5767879486084, 110
375.0387668609619, 121
384.7665309906006, 122
385.4179859161377, 122
388.21864128112793, 124
388.3279323577881, 126
388.939905166626, 123
411.09280586242676, 124
422.83315658569336, 108
423.3135223388672, 117
424.1623878479004, 111
427.14829444885254, 118
427.2202491760254, 110
429.96740341186523, 105
442.972469329834, 120
446.4510440826416, 120
451.05013847351074, 122
457.6347827911377, 116
460.9060764312744, 108
462.7401351928711, 123
463.57226371765137, 124
465.81387519836426, 122
467.3638343811035, 118
472.15991020202637, 118
473.6055850982666, 125
476.51896476745605, 118
478.30824851989746, 114
492.93951988220215, 112
496.2697505950928, 125
504.48503494262695, 133
504.62307929992676, 139
507.90953636169434, 154
539.5580291748047, 128
539.6441459655762, 110
542.3036098480225, 120
542.4548149108887, 108
551.2928009033203, 112
555.2212715148926, 112
566.73903465271, 112
580.4833889007568, 93
582.0990085601807, 98
582.4304580688477, 108
584.725284576416, 78
588.1057262420654, 116
