trial0043877, GDX, 102, 6, 17.000000, ZIP, 428, 26, 16.461538, 
trial0043878, GDX, 92, 6, 15.333333, ZIP, 357, 26, 13.730769, 
trial0043879, GDX, 57, 6, 9.500000, ZIP, 399, 26, 15.346154, 
trial0043880, GDX, 77, 6, 12.833333, ZIP, 474, 26, 18.230769, 
trial0043881, GDX, 123, 6, 20.500000, ZIP, 235, 26, 9.038462, 
trial0043882, GDX, 12, 6, 2.000000, ZIP, 473, 26, 18.192308, 
trial0043883, GDX, 115, 6, 19.166667, ZIP, 315, 26, 12.115385, 
trial0043884, GDX, 117, 6, 19.500000, ZIP, 358, 26, 13.769231, 
trial0043885, GDX, 5, 6, 0.833333, ZIP, 304, 26, 11.692308, 
trial0043886, GDX, 110, 6, 18.333333, ZIP, 276, 26, 10.615385, 
trial0043887, GDX, 22, 6, 3.666667, ZIP, 395, 26, 15.192308, 
trial0043888, GDX, 84, 6, 14.000000, ZIP, 495, 26, 19.038462, 
trial0043889, GDX, 81, 6, 13.500000, ZIP, 414, 26, 15.923077, 
trial0043890, GDX, 38, 6, 6.333333, ZIP, 202, 26, 7.769231, 
trial0043891, GDX, 370, 6, 61.666667, ZIP, 737, 26, 28.346154, 
trial0043892, GDX, 410, 6, 68.333333, ZIP, 760, 26, 29.230769, 
trial0043893, GDX, 326, 6, 54.333333, ZIP, 819, 26, 31.500000, 
trial0043894, GDX, 223, 6, 37.166667, ZIP, 1053, 26, 40.500000, 
trial0043895, GDX, 514, 6, 85.666667, ZIP, 676, 26, 26.000000, 
trial0043896, GDX, 346, 6, 57.666667, ZIP, 1167, 26, 44.884615, 
trial0043897, GDX, 108, 6, 18.000000, ZIP, 1250, 26, 48.076923, 
trial0043898, GDX, 134, 6, 22.333333, ZIP, 953, 26, 36.653846, 
trial0043899, GDX, 222, 6, 37.000000, ZIP, 986, 26, 37.923077, 
trial0043900, GDX, 48, 6, 8.000000, ZIP, 1254, 26, 48.230769, 
trial0043901, GDX, 110, 6, 18.333333, ZIP, 1156, 26, 44.461538, 
trial0043902, GDX, 83, 6, 13.833333, ZIP, 867, 26, 33.346154, 
trial0043903, GDX, 371, 6, 61.833333, ZIP, 975, 26, 37.500000, 
trial0043904, GDX, 129, 6, 21.500000, ZIP, 1208, 26, 46.461538, 
trial0043905, GDX, 180, 6, 30.000000, ZIP, 816, 26, 31.384615, 
trial0043906, GDX, 39, 6, 6.500000, ZIP, 1377, 26, 52.961538, 
trial0043907, GDX, 356, 6, 59.333333, ZIP, 1074, 26, 41.307692, 
trial0043908, GDX, 42, 6, 7.000000, ZIP, 920, 26, 35.384615, 
trial0043909, GDX, 254, 6, 42.333333, ZIP, 1210, 26, 46.538462, 
trial0043910, GDX, 299, 6, 49.833333, ZIP, 1317, 26, 50.653846, 
trial0043911, GDX, 366, 6, 61.000000, ZIP, 921, 26, 35.423077, 
trial0043912, GDX, 339, 6, 56.500000, ZIP, 893, 26, 34.346154, 
trial0043913, GDX, 189, 6, 31.500000, ZIP, 1350, 26, 51.923077, 
trial0043914, GDX, 143, 6, 23.833333, ZIP, 1026, 26, 39.461538, 
trial0043915, GDX, 266, 6, 44.333333, ZIP, 840, 26, 32.307692, 
trial0043916, GDX, 83, 6, 13.833333, ZIP, 859, 26, 33.038462, 
trial0043917, GDX, 383, 6, 63.833333, ZIP, 1040, 26, 40.000000, 
trial0043918, GDX, 173, 6, 28.833333, ZIP, 1286, 26, 49.461538, 
trial0043919, GDX, 206, 6, 34.333333, ZIP, 1206, 26, 46.384615, 
trial0043920, GDX, 143, 6, 23.833333, ZIP, 1110, 26, 42.692308, 
trial0043921, GDX, 77, 6, 12.833333, ZIP, 607, 26, 23.346154, 
trial0043922, GDX, 99, 6, 16.500000, ZIP, 745, 26, 28.653846, 
trial0043923, GDX, 0, 6, 0.000000, ZIP, 897, 26, 34.500000, 
trial0043924, GDX, 178, 6, 29.666667, ZIP, 598, 26, 23.000000, 
trial0043925, GDX, 169, 6, 28.166667, ZIP, 605, 26, 23.269231, 
trial0043926, GDX, 169, 6, 28.166667, ZIP, 574, 26, 22.076923, 
trial0043927, GDX, 245, 6, 40.833333, ZIP, 482, 26, 18.538462, 
trial0043928, GDX, 115, 6, 19.166667, ZIP, 788, 26, 30.307692, 
trial0043929, GDX, 182, 6, 30.333333, ZIP, 636, 26, 24.461538, 
trial0043930, GDX, 75, 6, 12.500000, ZIP, 610, 26, 23.461538, 
trial0043931, GDX, 87, 6, 14.500000, ZIP, 805, 26, 30.961538, 
trial0043932, GDX, 90, 6, 15.000000, ZIP, 510, 26, 19.615385, 
trial0043933, GDX, 65, 6, 10.833333, ZIP, 479, 26, 18.423077, 
trial0043934, GDX, 144, 6, 24.000000, ZIP, 875, 26, 33.653846, 
trial0043935, GDX, 167, 6, 27.833333, ZIP, 840, 26, 32.307692, 
trial0043936, GDX, 225, 6, 37.500000, ZIP, 593, 26, 22.807692, 
trial0043937, GDX, 63, 6, 10.500000, ZIP, 802, 26, 30.846154, 
trial0043938, GDX, 85, 6, 14.166667, ZIP, 515, 26, 19.807692, 
trial0043939, GDX, 88, 6, 14.666667, ZIP, 879, 26, 33.807692, 
trial0043940, GDX, 301, 6, 50.166667, ZIP, 676, 26, 26.000000, 
trial0043941, GDX, 104, 6, 17.333333, ZIP, 804, 26, 30.923077, 
trial0043942, GDX, 0, 6, 0.000000, ZIP, 487, 26, 18.730769, 
trial0043943, GDX, 81, 6, 13.500000, ZIP, 670, 26, 25.769231, 
trial0043944, GDX, 101, 6, 16.833333, ZIP, 722, 26, 27.769231, 
trial0043945, GDX, 269, 6, 44.833333, ZIP, 512, 26, 19.692308, 
trial0043946, GDX, 171, 6, 28.500000, ZIP, 872, 26, 33.538462, 
trial0043947, GDX, 86, 6, 14.333333, ZIP, 863, 26, 33.192308, 
trial0043948, GDX, 73, 6, 12.166667, ZIP, 597, 26, 22.961538, 
trial0043949, GDX, 16, 6, 2.666667, ZIP, 883, 26, 33.961538, 
trial0043950, GDX, 129, 6, 21.500000, ZIP, 721, 26, 27.730769, 
trial0043951, GDX, 80, 6, 13.333333, ZIP, 498, 26, 19.153846, 
trial0043952, GDX, 29, 6, 4.833333, ZIP, 327, 26, 12.576923, 
trial0043953, GDX, 104, 6, 17.333333, ZIP, 459, 26, 17.653846, 
trial0043954, GDX, 142, 6, 23.666667, ZIP, 96, 26, 3.692308, 
trial0043955, GDX, 20, 6, 3.333333, ZIP, 343, 26, 13.192308, 
trial0043956, GDX, 39, 6, 6.500000, ZIP, 130, 26, 5.000000, 
trial0043957, GDX, 6, 6, 1.000000, ZIP, 0, 26, 0.000000, 
trial0043958, GDX, 31, 6, 5.166667, ZIP, 53, 26, 2.038462, 
trial0043959, GDX, 3, 6, 0.500000, ZIP, 634, 26, 24.384615, 
trial0043960, GDX, 28, 6, 4.666667, ZIP, 512, 26, 19.692308, 
trial0043961, GDX, 28, 6, 4.666667, ZIP, 91, 26, 3.500000, 
trial0043962, GDX, 100, 6, 16.666667, ZIP, 206, 26, 7.923077, 
trial0043963, GDX, 106, 6, 17.666667, ZIP, 195, 26, 7.500000, 
trial0043964, GDX, 47, 6, 7.833333, ZIP, 158, 26, 6.076923, 
trial0043965, GDX, 30, 6, 5.000000, ZIP, 120, 26, 4.615385, 
trial0043966, GDX, 11, 6, 1.833333, ZIP, 50, 26, 1.923077, 
trial0043967, GDX, 89, 6, 14.833333, ZIP, 269, 26, 10.346154, 
trial0043968, GDX, 9, 6, 1.500000, ZIP, 279, 26, 10.730769, 
trial0043969, GDX, 70, 6, 11.666667, ZIP, 45, 26, 1.730769, 
trial0043970, GDX, 51, 6, 8.500000, ZIP, 51, 26, 1.961538, 
trial0043971, GDX, 49, 6, 8.166667, ZIP, 152, 26, 5.846154, 
trial0043972, GDX, 33, 6, 5.500000, ZIP, 38, 26, 1.461538, 
trial0043973, GDX, 16, 6, 2.666667, ZIP, 21, 26, 0.807692, 
trial0043974, GDX, 19, 6, 3.166667, ZIP, 702, 26, 27.000000, 
