AA- Wins: 0 Total: 0, GDX- Wins: 154 Total: 20952, ZIC- Wins: 0 Total: 0, ZIP- Wins: 346, Total: 25780
AA- Wins: 0 Total: 0, GDX- Wins: 85 Total: 16477, ZIC- Wins: 0 Total: 0, ZIP- Wins: 415, Total: 26832
AA- Wins: 0 Total: 0, GDX- Wins: 177 Total: 23916, ZIC- Wins: 0 Total: 0, ZIP- Wins: 323, Total: 27532
AA- Wins: 0 Total: 0, GDX- Wins: 189 Total: 14626, ZIC- Wins: 0 Total: 0, ZIP- Wins: 311, Total: 16541
AA- Wins: 0 Total: 0, GDX- Wins: 181 Total: 17873, ZIC- Wins: 0 Total: 0, ZIP- Wins: 319, Total: 21009
AA- Wins: 0 Total: 0, GDX- Wins: 187 Total: 28549, ZIC- Wins: 0 Total: 0, ZIP- Wins: 313, Total: 32250
AA- Wins: 0 Total: 0, GDX- Wins: 175 Total: 22756, ZIC- Wins: 0 Total: 0, ZIP- Wins: 325, Total: 27801
AA- Wins: 0 Total: 0, GDX- Wins: 223 Total: 20738, ZIC- Wins: 0 Total: 0, ZIP- Wins: 277, Total: 21623
AA- Wins: 0 Total: 0, GDX- Wins: 217 Total: 30338, ZIC- Wins: 0 Total: 0, ZIP- Wins: 283, Total: 31173
AA- Wins: 0 Total: 0, GDX- Wins: 221 Total: 42535, ZIC- Wins: 0 Total: 0, ZIP- Wins: 279, Total: 44606
AA- Wins: 0 Total: 0, GDX- Wins: 258 Total: 43266, ZIC- Wins: 0 Total: 0, ZIP- Wins: 242, Total: 37157
AA- Wins: 0 Total: 0, GDX- Wins: 200 Total: 42866, ZIC- Wins: 0 Total: 0, ZIP- Wins: 300, Total: 39981
AA- Wins: 292 Total: 98266, GDX- Wins: 0 Total: 0, ZIC- Wins: 208 Total: 76603, ZIP- Wins: 0, Total: 0
AA- Wins: 311 Total: 94392, GDX- Wins: 0 Total: 0, ZIC- Wins: 189 Total: 76035, ZIP- Wins: 0, Total: 0
AA- Wins: 389 Total: 93333, GDX- Wins: 0 Total: 0, ZIC- Wins: 111 Total: 63987, ZIP- Wins: 0, Total: 0
AA- Wins: 376 Total: 154703, GDX- Wins: 0 Total: 0, ZIC- Wins: 124 Total: 117497, ZIP- Wins: 0, Total: 0
AA- Wins: 328 Total: 152041, GDX- Wins: 0 Total: 0, ZIC- Wins: 172 Total: 127589, ZIP- Wins: 0, Total: 0
AA- Wins: 378 Total: 102101, GDX- Wins: 0 Total: 0, ZIC- Wins: 122 Total: 73547, ZIP- Wins: 0, Total: 0
AA- Wins: 380 Total: 99469, GDX- Wins: 0 Total: 0, ZIC- Wins: 120 Total: 81570, ZIP- Wins: 0, Total: 0
AA- Wins: 389 Total: 98254, GDX- Wins: 0 Total: 0, ZIC- Wins: 111 Total: 70855, ZIP- Wins: 0, Total: 0
AA- Wins: 421 Total: 76857, GDX- Wins: 0 Total: 0, ZIC- Wins: 79 Total: 50584, ZIP- Wins: 0, Total: 0
AA- Wins: 399 Total: 134999, GDX- Wins: 0 Total: 0, ZIC- Wins: 101 Total: 100944, ZIP- Wins: 0, Total: 0
AA- Wins: 378 Total: 159431, GDX- Wins: 0 Total: 0, ZIC- Wins: 122 Total: 121604, ZIP- Wins: 0, Total: 0
AA- Wins: 406 Total: 77915, GDX- Wins: 0 Total: 0, ZIC- Wins: 94 Total: 52343, ZIP- Wins: 0, Total: 0
AA- Wins: 368 Total: 118848, GDX- Wins: 0 Total: 0, ZIC- Wins: 132 Total: 86362, ZIP- Wins: 0, Total: 0
AA- Wins: 394 Total: 98425, GDX- Wins: 0 Total: 0, ZIC- Wins: 106 Total: 67241, ZIP- Wins: 0, Total: 0
AA- Wins: 388 Total: 93732, GDX- Wins: 0 Total: 0, ZIC- Wins: 112 Total: 71198, ZIP- Wins: 0, Total: 0
AA- Wins: 335 Total: 164890, GDX- Wins: 0 Total: 0, ZIC- Wins: 165 Total: 131019, ZIP- Wins: 0, Total: 0
AA- Wins: 390 Total: 101412, GDX- Wins: 0 Total: 0, ZIC- Wins: 110 Total: 70542, ZIP- Wins: 0, Total: 0
AA- Wins: 390 Total: 61728, GDX- Wins: 0 Total: 0, ZIC- Wins: 110 Total: 25341, ZIP- Wins: 0, Total: 0
AA- Wins: 354 Total: 50870, GDX- Wins: 0 Total: 0, ZIC- Wins: 146 Total: 18446, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 126 Total: 7590, ZIC- Wins: 374 Total: 28701, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 169 Total: 9626, ZIC- Wins: 331 Total: 19696, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 103 Total: 9761, ZIC- Wins: 397 Total: 24221, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 150 Total: 8392, ZIC- Wins: 350 Total: 16950, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 124 Total: 8822, ZIC- Wins: 376 Total: 14619, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 105 Total: 7889, ZIC- Wins: 395 Total: 18373, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 160 Total: 4695, ZIC- Wins: 340 Total: 8081, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 133 Total: 15126, ZIC- Wins: 367 Total: 22189, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 190 Total: 10543, ZIC- Wins: 310 Total: 14887, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 215 Total: 10329, ZIC- Wins: 285 Total: 11461, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 243 Total: 7814, ZIC- Wins: 257 Total: 8298, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 315 Total: 17927, ZIC- Wins: 185 Total: 14843, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 307 Total: 21334, ZIC- Wins: 193 Total: 16936, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 374 Total: 22363, ZIC- Wins: 126 Total: 15887, ZIP- Wins: 0, Total: 0
AA- Wins: 0 Total: 0, GDX- Wins: 409 Total: 29893, ZIC- Wins: 91 Total: 17386, ZIP- Wins: 0, Total: 0
