trial0019801, AA, 1910, 10, 191.000000, GDX, 126, 2, 63.000000, ZIC, 0, 2, 0.000000, ZIP, 1241, 18, 68.944444, 
trial0019802, AA, 2262, 10, 226.200000, GDX, 26, 2, 13.000000, ZIC, 0, 2, 0.000000, ZIP, 1486, 18, 82.555556, 
trial0019803, AA, 1219, 10, 121.900000, GDX, 50, 2, 25.000000, ZIC, 18, 2, 9.000000, ZIP, 2560, 18, 142.222222, 
trial0019804, AA, 1421, 10, 142.100000, GDX, 43, 2, 21.500000, ZIC, 224, 2, 112.000000, ZIP, 2290, 18, 127.222222, 
trial0019805, AA, 1887, 10, 188.700000, GDX, 365, 2, 182.500000, ZIC, 207, 2, 103.500000, ZIP, 1397, 18, 77.611111, 
trial0019806, AA, 1485, 10, 148.500000, GDX, 0, 2, 0.000000, ZIC, 410, 2, 205.000000, ZIP, 1359, 18, 75.500000, 
trial0019807, AA, 1005, 10, 100.500000, GDX, 274, 2, 137.000000, ZIC, 83, 2, 41.500000, ZIP, 2052, 18, 114.000000, 
trial0019808, AA, 1616, 10, 161.600000, GDX, 47, 2, 23.500000, ZIC, 0, 2, 0.000000, ZIP, 2017, 18, 112.055556, 
trial0019809, AA, 1371, 10, 137.100000, GDX, 0, 2, 0.000000, ZIC, 203, 2, 101.500000, ZIP, 1951, 18, 108.388889, 
trial0019810, AA, 1178, 10, 117.800000, GDX, 621, 2, 310.500000, ZIC, 252, 2, 126.000000, ZIP, 1548, 18, 86.000000, 
trial0019811, AA, 874, 10, 87.400000, GDX, 332, 2, 166.000000, ZIC, 237, 2, 118.500000, ZIP, 2442, 18, 135.666667, 
trial0019812, AA, 869, 10, 86.900000, GDX, 557, 2, 278.500000, ZIC, 506, 2, 253.000000, ZIP, 2640, 18, 146.666667, 
trial0019813, AA, 1659, 10, 165.900000, GDX, 0, 2, 0.000000, ZIC, 426, 2, 213.000000, ZIP, 1871, 18, 103.944444, 
trial0019814, AA, 1386, 10, 138.600000, GDX, 208, 2, 104.000000, ZIC, 96, 2, 48.000000, ZIP, 2016, 18, 112.000000, 
trial0019815, AA, 998, 10, 99.800000, GDX, 350, 2, 175.000000, ZIC, 281, 2, 140.500000, ZIP, 2078, 18, 115.444444, 
trial0019816, AA, 1914, 10, 191.400000, GDX, 0, 2, 0.000000, ZIC, 412, 2, 206.000000, ZIP, 1617, 18, 89.833333, 
trial0019817, AA, 1602, 10, 160.200000, GDX, 225, 2, 112.500000, ZIC, 333, 2, 166.500000, ZIP, 1749, 18, 97.166667, 
trial0019818, AA, 1314, 10, 131.400000, GDX, 328, 2, 164.000000, ZIC, 82, 2, 41.000000, ZIP, 2038, 18, 113.222222, 
trial0019819, AA, 923, 10, 92.300000, GDX, 375, 2, 187.500000, ZIC, 208, 2, 104.000000, ZIP, 2053, 18, 114.055556, 
trial0019820, AA, 1244, 10, 124.400000, GDX, 207, 2, 103.500000, ZIC, 6, 2, 3.000000, ZIP, 2167, 18, 120.388889, 
trial0019821, AA, 1512, 10, 151.200000, GDX, 21, 2, 10.500000, ZIC, 32, 2, 16.000000, ZIP, 2131, 18, 118.388889, 
trial0019822, AA, 742, 10, 74.200000, GDX, 360, 2, 180.000000, ZIC, 387, 2, 193.500000, ZIP, 2037, 18, 113.166667, 
trial0019823, AA, 1099, 10, 109.900000, GDX, 571, 2, 285.500000, ZIC, 0, 2, 0.000000, ZIP, 2042, 18, 113.444444, 
trial0019824, AA, 726, 10, 72.600000, GDX, 77, 2, 38.500000, ZIC, 640, 2, 320.000000, ZIP, 1987, 18, 110.388889, 
trial0019825, AA, 1279, 10, 127.900000, GDX, 238, 2, 119.000000, ZIC, 132, 2, 66.000000, ZIP, 1919, 18, 106.611111, 
trial0019826, AA, 682, 10, 68.200000, GDX, 411, 2, 205.500000, ZIC, 417, 2, 208.500000, ZIP, 2122, 18, 117.888889, 
trial0019827, AA, 978, 10, 97.800000, GDX, 246, 2, 123.000000, ZIC, 147, 2, 73.500000, ZIP, 2177, 18, 120.944444, 
trial0019828, AA, 1510, 10, 151.000000, GDX, 323, 2, 161.500000, ZIC, 0, 2, 0.000000, ZIP, 1754, 18, 97.444444, 
trial0019829, AA, 208, 10, 20.800000, GDX, 406, 2, 203.000000, ZIC, 480, 2, 240.000000, ZIP, 2530, 18, 140.555556, 
trial0019830, AA, 1738, 10, 173.800000, GDX, 23, 2, 11.500000, ZIC, 347, 2, 173.500000, ZIP, 1804, 18, 100.222222, 
trial0019831, AA, 1002, 10, 100.200000, GDX, 276, 2, 138.000000, ZIC, 208, 2, 104.000000, ZIP, 1616, 18, 89.777778, 
trial0019832, AA, 1371, 10, 137.100000, GDX, 0, 2, 0.000000, ZIC, 78, 2, 39.000000, ZIP, 2293, 18, 127.388889, 
