trial0012001, ZIC, 1512, 22, 68.727273, ZIP, 1682, 10, 168.200000, 
trial0012002, ZIC, 2117, 22, 96.227273, ZIP, 1457, 10, 145.700000, 
trial0012003, ZIC, 2305, 22, 104.772727, ZIP, 893, 10, 89.300000, 
trial0012004, ZIC, 1890, 22, 85.909091, ZIP, 1313, 10, 131.300000, 
trial0012005, ZIC, 2511, 22, 114.136364, ZIP, 828, 10, 82.800000, 
trial0012006, ZIC, 1854, 22, 84.272727, ZIP, 1381, 10, 138.100000, 
trial0012007, ZIC, 1959, 22, 89.045455, ZIP, 1286, 10, 128.600000, 
trial0012008, ZIC, 1617, 22, 73.500000, ZIP, 1358, 10, 135.800000, 
trial0012009, ZIC, 1689, 22, 76.772727, ZIP, 1525, 10, 152.500000, 
trial0012010, ZIC, 2203, 22, 100.136364, ZIP, 1253, 10, 125.300000, 
trial0012011, ZIC, 2259, 22, 102.681818, ZIP, 1320, 10, 132.000000, 
trial0012012, ZIC, 2218, 22, 100.818182, ZIP, 915, 10, 91.500000, 
trial0012013, ZIC, 2691, 22, 122.318182, ZIP, 692, 10, 69.200000, 
trial0012014, ZIC, 1694, 22, 77.000000, ZIP, 1374, 10, 137.400000, 
trial0012015, ZIC, 2771, 22, 125.954545, ZIP, 642, 10, 64.200000, 
trial0012016, ZIC, 2301, 22, 104.590909, ZIP, 1093, 10, 109.300000, 
trial0012017, ZIC, 1552, 22, 70.545455, ZIP, 1516, 10, 151.600000, 
trial0012018, ZIC, 1997, 22, 90.772727, ZIP, 1109, 10, 110.900000, 
trial0012019, ZIC, 2184, 22, 99.272727, ZIP, 1310, 10, 131.000000, 
trial0012020, ZIC, 2274, 22, 103.363636, ZIP, 791, 10, 79.100000, 
trial0012021, ZIC, 2207, 22, 100.318182, ZIP, 1095, 10, 109.500000, 
trial0012022, ZIC, 2587, 22, 117.590909, ZIP, 882, 10, 88.200000, 
trial0012023, ZIC, 1933, 22, 87.863636, ZIP, 1105, 10, 110.500000, 
trial0012024, ZIC, 1510, 22, 68.636364, ZIP, 1338, 10, 133.800000, 
trial0012025, ZIC, 1788, 22, 81.272727, ZIP, 1372, 10, 137.200000, 
trial0012026, ZIC, 2022, 22, 91.909091, ZIP, 1038, 10, 103.800000, 
trial0012027, ZIC, 1496, 22, 68.000000, ZIP, 1646, 10, 164.600000, 
trial0012028, ZIC, 1565, 22, 71.136364, ZIP, 1634, 10, 163.400000, 
trial0012029, ZIC, 1994, 22, 90.636364, ZIP, 1721, 10, 172.100000, 
trial0012030, ZIC, 2399, 22, 109.045455, ZIP, 1385, 10, 138.500000, 
trial0012031, ZIC, 716, 22, 32.545455, ZIP, 816, 10, 81.600000, 
trial0012032, ZIC, 770, 22, 35.000000, ZIP, 685, 10, 68.500000, 
trial0012033, ZIC, 633, 22, 28.772727, ZIP, 644, 10, 64.400000, 
trial0012034, ZIC, 1114, 22, 50.636364, ZIP, 312, 10, 31.200000, 
trial0012035, ZIC, 867, 22, 39.409091, ZIP, 661, 10, 66.100000, 
trial0012036, ZIC, 809, 22, 36.772727, ZIP, 710, 10, 71.000000, 
trial0012037, ZIC, 729, 22, 33.136364, ZIP, 790, 10, 79.000000, 
trial0012038, ZIC, 1034, 22, 47.000000, ZIP, 594, 10, 59.400000, 
trial0012039, ZIC, 679, 22, 30.863636, ZIP, 1295, 10, 129.500000, 
trial0012040, ZIC, 1286, 22, 58.454545, ZIP, 242, 10, 24.200000, 
trial0012041, ZIC, 921, 22, 41.863636, ZIP, 628, 10, 62.800000, 
trial0012042, ZIC, 1024, 22, 46.545455, ZIP, 683, 10, 68.300000, 
trial0012043, ZIC, 842, 22, 38.272727, ZIP, 1010, 10, 101.000000, 
trial0012044, ZIC, 637, 22, 28.954545, ZIP, 935, 10, 93.500000, 
trial0012045, ZIC, 440, 22, 20.000000, ZIP, 1194, 10, 119.400000, 
trial0012046, ZIC, 933, 22, 42.409091, ZIP, 1074, 10, 107.400000, 
trial0012047, ZIC, 861, 22, 39.136364, ZIP, 794, 10, 79.400000, 
trial0012048, ZIC, 771, 22, 35.045455, ZIP, 788, 10, 78.800000, 
trial0012049, ZIC, 711, 22, 32.318182, ZIP, 760, 10, 76.000000, 
trial0012050, ZIC, 929, 22, 42.227273, ZIP, 614, 10, 61.400000, 
trial0012051, ZIC, 739, 22, 33.590909, ZIP, 1070, 10, 107.000000, 
trial0012052, ZIC, 725, 22, 32.954545, ZIP, 625, 10, 62.500000, 
trial0012053, ZIC, 1349, 22, 61.318182, ZIP, 955, 10, 95.500000, 
trial0012054, ZIC, 1250, 22, 56.818182, ZIP, 835, 10, 83.500000, 
trial0012055, ZIC, 1405, 22, 63.863636, ZIP, 518, 10, 51.800000, 
