trial0036001, AA, 252, 14, 18.000000, GDX, 79, 2, 39.500000, ZIC, 320, 8, 40.000000, ZIP, 446, 8, 55.750000, 
trial0036002, AA, 196, 14, 14.000000, GDX, 187, 2, 93.500000, ZIC, 250, 8, 31.250000, ZIP, 520, 8, 65.000000, 
trial0036003, AA, 677, 14, 48.357143, GDX, 0, 2, 0.000000, ZIC, 327, 8, 40.875000, ZIP, 148, 8, 18.500000, 
trial0036004, AA, 356, 14, 25.428571, GDX, 59, 2, 29.500000, ZIC, 301, 8, 37.625000, ZIP, 411, 8, 51.375000, 
trial0036005, AA, 467, 14, 33.357143, GDX, 0, 2, 0.000000, ZIC, 206, 8, 25.750000, ZIP, 457, 8, 57.125000, 
trial0036006, AA, 499, 14, 35.642857, GDX, 106, 2, 53.000000, ZIC, 300, 8, 37.500000, ZIP, 241, 8, 30.125000, 
trial0036007, AA, 753, 14, 53.785714, GDX, 10, 2, 5.000000, ZIC, 62, 8, 7.750000, ZIP, 294, 8, 36.750000, 
trial0036008, AA, 338, 14, 24.142857, GDX, 68, 2, 34.000000, ZIC, 381, 8, 47.625000, ZIP, 329, 8, 41.125000, 
trial0036009, AA, 655, 14, 46.785714, GDX, 17, 2, 8.500000, ZIC, 294, 8, 36.750000, ZIP, 156, 8, 19.500000, 
trial0036010, AA, 545, 14, 38.928571, GDX, 67, 2, 33.500000, ZIC, 251, 8, 31.375000, ZIP, 319, 8, 39.875000, 
trial0036011, AA, 499, 14, 35.642857, GDX, 73, 2, 36.500000, ZIC, 93, 8, 11.625000, ZIP, 441, 8, 55.125000, 
trial0036012, AA, 523, 14, 37.357143, GDX, 0, 2, 0.000000, ZIC, 157, 8, 19.625000, ZIP, 423, 8, 52.875000, 
trial0036013, AA, 366, 14, 26.142857, GDX, 254, 2, 127.000000, ZIC, 257, 8, 32.125000, ZIP, 226, 8, 28.250000, 
trial0036014, AA, 567, 14, 40.500000, GDX, 0, 2, 0.000000, ZIC, 254, 8, 31.750000, ZIP, 291, 8, 36.375000, 
trial0036015, AA, 534, 14, 38.142857, GDX, 54, 2, 27.000000, ZIC, 302, 8, 37.750000, ZIP, 227, 8, 28.375000, 
trial0036016, AA, 434, 14, 31.000000, GDX, 135, 2, 67.500000, ZIC, 264, 8, 33.000000, ZIP, 306, 8, 38.250000, 
trial0036017, AA, 357, 14, 25.500000, GDX, 0, 2, 0.000000, ZIC, 240, 8, 30.000000, ZIP, 461, 8, 57.625000, 
trial0036018, AA, 388, 14, 27.714286, GDX, 47, 2, 23.500000, ZIC, 271, 8, 33.875000, ZIP, 510, 8, 63.750000, 
trial0036019, AA, 346, 14, 24.714286, GDX, 13, 2, 6.500000, ZIC, 334, 8, 41.750000, ZIP, 444, 8, 55.500000, 
trial0036020, AA, 556, 14, 39.714286, GDX, 0, 2, 0.000000, ZIC, 307, 8, 38.375000, ZIP, 339, 8, 42.375000, 
trial0036021, AA, 351, 14, 25.071429, GDX, 25, 2, 12.500000, ZIC, 192, 8, 24.000000, ZIP, 430, 8, 53.750000, 
trial0036022, AA, 363, 14, 25.928571, GDX, 77, 2, 38.500000, ZIC, 316, 8, 39.500000, ZIP, 282, 8, 35.250000, 
trial0036023, AA, 640, 14, 45.714286, GDX, 106, 2, 53.000000, ZIC, 121, 8, 15.125000, ZIP, 251, 8, 31.375000, 
trial0036024, AA, 396, 14, 28.285714, GDX, 89, 2, 44.500000, ZIC, 290, 8, 36.250000, ZIP, 199, 8, 24.875000, 
trial0036025, AA, 604, 14, 43.142857, GDX, 14, 2, 7.000000, ZIC, 307, 8, 38.375000, ZIP, 247, 8, 30.875000, 
trial0036026, AA, 386, 14, 27.571429, GDX, 103, 2, 51.500000, ZIC, 114, 8, 14.250000, ZIP, 473, 8, 59.125000, 
trial0036027, AA, 764, 14, 54.571429, GDX, 0, 2, 0.000000, ZIC, 150, 8, 18.750000, ZIP, 287, 8, 35.875000, 
trial0036028, AA, 356, 14, 25.428571, GDX, 30, 2, 15.000000, ZIC, 199, 8, 24.875000, ZIP, 420, 8, 52.500000, 
trial0036029, AA, 447, 14, 31.928571, GDX, 2, 2, 1.000000, ZIC, 122, 8, 15.250000, ZIP, 473, 8, 59.125000, 
trial0036030, AA, 400, 14, 28.571429, GDX, 41, 2, 20.500000, ZIC, 295, 8, 36.875000, ZIP, 323, 8, 40.375000, 
trial0036031, AA, 1022, 14, 73.000000, GDX, 74, 2, 37.000000, ZIC, 372, 8, 46.500000, ZIP, 348, 8, 43.500000, 
trial0036032, AA, 846, 14, 60.428571, GDX, 0, 2, 0.000000, ZIC, 526, 8, 65.750000, ZIP, 539, 8, 67.375000, 
trial0036033, AA, 791, 14, 56.500000, GDX, 164, 2, 82.000000, ZIC, 690, 8, 86.250000, ZIP, 181, 8, 22.625000, 
