trial0033001, AA, 717, 16, 44.812500, GDX, 14, 2, 7.000000, ZIC, 409, 8, 51.125000, ZIP, 155, 6, 25.833333, 
trial0033002, AA, 462, 16, 28.875000, GDX, 0, 2, 0.000000, ZIC, 484, 8, 60.500000, ZIP, 345, 6, 57.500000, 
trial0033003, AA, 511, 16, 31.937500, GDX, 150, 2, 75.000000, ZIC, 217, 8, 27.125000, ZIP, 343, 6, 57.166667, 
trial0033004, AA, 866, 16, 54.125000, GDX, 0, 2, 0.000000, ZIC, 233, 8, 29.125000, ZIP, 205, 6, 34.166667, 
trial0033005, AA, 715, 16, 44.687500, GDX, 97, 2, 48.500000, ZIC, 305, 8, 38.125000, ZIP, 75, 6, 12.500000, 
trial0033006, AA, 559, 16, 34.937500, GDX, 149, 2, 74.500000, ZIC, 386, 8, 48.250000, ZIP, 202, 6, 33.666667, 
trial0033007, AA, 750, 16, 46.875000, GDX, 141, 2, 70.500000, ZIC, 256, 8, 32.000000, ZIP, 221, 6, 36.833333, 
trial0033008, AA, 578, 16, 36.125000, GDX, 43, 2, 21.500000, ZIC, 325, 8, 40.625000, ZIP, 307, 6, 51.166667, 
trial0033009, AA, 629, 16, 39.312500, GDX, 34, 2, 17.000000, ZIC, 447, 8, 55.875000, ZIP, 264, 6, 44.000000, 
trial0033010, AA, 576, 16, 36.000000, GDX, 14, 2, 7.000000, ZIC, 243, 8, 30.375000, ZIP, 365, 6, 60.833333, 
trial0033011, AA, 700, 16, 43.750000, GDX, 96, 2, 48.000000, ZIC, 352, 8, 44.000000, ZIP, 180, 6, 30.000000, 
trial0033012, AA, 667, 16, 41.687500, GDX, 154, 2, 77.000000, ZIC, 186, 8, 23.250000, ZIP, 368, 6, 61.333333, 
trial0033013, AA, 683, 16, 42.687500, GDX, 155, 2, 77.500000, ZIC, 227, 8, 28.375000, ZIP, 247, 6, 41.166667, 
trial0033014, AA, 585, 16, 36.562500, GDX, 122, 2, 61.000000, ZIC, 263, 8, 32.875000, ZIP, 266, 6, 44.333333, 
trial0033015, AA, 1122, 16, 70.125000, GDX, 0, 2, 0.000000, ZIC, 81, 8, 10.125000, ZIP, 106, 6, 17.666667, 
trial0033016, AA, 798, 16, 49.875000, GDX, 44, 2, 22.000000, ZIC, 244, 8, 30.500000, ZIP, 320, 6, 53.333333, 
trial0033017, AA, 468, 16, 29.250000, GDX, 0, 2, 0.000000, ZIC, 318, 8, 39.750000, ZIP, 470, 6, 78.333333, 
trial0033018, AA, 567, 16, 35.437500, GDX, 109, 2, 54.500000, ZIC, 472, 8, 59.000000, ZIP, 118, 6, 19.666667, 
trial0033019, AA, 641, 16, 40.062500, GDX, 13, 2, 6.500000, ZIC, 136, 8, 17.000000, ZIP, 493, 6, 82.166667, 
trial0033020, AA, 606, 16, 37.875000, GDX, 114, 2, 57.000000, ZIC, 215, 8, 26.875000, ZIP, 369, 6, 61.500000, 
trial0033021, AA, 613, 16, 38.312500, GDX, 0, 2, 0.000000, ZIC, 387, 8, 48.375000, ZIP, 297, 6, 49.500000, 
trial0033022, AA, 693, 16, 43.312500, GDX, 151, 2, 75.500000, ZIC, 287, 8, 35.875000, ZIP, 143, 6, 23.833333, 
trial0033023, AA, 584, 16, 36.500000, GDX, 113, 2, 56.500000, ZIC, 332, 8, 41.500000, ZIP, 369, 6, 61.500000, 
trial0033024, AA, 508, 16, 31.750000, GDX, 0, 2, 0.000000, ZIC, 323, 8, 40.375000, ZIP, 275, 6, 45.833333, 
trial0033025, AA, 949, 16, 59.312500, GDX, 156, 2, 78.000000, ZIC, 127, 8, 15.875000, ZIP, 67, 6, 11.166667, 
trial0033026, AA, 835, 16, 52.187500, GDX, 171, 2, 85.500000, ZIC, 147, 8, 18.375000, ZIP, 201, 6, 33.500000, 
trial0033027, AA, 415, 16, 25.937500, GDX, 209, 2, 104.500000, ZIC, 446, 8, 55.750000, ZIP, 293, 6, 48.833333, 
trial0033028, AA, 518, 16, 32.375000, GDX, 32, 2, 16.000000, ZIC, 408, 8, 51.000000, ZIP, 269, 6, 44.833333, 
trial0033029, AA, 876, 16, 54.750000, GDX, 0, 2, 0.000000, ZIC, 125, 8, 15.625000, ZIP, 292, 6, 48.666667, 
trial0033030, AA, 628, 16, 39.250000, GDX, 136, 2, 68.000000, ZIC, 306, 8, 38.250000, ZIP, 330, 6, 55.000000, 
trial0033031, AA, 402, 16, 25.125000, GDX, 73, 2, 36.500000, ZIC, 115, 8, 14.375000, ZIP, 212, 6, 35.333333, 
trial0033032, AA, 324, 16, 20.250000, GDX, 136, 2, 68.000000, ZIC, 206, 8, 25.750000, ZIP, 149, 6, 24.833333, 
trial0033033, AA, 400, 16, 25.000000, GDX, 110, 2, 55.000000, ZIC, 122, 8, 15.250000, ZIP, 127, 6, 21.166667, 
trial0033034, AA, 482, 16, 30.125000, GDX, 22, 2, 11.000000, ZIC, 168, 8, 21.000000, ZIP, 54, 6, 9.000000, 
trial0033035, AA, 520, 16, 32.500000, GDX, 75, 2, 37.500000, ZIC, 136, 8, 17.000000, ZIP, 48, 6, 8.000000, 
trial0033036, AA, 189, 16, 11.812500, GDX, 6, 2, 3.000000, ZIC, 290, 8, 36.250000, ZIP, 123, 6, 20.500000, 
trial0033037, AA, 362, 16, 22.625000, GDX, 47, 2, 23.500000, ZIC, 263, 8, 32.875000, ZIP, 114, 6, 19.000000, 
trial0033038, AA, 388, 16, 24.250000, GDX, 82, 2, 41.000000, ZIC, 72, 8, 9.000000, ZIP, 204, 6, 34.000000, 
trial0033039, AA, 397, 16, 24.812500, GDX, 37, 2, 18.500000, ZIC, 9, 8, 1.125000, ZIP, 214, 6, 35.666667, 
trial0033040, AA, 411, 16, 25.687500, GDX, 0, 2, 0.000000, ZIC, 153, 8, 19.125000, ZIP, 324, 6, 54.000000, 
trial0033041, AA, 347, 16, 21.687500, GDX, 46, 2, 23.000000, ZIC, 94, 8, 11.750000, ZIP, 226, 6, 37.666667, 
trial0033042, AA, 428, 16, 26.750000, GDX, 32, 2, 16.000000, ZIC, 173, 8, 21.625000, ZIP, 57, 6, 9.500000, 
trial0033043, AA, 348, 16, 21.750000, GDX, 36, 2, 18.000000, ZIC, 198, 8, 24.750000, ZIP, 113, 6, 18.833333, 
trial0033044, AA, 265, 16, 16.562500, GDX, 65, 2, 32.500000, ZIC, 232, 8, 29.000000, ZIP, 151, 6, 25.166667, 
trial0033045, AA, 338, 16, 21.125000, GDX, 82, 2, 41.000000, ZIC, 70, 8, 8.750000, ZIP, 158, 6, 26.333333, 
trial0033046, AA, 348, 16, 21.750000, GDX, 17, 2, 8.500000, ZIC, 296, 8, 37.000000, ZIP, 129, 6, 21.500000, 
