trial0041101, AA, 296, 10, 29.600000, GDX, 68, 2, 34.000000, ZIC, 524, 8, 65.500000, ZIP, 714, 12, 59.500000, 
trial0041102, AA, 649, 10, 64.900000, GDX, 18, 2, 9.000000, ZIC, 499, 8, 62.375000, ZIP, 589, 12, 49.083333, 
trial0041103, AA, 372, 10, 37.200000, GDX, 52, 2, 26.000000, ZIC, 750, 8, 93.750000, ZIP, 460, 12, 38.333333, 
trial0041104, AA, 709, 10, 70.900000, GDX, 0, 2, 0.000000, ZIC, 47, 8, 5.875000, ZIP, 804, 12, 67.000000, 
trial0041105, AA, 655, 10, 65.500000, GDX, 286, 2, 143.000000, ZIC, 81, 8, 10.125000, ZIP, 802, 12, 66.833333, 
trial0041106, AA, 592, 10, 59.200000, GDX, 106, 2, 53.000000, ZIC, 416, 8, 52.000000, ZIP, 731, 12, 60.916667, 
trial0041107, AA, 400, 10, 40.000000, GDX, 48, 2, 24.000000, ZIC, 415, 8, 51.875000, ZIP, 646, 12, 53.833333, 
trial0041108, AA, 298, 10, 29.800000, GDX, 230, 2, 115.000000, ZIC, 191, 8, 23.875000, ZIP, 1054, 12, 87.833333, 
trial0041109, AA, 622, 10, 62.200000, GDX, 189, 2, 94.500000, ZIC, 379, 8, 47.375000, ZIP, 522, 12, 43.500000, 
trial0041110, AA, 418, 10, 41.800000, GDX, 0, 2, 0.000000, ZIC, 206, 8, 25.750000, ZIP, 747, 12, 62.250000, 
trial0041111, AA, 541, 10, 54.100000, GDX, 0, 2, 0.000000, ZIC, 406, 8, 50.750000, ZIP, 500, 12, 41.666667, 
trial0041112, AA, 617, 10, 61.700000, GDX, 56, 2, 28.000000, ZIC, 311, 8, 38.875000, ZIP, 636, 12, 53.000000, 
trial0041113, AA, 516, 10, 51.600000, GDX, 37, 2, 18.500000, ZIC, 455, 8, 56.875000, ZIP, 573, 12, 47.750000, 
trial0041114, AA, 720, 10, 72.000000, GDX, 63, 2, 31.500000, ZIC, 194, 8, 24.250000, ZIP, 717, 12, 59.750000, 
trial0041115, AA, 255, 10, 25.500000, GDX, 4, 2, 2.000000, ZIC, 708, 8, 88.500000, ZIP, 692, 12, 57.666667, 
trial0041116, AA, 987, 10, 98.700000, GDX, 0, 2, 0.000000, ZIC, 266, 8, 33.250000, ZIP, 467, 12, 38.916667, 
trial0041117, AA, 247, 10, 24.700000, GDX, 0, 2, 0.000000, ZIC, 520, 8, 65.000000, ZIP, 760, 12, 63.333333, 
trial0041118, AA, 913, 10, 91.300000, GDX, 4, 2, 2.000000, ZIC, 188, 8, 23.500000, ZIP, 528, 12, 44.000000, 
trial0041119, AA, 634, 10, 63.400000, GDX, 12, 2, 6.000000, ZIC, 254, 8, 31.750000, ZIP, 748, 12, 62.333333, 
trial0041120, AA, 651, 10, 65.100000, GDX, 124, 2, 62.000000, ZIC, 339, 8, 42.375000, ZIP, 620, 12, 51.666667, 
trial0041121, AA, 642, 10, 64.200000, GDX, 255, 2, 127.500000, ZIC, 312, 8, 39.000000, ZIP, 459, 12, 38.250000, 
trial0041122, AA, 319, 10, 31.900000, GDX, 112, 2, 56.000000, ZIC, 525, 8, 65.625000, ZIP, 726, 12, 60.500000, 
trial0041123, AA, 327, 10, 32.700000, GDX, 0, 2, 0.000000, ZIC, 568, 8, 71.000000, ZIP, 762, 12, 63.500000, 
trial0041124, AA, 343, 10, 34.300000, GDX, 111, 2, 55.500000, ZIC, 824, 8, 103.000000, ZIP, 506, 12, 42.166667, 
trial0041125, AA, 624, 10, 62.400000, GDX, 105, 2, 52.500000, ZIC, 272, 8, 34.000000, ZIP, 598, 12, 49.833333, 
trial0041126, AA, 265, 10, 26.500000, GDX, 84, 2, 42.000000, ZIC, 892, 8, 111.500000, ZIP, 545, 12, 45.416667, 
trial0041127, AA, 497, 10, 49.700000, GDX, 6, 2, 3.000000, ZIC, 607, 8, 75.875000, ZIP, 816, 12, 68.000000, 
trial0041128, AA, 486, 10, 48.600000, GDX, 2, 2, 1.000000, ZIC, 487, 8, 60.875000, ZIP, 810, 12, 67.500000, 
trial0041129, AA, 633, 10, 63.300000, GDX, 227, 2, 113.500000, ZIC, 308, 8, 38.500000, ZIP, 632, 12, 52.666667, 
trial0041130, AA, 553, 10, 55.300000, GDX, 202, 2, 101.000000, ZIC, 209, 8, 26.125000, ZIP, 675, 12, 56.250000, 
trial0041131, AA, 365, 10, 36.500000, GDX, 0, 2, 0.000000, ZIC, 243, 8, 30.375000, ZIP, 496, 12, 41.333333, 
trial0041132, AA, 531, 10, 53.100000, GDX, 7, 2, 3.500000, ZIC, 203, 8, 25.375000, ZIP, 385, 12, 32.083333, 
trial0041133, AA, 546, 10, 54.600000, GDX, 104, 2, 52.000000, ZIC, 194, 8, 24.250000, ZIP, 396, 12, 33.000000, 
trial0041134, AA, 342, 10, 34.200000, GDX, 8, 2, 4.000000, ZIC, 435, 8, 54.375000, ZIP, 319, 12, 26.583333, 
trial0041135, AA, 375, 10, 37.500000, GDX, 174, 2, 87.000000, ZIC, 361, 8, 45.125000, ZIP, 360, 12, 30.000000, 
trial0041136, AA, 316, 10, 31.600000, GDX, 201, 2, 100.500000, ZIC, 244, 8, 30.500000, ZIP, 366, 12, 30.500000, 
trial0041137, AA, 177, 10, 17.700000, GDX, 124, 2, 62.000000, ZIC, 316, 8, 39.500000, ZIP, 471, 12, 39.250000, 
trial0041138, AA, 420, 10, 42.000000, GDX, 80, 2, 40.000000, ZIC, 164, 8, 20.500000, ZIP, 456, 12, 38.000000, 
trial0041139, AA, 329, 10, 32.900000, GDX, 26, 2, 13.000000, ZIC, 235, 8, 29.375000, ZIP, 541, 12, 45.083333, 
trial0041140, AA, 514, 10, 51.400000, GDX, 157, 2, 78.500000, ZIC, 224, 8, 28.000000, ZIP, 385, 12, 32.083333, 
trial0041141, AA, 621, 10, 62.100000, GDX, 136, 2, 68.000000, ZIC, 172, 8, 21.500000, ZIP, 329, 12, 27.416667, 
trial0041142, AA, 284, 10, 28.400000, GDX, 166, 2, 83.000000, ZIC, 368, 8, 46.000000, ZIP, 214, 12, 17.833333, 
trial0041143, AA, 547, 10, 54.700000, GDX, 44, 2, 22.000000, ZIC, 141, 8, 17.625000, ZIP, 393, 12, 32.750000, 
trial0041144, AA, 311, 10, 31.100000, GDX, 44, 2, 22.000000, ZIC, 375, 8, 46.875000, ZIP, 335, 12, 27.916667, 
trial0041145, AA, 339, 10, 33.900000, GDX, 63, 2, 31.500000, ZIC, 240, 8, 30.000000, ZIP, 567, 12, 47.250000, 
trial0041146, AA, 711, 10, 71.100000, GDX, 22, 2, 11.000000, ZIC, 100, 8, 12.500000, ZIP, 451, 12, 37.583333, 
trial0041147, AA, 357, 10, 35.700000, GDX, 39, 2, 19.500000, ZIC, 110, 8, 13.750000, ZIP, 692, 12, 57.666667, 
trial0041148, AA, 469, 10, 46.900000, GDX, 43, 2, 21.500000, ZIC, 286, 8, 35.750000, ZIP, 340, 12, 28.333333, 
trial0041149, AA, 414, 10, 41.400000, GDX, 184, 2, 92.000000, ZIC, 317, 8, 39.625000, ZIP, 315, 12, 26.250000, 
trial0041150, AA, 268, 10, 26.800000, GDX, 39, 2, 19.500000, ZIC, 348, 8, 43.500000, ZIP, 628, 12, 52.333333, 
trial0041151, AA, 342, 10, 34.200000, GDX, 0, 2, 0.000000, ZIC, 270, 8, 33.750000, ZIP, 514, 12, 42.833333, 
trial0041152, AA, 615, 10, 61.500000, GDX, 35, 2, 17.500000, ZIC, 82, 8, 10.250000, ZIP, 485, 12, 40.416667, 
trial0041153, AA, 261, 10, 26.100000, GDX, 135, 2, 67.500000, ZIC, 367, 8, 45.875000, ZIP, 561, 12, 46.750000, 
trial0041154, AA, 427, 10, 42.700000, GDX, 159, 2, 79.500000, ZIC, 307, 8, 38.375000, ZIP, 268, 12, 22.333333, 
trial0041155, AA, 388, 10, 38.800000, GDX, 151, 2, 75.500000, ZIC, 151, 8, 18.875000, ZIP, 397, 12, 33.083333, 
trial0041156, AA, 264, 10, 26.400000, GDX, 186, 2, 93.000000, ZIC, 333, 8, 41.625000, ZIP, 360, 12, 30.000000, 
trial0041157, AA, 461, 10, 46.100000, GDX, 109, 2, 54.500000, ZIC, 131, 8, 16.375000, ZIP, 353, 12, 29.416667, 
trial0041158, AA, 293, 10, 29.300000, GDX, 0, 2, 0.000000, ZIC, 359, 8, 44.875000, ZIP, 422, 12, 35.166667, 
trial0041159, AA, 423, 10, 42.300000, GDX, 0, 2, 0.000000, ZIC, 232, 8, 29.000000, ZIP, 433, 12, 36.083333, 
trial0041160, AA, 465, 10, 46.500000, GDX, 204, 2, 102.000000, ZIC, 241, 8, 30.125000, ZIP, 239, 12, 19.916667, 
trial0041161, AA, 700, 10, 70.000000, GDX, 0, 2, 0.000000, ZIC, 355, 8, 44.375000, ZIP, 947, 12, 78.916667, 
trial0041162, AA, 786, 10, 78.600000, GDX, 220, 2, 110.000000, ZIC, 199, 8, 24.875000, ZIP, 609, 12, 50.750000, 
trial0041163, AA, 798, 10, 79.800000, GDX, 246, 2, 123.000000, ZIC, 344, 8, 43.000000, ZIP, 605, 12, 50.416667, 
trial0041164, AA, 883, 10, 88.300000, GDX, 67, 2, 33.500000, ZIC, 626, 8, 78.250000, ZIP, 405, 12, 33.750000, 
trial0041165, AA, 571, 10, 57.100000, GDX, 147, 2, 73.500000, ZIC, 285, 8, 35.625000, ZIP, 844, 12, 70.333333, 
trial0041166, AA, 444, 10, 44.400000, GDX, 158, 2, 79.000000, ZIC, 444, 8, 55.500000, ZIP, 980, 12, 81.666667, 
trial0041167, AA, 507, 10, 50.700000, GDX, 262, 2, 131.000000, ZIC, 206, 8, 25.750000, ZIP, 660, 12, 55.000000, 
trial0041168, AA, 506, 10, 50.600000, GDX, 0, 2, 0.000000, ZIC, 208, 8, 26.000000, ZIP, 750, 12, 62.500000, 
trial0041169, AA, 817, 10, 81.700000, GDX, 34, 2, 17.000000, ZIC, 630, 8, 78.750000, ZIP, 564, 12, 47.000000, 
