trial0043279, GDX, 60, 4, 15.000000, ZIC, 263, 28, 9.392857, 
trial0043280, GDX, 42, 4, 10.500000, ZIC, 249, 28, 8.892857, 
trial0043281, GDX, 11, 4, 2.750000, ZIC, 324, 28, 11.571429, 
trial0043282, GDX, 44, 4, 11.000000, ZIC, 259, 28, 9.250000, 
trial0043283, GDX, 59, 4, 14.750000, ZIC, 244, 28, 8.714286, 
trial0043284, GDX, 44, 4, 11.000000, ZIC, 269, 28, 9.607143, 
trial0043285, GDX, 90, 4, 22.500000, ZIC, 218, 28, 7.785714, 
trial0043286, GDX, 66, 4, 16.500000, ZIC, 215, 28, 7.678571, 
trial0043287, GDX, 12, 4, 3.000000, ZIC, 328, 28, 11.714286, 
trial0043288, GDX, 108, 4, 27.000000, ZIC, 211, 28, 7.535714, 
trial0043289, GDX, 8, 4, 2.000000, ZIC, 290, 28, 10.357143, 
trial0043290, GDX, 24, 4, 6.000000, ZIC, 262, 28, 9.357143, 
trial0043291, GDX, 64, 4, 16.000000, ZIC, 207, 28, 7.392857, 
trial0043292, GDX, 51, 4, 12.750000, ZIC, 269, 28, 9.607143, 
trial0043293, GDX, 28, 4, 7.000000, ZIC, 302, 28, 10.785714, 
trial0043294, GDX, 3, 4, 0.750000, ZIC, 259, 28, 9.250000, 
trial0043295, GDX, 11, 4, 2.750000, ZIC, 261, 28, 9.321429, 
trial0043296, GDX, 18, 4, 4.500000, ZIC, 291, 28, 10.392857, 
trial0043297, GDX, 33, 4, 8.250000, ZIC, 218, 28, 7.785714, 
trial0043298, GDX, 28, 4, 7.000000, ZIC, 265, 28, 9.464286, 
trial0043299, GDX, 41, 4, 10.250000, ZIC, 263, 28, 9.392857, 
trial0043300, GDX, 69, 4, 17.250000, ZIC, 262, 28, 9.357143, 
trial0043301, GDX, 35, 4, 8.750000, ZIC, 268, 28, 9.571429, 
trial0043302, GDX, 34, 4, 8.500000, ZIC, 307, 28, 10.964286, 
trial0043303, GDX, 51, 4, 12.750000, ZIC, 253, 28, 9.035714, 
trial0043304, GDX, 34, 4, 8.500000, ZIC, 286, 28, 10.214286, 
trial0043305, GDX, 35, 4, 8.750000, ZIC, 242, 28, 8.642857, 
trial0043306, GDX, 11, 4, 2.750000, ZIC, 314, 28, 11.214286, 
trial0043307, GDX, 12, 4, 3.000000, ZIC, 286, 28, 10.214286, 
trial0043308, GDX, 28, 4, 7.000000, ZIC, 249, 28, 8.892857, 
trial0043309, GDX, 34, 4, 8.500000, ZIC, 238, 28, 8.500000, 
trial0043310, GDX, 48, 4, 12.000000, ZIC, 240, 28, 8.571429, 
trial0043311, GDX, 21, 4, 5.250000, ZIC, 267, 28, 9.535714, 
trial0043312, GDX, 52, 4, 13.000000, ZIC, 268, 28, 9.571429, 
trial0043313, GDX, 23, 4, 5.750000, ZIC, 260, 28, 9.285714, 
trial0043314, GDX, 16, 4, 4.000000, ZIC, 293, 28, 10.464286, 
trial0043315, GDX, 22, 4, 5.500000, ZIC, 245, 28, 8.750000, 
trial0043316, GDX, 47, 4, 11.750000, ZIC, 235, 28, 8.392857, 
trial0043317, GDX, 54, 4, 13.500000, ZIC, 255, 28, 9.107143, 
trial0043318, GDX, 18, 4, 4.500000, ZIC, 281, 28, 10.035714, 
trial0043319, GDX, 17, 4, 4.250000, ZIC, 298, 28, 10.642857, 
trial0043320, GDX, 0, 4, 0.000000, ZIC, 277, 28, 9.892857, 
trial0043321, GDX, 16, 4, 4.000000, ZIC, 204, 28, 7.285714, 
trial0043322, GDX, 53, 4, 13.250000, ZIC, 143, 28, 5.107143, 
trial0043323, GDX, 65, 4, 16.250000, ZIC, 151, 28, 5.392857, 
trial0043324, GDX, 39, 4, 9.750000, ZIC, 165, 28, 5.892857, 
trial0043325, GDX, 35, 4, 8.750000, ZIC, 177, 28, 6.321429, 
trial0043326, GDX, 30, 4, 7.500000, ZIC, 190, 28, 6.785714, 
