trial0042901, AA, 9, 2, 4.500000, GDX, 18, 2, 9.000000, ZIC, 59, 28, 2.107143, 
trial0042902, AA, 10, 2, 5.000000, GDX, 13, 2, 6.500000, ZIC, 40, 28, 1.428571, 
trial0042903, AA, 3, 2, 1.500000, GDX, 8, 2, 4.000000, ZIC, 55, 28, 1.964286, 
trial0042904, AA, 0, 2, 0.000000, GDX, 5, 2, 2.500000, ZIC, 55, 28, 1.964286, 
trial0042905, AA, 4, 2, 2.000000, GDX, 0, 2, 0.000000, ZIC, 56, 28, 2.000000, 
trial0042906, AA, 8, 2, 4.000000, GDX, 0, 2, 0.000000, ZIC, 67, 28, 2.392857, 
trial0042907, AA, 2, 2, 1.000000, GDX, 2, 2, 1.000000, ZIC, 15, 28, 0.535714, 
trial0042908, AA, 24, 2, 12.000000, GDX, 0, 2, 0.000000, ZIC, 27, 28, 0.964286, 
trial0042909, AA, 5, 2, 2.500000, GDX, 0, 2, 0.000000, ZIC, 59, 28, 2.107143, 
trial0042910, AA, 10, 2, 5.000000, GDX, 4, 2, 2.000000, ZIC, 78, 28, 2.785714, 
trial0042911, AA, 9, 2, 4.500000, GDX, 7, 2, 3.500000, ZIC, 65, 28, 2.321429, 
trial0042912, AA, 2, 2, 1.000000, GDX, 18, 2, 9.000000, ZIC, 30, 28, 1.071429, 
trial0042913, AA, 5, 2, 2.500000, GDX, 7, 2, 3.500000, ZIC, 71, 28, 2.535714, 
trial0042914, AA, 7, 2, 3.500000, GDX, 0, 2, 0.000000, ZIC, 73, 28, 2.607143, 
trial0042915, AA, 4, 2, 2.000000, GDX, 14, 2, 7.000000, ZIC, 62, 28, 2.214286, 
trial0042916, AA, 7, 2, 3.500000, GDX, 0, 2, 0.000000, ZIC, 72, 28, 2.571429, 
trial0042917, AA, 9, 2, 4.500000, GDX, 15, 2, 7.500000, ZIC, 50, 28, 1.785714, 
trial0042918, AA, 8, 2, 4.000000, GDX, 0, 2, 0.000000, ZIC, 69, 28, 2.464286, 
trial0042919, AA, 12, 2, 6.000000, GDX, 15, 2, 7.500000, ZIC, 29, 28, 1.035714, 
trial0042920, AA, 8, 2, 4.000000, GDX, 5, 2, 2.500000, ZIC, 39, 28, 1.392857, 
trial0042921, AA, 2, 2, 1.000000, GDX, 10, 2, 5.000000, ZIC, 51, 28, 1.821429, 
trial0042922, AA, 1, 2, 0.500000, GDX, 0, 2, 0.000000, ZIC, 45, 28, 1.607143, 
trial0042923, AA, 7, 2, 3.500000, GDX, 0, 2, 0.000000, ZIC, 68, 28, 2.428571, 
trial0042924, AA, 1, 2, 0.500000, GDX, 7, 2, 3.500000, ZIC, 37, 28, 1.321429, 
trial0042925, AA, 0, 2, 0.000000, GDX, 0, 2, 0.000000, ZIC, 66, 28, 2.357143, 
trial0042926, AA, 0, 2, 0.000000, GDX, 5, 2, 2.500000, ZIC, 80, 28, 2.857143, 
trial0042927, AA, 5, 2, 2.500000, GDX, 0, 2, 0.000000, ZIC, 69, 28, 2.464286, 
trial0042928, AA, 0, 2, 0.000000, GDX, 0, 2, 0.000000, ZIC, 52, 28, 1.857143, 
trial0042929, AA, 5, 2, 2.500000, GDX, 2, 2, 1.000000, ZIC, 29, 28, 1.035714, 
trial0042930, AA, 0, 2, 0.000000, GDX, 15, 2, 7.500000, ZIC, 57, 28, 2.035714, 
trial0042931, AA, 0, 2, 0.000000, GDX, 67, 2, 33.500000, ZIC, 394, 28, 14.071429, 
trial0042932, AA, 33, 2, 16.500000, GDX, 38, 2, 19.000000, ZIC, 342, 28, 12.214286, 
trial0042933, AA, 8, 2, 4.000000, GDX, 18, 2, 9.000000, ZIC, 442, 28, 15.785714, 
trial0042934, AA, 0, 2, 0.000000, GDX, 27, 2, 13.500000, ZIC, 434, 28, 15.500000, 
trial0042935, AA, 9, 2, 4.500000, GDX, 122, 2, 61.000000, ZIC, 337, 28, 12.035714, 
trial0042936, AA, 0, 2, 0.000000, GDX, 0, 2, 0.000000, ZIC, 492, 28, 17.571429, 
trial0042937, AA, 15, 2, 7.500000, GDX, 38, 2, 19.000000, ZIC, 423, 28, 15.107143, 
trial0042938, AA, 5, 2, 2.500000, GDX, 52, 2, 26.000000, ZIC, 419, 28, 14.964286, 
trial0042939, AA, 19, 2, 9.500000, GDX, 42, 2, 21.000000, ZIC, 392, 28, 14.000000, 
trial0042940, AA, 39, 2, 19.500000, GDX, 21, 2, 10.500000, ZIC, 408, 28, 14.571429, 
trial0042941, AA, 53, 2, 26.500000, GDX, 0, 2, 0.000000, ZIC, 376, 28, 13.428571, 
trial0042942, AA, 53, 2, 26.500000, GDX, 0, 2, 0.000000, ZIC, 439, 28, 15.678571, 
trial0042943, AA, 3, 2, 1.500000, GDX, 0, 2, 0.000000, ZIC, 457, 28, 16.321429, 
trial0042944, AA, 81, 2, 40.500000, GDX, 60, 2, 30.000000, ZIC, 320, 28, 11.428571, 
trial0042945, AA, 30, 2, 15.000000, GDX, 0, 2, 0.000000, ZIC, 470, 28, 16.785714, 
trial0042946, AA, 20, 2, 10.000000, GDX, 50, 2, 25.000000, ZIC, 375, 28, 13.392857, 
trial0042947, AA, 2, 2, 1.000000, GDX, 112, 2, 56.000000, ZIC, 323, 28, 11.535714, 
trial0042948, AA, 28, 2, 14.000000, GDX, 22, 2, 11.000000, ZIC, 426, 28, 15.214286, 
trial0042949, AA, 45, 2, 22.500000, GDX, 0, 2, 0.000000, ZIC, 353, 28, 12.607143, 
trial0042950, AA, 2, 2, 1.000000, GDX, 30, 2, 15.000000, ZIC, 436, 28, 15.571429, 
trial0042951, AA, 71, 2, 35.500000, GDX, 78, 2, 39.000000, ZIC, 335, 28, 11.964286, 
trial0042952, AA, 44, 2, 22.000000, GDX, 19, 2, 9.500000, ZIC, 366, 28, 13.071429, 
trial0042953, AA, 33, 2, 16.500000, GDX, 0, 2, 0.000000, ZIC, 428, 28, 15.285714, 
trial0042954, AA, 16, 2, 8.000000, GDX, 83, 2, 41.500000, ZIC, 346, 28, 12.357143, 
trial0042955, AA, 20, 2, 10.000000, GDX, 21, 2, 10.500000, ZIC, 396, 28, 14.142857, 
trial0042956, AA, 30, 2, 15.000000, GDX, 7, 2, 3.500000, ZIC, 416, 28, 14.857143, 
trial0042957, AA, 19, 2, 9.500000, GDX, 12, 2, 6.000000, ZIC, 445, 28, 15.892857, 
trial0042958, AA, 43, 2, 21.500000, GDX, 17, 2, 8.500000, ZIC, 378, 28, 13.500000, 
trial0042959, AA, 18, 2, 9.000000, GDX, 12, 2, 6.000000, ZIC, 383, 28, 13.678571, 
trial0042960, AA, 14, 2, 7.000000, GDX, 0, 2, 0.000000, ZIC, 392, 28, 14.000000, 
trial0042961, AA, 127, 2, 63.500000, GDX, 0, 2, 0.000000, ZIC, 449, 28, 16.035714, 
trial0042962, AA, 101, 2, 50.500000, GDX, 0, 2, 0.000000, ZIC, 474, 28, 16.928571, 
trial0042963, AA, 0, 2, 0.000000, GDX, 88, 2, 44.000000, ZIC, 488, 28, 17.428571, 
trial0042964, AA, 56, 2, 28.000000, GDX, 28, 2, 14.000000, ZIC, 463, 28, 16.535714, 
trial0042965, AA, 60, 2, 30.000000, GDX, 0, 2, 0.000000, ZIC, 488, 28, 17.428571, 
trial0042966, AA, 0, 2, 0.000000, GDX, 53, 2, 26.500000, ZIC, 513, 28, 18.321429, 
trial0042967, AA, 96, 2, 48.000000, GDX, 0, 2, 0.000000, ZIC, 499, 28, 17.821429, 
trial0042968, AA, 18, 2, 9.000000, GDX, 28, 2, 14.000000, ZIC, 559, 28, 19.964286, 
trial0042969, AA, 11, 2, 5.500000, GDX, 18, 2, 9.000000, ZIC, 566, 28, 20.214286, 
trial0042970, AA, 0, 2, 0.000000, GDX, 78, 2, 39.000000, ZIC, 527, 28, 18.821429, 
trial0042971, AA, 44, 2, 22.000000, GDX, 9, 2, 4.500000, ZIC, 475, 28, 16.964286, 
trial0042972, AA, 49, 2, 24.500000, GDX, 0, 2, 0.000000, ZIC, 546, 28, 19.500000, 
trial0042973, AA, 23, 2, 11.500000, GDX, 21, 2, 10.500000, ZIC, 532, 28, 19.000000, 
trial0042974, AA, 35, 2, 17.500000, GDX, 14, 2, 7.000000, ZIC, 507, 28, 18.107143, 
trial0042975, AA, 13, 2, 6.500000, GDX, 6, 2, 3.000000, ZIC, 557, 28, 19.892857, 
trial0042976, AA, 0, 2, 0.000000, GDX, 0, 2, 0.000000, ZIC, 547, 28, 19.535714, 
trial0042977, AA, 48, 2, 24.000000, GDX, 173, 2, 86.500000, ZIC, 365, 28, 13.035714, 
trial0042978, AA, 2, 2, 1.000000, GDX, 16, 2, 8.000000, ZIC, 558, 28, 19.928571, 
trial0042979, AA, 46, 2, 23.000000, GDX, 21, 2, 10.500000, ZIC, 519, 28, 18.535714, 
trial0042980, AA, 96, 2, 48.000000, GDX, 55, 2, 27.500000, ZIC, 454, 28, 16.214286, 
trial0042981, AA, 0, 2, 0.000000, GDX, 66, 2, 33.000000, ZIC, 539, 28, 19.250000, 
trial0042982, AA, 14, 2, 7.000000, GDX, 2, 2, 1.000000, ZIC, 540, 28, 19.285714, 
trial0042983, AA, 75, 2, 37.500000, GDX, 2, 2, 1.000000, ZIC, 537, 28, 19.178571, 
trial0042984, AA, 19, 2, 9.500000, GDX, 78, 2, 39.000000, ZIC, 479, 28, 17.107143, 
trial0042985, AA, 0, 2, 0.000000, GDX, 37, 2, 18.500000, ZIC, 529, 28, 18.892857, 
trial0042986, AA, 63, 2, 31.500000, GDX, 58, 2, 29.000000, ZIC, 417, 28, 14.892857, 
trial0042987, AA, 0, 2, 0.000000, GDX, 72, 2, 36.000000, ZIC, 495, 28, 17.678571, 
trial0042988, AA, 2, 2, 1.000000, GDX, 43, 2, 21.500000, ZIC, 474, 28, 16.928571, 
trial0042989, AA, 71, 2, 35.500000, GDX, 25, 2, 12.500000, ZIC, 394, 28, 14.071429, 
trial0042990, AA, 10, 2, 5.000000, GDX, 5, 2, 2.500000, ZIC, 541, 28, 19.321429, 
trial0042991, AA, 25, 2, 12.500000, GDX, 63, 2, 31.500000, ZIC, 501, 28, 17.892857, 
trial0042992, AA, 40, 2, 20.000000, GDX, 146, 2, 73.000000, ZIC, 443, 28, 15.821429, 
trial0042993, AA, 30, 2, 15.000000, GDX, 0, 2, 0.000000, ZIC, 569, 28, 20.321429, 
trial0042994, AA, 13, 2, 6.500000, GDX, 0, 2, 0.000000, ZIC, 566, 28, 20.214286, 
trial0042995, AA, 21, 2, 10.500000, GDX, 48, 2, 24.000000, ZIC, 480, 28, 17.142857, 
trial0042996, AA, 69, 2, 34.500000, GDX, 5, 2, 2.500000, ZIC, 495, 28, 17.678571, 
trial0042997, AA, 52, 2, 26.000000, GDX, 0, 2, 0.000000, ZIC, 497, 28, 17.750000, 
trial0042998, AA, 0, 2, 0.000000, GDX, 100, 2, 50.000000, ZIC, 469, 28, 16.750000, 
trial0042999, AA, 49, 2, 24.500000, GDX, 31, 2, 15.500000, ZIC, 489, 28, 17.464286, 
trial0043000, AA, 29, 2, 14.500000, GDX, 117, 2, 58.500000, ZIC, 423, 28, 15.107143, 
trial0043001, AA, 7, 2, 3.500000, GDX, 24, 2, 12.000000, ZIC, 548, 28, 19.571429, 
trial0043002, AA, 0, 2, 0.000000, GDX, 0, 2, 0.000000, ZIC, 629, 28, 22.464286, 
trial0043003, AA, 34, 2, 17.000000, GDX, 96, 2, 48.000000, ZIC, 459, 28, 16.392857, 
trial0043004, AA, 10, 2, 5.000000, GDX, 85, 2, 42.500000, ZIC, 464, 28, 16.571429, 
trial0043005, AA, 83, 2, 41.500000, GDX, 17, 2, 8.500000, ZIC, 529, 28, 18.892857, 
trial0043006, AA, 63, 2, 31.500000, GDX, 105, 2, 52.500000, ZIC, 441, 28, 15.750000, 
trial0043007, AA, 77, 2, 38.500000, GDX, 48, 2, 24.000000, ZIC, 484, 28, 17.285714, 
trial0043008, AA, 45, 2, 22.500000, GDX, 0, 2, 0.000000, ZIC, 564, 28, 20.142857, 
trial0043009, AA, 97, 2, 48.500000, GDX, 0, 2, 0.000000, ZIC, 492, 28, 17.571429, 
trial0043010, AA, 10, 2, 5.000000, GDX, 0, 2, 0.000000, ZIC, 569, 28, 20.321429, 
trial0043011, AA, 36, 2, 18.000000, GDX, 11, 2, 5.500000, ZIC, 532, 28, 19.000000, 
trial0043012, AA, 60, 2, 30.000000, GDX, 38, 2, 19.000000, ZIC, 501, 28, 17.892857, 
trial0043013, AA, 88, 2, 44.000000, GDX, 80, 2, 40.000000, ZIC, 461, 28, 16.464286, 
trial0043014, AA, 93, 2, 46.500000, GDX, 88, 2, 44.000000, ZIC, 358, 28, 12.785714, 
trial0043015, AA, 53, 2, 26.500000, GDX, 0, 2, 0.000000, ZIC, 586, 28, 20.928571, 
trial0043016, AA, 0, 2, 0.000000, GDX, 10, 2, 5.000000, ZIC, 569, 28, 20.321429, 
trial0043017, AA, 42, 2, 21.000000, GDX, 52, 2, 26.000000, ZIC, 515, 28, 18.392857, 
trial0043018, AA, 84, 2, 42.000000, GDX, 51, 2, 25.500000, ZIC, 454, 28, 16.214286, 
trial0043019, AA, 45, 2, 22.500000, GDX, 62, 2, 31.000000, ZIC, 522, 28, 18.642857, 
trial0043020, AA, 8, 2, 4.000000, GDX, 2, 2, 1.000000, ZIC, 619, 28, 22.107143, 
trial0043021, AA, 0, 2, 0.000000, GDX, 55, 2, 27.500000, ZIC, 162, 28, 5.785714, 
trial0043022, AA, 2, 2, 1.000000, GDX, 0, 2, 0.000000, ZIC, 211, 28, 7.535714, 
trial0043023, AA, 40, 2, 20.000000, GDX, 10, 2, 5.000000, ZIC, 144, 28, 5.142857, 
trial0043024, AA, 11, 2, 5.500000, GDX, 15, 2, 7.500000, ZIC, 165, 28, 5.892857, 
trial0043025, AA, 0, 2, 0.000000, GDX, 22, 2, 11.000000, ZIC, 166, 28, 5.928571, 
trial0043026, AA, 2, 2, 1.000000, GDX, 6, 2, 3.000000, ZIC, 183, 28, 6.535714, 
trial0043027, AA, 22, 2, 11.000000, GDX, 11, 2, 5.500000, ZIC, 169, 28, 6.035714, 
