trial0033001, AA, 175, 2, 87.500000, ZIC, 842, 30, 28.066667, 
trial0033002, AA, 49, 2, 24.500000, ZIC, 1098, 30, 36.600000, 
trial0033003, AA, 55, 2, 27.500000, ZIC, 1066, 30, 35.533333, 
trial0033004, AA, 8, 2, 4.000000, ZIC, 942, 30, 31.400000, 
trial0033005, AA, 123, 2, 61.500000, ZIC, 1040, 30, 34.666667, 
trial0033006, AA, 204, 2, 102.000000, ZIC, 927, 30, 30.900000, 
trial0033007, AA, 53, 2, 26.500000, ZIC, 1161, 30, 38.700000, 
trial0033008, AA, 35, 2, 17.500000, ZIC, 1102, 30, 36.733333, 
trial0033009, AA, 2, 2, 1.000000, ZIC, 1154, 30, 38.466667, 
trial0033010, AA, 75, 2, 37.500000, ZIC, 982, 30, 32.733333, 
trial0033011, AA, 91, 2, 45.500000, ZIC, 944, 30, 31.466667, 
trial0033012, AA, 56, 2, 28.000000, ZIC, 1040, 30, 34.666667, 
trial0033013, AA, 26, 2, 13.000000, ZIC, 1040, 30, 34.666667, 
trial0033014, AA, 102, 2, 51.000000, ZIC, 931, 30, 31.033333, 
trial0033015, AA, 144, 2, 72.000000, ZIC, 905, 30, 30.166667, 
trial0033016, AA, 16, 2, 8.000000, ZIC, 787, 30, 26.233333, 
trial0033017, AA, 89, 2, 44.500000, ZIC, 881, 30, 29.366667, 
trial0033018, AA, 134, 2, 67.000000, ZIC, 950, 30, 31.666667, 
trial0033019, AA, 96, 2, 48.000000, ZIC, 972, 30, 32.400000, 
trial0033020, AA, 14, 2, 7.000000, ZIC, 1003, 30, 33.433333, 
trial0033021, AA, 60, 2, 30.000000, ZIC, 1106, 30, 36.866667, 
trial0033022, AA, 65, 2, 32.500000, ZIC, 1017, 30, 33.900000, 
trial0033023, AA, 65, 2, 32.500000, ZIC, 1058, 30, 35.266667, 
trial0033024, AA, 29, 2, 14.500000, ZIC, 1016, 30, 33.866667, 
trial0033025, AA, 31, 2, 15.500000, ZIC, 1022, 30, 34.066667, 
trial0033026, AA, 12, 2, 6.000000, ZIC, 1073, 30, 35.766667, 
trial0033027, AA, 171, 2, 85.500000, ZIC, 1066, 30, 35.533333, 
trial0033028, AA, 49, 2, 24.500000, ZIC, 1037, 30, 34.566667, 
trial0033029, AA, 128, 2, 64.000000, ZIC, 868, 30, 28.933333, 
trial0033030, AA, 275, 2, 137.500000, ZIC, 759, 30, 25.300000, 
trial0033031, AA, 145, 2, 72.500000, ZIC, 1609, 30, 53.633333, 
trial0033032, AA, 91, 2, 45.500000, ZIC, 1656, 30, 55.200000, 
trial0033033, AA, 109, 2, 54.500000, ZIC, 1663, 30, 55.433333, 
trial0033034, AA, 132, 2, 66.000000, ZIC, 1588, 30, 52.933333, 
trial0033035, AA, 69, 2, 34.500000, ZIC, 1730, 30, 57.666667, 
trial0033036, AA, 282, 2, 141.000000, ZIC, 1512, 30, 50.400000, 
trial0033037, AA, 163, 2, 81.500000, ZIC, 1573, 30, 52.433333, 
trial0033038, AA, 73, 2, 36.500000, ZIC, 1638, 30, 54.600000, 
trial0033039, AA, 0, 2, 0.000000, ZIC, 1761, 30, 58.700000, 
trial0033040, AA, 194, 2, 97.000000, ZIC, 1510, 30, 50.333333, 
trial0033041, AA, 357, 2, 178.500000, ZIC, 1273, 30, 42.433333, 
trial0033042, AA, 88, 2, 44.000000, ZIC, 1537, 30, 51.233333, 
trial0033043, AA, 176, 2, 88.000000, ZIC, 1461, 30, 48.700000, 
trial0033044, AA, 174, 2, 87.000000, ZIC, 1500, 30, 50.000000, 
trial0033045, AA, 29, 2, 14.500000, ZIC, 1570, 30, 52.333333, 
trial0033046, AA, 37, 2, 18.500000, ZIC, 1653, 30, 55.100000, 
