trial0048901, AA, 171, 14, 12.214286, ZIC, 240, 18, 13.333333, 
trial0048902, AA, 102, 14, 7.285714, ZIC, 296, 18, 16.444444, 
trial0048903, AA, 253, 14, 18.071429, ZIC, 165, 18, 9.166667, 
trial0048904, AA, 201, 14, 14.357143, ZIC, 217, 18, 12.055556, 
trial0048905, AA, 236, 14, 16.857143, ZIC, 175, 18, 9.722222, 
trial0048906, AA, 171, 14, 12.214286, ZIC, 240, 18, 13.333333, 
trial0048907, AA, 203, 14, 14.500000, ZIC, 175, 18, 9.722222, 
trial0048908, AA, 114, 14, 8.142857, ZIC, 243, 18, 13.500000, 
trial0048909, AA, 158, 14, 11.285714, ZIC, 253, 18, 14.055556, 
trial0048910, AA, 171, 14, 12.214286, ZIC, 228, 18, 12.666667, 
trial0048911, AA, 148, 14, 10.571429, ZIC, 223, 18, 12.388889, 
trial0048912, AA, 234, 14, 16.714286, ZIC, 136, 18, 7.555556, 
trial0048913, AA, 168, 14, 12.000000, ZIC, 237, 18, 13.166667, 
trial0048914, AA, 219, 14, 15.642857, ZIC, 179, 18, 9.944444, 
trial0048915, AA, 224, 14, 16.000000, ZIC, 167, 18, 9.277778, 
trial0048916, AA, 153, 14, 10.928571, ZIC, 272, 18, 15.111111, 
trial0048917, AA, 153, 14, 10.928571, ZIC, 238, 18, 13.222222, 
trial0048918, AA, 151, 14, 10.785714, ZIC, 267, 18, 14.833333, 
trial0048919, AA, 144, 14, 10.285714, ZIC, 267, 18, 14.833333, 
trial0048920, AA, 172, 14, 12.285714, ZIC, 246, 18, 13.666667, 
trial0048921, AA, 154, 14, 11.000000, ZIC, 237, 18, 13.166667, 
trial0048922, AA, 251, 14, 17.928571, ZIC, 127, 18, 7.055556, 
trial0048923, AA, 200, 14, 14.285714, ZIC, 185, 18, 10.277778, 
trial0048924, AA, 197, 14, 14.071429, ZIC, 208, 18, 11.555556, 
trial0048925, AA, 185, 14, 13.214286, ZIC, 180, 18, 10.000000, 
trial0048926, AA, 196, 14, 14.000000, ZIC, 209, 18, 11.611111, 
trial0048927, AA, 210, 14, 15.000000, ZIC, 195, 18, 10.833333, 
trial0048928, AA, 201, 14, 14.357143, ZIC, 217, 18, 12.055556, 
trial0048929, AA, 86, 14, 6.142857, ZIC, 291, 18, 16.166667, 
trial0048930, AA, 312, 14, 22.285714, ZIC, 119, 18, 6.611111, 
trial0048931, AA, 176, 14, 12.571429, ZIC, 202, 18, 11.222222, 
trial0048932, AA, 247, 14, 17.642857, ZIC, 187, 18, 10.388889, 
trial0048933, AA, 224, 14, 16.000000, ZIC, 225, 18, 12.500000, 
trial0048934, AA, 201, 14, 14.357143, ZIC, 189, 18, 10.500000, 
trial0048935, AA, 117, 14, 8.357143, ZIC, 304, 18, 16.888889, 
trial0048936, AA, 298, 14, 21.285714, ZIC, 144, 18, 8.000000, 
trial0048937, AA, 118, 14, 8.428571, ZIC, 310, 18, 17.222222, 
trial0048938, AA, 257, 14, 18.357143, ZIC, 185, 18, 10.277778, 
trial0048939, AA, 177, 14, 12.642857, ZIC, 229, 18, 12.722222, 
trial0048940, AA, 209, 14, 14.928571, ZIC, 211, 18, 11.722222, 
trial0048941, AA, 140, 14, 10.000000, ZIC, 287, 18, 15.944444, 
trial0048942, AA, 253, 14, 18.071429, ZIC, 196, 18, 10.888889, 
trial0048943, AA, 172, 14, 12.285714, ZIC, 212, 18, 11.777778, 
trial0048944, AA, 236, 14, 16.857143, ZIC, 191, 18, 10.611111, 
trial0048945, AA, 170, 14, 12.142857, ZIC, 257, 18, 14.277778, 
trial0048946, AA, 181, 14, 12.928571, ZIC, 246, 18, 13.666667, 
trial0048947, AA, 184, 14, 13.142857, ZIC, 243, 18, 13.500000, 
trial0048948, AA, 144, 14, 10.285714, ZIC, 269, 18, 14.944444, 
trial0048949, AA, 239, 14, 17.071429, ZIC, 159, 18, 8.833333, 
trial0048950, AA, 212, 14, 15.142857, ZIC, 180, 18, 10.000000, 
trial0048951, AA, 173, 14, 12.357143, ZIC, 233, 18, 12.944444, 
trial0048952, AA, 155, 14, 11.071429, ZIC, 302, 18, 16.777778, 
trial0048953, AA, 195, 14, 13.928571, ZIC, 262, 18, 14.555556, 
trial0048954, AA, 185, 14, 13.214286, ZIC, 264, 18, 14.666667, 
trial0048955, AA, 256, 14, 18.285714, ZIC, 193, 18, 10.722222, 
trial0048956, AA, 180, 14, 12.857143, ZIC, 262, 18, 14.555556, 
trial0048957, AA, 164, 14, 11.714286, ZIC, 263, 18, 14.611111, 
trial0048958, AA, 101, 14, 7.214286, ZIC, 297, 18, 16.500000, 
trial0048959, AA, 178, 14, 12.714286, ZIC, 271, 18, 15.055556, 
trial0048960, AA, 141, 14, 10.071429, ZIC, 286, 18, 15.888889, 
trial0048961, AA, 10, 14, 0.714286, ZIC, 8, 18, 0.444444, 
trial0048962, AA, 9, 14, 0.642857, ZIC, 1, 18, 0.055556, 
trial0048963, AA, 7, 14, 0.500000, ZIC, 7, 18, 0.388889, 
trial0048964, AA, 7, 14, 0.500000, ZIC, 7, 18, 0.388889, 
trial0048965, AA, 0, 14, 0.000000, ZIC, 11, 18, 0.611111, 
trial0048966, AA, 5, 14, 0.357143, ZIC, 10, 18, 0.555556, 
trial0048967, AA, 12, 14, 0.857143, ZIC, 8, 18, 0.444444, 
trial0048968, AA, 3, 14, 0.214286, ZIC, 4, 18, 0.222222, 
trial0048969, AA, 2, 14, 0.142857, ZIC, 6, 18, 0.333333, 
trial0048970, AA, 3, 14, 0.214286, ZIC, 11, 18, 0.611111, 
trial0048971, AA, 6, 14, 0.428571, ZIC, 8, 18, 0.444444, 
trial0048972, AA, 8, 14, 0.571429, ZIC, 2, 18, 0.111111, 
trial0048973, AA, 7, 14, 0.500000, ZIC, 6, 18, 0.333333, 
trial0048974, AA, 8, 14, 0.571429, ZIC, 6, 18, 0.333333, 
trial0048975, AA, 6, 14, 0.428571, ZIC, 2, 18, 0.111111, 
trial0048976, AA, 7, 14, 0.500000, ZIC, 3, 18, 0.166667, 
trial0048977, AA, 3, 14, 0.214286, ZIC, 6, 18, 0.333333, 
trial0048978, AA, 4, 14, 0.285714, ZIC, 5, 18, 0.277778, 
