trial0006901, GDX, 143, 14, 10.214286, ZIC, 52, 18, 2.888889, 
trial0006902, GDX, 118, 14, 8.428571, ZIC, 89, 18, 4.944444, 
trial0006903, GDX, 133, 14, 9.500000, ZIC, 215, 18, 11.944444, 
trial0006904, GDX, 148, 14, 10.571429, ZIC, 134, 18, 7.444444, 
trial0006905, GDX, 209, 14, 14.928571, ZIC, 56, 18, 3.111111, 
trial0006906, GDX, 83, 14, 5.928571, ZIC, 137, 18, 7.611111, 
trial0006907, GDX, 127, 14, 9.071429, ZIC, 84, 18, 4.666667, 
trial0006908, GDX, 58, 14, 4.142857, ZIC, 146, 18, 8.111111, 
trial0006909, GDX, 113, 14, 8.071429, ZIC, 69, 18, 3.833333, 
trial0006910, GDX, 425, 14, 30.357143, ZIC, 148, 18, 8.222222, 
trial0006911, GDX, 102, 14, 7.285714, ZIC, 155, 18, 8.611111, 
trial0006912, GDX, 121, 14, 8.642857, ZIC, 128, 18, 7.111111, 
trial0006913, GDX, 252, 14, 18.000000, ZIC, 165, 18, 9.166667, 
trial0006914, GDX, 70, 14, 5.000000, ZIC, 158, 18, 8.777778, 
trial0006915, GDX, 194, 14, 13.857143, ZIC, 224, 18, 12.444444, 
trial0006916, GDX, 160, 14, 11.428571, ZIC, 148, 18, 8.222222, 
trial0006917, GDX, 115, 14, 8.214286, ZIC, 197, 18, 10.944444, 
trial0006918, GDX, 222, 14, 15.857143, ZIC, 177, 18, 9.833333, 
trial0006919, GDX, 266, 14, 19.000000, ZIC, 128, 18, 7.111111, 
trial0006920, GDX, 237, 14, 16.928571, ZIC, 202, 18, 11.222222, 
trial0006921, GDX, 191, 14, 13.642857, ZIC, 75, 18, 4.166667, 
trial0006922, GDX, 289, 14, 20.642857, ZIC, 128, 18, 7.111111, 
trial0006923, GDX, 228, 14, 16.285714, ZIC, 63, 18, 3.500000, 
trial0006924, GDX, 123, 14, 8.785714, ZIC, 82, 18, 4.555556, 
trial0006925, GDX, 111, 14, 7.928571, ZIC, 75, 18, 4.166667, 
trial0006926, GDX, 355, 14, 25.357143, ZIC, 162, 18, 9.000000, 
trial0006927, GDX, 132, 14, 9.428571, ZIC, 148, 18, 8.222222, 
trial0006928, GDX, 141, 14, 10.071429, ZIC, 39, 18, 2.166667, 
trial0006929, GDX, 244, 14, 17.428571, ZIC, 90, 18, 5.000000, 
trial0006930, GDX, 263, 14, 18.785714, ZIC, 140, 18, 7.777778, 
trial0006931, GDX, 4127, 14, 294.785714, ZIC, 4466, 18, 248.111111, 
trial0006932, GDX, 5480, 14, 391.428571, ZIC, 3052, 18, 169.555556, 
trial0006933, GDX, 4585, 14, 327.500000, ZIC, 3366, 18, 187.000000, 
trial0006934, GDX, 5486, 14, 391.857143, ZIC, 2938, 18, 163.222222, 
trial0006935, GDX, 3955, 14, 282.500000, ZIC, 3919, 18, 217.722222, 
trial0006936, GDX, 4770, 14, 340.714286, ZIC, 3799, 18, 211.055556, 
trial0006937, GDX, 3908, 14, 279.142857, ZIC, 4502, 18, 250.111111, 
trial0006938, GDX, 5387, 14, 384.785714, ZIC, 2556, 18, 142.000000, 
trial0006939, GDX, 4654, 14, 332.428571, ZIC, 3965, 18, 220.277778, 
trial0006940, GDX, 4353, 14, 310.928571, ZIC, 3360, 18, 186.666667, 
trial0006941, GDX, 2652, 14, 189.428571, ZIC, 6143, 18, 341.277778, 
trial0006942, GDX, 3444, 14, 246.000000, ZIC, 5624, 18, 312.444444, 
trial0006943, GDX, 3795, 14, 271.071429, ZIC, 5226, 18, 290.333333, 
trial0006944, GDX, 5091, 14, 363.642857, ZIC, 2768, 18, 153.777778, 
trial0006945, GDX, 4150, 14, 296.428571, ZIC, 5381, 18, 298.944444, 
trial0006946, GDX, 4031, 14, 287.928571, ZIC, 4281, 18, 237.833333, 
trial0006947, GDX, 5063, 14, 361.642857, ZIC, 3139, 18, 174.388889, 
trial0006948, GDX, 3157, 14, 225.500000, ZIC, 4602, 18, 255.666667, 
trial0006949, GDX, 4359, 14, 311.357143, ZIC, 4782, 18, 265.666667, 
trial0006950, GDX, 3205, 14, 228.928571, ZIC, 6027, 18, 334.833333, 
trial0006951, GDX, 3372, 14, 240.857143, ZIC, 5257, 18, 292.055556, 
trial0006952, GDX, 4813, 14, 343.785714, ZIC, 4063, 18, 225.722222, 
trial0006953, GDX, 3921, 14, 280.071429, ZIC, 4747, 18, 263.722222, 
trial0006954, GDX, 3567, 14, 254.785714, ZIC, 5509, 18, 306.055556, 
trial0006955, GDX, 3089, 14, 220.642857, ZIC, 4149, 18, 230.500000, 
trial0006956, GDX, 3545, 14, 253.214286, ZIC, 5309, 18, 294.944444, 
trial0006957, GDX, 3248, 14, 232.000000, ZIC, 4317, 18, 239.833333, 
trial0006958, GDX, 3369, 14, 240.642857, ZIC, 5700, 18, 316.666667, 
trial0006959, GDX, 4280, 14, 305.714286, ZIC, 5022, 18, 279.000000, 
trial0006960, GDX, 3886, 14, 277.571429, ZIC, 5318, 18, 295.444444, 
trial0006961, GDX, 2587, 14, 184.785714, ZIC, 1188, 18, 66.000000, 
trial0006962, GDX, 2197, 14, 156.928571, ZIC, 1732, 18, 96.222222, 
trial0006963, GDX, 1695, 14, 121.071429, ZIC, 1868, 18, 103.777778, 
trial0006964, GDX, 1293, 14, 92.357143, ZIC, 1691, 18, 93.944444, 
trial0006965, GDX, 2291, 14, 163.642857, ZIC, 1523, 18, 84.611111, 
trial0006966, GDX, 2016, 14, 144.000000, ZIC, 1702, 18, 94.555556, 
trial0006967, GDX, 1646, 14, 117.571429, ZIC, 1556, 18, 86.444444, 
trial0006968, GDX, 2078, 14, 148.428571, ZIC, 1451, 18, 80.611111, 
trial0006969, GDX, 3666, 14, 261.857143, ZIC, 830, 18, 46.111111, 
trial0006970, GDX, 1560, 14, 111.428571, ZIC, 1592, 18, 88.444444, 
trial0006971, GDX, 1277, 14, 91.214286, ZIC, 2497, 18, 138.722222, 
trial0006972, GDX, 2288, 14, 163.428571, ZIC, 1249, 18, 69.388889, 
trial0006973, GDX, 2068, 14, 147.714286, ZIC, 1766, 18, 98.111111, 
trial0006974, GDX, 1918, 14, 137.000000, ZIC, 1997, 18, 110.944444, 
trial0006975, GDX, 2427, 14, 173.357143, ZIC, 1209, 18, 67.166667, 
trial0006976, GDX, 1935, 14, 138.214286, ZIC, 1441, 18, 80.055556, 
trial0006977, GDX, 1984, 14, 141.714286, ZIC, 1421, 18, 78.944444, 
trial0006978, GDX, 1971, 14, 140.785714, ZIC, 1804, 18, 100.222222, 
trial0006979, GDX, 1132, 14, 80.857143, ZIC, 2520, 18, 140.000000, 
trial0006980, GDX, 2031, 14, 145.071429, ZIC, 1542, 18, 85.666667, 
trial0006981, GDX, 2254, 14, 161.000000, ZIC, 1658, 18, 92.111111, 
trial0006982, GDX, 1737, 14, 124.071429, ZIC, 2201, 18, 122.277778, 
trial0006983, GDX, 2065, 14, 147.500000, ZIC, 1615, 18, 89.722222, 
trial0006984, GDX, 1829, 14, 130.642857, ZIC, 1758, 18, 97.666667, 
trial0006985, GDX, 1432, 14, 102.285714, ZIC, 2027, 18, 112.611111, 
trial0006986, GDX, 1598, 14, 114.142857, ZIC, 2251, 18, 125.055556, 
trial0006987, GDX, 1380, 14, 98.571429, ZIC, 2225, 18, 123.611111, 
trial0006988, GDX, 4040, 14, 288.571429, ZIC, 423, 18, 23.500000, 
trial0006989, GDX, 2620, 14, 187.142857, ZIC, 1201, 18, 66.722222, 
trial0006990, GDX, 2057, 14, 146.928571, ZIC, 1363, 18, 75.722222, 
trial0006991, GDX, 2073, 14, 148.071429, ZIC, 2516, 18, 139.777778, 
trial0006992, GDX, 1172, 14, 83.714286, ZIC, 3371, 18, 187.277778, 
trial0006993, GDX, 2255, 14, 161.071429, ZIC, 2012, 18, 111.777778, 
trial0006994, GDX, 2928, 14, 209.142857, ZIC, 2233, 18, 124.055556, 
trial0006995, GDX, 2484, 14, 177.428571, ZIC, 1968, 18, 109.333333, 
trial0006996, GDX, 2921, 14, 208.642857, ZIC, 2427, 18, 134.833333, 
trial0006997, GDX, 2361, 14, 168.642857, ZIC, 2794, 18, 155.222222, 
trial0006998, GDX, 2619, 14, 187.071429, ZIC, 2258, 18, 125.444444, 
trial0006999, GDX, 3030, 14, 216.428571, ZIC, 2082, 18, 115.666667, 
trial0007000, GDX, 2139, 14, 152.785714, ZIC, 3145, 18, 174.722222, 
trial0007001, GDX, 2328, 14, 166.285714, ZIC, 2991, 18, 166.166667, 
trial0007002, GDX, 2414, 14, 172.428571, ZIC, 2581, 18, 143.388889, 
trial0007003, GDX, 2281, 14, 162.928571, ZIC, 2430, 18, 135.000000, 
trial0007004, GDX, 2653, 14, 189.500000, ZIC, 1886, 18, 104.777778, 
trial0007005, GDX, 2722, 14, 194.428571, ZIC, 1956, 18, 108.666667, 
trial0007006, GDX, 2307, 14, 164.785714, ZIC, 2564, 18, 142.444444, 
trial0007007, GDX, 3698, 14, 264.142857, ZIC, 1775, 18, 98.611111, 
trial0007008, GDX, 1085, 14, 77.500000, ZIC, 3711, 18, 206.166667, 
trial0007009, GDX, 3045, 14, 217.500000, ZIC, 1659, 18, 92.166667, 
trial0007010, GDX, 2724, 14, 194.571429, ZIC, 2811, 18, 156.166667, 
trial0007011, GDX, 2741, 14, 195.785714, ZIC, 2633, 18, 146.277778, 
trial0007012, GDX, 1962, 14, 140.142857, ZIC, 2139, 18, 118.833333, 
trial0007013, GDX, 3538, 14, 252.714286, ZIC, 1789, 18, 99.388889, 
trial0007014, GDX, 2901, 14, 207.214286, ZIC, 2578, 18, 143.222222, 
trial0007015, GDX, 3013, 14, 215.214286, ZIC, 1454, 18, 80.777778, 
trial0007016, GDX, 1389, 14, 99.214286, ZIC, 3347, 18, 185.944444, 
trial0007017, GDX, 2682, 14, 191.571429, ZIC, 2718, 18, 151.000000, 
trial0007018, GDX, 3484, 14, 248.857143, ZIC, 1530, 18, 85.000000, 
trial0007019, GDX, 1410, 14, 100.714286, ZIC, 3500, 18, 194.444444, 
trial0007020, GDX, 1495, 14, 106.785714, ZIC, 2477, 18, 137.611111, 
trial0007021, GDX, 1795, 14, 128.214286, ZIC, 3716, 18, 206.444444, 
trial0007022, GDX, 3448, 14, 246.285714, ZIC, 2796, 18, 155.333333, 
trial0007023, GDX, 2357, 14, 168.357143, ZIC, 3411, 18, 189.500000, 
trial0007024, GDX, 2396, 14, 171.142857, ZIC, 4303, 18, 239.055556, 
trial0007025, GDX, 2841, 14, 202.928571, ZIC, 3500, 18, 194.444444, 
trial0007026, GDX, 3413, 14, 243.785714, ZIC, 2068, 18, 114.888889, 
trial0007027, GDX, 3220, 14, 230.000000, ZIC, 3742, 18, 207.888889, 
trial0007028, GDX, 2522, 14, 180.142857, ZIC, 3559, 18, 197.722222, 
trial0007029, GDX, 3309, 14, 236.357143, ZIC, 3454, 18, 191.888889, 
trial0007030, GDX, 2899, 14, 207.071429, ZIC, 3848, 18, 213.777778, 
trial0007031, GDX, 2723, 14, 194.500000, ZIC, 3236, 18, 179.777778, 
trial0007032, GDX, 3105, 14, 221.785714, ZIC, 3429, 18, 190.500000, 
trial0007033, GDX, 3669, 14, 262.071429, ZIC, 2694, 18, 149.666667, 
trial0007034, GDX, 3543, 14, 253.071429, ZIC, 3208, 18, 178.222222, 
trial0007035, GDX, 2991, 14, 213.642857, ZIC, 2372, 18, 131.777778, 
trial0007036, GDX, 3576, 14, 255.428571, ZIC, 2943, 18, 163.500000, 
trial0007037, GDX, 3032, 14, 216.571429, ZIC, 3558, 18, 197.666667, 
trial0007038, GDX, 2977, 14, 212.642857, ZIC, 2801, 18, 155.611111, 
trial0007039, GDX, 2934, 14, 209.571429, ZIC, 3139, 18, 174.388889, 
trial0007040, GDX, 3514, 14, 251.000000, ZIC, 3605, 18, 200.277778, 
trial0007041, GDX, 1885, 14, 134.642857, ZIC, 3459, 18, 192.166667, 
trial0007042, GDX, 3330, 14, 237.857143, ZIC, 2841, 18, 157.833333, 
trial0007043, GDX, 1506, 14, 107.571429, ZIC, 4763, 18, 264.611111, 
trial0007044, GDX, 2954, 14, 211.000000, ZIC, 3629, 18, 201.611111, 
trial0007045, GDX, 3308, 14, 236.285714, ZIC, 2863, 18, 159.055556, 
trial0007046, GDX, 3335, 14, 238.214286, ZIC, 2846, 18, 158.111111, 
trial0007047, GDX, 2485, 14, 177.500000, ZIC, 4088, 18, 227.111111, 
trial0007048, GDX, 3599, 14, 257.071429, ZIC, 3285, 18, 182.500000, 
trial0007049, GDX, 2298, 14, 164.142857, ZIC, 3314, 18, 184.111111, 
trial0007050, GDX, 2720, 14, 194.285714, ZIC, 3450, 18, 191.666667, 
trial0007051, GDX, 950, 14, 67.857143, ZIC, 629, 18, 34.944444, 
trial0007052, GDX, 680, 14, 48.571429, ZIC, 1130, 18, 62.777778, 
trial0007053, GDX, 1135, 14, 81.071429, ZIC, 736, 18, 40.888889, 
trial0007054, GDX, 921, 14, 65.785714, ZIC, 1220, 18, 67.777778, 
trial0007055, GDX, 1357, 14, 96.928571, ZIC, 763, 18, 42.388889, 
trial0007056, GDX, 651, 14, 46.500000, ZIC, 886, 18, 49.222222, 
trial0007057, GDX, 1505, 14, 107.500000, ZIC, 529, 18, 29.388889, 
trial0007058, GDX, 2012, 14, 143.714286, ZIC, 382, 18, 21.222222, 
trial0007059, GDX, 944, 14, 67.428571, ZIC, 1027, 18, 57.055556, 
trial0007060, GDX, 439, 14, 31.357143, ZIC, 1432, 18, 79.555556, 
trial0007061, GDX, 654, 14, 46.714286, ZIC, 878, 18, 48.777778, 
trial0007062, GDX, 1007, 14, 71.928571, ZIC, 488, 18, 27.111111, 
trial0007063, GDX, 723, 14, 51.642857, ZIC, 845, 18, 46.944444, 
trial0007064, GDX, 829, 14, 59.214286, ZIC, 650, 18, 36.111111, 
trial0007065, GDX, 813, 14, 58.071429, ZIC, 1075, 18, 59.722222, 
trial0007066, GDX, 991, 14, 70.785714, ZIC, 983, 18, 54.611111, 
trial0007067, GDX, 586, 14, 41.857143, ZIC, 874, 18, 48.555556, 
trial0007068, GDX, 993, 14, 70.928571, ZIC, 816, 18, 45.333333, 
trial0007069, GDX, 905, 14, 64.642857, ZIC, 980, 18, 54.444444, 
trial0007070, GDX, 931, 14, 66.500000, ZIC, 1053, 18, 58.500000, 
trial0007071, GDX, 1450, 14, 103.571429, ZIC, 302, 18, 16.777778, 
trial0007072, GDX, 888, 14, 63.428571, ZIC, 731, 18, 40.611111, 
trial0007073, GDX, 1094, 14, 78.142857, ZIC, 774, 18, 43.000000, 
trial0007074, GDX, 1071, 14, 76.500000, ZIC, 1176, 18, 65.333333, 
trial0007075, GDX, 1333, 14, 95.214286, ZIC, 662, 18, 36.777778, 
trial0007076, GDX, 851, 14, 60.785714, ZIC, 938, 18, 52.111111, 
trial0007077, GDX, 757, 14, 54.071429, ZIC, 1272, 18, 70.666667, 
trial0007078, GDX, 658, 14, 47.000000, ZIC, 1099, 18, 61.055556, 
trial0007079, GDX, 1122, 14, 80.142857, ZIC, 643, 18, 35.722222, 
trial0007080, GDX, 949, 14, 67.785714, ZIC, 629, 18, 34.944444, 
trial0007081, GDX, 1274, 14, 91.000000, ZIC, 1850, 18, 102.777778, 
trial0007082, GDX, 1491, 14, 106.500000, ZIC, 1339, 18, 74.388889, 
trial0007083, GDX, 1972, 14, 140.857143, ZIC, 1730, 18, 96.111111, 
trial0007084, GDX, 2518, 14, 179.857143, ZIC, 1458, 18, 81.000000, 
trial0007085, GDX, 2024, 14, 144.571429, ZIC, 1874, 18, 104.111111, 
trial0007086, GDX, 1584, 14, 113.142857, ZIC, 1780, 18, 98.888889, 
trial0007087, GDX, 1505, 14, 107.500000, ZIC, 1435, 18, 79.722222, 
trial0007088, GDX, 2074, 14, 148.142857, ZIC, 1597, 18, 88.722222, 
trial0007089, GDX, 2330, 14, 166.428571, ZIC, 1375, 18, 76.388889, 
trial0007090, GDX, 1921, 14, 137.214286, ZIC, 1424, 18, 79.111111, 
trial0007091, GDX, 1214, 14, 86.714286, ZIC, 2297, 18, 127.611111, 
trial0007092, GDX, 1784, 14, 127.428571, ZIC, 1683, 18, 93.500000, 
trial0007093, GDX, 1037, 14, 74.071429, ZIC, 2174, 18, 120.777778, 
trial0007094, GDX, 2064, 14, 147.428571, ZIC, 1336, 18, 74.222222, 
trial0007095, GDX, 1664, 14, 118.857143, ZIC, 1934, 18, 107.444444, 
trial0007096, GDX, 1667, 14, 119.071429, ZIC, 2045, 18, 113.611111, 
trial0007097, GDX, 1539, 14, 109.928571, ZIC, 1744, 18, 96.888889, 
trial0007098, GDX, 1438, 14, 102.714286, ZIC, 1894, 18, 105.222222, 
trial0007099, GDX, 1564, 14, 111.714286, ZIC, 1980, 18, 110.000000, 
trial0007100, GDX, 1038, 14, 74.142857, ZIC, 2508, 18, 139.333333, 
trial0007101, GDX, 1685, 14, 120.357143, ZIC, 2061, 18, 114.500000, 
trial0007102, GDX, 1482, 14, 105.857143, ZIC, 2333, 18, 129.611111, 
trial0007103, GDX, 827, 14, 59.071429, ZIC, 2605, 18, 144.722222, 
trial0007104, GDX, 1847, 14, 131.928571, ZIC, 1935, 18, 107.500000, 
trial0007105, GDX, 2959, 14, 211.357143, ZIC, 1061, 18, 58.944444, 
trial0007106, GDX, 2086, 14, 149.000000, ZIC, 1626, 18, 90.333333, 
trial0007107, GDX, 1453, 14, 103.785714, ZIC, 1732, 18, 96.222222, 
trial0007108, GDX, 2118, 14, 151.285714, ZIC, 1617, 18, 89.833333, 
trial0007109, GDX, 1562, 14, 111.571429, ZIC, 2090, 18, 116.111111, 
trial0007110, GDX, 1412, 14, 100.857143, ZIC, 2495, 18, 138.611111, 
trial0007111, GDX, 4398, 14, 314.142857, ZIC, 6665, 18, 370.277778, 
