trial0010801, GDX, 150, 24, 6.250000, ZIC, 0, 8, 0.000000, 
trial0010802, GDX, 322, 24, 13.416667, ZIC, 85, 8, 10.625000, 
trial0010803, GDX, 30, 24, 1.250000, ZIC, 422, 8, 52.750000, 
trial0010804, GDX, 72, 24, 3.000000, ZIC, 0, 8, 0.000000, 
trial0010805, GDX, 120, 24, 5.000000, ZIC, 82, 8, 10.250000, 
trial0010806, GDX, 313, 24, 13.041667, ZIC, 111, 8, 13.875000, 
trial0010807, GDX, 207, 24, 8.625000, ZIC, 430, 8, 53.750000, 
trial0010808, GDX, 585, 24, 24.375000, ZIC, 176, 8, 22.000000, 
trial0010809, GDX, 438, 24, 18.250000, ZIC, 57, 8, 7.125000, 
trial0010810, GDX, 78, 24, 3.250000, ZIC, 315, 8, 39.375000, 
trial0010811, GDX, 183, 24, 7.625000, ZIC, 91, 8, 11.375000, 
trial0010812, GDX, 123, 24, 5.125000, ZIC, 171, 8, 21.375000, 
trial0010813, GDX, 130, 24, 5.416667, ZIC, 46, 8, 5.750000, 
trial0010814, GDX, 239, 24, 9.958333, ZIC, 131, 8, 16.375000, 
trial0010815, GDX, 303, 24, 12.625000, ZIC, 185, 8, 23.125000, 
trial0010816, GDX, 23, 24, 0.958333, ZIC, 230, 8, 28.750000, 
trial0010817, GDX, 149, 24, 6.208333, ZIC, 189, 8, 23.625000, 
trial0010818, GDX, 594, 24, 24.750000, ZIC, 64, 8, 8.000000, 
trial0010819, GDX, 410, 24, 17.083333, ZIC, 90, 8, 11.250000, 
trial0010820, GDX, 278, 24, 11.583333, ZIC, 321, 8, 40.125000, 
trial0010821, GDX, 92, 24, 3.833333, ZIC, 59, 8, 7.375000, 
trial0010822, GDX, 201, 24, 8.375000, ZIC, 111, 8, 13.875000, 
trial0010823, GDX, 55, 24, 2.291667, ZIC, 443, 8, 55.375000, 
trial0010824, GDX, 101, 24, 4.208333, ZIC, 140, 8, 17.500000, 
trial0010825, GDX, 310, 24, 12.916667, ZIC, 89, 8, 11.125000, 
trial0010826, GDX, 99, 24, 4.125000, ZIC, 182, 8, 22.750000, 
trial0010827, GDX, 82, 24, 3.416667, ZIC, 290, 8, 36.250000, 
trial0010828, GDX, 2, 24, 0.083333, ZIC, 349, 8, 43.625000, 
trial0010829, GDX, 104, 24, 4.333333, ZIC, 472, 8, 59.000000, 
trial0010830, GDX, 300, 24, 12.500000, ZIC, 137, 8, 17.125000, 
trial0010831, GDX, 307, 24, 12.791667, ZIC, 129, 8, 16.125000, 
trial0010832, GDX, 18, 24, 0.750000, ZIC, 216, 8, 27.000000, 
trial0010833, GDX, 179, 24, 7.458333, ZIC, 456, 8, 57.000000, 
trial0010834, GDX, 671, 24, 27.958333, ZIC, 27, 8, 3.375000, 
trial0010835, GDX, 75, 24, 3.125000, ZIC, 374, 8, 46.750000, 
trial0010836, GDX, 322, 24, 13.416667, ZIC, 168, 8, 21.000000, 
