trial0036601, AA, 812, 24, 33.833333, ZIC, 100, 4, 25.000000, ZIP, 293, 4, 73.250000, 
trial0036602, AA, 880, 24, 36.666667, ZIC, 182, 4, 45.500000, ZIP, 122, 4, 30.500000, 
trial0036603, AA, 872, 24, 36.333333, ZIC, 97, 4, 24.250000, ZIP, 116, 4, 29.000000, 
trial0036604, AA, 842, 24, 35.083333, ZIC, 105, 4, 26.250000, ZIP, 181, 4, 45.250000, 
trial0036605, AA, 939, 24, 39.125000, ZIC, 159, 4, 39.750000, ZIP, 4, 4, 1.000000, 
trial0036606, AA, 1017, 24, 42.375000, ZIC, 128, 4, 32.000000, ZIP, 11, 4, 2.750000, 
trial0036607, AA, 889, 24, 37.041667, ZIC, 85, 4, 21.250000, ZIP, 172, 4, 43.000000, 
trial0036608, AA, 953, 24, 39.708333, ZIC, 64, 4, 16.000000, ZIP, 20, 4, 5.000000, 
trial0036609, AA, 839, 24, 34.958333, ZIC, 80, 4, 20.000000, ZIP, 221, 4, 55.250000, 
trial0036610, AA, 903, 24, 37.625000, ZIC, 180, 4, 45.000000, ZIP, 82, 4, 20.500000, 
trial0036611, AA, 868, 24, 36.166667, ZIC, 165, 4, 41.250000, ZIP, 59, 4, 14.750000, 
trial0036612, AA, 820, 24, 34.166667, ZIC, 124, 4, 31.000000, ZIP, 222, 4, 55.500000, 
trial0036613, AA, 962, 24, 40.083333, ZIC, 116, 4, 29.000000, ZIP, 94, 4, 23.500000, 
trial0036614, AA, 899, 24, 37.458333, ZIC, 229, 4, 57.250000, ZIP, 43, 4, 10.750000, 
trial0036615, AA, 880, 24, 36.666667, ZIC, 78, 4, 19.500000, ZIP, 190, 4, 47.500000, 
trial0036616, AA, 797, 24, 33.208333, ZIC, 308, 4, 77.000000, ZIP, 50, 4, 12.500000, 
trial0036617, AA, 1029, 24, 42.875000, ZIC, 21, 4, 5.250000, ZIP, 54, 4, 13.500000, 
trial0036618, AA, 828, 24, 34.500000, ZIC, 122, 4, 30.500000, ZIP, 100, 4, 25.000000, 
trial0036619, AA, 896, 24, 37.333333, ZIC, 141, 4, 35.250000, ZIP, 121, 4, 30.250000, 
trial0036620, AA, 967, 24, 40.291667, ZIC, 162, 4, 40.500000, ZIP, 34, 4, 8.500000, 
trial0036621, AA, 1139, 24, 47.458333, ZIC, 6, 4, 1.500000, ZIP, 0, 4, 0.000000, 
trial0036622, AA, 942, 24, 39.250000, ZIC, 81, 4, 20.250000, ZIP, 86, 4, 21.500000, 
trial0036623, AA, 798, 24, 33.250000, ZIC, 83, 4, 20.750000, ZIP, 243, 4, 60.750000, 
trial0036624, AA, 955, 24, 39.791667, ZIC, 0, 4, 0.000000, ZIP, 179, 4, 44.750000, 
trial0036625, AA, 849, 24, 35.375000, ZIC, 242, 4, 60.500000, ZIP, 10, 4, 2.500000, 
trial0036626, AA, 720, 24, 30.000000, ZIC, 259, 4, 64.750000, ZIP, 143, 4, 35.750000, 
trial0036627, AA, 1028, 24, 42.833333, ZIC, 48, 4, 12.000000, ZIP, 52, 4, 13.000000, 
trial0036628, AA, 1014, 24, 42.250000, ZIC, 35, 4, 8.750000, ZIP, 60, 4, 15.000000, 
trial0036629, AA, 1104, 24, 46.000000, ZIC, 23, 4, 5.750000, ZIP, 6, 4, 1.500000, 
trial0036630, AA, 801, 24, 33.375000, ZIC, 141, 4, 35.250000, ZIP, 156, 4, 39.000000, 
trial0036631, AA, 910, 24, 37.916667, ZIC, 153, 4, 38.250000, ZIP, 143, 4, 35.750000, 
trial0036632, AA, 914, 24, 38.083333, ZIC, 90, 4, 22.500000, ZIP, 302, 4, 75.500000, 
