trial0003081, AA, 77, 2, 38.500000, ZIC, 112, 38, 2.947368, 
trial0003082, AA, 2, 2, 1.000000, ZIC, 267, 38, 7.026316, 
trial0003083, AA, 100, 2, 50.000000, ZIC, 96, 38, 2.526316, 
trial0003084, AA, 1, 2, 0.500000, ZIC, 153, 38, 4.026316, 
trial0003085, AA, 76, 2, 38.000000, ZIC, 273, 38, 7.184211, 
trial0003086, AA, 13, 2, 6.500000, ZIC, 259, 38, 6.815789, 
trial0003087, AA, 9, 2, 4.500000, ZIC, 131, 38, 3.447368, 
trial0003088, AA, 108, 2, 54.000000, ZIC, 86, 38, 2.263158, 
trial0003089, AA, 20, 2, 10.000000, ZIC, 93, 38, 2.447368, 
trial0003090, AA, 14, 2, 7.000000, ZIC, 139, 38, 3.657895, 
trial0003091, AA, 73, 2, 36.500000, ZIC, 34, 38, 0.894737, 
trial0003092, AA, 1, 2, 0.500000, ZIC, 68, 38, 1.789474, 
trial0003093, AA, 73, 2, 36.500000, ZIC, 66, 38, 1.736842, 
trial0003094, AA, 18, 2, 9.000000, ZIC, 158, 38, 4.157895, 
trial0003095, AA, 60, 2, 30.000000, ZIC, 204, 38, 5.368421, 
trial0003096, AA, 118, 2, 59.000000, ZIC, 70, 38, 1.842105, 
trial0003097, AA, 114, 2, 57.000000, ZIC, 142, 38, 3.736842, 
trial0003098, AA, 2, 2, 1.000000, ZIC, 131, 38, 3.447368, 
trial0003099, AA, 17, 2, 8.500000, ZIC, 70, 38, 1.842105, 
trial0003100, AA, 10, 2, 5.000000, ZIC, 134, 38, 3.526316, 
trial0003101, AA, 105, 2, 52.500000, ZIC, 8317, 38, 218.868421, 
trial0003102, AA, 559, 2, 279.500000, ZIC, 7721, 38, 203.184211, 
trial0003103, AA, 1442, 2, 721.000000, ZIC, 6985, 38, 183.815789, 
trial0003104, AA, 207, 2, 103.500000, ZIC, 7628, 38, 200.736842, 
trial0003105, AA, 506, 2, 253.000000, ZIC, 6766, 38, 178.052632, 
trial0003106, AA, 994, 2, 497.000000, ZIC, 6989, 38, 183.921053, 
trial0003107, AA, 380, 2, 190.000000, ZIC, 7610, 38, 200.263158, 
trial0003108, AA, 876, 2, 438.000000, ZIC, 7199, 38, 189.447368, 
trial0003109, AA, 1486, 2, 743.000000, ZIC, 6424, 38, 169.052632, 
trial0003110, AA, 2, 2, 1.000000, ZIC, 8443, 38, 222.184211, 
trial0003111, AA, 249, 2, 124.500000, ZIC, 7506, 38, 197.526316, 
trial0003112, AA, 1057, 2, 528.500000, ZIC, 6135, 38, 161.447368, 
trial0003113, AA, 462, 2, 231.000000, ZIC, 7867, 38, 207.026316, 
trial0003114, AA, 9, 2, 4.500000, ZIC, 7998, 38, 210.473684, 
trial0003115, AA, 245, 2, 122.500000, ZIC, 7507, 38, 197.552632, 
trial0003116, AA, 3, 2, 1.500000, ZIC, 7387, 38, 194.394737, 
trial0003117, AA, 1299, 2, 649.500000, ZIC, 6340, 38, 166.842105, 
trial0003118, AA, 460, 2, 230.000000, ZIC, 7517, 38, 197.815789, 
trial0003119, AA, 508, 2, 254.000000, ZIC, 7241, 38, 190.552632, 
trial0003120, AA, 1393, 2, 696.500000, ZIC, 6306, 38, 165.947368, 
trial0003121, AA, 640, 2, 320.000000, ZIC, 7143, 38, 187.973684, 
trial0003122, AA, 19, 2, 9.500000, ZIC, 8042, 38, 211.631579, 
trial0003123, AA, 747, 2, 373.500000, ZIC, 6983, 38, 183.763158, 
trial0003124, AA, 218, 2, 109.000000, ZIC, 7205, 38, 189.605263, 
trial0003125, AA, 312, 2, 156.000000, ZIC, 6715, 38, 176.710526, 
trial0003126, AA, 729, 2, 364.500000, ZIC, 7127, 38, 187.552632, 
trial0003127, AA, 861, 2, 430.500000, ZIC, 7270, 38, 191.315789, 
trial0003128, AA, 266, 2, 133.000000, ZIC, 7482, 38, 196.894737, 
trial0003129, AA, 626, 2, 313.000000, ZIC, 7539, 38, 198.394737, 
trial0003130, AA, 1374, 2, 687.000000, ZIC, 6782, 38, 178.473684, 
trial0003131, AA, 778, 2, 389.000000, ZIC, 7955, 38, 209.342105, 
trial0003132, AA, 1439, 2, 719.500000, ZIC, 5912, 38, 155.578947, 
trial0003133, AA, 0, 2, 0.000000, ZIC, 7638, 38, 201.000000, 
trial0003134, AA, 880, 2, 440.000000, ZIC, 7411, 38, 195.026316, 
trial0003135, AA, 1051, 2, 525.500000, ZIC, 6659, 38, 175.236842, 
trial0003136, AA, 798, 2, 399.000000, ZIC, 6953, 38, 182.973684, 
trial0003137, AA, 621, 2, 310.500000, ZIC, 6850, 38, 180.263158, 
trial0003138, AA, 748, 2, 374.000000, ZIC, 7807, 38, 205.447368, 
trial0003139, AA, 548, 2, 274.000000, ZIC, 6820, 38, 179.473684, 
trial0003140, AA, 480, 2, 240.000000, ZIC, 7493, 38, 197.184211, 
trial0003141, AA, 120, 2, 60.000000, ZIC, 7398, 38, 194.684211, 
trial0003142, AA, 17, 2, 8.500000, ZIC, 7467, 38, 196.500000, 
trial0003143, AA, 400, 2, 200.000000, ZIC, 7727, 38, 203.342105, 
trial0003144, AA, 1301, 2, 650.500000, ZIC, 6627, 38, 174.394737, 
trial0003145, AA, 778, 2, 389.000000, ZIC, 7203, 38, 189.552632, 
trial0003146, AA, 43, 2, 21.500000, ZIC, 7768, 38, 204.421053, 
trial0003147, AA, 359, 2, 179.500000, ZIC, 7335, 38, 193.026316, 
trial0003148, AA, 770, 2, 385.000000, ZIC, 6469, 38, 170.236842, 
trial0003149, AA, 414, 2, 207.000000, ZIC, 7172, 38, 188.736842, 
trial0003150, AA, 713, 2, 356.500000, ZIC, 6646, 38, 174.894737, 
trial0003151, AA, 585, 2, 292.500000, ZIC, 7214, 38, 189.842105, 
trial0003152, AA, 418, 2, 209.000000, ZIC, 6602, 38, 173.736842, 
trial0003153, AA, 175, 2, 87.500000, ZIC, 7964, 38, 209.578947, 
trial0003154, AA, 495, 2, 247.500000, ZIC, 7425, 38, 195.394737, 
trial0003155, AA, 1108, 2, 554.000000, ZIC, 6506, 38, 171.210526, 
trial0003156, AA, 556, 2, 278.000000, ZIC, 7781, 38, 204.763158, 
trial0003157, AA, 482, 2, 241.000000, ZIC, 6689, 38, 176.026316, 
trial0003158, AA, 545, 2, 272.500000, ZIC, 7169, 38, 188.657895, 
trial0003159, AA, 853, 2, 426.500000, ZIC, 7320, 38, 192.631579, 
trial0003160, AA, 1084, 2, 542.000000, ZIC, 6972, 38, 183.473684, 
trial0003161, AA, 559, 2, 279.500000, ZIC, 7761, 38, 204.236842, 
trial0003162, AA, 743, 2, 371.500000, ZIC, 7410, 38, 195.000000, 
trial0003163, AA, 903, 2, 451.500000, ZIC, 6682, 38, 175.842105, 
trial0003164, AA, 871, 2, 435.500000, ZIC, 7396, 38, 194.631579, 
trial0003165, AA, 384, 2, 192.000000, ZIC, 7804, 38, 205.368421, 
trial0003166, AA, 1021, 2, 510.500000, ZIC, 6749, 38, 177.605263, 
trial0003167, AA, 8, 2, 4.000000, ZIC, 7779, 38, 204.710526, 
trial0003168, AA, 248, 2, 124.000000, ZIC, 7510, 38, 197.631579, 
trial0003169, AA, 1103, 2, 551.500000, ZIC, 6101, 38, 160.552632, 
trial0003170, AA, 4, 2, 2.000000, ZIC, 7545, 38, 198.552632, 
trial0003171, AA, 2, 2, 1.000000, ZIC, 7705, 38, 202.763158, 
trial0003172, AA, 43, 2, 21.500000, ZIC, 7296, 38, 192.000000, 
trial0003173, AA, 204, 2, 102.000000, ZIC, 6947, 38, 182.815789, 
trial0003174, AA, 623, 2, 311.500000, ZIC, 6945, 38, 182.763158, 
trial0003175, AA, 411, 2, 205.500000, ZIC, 7311, 38, 192.394737, 
trial0003176, AA, 179, 2, 89.500000, ZIC, 7263, 38, 191.131579, 
trial0003177, AA, 583, 2, 291.500000, ZIC, 7121, 38, 187.394737, 
trial0003178, AA, 960, 2, 480.000000, ZIC, 7244, 38, 190.631579, 
trial0003179, AA, 1425, 2, 712.500000, ZIC, 6181, 38, 162.657895, 
trial0003180, AA, 24, 2, 12.000000, ZIC, 7170, 38, 188.684211, 
trial0003181, AA, 175, 2, 87.500000, ZIC, 7854, 38, 206.684211, 
trial0003182, AA, 471, 2, 235.500000, ZIC, 7550, 38, 198.684211, 
trial0003183, AA, 206, 2, 103.000000, ZIC, 7011, 38, 184.500000, 
trial0003184, AA, 1148, 2, 574.000000, ZIC, 6889, 38, 181.289474, 
trial0003185, AA, 947, 2, 473.500000, ZIC, 6545, 38, 172.236842, 
trial0003186, AA, 655, 2, 327.500000, ZIC, 7279, 38, 191.552632, 
trial0003187, AA, 1230, 2, 615.000000, ZIC, 6881, 38, 181.078947, 
trial0003188, AA, 983, 2, 491.500000, ZIC, 6573, 38, 172.973684, 
trial0003189, AA, 520, 2, 260.000000, ZIC, 7550, 38, 198.684211, 
trial0003190, AA, 155, 2, 77.500000, ZIC, 8839, 38, 232.605263, 
