trial0002049, 000600, AA, 261, 10, 26.100000, GDX, 498, 18, 27.666667, ZIC, 36, 4, 9.000000, 130, 132, 
trial0002050, 000600, AA, 443, 10, 44.300000, GDX, 580, 18, 32.222222, ZIC, 140, 4, 35.000000, 121, 141, 
trial0002051, 000600, AA, 288, 10, 28.800000, GDX, 164, 18, 9.111111, ZIC, 7, 4, 1.750000, 124, 130, 
trial0002052, 000600, AA, 176, 10, 17.600000, GDX, 793, 18, 44.055556, ZIC, 177, 4, 44.250000, 146, 154, 
trial0002053, 000600, AA, 559, 10, 55.900000, GDX, 800, 18, 44.444444, ZIC, 19, 4, 4.750000, 144, 152, 
trial0002054, 000600, AA, 163, 10, 16.300000, GDX, 783, 18, 43.500000, ZIC, 75, 4, 18.750000, 88, 129, 
trial0002055, 000600, AA, 235, 10, 23.500000, GDX, 741, 18, 41.166667, ZIC, 277, 4, 69.250000, 130, 138, 
trial0002056, 000600, AA, 234, 10, 23.400000, GDX, 380, 18, 21.111111, ZIC, 219, 4, 54.750000, 124, 171, 
trial0002057, 000600, AA, 176, 10, 17.600000, GDX, 537, 18, 29.833333, ZIC, 216, 4, 54.000000, 134, 153, 
trial0002058, 000600, AA, 274, 10, 27.400000, GDX, 303, 18, 16.833333, ZIC, 117, 4, 29.250000, 132, 152, 
trial0002059, 000600, AA, 304, 10, 30.400000, GDX, 555, 18, 30.833333, ZIC, 176, 4, 44.000000, 140, 148, 
trial0002060, 000600, AA, 340, 10, 34.000000, GDX, 442, 18, 24.555556, ZIC, 85, 4, 21.250000, 108, 132, 
trial0002061, 000600, AA, 148, 10, 14.800000, GDX, 218, 18, 12.111111, ZIC, 199, 4, 49.750000, 0, N, 
trial0002062, 000600, AA, 115, 10, 11.500000, GDX, 209, 18, 11.611111, ZIC, 57, 4, 14.250000, 118, 130, 
trial0002063, 000600, AA, 242, 10, 24.200000, GDX, 372, 18, 20.666667, ZIC, 51, 4, 12.750000, 103, 104, 
trial0002064, 000600, AA, 0, 10, 0.000000, GDX, 270, 18, 15.000000, ZIC, 65, 4, 16.250000, 88, 94, 
trial0002065, 000600, AA, 150, 10, 15.000000, GDX, 220, 18, 12.222222, ZIC, 116, 4, 29.000000, 118, 137, 
trial0002066, 000600, AA, 297, 10, 29.700000, GDX, 588, 18, 32.666667, ZIC, 8, 4, 2.000000, 93, 104, 
trial0002067, 000600, AA, 18, 10, 1.800000, GDX, 168, 18, 9.333333, ZIC, 23, 4, 5.750000, 112, 125, 
trial0002068, 000600, AA, 94, 10, 9.400000, GDX, 134, 18, 7.444444, ZIC, 169, 4, 42.250000, 99, 144, 
trial0002069, 000600, AA, 195, 10, 19.500000, GDX, 419, 18, 23.277778, ZIC, 105, 4, 26.250000, 97, 112, 
trial0002070, 000600, AA, 99, 10, 9.900000, GDX, 225, 18, 12.500000, ZIC, 126, 4, 31.500000, 114, 127, 
trial0002071, 000600, AA, 132, 10, 13.200000, GDX, 262, 18, 14.555556, ZIC, 9, 4, 2.250000, 116, 119, 
trial0002072, 000600, AA, 208, 10, 20.800000, GDX, 651, 18, 36.166667, ZIC, 100, 4, 25.000000, 110, 114, 
trial0002073, 000600, AA, 0, 10, 0.000000, GDX, 42, 18, 2.333333, ZIC, 15, 4, 3.750000, 116, 122, 
trial0002074, 000600, AA, 117, 10, 11.700000, GDX, 418, 18, 23.222222, ZIC, 72, 4, 18.000000, 86, 92, 
trial0002075, 000600, AA, 190, 10, 19.000000, GDX, 353, 18, 19.611111, ZIC, 172, 4, 43.000000, 101, 102, 
trial0002076, 000600, AA, 60, 10, 6.000000, GDX, 124, 18, 6.888889, ZIC, 0, 4, 0.000000, 59, 139, 
trial0002077, 000600, AA, 178, 10, 17.800000, GDX, 176, 18, 9.777778, ZIC, 48, 4, 12.000000, 118, 141, 
trial0002078, 000600, AA, 25, 10, 2.500000, GDX, 447, 18, 24.833333, ZIC, 28, 4, 7.000000, 126, 137, 
trial0002079, 000600, AA, 167, 10, 16.700000, GDX, 431, 18, 23.944444, ZIC, 40, 4, 10.000000, 72, 109, 
trial0002080, 000600, AA, 34, 10, 3.400000, GDX, 312, 18, 17.333333, ZIC, 126, 4, 31.500000, 108, 145, 
trial0002081, 000600, AA, 1034, 10, 103.400000, GDX, 1125, 18, 62.500000, ZIC, 495, 4, 123.750000, 64, 85, 
trial0002082, 000600, AA, 1275, 10, 127.500000, GDX, 1806, 18, 100.333333, ZIC, 287, 4, 71.750000, 76, 85, 
trial0002083, 000600, AA, 1097, 10, 109.700000, GDX, 1251, 18, 69.500000, ZIC, 183, 4, 45.750000, 102, 117, 
trial0002084, 000600, AA, 237, 10, 23.700000, GDX, 1277, 18, 70.944444, ZIC, 928, 4, 232.000000, 90, 130, 
trial0002085, 000600, AA, 198, 10, 19.800000, GDX, 1298, 18, 72.111111, ZIC, 785, 4, 196.250000, 74, 75, 
trial0002086, 000600, AA, 630, 10, 63.000000, GDX, 1499, 18, 83.277778, ZIC, 173, 4, 43.250000, 90, 116, 
trial0002087, 000600, AA, 1215, 10, 121.500000, GDX, 1809, 18, 100.500000, ZIC, 663, 4, 165.750000, 98, 101, 
trial0002088, 000600, AA, 864, 10, 86.400000, GDX, 859, 18, 47.722222, ZIC, 737, 4, 184.250000, 90, 108, 
trial0002089, 000600, AA, 984, 10, 98.400000, GDX, 812, 18, 45.111111, ZIC, 103, 4, 25.750000, 91, 112, 
trial0002090, 000600, AA, 343, 10, 34.300000, GDX, 1914, 18, 106.333333, ZIC, 733, 4, 183.250000, 104, 117, 
trial0002091, 000600, AA, 1107, 10, 110.700000, GDX, 1467, 18, 81.500000, ZIC, 169, 4, 42.250000, 58, 68, 
trial0002092, 000600, AA, 1340, 10, 134.000000, GDX, 1847, 18, 102.611111, ZIC, 286, 4, 71.500000, 90, 135, 
