 AA, 824,  ZIP, 176
 AA, 848,  ZIP, 152
 AA, 832,  ZIP, 168
 AA, 792,  ZIP, 208
 AA, 629,  ZIP, 371
 GDX, 397,  ZIC, 603
 GDX, 229,  ZIC, 771
 GDX, 247,  ZIC, 753
 GDX, 155,  ZIC, 845
 GDX, 257,  ZIC, 743
 GDX, 234,  ZIC, 766
 GDX, 365,  ZIC, 635
 GDX, 403,  ZIC, 597
 GDX, 522,  ZIC, 478
 GDX, 681,  ZIC, 319
 GDX, 670,  ZIC, 330
 GDX, 803,  ZIC, 197
 GDX, 871,  ZIC, 129
 GDX, 756,  ZIC, 244
 GDX, 894,  ZIC, 106
 GDX, 883,  ZIC, 117
 GDX, 822,  ZIC, 178
 GDX, 808,  ZIC, 192
 GDX, 677,  ZIC, 323
 AA, 468,  GDX, 532
 AA, 468,  GDX, 532
 AA, 358,  GDX, 642
 AA, 552,  GDX, 448
 AA, 559,  GDX, 441
 AA, 532,  GDX, 468
 AA, 595,  GDX, 405
 AA, 485,  GDX, 515
 AA, 527,  GDX, 473
 AA, 593,  GDX, 407
 AA, 397,  GDX, 603
 AA, 463,  GDX, 537
 AA, 386,  GDX, 614
 AA, 397,  GDX, 603
 AA, 544,  GDX, 456
 AA, 490,  GDX, 510
 AA, 629,  GDX, 371
 AA, 602,  GDX, 398
 AA, 554,  GDX, 446
 ZIC, 545,  ZIP, 455
 ZIC, 633,  ZIP, 367
 ZIC, 675,  ZIP, 325
 ZIC, 660,  ZIP, 340
 ZIC, 656,  ZIP, 344
 ZIC, 603,  ZIP, 397
 ZIC, 554,  ZIP, 446
 ZIC, 513,  ZIP, 487
 ZIC, 405,  ZIP, 595
 ZIC, 175,  ZIP, 825
 ZIC, 159,  ZIP, 841
 ZIC, 126,  ZIP, 874
 ZIC, 79,  ZIP, 921
 ZIC, 72,  ZIP, 928
 ZIC, 88,  ZIP, 912
 ZIC, 71,  ZIP, 929
 ZIC, 106,  ZIP, 894
 ZIC, 157,  ZIP, 843
 ZIC, 271,  ZIP, 729
 AA, 683,  ZIC, 317
 AA, 826,  ZIC, 174
 AA, 834,  ZIC, 166
 AA, 921,  ZIC, 79
 AA, 901,  ZIC, 99
 AA, 949,  ZIC, 51
 AA, 909,  ZIC, 91
 AA, 949,  ZIC, 51
 AA, 957,  ZIC, 43
 AA, 940,  ZIC, 60
 AA, 953,  ZIC, 47
 AA, 950,  ZIC, 50
 AA, 881,  ZIC, 119
 AA, 946,  ZIC, 54
 AA, 918,  ZIC, 82
 AA, 907,  ZIC, 93
 AA, 887,  ZIC, 113
 AA, 829,  ZIC, 171
 AA, 682,  ZIC, 318
 GDX, 426,  ZIP, 574
 GDX, 176,  ZIP, 824
 GDX, 214,  ZIP, 786
 GDX, 202,  ZIP, 798
 GDX, 276,  ZIP, 724
 GDX, 242,  ZIP, 758
 GDX, 264,  ZIP, 736
 GDX, 355,  ZIP, 645
 GDX, 339,  ZIP, 661
 GDX, 434,  ZIP, 566
 GDX, 565,  ZIP, 435
 GDX, 605,  ZIP, 395
 GDX, 589,  ZIP, 411
 GDX, 425,  ZIP, 575
 GDX, 706,  ZIP, 294
 GDX, 743,  ZIP, 257
 GDX, 755,  ZIP, 245
 GDX, 719,  ZIP, 281
 GDX, 593,  ZIP, 407
