trial0000039, 000600, AA, 102, 6, 17.000000, GDX, 432, 6, 72.000000, ZIC, 248, 6, 41.333333, ZIP, 633, 14, 45.214286, 105, 107, 
trial0000040, 000600, AA, 282, 6, 47.000000, GDX, 245, 6, 40.833333, ZIC, 42, 6, 7.000000, ZIP, 1215, 14, 86.785714, 99, 113, 
trial0000041, 000600, AA, 384, 6, 64.000000, GDX, 1121, 6, 186.833333, ZIC, 221, 6, 36.833333, ZIP, 1385, 14, 98.928571, 93, 98, 
trial0000042, 000600, AA, 978, 6, 163.000000, GDX, 1636, 6, 272.666667, ZIC, 296, 6, 49.333333, ZIP, 974, 14, 69.571429, 104, 107, 
trial0000043, 000600, AA, 692, 6, 115.333333, GDX, 864, 6, 144.000000, ZIC, 584, 6, 97.333333, ZIP, 1539, 14, 109.928571, 96, 97, 
trial0000044, 000600, AA, 634, 6, 105.666667, GDX, 1020, 6, 170.000000, ZIC, 630, 6, 105.000000, ZIP, 1386, 14, 99.000000, 94, 103, 
trial0000045, 000600, AA, 1144, 6, 190.666667, GDX, 987, 6, 164.500000, ZIC, 900, 6, 150.000000, ZIP, 499, 14, 35.642857, 104, 107, 
trial0000046, 000600, AA, 667, 6, 111.166667, GDX, 809, 6, 134.833333, ZIC, 266, 6, 44.333333, ZIP, 1701, 14, 121.500000, 102, 109, 
trial0000047, 000600, AA, 560, 6, 93.333333, GDX, 569, 6, 94.833333, ZIC, 611, 6, 101.833333, ZIP, 564, 14, 40.285714, 154, 164, 
trial0000048, 000600, AA, 992, 6, 165.333333, GDX, 236, 6, 39.333333, ZIC, 187, 6, 31.166667, ZIP, 844, 14, 60.285714, 132, 150, 
trial0000049, 000600, AA, 134, 6, 22.333333, GDX, 457, 6, 76.166667, ZIC, 418, 6, 69.666667, ZIP, 1007, 14, 71.928571, 103, 111, 
trial0000050, 000600, AA, 467, 6, 77.833333, GDX, 285, 6, 47.500000, ZIC, 505, 6, 84.166667, ZIP, 804, 14, 57.428571, 146, 159, 
trial0000051, 000600, AA, 263, 6, 43.833333, GDX, 460, 6, 76.666667, ZIC, 396, 6, 66.000000, ZIP, 633, 14, 45.214286, 139, 148, 
trial0000052, 000600, AA, 342, 6, 57.000000, GDX, 269, 6, 44.833333, ZIC, 378, 6, 63.000000, ZIP, 905, 14, 64.642857, 143, 145, 
trial0000053, 000600, AA, 488, 6, 81.333333, GDX, 454, 6, 75.666667, ZIC, 106, 6, 17.666667, ZIP, 690, 14, 49.285714, 133, 138, 
trial0000054, 000600, AA, 146, 6, 24.333333, GDX, 629, 6, 104.833333, ZIC, 323, 6, 53.833333, ZIP, 1372, 14, 98.000000, 115, 125, 
trial0000055, 000600, AA, 357, 6, 59.500000, GDX, 133, 6, 22.166667, ZIC, 399, 6, 66.500000, ZIP, 807, 14, 57.642857, 136, 149, 
trial0000056, 000600, AA, 212, 6, 35.333333, GDX, 272, 6, 45.333333, ZIC, 360, 6, 60.000000, ZIP, 972, 14, 69.428571, 127, 144, 
trial0000057, 000600, AA, 252, 6, 42.000000, GDX, 227, 6, 37.833333, ZIC, 441, 6, 73.500000, ZIP, 824, 14, 58.857143, 144, 156, 
trial0000058, 000600, AA, 85, 6, 14.166667, GDX, 285, 6, 47.500000, ZIC, 55, 6, 9.166667, ZIP, 1052, 14, 75.142857, 158, 159, 
trial0000059, 000600, AA, 482, 6, 80.333333, GDX, 196, 6, 32.666667, ZIC, 178, 6, 29.666667, ZIP, 911, 14, 65.071429, 96, 103, 
trial0000060, 000600, AA, 353, 6, 58.833333, GDX, 359, 6, 59.833333, ZIC, 60, 6, 10.000000, ZIP, 1287, 14, 91.928571, 123, 126, 
trial0000061, 000600, AA, 425, 6, 70.833333, GDX, 598, 6, 99.666667, ZIC, 205, 6, 34.166667, ZIP, 704, 14, 50.285714, 145, 155, 
trial0000062, 000600, AA, 701, 6, 116.833333, GDX, 227, 6, 37.833333, ZIC, 137, 6, 22.833333, ZIP, 841, 14, 60.071429, 126, 133, 
trial0000063, 000600, AA, 399, 6, 66.500000, GDX, 426, 6, 71.000000, ZIC, 33, 6, 5.500000, ZIP, 1016, 14, 72.571429, 116, 120, 
trial0000064, 000600, AA, 450, 6, 75.000000, GDX, 293, 6, 48.833333, ZIC, 163, 6, 27.166667, ZIP, 903, 14, 64.500000, 145, 148, 
trial0000065, 000600, AA, 168, 6, 28.000000, GDX, 423, 6, 70.500000, ZIC, 5, 6, 0.833333, ZIP, 1232, 14, 88.000000, 146, 163, 
trial0000066, 000600, AA, 63, 6, 10.500000, GDX, 682, 6, 113.666667, ZIC, 206, 6, 34.333333, ZIP, 1036, 14, 74.000000, 129, 144, 
trial0000067, 000600, AA, 399, 6, 66.500000, GDX, 330, 6, 55.000000, ZIC, 90, 6, 15.000000, ZIP, 1067, 14, 76.214286, 150, 151, 
