trial0004077, GDX, 476, 2, 238.000000, ZIC, 4453, 38, 117.184211, 
trial0004078, GDX, 997, 2, 498.500000, ZIC, 5061, 38, 133.184211, 
trial0004079, GDX, 409, 2, 204.500000, ZIC, 5161, 38, 135.815789, 
trial0004080, GDX, 29, 2, 14.500000, ZIC, 6107, 38, 160.710526, 
trial0004081, GDX, 162, 2, 81.000000, ZIC, 5603, 38, 147.447368, 
trial0004082, GDX, 7, 2, 3.500000, ZIC, 5679, 38, 149.447368, 
trial0004083, GDX, 0, 2, 0.000000, ZIC, 5891, 38, 155.026316, 
trial0004084, GDX, 279, 2, 139.500000, ZIC, 5772, 38, 151.894737, 
trial0004085, GDX, 219, 2, 109.500000, ZIC, 5688, 38, 149.684211, 
trial0004086, GDX, 38, 2, 19.000000, ZIC, 5688, 38, 149.684211, 
trial0004087, GDX, 1096, 2, 548.000000, ZIC, 5367, 38, 141.236842, 
trial0004088, GDX, 575, 2, 287.500000, ZIC, 5114, 38, 134.578947, 
trial0004089, GDX, 624, 2, 312.000000, ZIC, 6069, 38, 159.710526, 
trial0004090, GDX, 350, 2, 175.000000, ZIC, 5966, 38, 157.000000, 
trial0004091, GDX, 124, 2, 62.000000, ZIC, 5992, 38, 157.684211, 
trial0004092, GDX, 119, 2, 59.500000, ZIC, 6000, 38, 157.894737, 
trial0004093, GDX, 753, 2, 376.500000, ZIC, 5340, 38, 140.526316, 
trial0004094, GDX, 420, 2, 210.000000, ZIC, 5812, 38, 152.947368, 
trial0004095, GDX, 16, 2, 8.000000, ZIC, 5818, 38, 153.105263, 
trial0004096, GDX, 1156, 2, 578.000000, ZIC, 5048, 38, 132.842105, 
trial0004097, GDX, 112, 2, 56.000000, ZIC, 5226, 38, 137.526316, 
trial0004098, GDX, 644, 2, 322.000000, ZIC, 5798, 38, 152.578947, 
trial0004099, GDX, 526, 2, 263.000000, ZIC, 5436, 38, 143.052632, 
trial0004100, GDX, 804, 2, 402.000000, ZIC, 5535, 38, 145.657895, 
trial0004101, GDX, 638, 2, 319.000000, ZIC, 5749, 38, 151.289474, 
trial0004102, GDX, 854, 2, 427.000000, ZIC, 5651, 38, 148.710526, 
trial0004103, GDX, 650, 2, 325.000000, ZIC, 5117, 38, 134.657895, 
trial0004104, GDX, 411, 2, 205.500000, ZIC, 5490, 38, 144.473684, 
trial0004105, GDX, 112, 2, 56.000000, ZIC, 5528, 38, 145.473684, 
trial0004106, GDX, 517, 2, 258.500000, ZIC, 5575, 38, 146.710526, 
trial0004107, GDX, 321, 2, 160.500000, ZIC, 5044, 38, 132.736842, 
trial0004108, GDX, 633, 2, 316.500000, ZIC, 5392, 38, 141.894737, 
trial0004109, GDX, 437, 2, 218.500000, ZIC, 4950, 38, 130.263158, 
trial0004110, GDX, 541, 2, 270.500000, ZIC, 4970, 38, 130.789474, 
trial0004111, GDX, 937, 2, 468.500000, ZIC, 5088, 38, 133.894737, 
trial0004112, GDX, 75, 2, 37.500000, ZIC, 5196, 38, 136.736842, 
trial0004113, GDX, 312, 2, 156.000000, ZIC, 5304, 38, 139.578947, 
trial0004114, GDX, 21, 2, 10.500000, ZIC, 6180, 38, 162.631579, 
trial0004115, GDX, 1489, 2, 744.500000, ZIC, 4744, 38, 124.842105, 
trial0004116, GDX, 774, 2, 387.000000, ZIC, 4805, 38, 126.447368, 
trial0004117, GDX, 840, 2, 420.000000, ZIC, 4906, 38, 129.105263, 
trial0004118, GDX, 22, 2, 11.000000, ZIC, 6094, 38, 160.368421, 
trial0004119, GDX, 94, 2, 47.000000, ZIC, 5829, 38, 153.394737, 
trial0004120, GDX, 286, 2, 143.000000, ZIC, 5998, 38, 157.842105, 
trial0004121, GDX, 178, 2, 89.000000, ZIC, 5749, 38, 151.289474, 
trial0004122, GDX, 0, 2, 0.000000, ZIC, 5903, 38, 155.342105, 
trial0004123, GDX, 265, 2, 132.500000, ZIC, 5929, 38, 156.026316, 
trial0004124, GDX, 1077, 2, 538.500000, ZIC, 5492, 38, 144.526316, 
trial0004125, GDX, 1382, 2, 691.000000, ZIC, 4844, 38, 127.473684, 
trial0004126, GDX, 125, 2, 62.500000, ZIC, 5780, 38, 152.105263, 
trial0004127, GDX, 351, 2, 175.500000, ZIC, 5437, 38, 143.078947, 
trial0004128, GDX, 209, 2, 104.500000, ZIC, 5381, 38, 141.605263, 
trial0004129, GDX, 765, 2, 382.500000, ZIC, 5889, 38, 154.973684, 
trial0004130, GDX, 528, 2, 264.000000, ZIC, 5960, 38, 156.842105, 
trial0004131, GDX, 1276, 2, 638.000000, ZIC, 5146, 38, 135.421053, 
trial0004132, GDX, 493, 2, 246.500000, ZIC, 5273, 38, 138.763158, 
trial0004133, GDX, 139, 2, 69.500000, ZIC, 6058, 38, 159.421053, 
trial0004134, GDX, 640, 2, 320.000000, ZIC, 5136, 38, 135.157895, 
trial0004135, GDX, 1149, 2, 574.500000, ZIC, 4195, 38, 110.394737, 
trial0004136, GDX, 1028, 2, 514.000000, ZIC, 5079, 38, 133.657895, 
trial0004137, GDX, 611, 2, 305.500000, ZIC, 5188, 38, 136.526316, 
trial0004138, GDX, 353, 2, 176.500000, ZIC, 6101, 38, 160.552632, 
trial0004139, GDX, 778, 2, 389.000000, ZIC, 5581, 38, 146.868421, 
trial0004140, GDX, 637, 2, 318.500000, ZIC, 5269, 38, 138.657895, 
trial0004141, GDX, 337, 2, 168.500000, ZIC, 6080, 38, 160.000000, 
trial0004142, GDX, 865, 2, 432.500000, ZIC, 5734, 38, 150.894737, 
trial0004143, GDX, 1282, 2, 641.000000, ZIC, 4607, 38, 121.236842, 
trial0004144, GDX, 561, 2, 280.500000, ZIC, 4984, 38, 131.157895, 
trial0004145, GDX, 516, 2, 258.000000, ZIC, 5274, 38, 138.789474, 
trial0004146, GDX, 233, 2, 116.500000, ZIC, 5970, 38, 157.105263, 
trial0004147, GDX, 758, 2, 379.000000, ZIC, 5804, 38, 152.736842, 
trial0004148, GDX, 152, 2, 76.000000, ZIC, 5945, 38, 156.447368, 
trial0004149, GDX, 200, 2, 100.000000, ZIC, 5741, 38, 151.078947, 
trial0004150, GDX, 115, 2, 57.500000, ZIC, 5687, 38, 149.657895, 
trial0004151, GDX, 515, 2, 257.500000, ZIC, 5713, 38, 150.342105, 
trial0004152, GDX, 341, 2, 170.500000, ZIC, 5120, 38, 134.736842, 
trial0004153, GDX, 578, 2, 289.000000, ZIC, 5237, 38, 137.815789, 
trial0004154, GDX, 731, 2, 365.500000, ZIC, 5376, 38, 141.473684, 
trial0004155, GDX, 3, 2, 1.500000, ZIC, 6118, 38, 161.000000, 
trial0004156, GDX, 485, 2, 242.500000, ZIC, 5426, 38, 142.789474, 
trial0004157, GDX, 300, 2, 150.000000, ZIC, 5908, 38, 155.473684, 
trial0004158, GDX, 785, 2, 392.500000, ZIC, 5970, 38, 157.105263, 
trial0004159, GDX, 118, 2, 59.000000, ZIC, 6683, 38, 175.868421, 
trial0004160, GDX, 1156, 2, 578.000000, ZIC, 4972, 38, 130.842105, 
