trial0001055, AA, 3388, 14, 242.000000, GDX, 3796, 14, 271.142857, ZIC, 1953, 14, 139.500000, 
trial0001056, AA, 4302, 14, 307.285714, GDX, 2702, 14, 193.000000, ZIC, 1302, 14, 93.000000, 
trial0001057, AA, 1806, 14, 129.000000, GDX, 2680, 14, 191.428571, ZIC, 3374, 14, 241.000000, 
trial0001058, AA, 1977, 14, 141.214286, GDX, 4105, 14, 293.214286, ZIC, 1646, 14, 117.571429, 
trial0001059, AA, 3647, 14, 260.500000, GDX, 2918, 14, 208.428571, ZIC, 1799, 14, 128.500000, 
trial0001060, AA, 2559, 14, 182.785714, GDX, 2962, 14, 211.571429, ZIC, 2608, 14, 186.285714, 
trial0001061, AA, 2209, 14, 157.785714, GDX, 2615, 14, 186.785714, ZIC, 2643, 14, 188.785714, 
trial0001062, AA, 1749, 14, 124.928571, GDX, 3193, 14, 228.071429, ZIC, 2991, 14, 213.642857, 
trial0001063, AA, 2619, 14, 187.071429, GDX, 3641, 14, 260.071429, ZIC, 1801, 14, 128.642857, 
trial0001064, AA, 3608, 14, 257.714286, GDX, 3196, 14, 228.285714, ZIC, 2089, 14, 149.214286, 
trial0001065, AA, 2891, 14, 206.500000, GDX, 2541, 14, 181.500000, ZIC, 2691, 14, 192.214286, 
trial0001066, AA, 3520, 14, 251.428571, GDX, 2443, 14, 174.500000, ZIC, 2817, 14, 201.214286, 
trial0001067, AA, 2581, 14, 184.357143, GDX, 1730, 14, 123.571429, ZIC, 3778, 14, 269.857143, 
trial0001068, AA, 2544, 14, 181.714286, GDX, 3349, 14, 239.214286, ZIC, 2556, 14, 182.571429, 
trial0001069, AA, 2929, 14, 209.214286, GDX, 3727, 14, 266.214286, ZIC, 1822, 14, 130.142857, 
trial0001070, AA, 2123, 14, 151.642857, GDX, 2958, 14, 211.285714, ZIC, 2967, 14, 211.928571, 
trial0001071, AA, 2713, 14, 193.785714, GDX, 1102, 14, 78.714286, ZIC, 3898, 14, 278.428571, 
trial0001072, AA, 3842, 14, 274.428571, GDX, 1777, 14, 126.928571, ZIC, 2112, 14, 150.857143, 
trial0001073, AA, 4485, 14, 320.357143, GDX, 1674, 14, 119.571429, ZIC, 2134, 14, 152.428571, 
trial0001074, AA, 1989, 14, 142.071429, GDX, 2256, 14, 161.142857, ZIC, 3917, 14, 279.785714, 
trial0001075, AA, 4589, 14, 327.785714, GDX, 2473, 14, 176.642857, ZIC, 1105, 14, 78.928571, 
trial0001076, AA, 2984, 14, 213.142857, GDX, 2316, 14, 165.428571, ZIC, 3209, 14, 229.214286, 
trial0001077, AA, 2836, 14, 202.571429, GDX, 2176, 14, 155.428571, ZIC, 3831, 14, 273.642857, 
trial0001078, AA, 2784, 14, 198.857143, GDX, 2027, 14, 144.785714, ZIC, 3293, 14, 235.214286, 
trial0001079, AA, 3976, 14, 284.000000, GDX, 2049, 14, 146.357143, ZIC, 2378, 14, 169.857143, 
trial0001080, AA, 3873, 14, 276.642857, GDX, 2298, 14, 164.142857, ZIC, 1483, 14, 105.928571, 
trial0001081, AA, 2463, 14, 175.928571, GDX, 3242, 14, 231.571429, ZIC, 2349, 14, 167.785714, 
trial0001082, AA, 3358, 14, 239.857143, GDX, 4076, 14, 291.142857, ZIC, 1031, 14, 73.642857, 
trial0001083, AA, 2764, 14, 197.428571, GDX, 2808, 14, 200.571429, ZIC, 3211, 14, 229.357143, 
trial0001084, AA, 4198, 14, 299.857143, GDX, 1872, 14, 133.714286, ZIC, 2368, 14, 169.142857, 
trial0001085, AA, 3199, 14, 228.500000, GDX, 2612, 14, 186.571429, ZIC, 3107, 14, 221.928571, 
trial0001086, AA, 3613, 14, 258.071429, GDX, 2810, 14, 200.714286, ZIC, 2462, 14, 175.857143, 
trial0001087, AA, 3620, 14, 258.571429, GDX, 2215, 14, 158.214286, ZIC, 2326, 14, 166.142857, 
trial0001088, AA, 2173, 14, 155.214286, GDX, 2906, 14, 207.571429, ZIC, 3195, 14, 228.214286, 
trial0001089, AA, 4413, 14, 315.214286, GDX, 2983, 14, 213.071429, ZIC, 1066, 14, 76.142857, 
trial0001090, AA, 4088, 14, 292.000000, GDX, 1061, 14, 75.785714, ZIC, 2521, 14, 180.071429, 
