trial0002077, GDX, 0, 2, 0.000000, ZIP, 4336, 38, 114.105263, 
trial0002078, GDX, 12, 2, 6.000000, ZIP, 4518, 38, 118.894737, 
trial0002079, GDX, 112, 2, 56.000000, ZIP, 4404, 38, 115.894737, 
trial0002080, GDX, 51, 2, 25.500000, ZIP, 4186, 38, 110.157895, 
trial0002081, GDX, 0, 2, 0.000000, ZIP, 4101, 38, 107.921053, 
trial0002082, GDX, 56, 2, 28.000000, ZIP, 4584, 38, 120.631579, 
trial0002083, GDX, 45, 2, 22.500000, ZIP, 4357, 38, 114.657895, 
trial0002084, GDX, 0, 2, 0.000000, ZIP, 3717, 38, 97.815789, 
trial0002085, GDX, 503, 2, 251.500000, ZIP, 4153, 38, 109.289474, 
trial0002086, GDX, 260, 2, 130.000000, ZIP, 4140, 38, 108.947368, 
trial0002087, GDX, 0, 2, 0.000000, ZIP, 4060, 38, 106.842105, 
trial0002088, GDX, 111, 2, 55.500000, ZIP, 3719, 38, 97.868421, 
trial0002089, GDX, 364, 2, 182.000000, ZIP, 4071, 38, 107.131579, 
trial0002090, GDX, 304, 2, 152.000000, ZIP, 3899, 38, 102.605263, 
trial0002091, GDX, 0, 2, 0.000000, ZIP, 3867, 38, 101.763158, 
trial0002092, GDX, 372, 2, 186.000000, ZIP, 4494, 38, 118.263158, 
trial0002093, GDX, 188, 2, 94.000000, ZIP, 4023, 38, 105.868421, 
trial0002094, GDX, 273, 2, 136.500000, ZIP, 3986, 38, 104.894737, 
trial0002095, GDX, 148, 2, 74.000000, ZIP, 4008, 38, 105.473684, 
trial0002096, GDX, 481, 2, 240.500000, ZIP, 4152, 38, 109.263158, 
trial0002097, GDX, 536, 2, 268.000000, ZIP, 2429, 38, 63.921053, 
trial0002098, GDX, 0, 2, 0.000000, ZIP, 4509, 38, 118.657895, 
trial0002099, GDX, 105, 2, 52.500000, ZIP, 4220, 38, 111.052632, 
trial0002100, GDX, 538, 2, 269.000000, ZIP, 4106, 38, 108.052632, 
trial0002101, GDX, 1361, 2, 680.500000, ZIP, 9360, 38, 246.315789, 
trial0002102, GDX, 611, 2, 305.500000, ZIP, 7242, 38, 190.578947, 
trial0002103, GDX, 136, 2, 68.000000, ZIP, 9382, 38, 246.894737, 
trial0002104, GDX, 18, 2, 9.000000, ZIP, 4811, 38, 126.605263, 
trial0002105, GDX, 1493, 2, 746.500000, ZIP, 8879, 38, 233.657895, 
trial0002106, GDX, 746, 2, 373.000000, ZIP, 9014, 38, 237.210526, 
trial0002107, GDX, 0, 2, 0.000000, ZIP, 6847, 38, 180.184211, 
trial0002108, GDX, 946, 2, 473.000000, ZIP, 9071, 38, 238.710526, 
trial0002109, GDX, 912, 2, 456.000000, ZIP, 8761, 38, 230.552632, 
trial0002110, GDX, 559, 2, 279.500000, ZIP, 10430, 38, 274.473684, 
trial0002111, GDX, 1834, 2, 917.000000, ZIP, 8691, 38, 228.710526, 
trial0002112, GDX, 25, 2, 12.500000, ZIP, 9191, 38, 241.868421, 
trial0002113, GDX, 16, 2, 8.000000, ZIP, 7611, 38, 200.289474, 
trial0002114, GDX, 24, 2, 12.000000, ZIP, 7661, 38, 201.605263, 
trial0002115, GDX, 0, 2, 0.000000, ZIP, 11180, 38, 294.210526, 
trial0002116, GDX, 712, 2, 356.000000, ZIP, 9366, 38, 246.473684, 
trial0002117, GDX, 914, 2, 457.000000, ZIP, 10895, 38, 286.710526, 
trial0002118, GDX, 203, 2, 101.500000, ZIP, 6084, 38, 160.105263, 
trial0002119, GDX, 860, 2, 430.000000, ZIP, 8811, 38, 231.868421, 
trial0002120, GDX, 1072, 2, 536.000000, ZIP, 8631, 38, 227.131579, 
trial0002121, GDX, 2057, 2, 1028.500000, ZIP, 8980, 38, 236.315789, 
trial0002122, GDX, 0, 2, 0.000000, ZIP, 9890, 38, 260.263158, 
trial0002123, GDX, 453, 2, 226.500000, ZIP, 10560, 38, 277.894737, 
trial0002124, GDX, 1072, 2, 536.000000, ZIP, 5866, 38, 154.368421, 
trial0002125, GDX, 897, 2, 448.500000, ZIP, 8370, 38, 220.263158, 
trial0002126, GDX, 899, 2, 449.500000, ZIP, 9248, 38, 243.368421, 
trial0002127, GDX, 682, 2, 341.000000, ZIP, 8620, 38, 226.842105, 
trial0002128, GDX, 0, 2, 0.000000, ZIP, 7525, 38, 198.026316, 
trial0002129, GDX, 0, 2, 0.000000, ZIP, 9206, 38, 242.263158, 
trial0002130, GDX, 815, 2, 407.500000, ZIP, 8809, 38, 231.815789, 
trial0002131, GDX, 497, 2, 248.500000, ZIP, 9324, 38, 245.368421, 
trial0002132, GDX, 156, 2, 78.000000, ZIP, 10797, 38, 284.131579, 
trial0002133, GDX, 1121, 2, 560.500000, ZIP, 7050, 38, 185.526316, 
trial0002134, GDX, 0, 2, 0.000000, ZIP, 9535, 38, 250.921053, 
trial0002135, GDX, 734, 2, 367.000000, ZIP, 8241, 38, 216.868421, 
trial0002136, GDX, 0, 2, 0.000000, ZIP, 11888, 38, 312.842105, 
trial0002137, GDX, 650, 2, 325.000000, ZIP, 7726, 38, 203.315789, 
trial0002138, GDX, 352, 2, 176.000000, ZIP, 8575, 38, 225.657895, 
trial0002139, GDX, 1283, 2, 641.500000, ZIP, 8805, 38, 231.710526, 
trial0002140, GDX, 0, 2, 0.000000, ZIP, 9997, 38, 263.078947, 
trial0002141, GDX, 550, 2, 275.000000, ZIP, 8658, 38, 227.842105, 
trial0002142, GDX, 24, 2, 12.000000, ZIP, 9620, 38, 253.157895, 
trial0002143, GDX, 1015, 2, 507.500000, ZIP, 7346, 38, 193.315789, 
trial0002144, GDX, 913, 2, 456.500000, ZIP, 11099, 38, 292.078947, 
trial0002145, GDX, 1312, 2, 656.000000, ZIP, 9801, 38, 257.921053, 
trial0002146, GDX, 987, 2, 493.500000, ZIP, 10514, 38, 276.684211, 
trial0002147, GDX, 704, 2, 352.000000, ZIP, 9978, 38, 262.578947, 
trial0002148, GDX, 1257, 2, 628.500000, ZIP, 8864, 38, 233.263158, 
trial0002149, GDX, 133, 2, 66.500000, ZIP, 11393, 38, 299.815789, 
trial0002150, GDX, 889, 2, 444.500000, ZIP, 8562, 38, 225.315789, 
trial0002151, GDX, 8, 2, 4.000000, ZIP, 7711, 38, 202.921053, 
trial0002152, GDX, 62, 2, 31.000000, ZIP, 7416, 38, 195.157895, 
trial0002153, GDX, 484, 2, 242.000000, ZIP, 10222, 38, 269.000000, 
trial0002154, GDX, 440, 2, 220.000000, ZIP, 10378, 38, 273.105263, 
trial0002155, GDX, 1363, 2, 681.500000, ZIP, 9969, 38, 262.342105, 
trial0002156, GDX, 770, 2, 385.000000, ZIP, 10143, 38, 266.921053, 
trial0002157, GDX, 1161, 2, 580.500000, ZIP, 9769, 38, 257.078947, 
trial0002158, GDX, 492, 2, 246.000000, ZIP, 10911, 38, 287.131579, 
trial0002159, GDX, 345, 2, 172.500000, ZIP, 8341, 38, 219.500000, 
trial0002160, GDX, 516, 2, 258.000000, ZIP, 9837, 38, 258.868421, 
trial0002161, GDX, 969, 2, 484.500000, ZIP, 6779, 38, 178.394737, 
trial0002162, GDX, 5, 2, 2.500000, ZIP, 8707, 38, 229.131579, 
trial0002163, GDX, 183, 2, 91.500000, ZIP, 10007, 38, 263.342105, 
trial0002164, GDX, 0, 2, 0.000000, ZIP, 10732, 38, 282.421053, 
trial0002165, GDX, 0, 2, 0.000000, ZIP, 8146, 38, 214.368421, 
trial0002166, GDX, 590, 2, 295.000000, ZIP, 10606, 38, 279.105263, 
