 A, 473,  B, 527
 A, 455,  B, 545
 A, 505,  B, 495
 A, 489,  B, 511
 A, 469,  B, 531
 A, 498,  B, 502
 A, 480,  B, 520
 A, 511,  B, 489
 A, 475,  B, 525
 A, 513,  B, 487
 A, 512,  B, 488
 A, 521,  B, 479
 A, 491,  B, 509
 A, 525,  B, 475
 A, 506,  B, 494
 A, 527,  B, 473
 A, 533,  B, 467
 A, 539,  B, 461
 A, 560,  B, 440
