 A, 366,  B, 634
 A, 457,  B, 543
 A, 463,  B, 537
 A, 461,  B, 539
 A, 471,  B, 529
 A, 498,  B, 502
 A, 471,  B, 529
 A, 480,  B, 520
 A, 486,  B, 514
 A, 468,  B, 532
 A, 521,  B, 479
 A, 515,  B, 485
 A, 508,  B, 492
 A, 485,  B, 515
 A, 535,  B, 465
 A, 532,  B, 468
 A, 524,  B, 476
 A, 575,  B, 425
 A, 581,  B, 419
