trial0015001, AA, 0, 2, 0.000000, GDX, 683, 2, 341.500000, ZIP, 2950, 28, 105.357143, 
trial0015002, AA, 571, 2, 285.500000, GDX, 286, 2, 143.000000, ZIP, 3288, 28, 117.428571, 
trial0015003, AA, 422, 2, 211.000000, GDX, 392, 2, 196.000000, ZIP, 3270, 28, 116.785714, 
trial0015004, AA, 257, 2, 128.500000, GDX, 396, 2, 198.000000, ZIP, 3185, 28, 113.750000, 
trial0015005, AA, 159, 2, 79.500000, GDX, 253, 2, 126.500000, ZIP, 3312, 28, 118.285714, 
trial0015006, AA, 0, 2, 0.000000, GDX, 261, 2, 130.500000, ZIP, 3253, 28, 116.178571, 
trial0015007, AA, 237, 2, 118.500000, GDX, 82, 2, 41.000000, ZIP, 3222, 28, 115.071429, 
trial0015008, AA, 297, 2, 148.500000, GDX, 0, 2, 0.000000, ZIP, 3895, 28, 139.107143, 
trial0015009, AA, 78, 2, 39.000000, GDX, 0, 2, 0.000000, ZIP, 3477, 28, 124.178571, 
trial0015010, AA, 227, 2, 113.500000, GDX, 0, 2, 0.000000, ZIP, 3502, 28, 125.071429, 
trial0015011, AA, 367, 2, 183.500000, GDX, 3, 2, 1.500000, ZIP, 3070, 28, 109.642857, 
trial0015012, AA, 4, 2, 2.000000, GDX, 21, 2, 10.500000, ZIP, 2890, 28, 103.214286, 
trial0015013, AA, 259, 2, 129.500000, GDX, 165, 2, 82.500000, ZIP, 2902, 28, 103.642857, 
trial0015014, AA, 275, 2, 137.500000, GDX, 312, 2, 156.000000, ZIP, 2950, 28, 105.357143, 
trial0015015, AA, 267, 2, 133.500000, GDX, 0, 2, 0.000000, ZIP, 3067, 28, 109.535714, 
trial0015016, AA, 444, 2, 222.000000, GDX, 0, 2, 0.000000, ZIP, 2708, 28, 96.714286, 
trial0015017, AA, 375, 2, 187.500000, GDX, 236, 2, 118.000000, ZIP, 2063, 28, 73.678571, 
trial0015018, AA, 444, 2, 222.000000, GDX, 0, 2, 0.000000, ZIP, 2756, 28, 98.428571, 
trial0015019, AA, 54, 2, 27.000000, GDX, 19, 2, 9.500000, ZIP, 3411, 28, 121.821429, 
