trial0000055, AA, 1799, 14, 128.500000, GDX, 1840, 14, 131.428571, ZIP, 3113, 14, 222.357143, 
trial0000056, AA, 1732, 14, 123.714286, GDX, 2631, 14, 187.928571, ZIP, 2518, 14, 179.857143, 
trial0000057, AA, 2664, 14, 190.285714, GDX, 2509, 14, 179.214286, ZIP, 1777, 14, 126.928571, 
trial0000058, AA, 3726, 14, 266.142857, GDX, 953, 14, 68.071429, ZIP, 2629, 14, 187.785714, 
trial0000059, AA, 2743, 14, 195.928571, GDX, 1652, 14, 118.000000, ZIP, 2147, 14, 153.357143, 
trial0000060, AA, 1864, 14, 133.142857, GDX, 2164, 14, 154.571429, ZIP, 2689, 14, 192.071429, 
trial0000061, AA, 1964, 14, 140.285714, GDX, 2176, 14, 155.428571, ZIP, 2743, 14, 195.928571, 
trial0000062, AA, 2787, 14, 199.071429, GDX, 2378, 14, 169.857143, ZIP, 1783, 14, 127.357143, 
trial0000063, AA, 2179, 14, 155.642857, GDX, 2532, 14, 180.857143, ZIP, 1879, 14, 134.214286, 
trial0000064, AA, 2120, 14, 151.428571, GDX, 2117, 14, 151.214286, ZIP, 2345, 14, 167.500000, 
trial0000065, AA, 2477, 14, 176.928571, GDX, 1669, 14, 119.214286, ZIP, 2780, 14, 198.571429, 
trial0000066, AA, 3245, 14, 231.785714, GDX, 1074, 14, 76.714286, ZIP, 2529, 14, 180.642857, 
trial0000067, AA, 1903, 14, 135.928571, GDX, 2477, 14, 176.928571, ZIP, 2513, 14, 179.500000, 
trial0000068, AA, 2369, 14, 169.214286, GDX, 2888, 14, 206.285714, ZIP, 1831, 14, 130.785714, 
trial0000069, AA, 3349, 14, 239.214286, GDX, 1466, 14, 104.714286, ZIP, 2351, 14, 167.928571, 
trial0000070, AA, 2959, 14, 211.357143, GDX, 1498, 14, 107.000000, ZIP, 1967, 14, 140.500000, 
trial0000071, AA, 2836, 14, 202.571429, GDX, 2442, 14, 174.428571, ZIP, 1908, 14, 136.285714, 
trial0000072, AA, 3619, 14, 258.500000, GDX, 1365, 14, 97.500000, ZIP, 1845, 14, 131.785714, 
