trial0015081, AA, 2873, 30, 95.766667, GDX, 0, 2, 0.000000, 
trial0015082, AA, 2773, 30, 92.433333, GDX, 467, 2, 233.500000, 
trial0015083, AA, 2879, 30, 95.966667, GDX, 0, 2, 0.000000, 
trial0015084, AA, 3238, 30, 107.933333, GDX, 90, 2, 45.000000, 
trial0015085, AA, 2839, 30, 94.633333, GDX, 140, 2, 70.000000, 
trial0015086, AA, 1939, 30, 64.633333, GDX, 329, 2, 164.500000, 
trial0015087, AA, 3926, 30, 130.866667, GDX, 28, 2, 14.000000, 
trial0015088, AA, 3832, 30, 127.733333, GDX, 0, 2, 0.000000, 
trial0015089, AA, 3366, 30, 112.200000, GDX, 396, 2, 198.000000, 
trial0015090, AA, 3349, 30, 111.633333, GDX, 442, 2, 221.000000, 
trial0015091, AA, 6331, 30, 211.033333, GDX, 269, 2, 134.500000, 
trial0015092, AA, 6564, 30, 218.800000, GDX, 130, 2, 65.000000, 
trial0015093, AA, 5558, 30, 185.266667, GDX, 870, 2, 435.000000, 
trial0015094, AA, 5637, 30, 187.900000, GDX, 670, 2, 335.000000, 
trial0015095, AA, 5475, 30, 182.500000, GDX, 1139, 2, 569.500000, 
trial0015096, AA, 6131, 30, 204.366667, GDX, 480, 2, 240.000000, 
trial0015097, AA, 6399, 30, 213.300000, GDX, 215, 2, 107.500000, 
trial0015098, AA, 6524, 30, 217.466667, GDX, 80, 2, 40.000000, 
trial0015099, AA, 6405, 30, 213.500000, GDX, 62, 2, 31.000000, 
trial0015100, AA, 6429, 30, 214.300000, GDX, 236, 2, 118.000000, 
trial0015101, AA, 6661, 30, 222.033333, GDX, 0, 2, 0.000000, 
trial0015102, AA, 5657, 30, 188.566667, GDX, 113, 2, 56.500000, 
trial0015103, AA, 5663, 30, 188.766667, GDX, 155, 2, 77.500000, 
trial0015104, AA, 5723, 30, 190.766667, GDX, 50, 2, 25.000000, 
trial0015105, AA, 5374, 30, 179.133333, GDX, 361, 2, 180.500000, 
trial0015106, AA, 4746, 30, 158.200000, GDX, 416, 2, 208.000000, 
trial0015107, AA, 4867, 30, 162.233333, GDX, 240, 2, 120.000000, 
trial0015108, AA, 5838, 30, 194.600000, GDX, 0, 2, 0.000000, 
trial0015109, AA, 4852, 30, 161.733333, GDX, 413, 2, 206.500000, 
trial0015110, AA, 5523, 30, 184.100000, GDX, 308, 2, 154.000000, 
trial0015111, AA, 5649, 30, 188.300000, GDX, 0, 2, 0.000000, 
trial0015112, AA, 4928, 30, 164.266667, GDX, 524, 2, 262.000000, 
trial0015113, AA, 5786, 30, 192.866667, GDX, 48, 2, 24.000000, 
trial0015114, AA, 5826, 30, 194.200000, GDX, 0, 2, 0.000000, 
trial0015115, AA, 4044, 30, 134.800000, GDX, 533, 2, 266.500000, 
trial0015116, AA, 4929, 30, 164.300000, GDX, 507, 2, 253.500000, 
trial0015117, AA, 4251, 30, 141.700000, GDX, 415, 2, 207.500000, 
trial0015118, AA, 4957, 30, 165.233333, GDX, 623, 2, 311.500000, 
trial0015119, AA, 5142, 30, 171.400000, GDX, 0, 2, 0.000000, 
trial0015120, AA, 5943, 30, 198.100000, GDX, 0, 2, 0.000000, 
trial0015121, AA, 2377, 30, 79.233333, GDX, 131, 2, 65.500000, 
trial0015122, AA, 2004, 30, 66.800000, GDX, 174, 2, 87.000000, 
trial0015123, AA, 2579, 30, 85.966667, GDX, 0, 2, 0.000000, 
trial0015124, AA, 2211, 30, 73.700000, GDX, 265, 2, 132.500000, 
trial0015125, AA, 2154, 30, 71.800000, GDX, 375, 2, 187.500000, 
trial0015126, AA, 2310, 30, 77.000000, GDX, 109, 2, 54.500000, 
trial0015127, AA, 1917, 30, 63.900000, GDX, 128, 2, 64.000000, 
trial0015128, AA, 2468, 30, 82.266667, GDX, 0, 2, 0.000000, 
trial0015129, AA, 2122, 30, 70.733333, GDX, 103, 2, 51.500000, 
trial0015130, AA, 2514, 30, 83.800000, GDX, 0, 2, 0.000000, 
trial0015131, AA, 2348, 30, 78.266667, GDX, 42, 2, 21.000000, 
trial0015132, AA, 1850, 30, 61.666667, GDX, 334, 2, 167.000000, 
trial0015133, AA, 1953, 30, 65.100000, GDX, 525, 2, 262.500000, 
trial0015134, AA, 2154, 30, 71.800000, GDX, 138, 2, 69.000000, 
trial0015135, AA, 2529, 30, 84.300000, GDX, 56, 2, 28.000000, 
trial0015136, AA, 2468, 30, 82.266667, GDX, 84, 2, 42.000000, 
trial0015137, AA, 1684, 30, 56.133333, GDX, 146, 2, 73.000000, 
trial0015138, AA, 2603, 30, 86.766667, GDX, 30, 2, 15.000000, 
trial0015139, AA, 2564, 30, 85.466667, GDX, 0, 2, 0.000000, 
trial0015140, AA, 1829, 30, 60.966667, GDX, 339, 2, 169.500000, 
trial0015141, AA, 2128, 30, 70.933333, GDX, 45, 2, 22.500000, 
trial0015142, AA, 2327, 30, 77.566667, GDX, 0, 2, 0.000000, 
trial0015143, AA, 2561, 30, 85.366667, GDX, 2, 2, 1.000000, 
trial0015144, AA, 2550, 30, 85.000000, GDX, 27, 2, 13.500000, 
trial0015145, AA, 2171, 30, 72.366667, GDX, 88, 2, 44.000000, 
trial0015146, AA, 2533, 30, 84.433333, GDX, 112, 2, 56.000000, 
trial0015147, AA, 2365, 30, 78.833333, GDX, 10, 2, 5.000000, 
trial0015148, AA, 2017, 30, 67.233333, GDX, 132, 2, 66.000000, 
trial0015149, AA, 2577, 30, 85.900000, GDX, 0, 2, 0.000000, 
trial0015150, AA, 2652, 30, 88.400000, GDX, 0, 2, 0.000000, 
trial0015151, AA, 2357, 30, 78.566667, GDX, 555, 2, 277.500000, 
trial0015152, AA, 3132, 30, 104.400000, GDX, 201, 2, 100.500000, 
trial0015153, AA, 2649, 30, 88.300000, GDX, 245, 2, 122.500000, 
trial0015154, AA, 2655, 30, 88.500000, GDX, 334, 2, 167.000000, 
trial0015155, AA, 3735, 30, 124.500000, GDX, 0, 2, 0.000000, 
trial0015156, AA, 3026, 30, 100.866667, GDX, 149, 2, 74.500000, 
trial0015157, AA, 3986, 30, 132.866667, GDX, 0, 2, 0.000000, 
trial0015158, AA, 2443, 30, 81.433333, GDX, 370, 2, 185.000000, 
trial0015159, AA, 3824, 30, 127.466667, GDX, 102, 2, 51.000000, 
trial0015160, AA, 3059, 30, 101.966667, GDX, 512, 2, 256.000000, 
trial0015161, AA, 2825, 30, 94.166667, GDX, 397, 2, 198.500000, 
trial0015162, AA, 3351, 30, 111.700000, GDX, 94, 2, 47.000000, 
trial0015163, AA, 3726, 30, 124.200000, GDX, 0, 2, 0.000000, 
trial0015164, AA, 2762, 30, 92.066667, GDX, 317, 2, 158.500000, 
trial0015165, AA, 3330, 30, 111.000000, GDX, 0, 2, 0.000000, 
trial0015166, AA, 2683, 30, 89.433333, GDX, 298, 2, 149.000000, 
trial0015167, AA, 2293, 30, 76.433333, GDX, 481, 2, 240.500000, 
trial0015168, AA, 2750, 30, 91.666667, GDX, 576, 2, 288.000000, 
trial0015169, AA, 2083, 30, 69.433333, GDX, 294, 2, 147.000000, 
trial0015170, AA, 3967, 30, 132.233333, GDX, 0, 2, 0.000000, 
trial0015171, AA, 2796, 30, 93.200000, GDX, 107, 2, 53.500000, 
trial0015172, AA, 3775, 30, 125.833333, GDX, 72, 2, 36.000000, 
trial0015173, AA, 3310, 30, 110.333333, GDX, 238, 2, 119.000000, 
trial0015174, AA, 2935, 30, 97.833333, GDX, 372, 2, 186.000000, 
trial0015175, AA, 3233, 30, 107.766667, GDX, 5, 2, 2.500000, 
