trial0029101, AA, 2247, 26, 86.423077, ZIP, 1283, 6, 213.833333, 
trial0029102, AA, 3223, 26, 123.961538, ZIP, 842, 6, 140.333333, 
trial0029103, AA, 2805, 26, 107.884615, ZIP, 1355, 6, 225.833333, 
trial0029104, AA, 3376, 26, 129.846154, ZIP, 825, 6, 137.500000, 
trial0029105, AA, 3428, 26, 131.846154, ZIP, 650, 6, 108.333333, 
trial0029106, AA, 3405, 26, 130.961538, ZIP, 790, 6, 131.666667, 
trial0029107, AA, 2507, 26, 96.423077, ZIP, 1222, 6, 203.666667, 
trial0029108, AA, 3627, 26, 139.500000, ZIP, 463, 6, 77.166667, 
trial0029109, AA, 3272, 26, 125.846154, ZIP, 604, 6, 100.666667, 
trial0029110, AA, 2949, 26, 113.423077, ZIP, 1147, 6, 191.166667, 
trial0029111, AA, 3423, 26, 131.653846, ZIP, 799, 6, 133.166667, 
trial0029112, AA, 3340, 26, 128.461538, ZIP, 828, 6, 138.000000, 
trial0029113, AA, 3550, 26, 136.538462, ZIP, 708, 6, 118.000000, 
trial0029114, AA, 3916, 26, 150.615385, ZIP, 283, 6, 47.166667, 
trial0029115, AA, 3603, 26, 138.576923, ZIP, 536, 6, 89.333333, 
trial0029116, AA, 2925, 26, 112.500000, ZIP, 858, 6, 143.000000, 
trial0029117, AA, 2854, 26, 109.769231, ZIP, 636, 6, 106.000000, 
trial0029118, AA, 3719, 26, 143.038462, ZIP, 353, 6, 58.833333, 
trial0029119, AA, 3399, 26, 130.730769, ZIP, 491, 6, 81.833333, 
trial0029120, AA, 2786, 26, 107.153846, ZIP, 1302, 6, 217.000000, 
trial0029121, AA, 3404, 26, 130.923077, ZIP, 544, 6, 90.666667, 
trial0029122, AA, 3559, 26, 136.884615, ZIP, 162, 6, 27.000000, 
trial0029123, AA, 3979, 26, 153.038462, ZIP, 293, 6, 48.833333, 
trial0029124, AA, 3103, 26, 119.346154, ZIP, 1042, 6, 173.666667, 
trial0029125, AA, 3651, 26, 140.423077, ZIP, 504, 6, 84.000000, 
trial0029126, AA, 3414, 26, 131.307692, ZIP, 815, 6, 135.833333, 
trial0029127, AA, 3642, 26, 140.076923, ZIP, 627, 6, 104.500000, 
trial0029128, AA, 3646, 26, 140.230769, ZIP, 549, 6, 91.500000, 
trial0029129, AA, 3589, 26, 138.038462, ZIP, 522, 6, 87.000000, 
trial0029130, AA, 3519, 26, 135.346154, ZIP, 672, 6, 112.000000, 
trial0029131, AA, 1642, 26, 63.153846, ZIP, 465, 6, 77.500000, 
trial0029132, AA, 1909, 26, 73.423077, ZIP, 359, 6, 59.833333, 
trial0029133, AA, 1687, 26, 64.884615, ZIP, 284, 6, 47.333333, 
trial0029134, AA, 1659, 26, 63.807692, ZIP, 345, 6, 57.500000, 
trial0029135, AA, 1630, 26, 62.692308, ZIP, 266, 6, 44.333333, 
trial0029136, AA, 1766, 26, 67.923077, ZIP, 242, 6, 40.333333, 
trial0029137, AA, 1757, 26, 67.576923, ZIP, 343, 6, 57.166667, 
trial0029138, AA, 1329, 26, 51.115385, ZIP, 653, 6, 108.833333, 
trial0029139, AA, 1492, 26, 57.384615, ZIP, 522, 6, 87.000000, 
trial0029140, AA, 1578, 26, 60.692308, ZIP, 620, 6, 103.333333, 
trial0029141, AA, 1509, 26, 58.038462, ZIP, 582, 6, 97.000000, 
trial0029142, AA, 1543, 26, 59.346154, ZIP, 633, 6, 105.500000, 
trial0029143, AA, 2062, 26, 79.307692, ZIP, 117, 6, 19.500000, 
trial0029144, AA, 1879, 26, 72.269231, ZIP, 294, 6, 49.000000, 
trial0029145, AA, 1525, 26, 58.653846, ZIP, 526, 6, 87.666667, 
trial0029146, AA, 1846, 26, 71.000000, ZIP, 364, 6, 60.666667, 
trial0029147, AA, 1529, 26, 58.807692, ZIP, 623, 6, 103.833333, 
trial0029148, AA, 1947, 26, 74.884615, ZIP, 348, 6, 58.000000, 
trial0029149, AA, 1331, 26, 51.192308, ZIP, 784, 6, 130.666667, 
trial0029150, AA, 1776, 26, 68.307692, ZIP, 324, 6, 54.000000, 
trial0029151, AA, 1767, 26, 67.961538, ZIP, 213, 6, 35.500000, 
trial0029152, AA, 1798, 26, 69.153846, ZIP, 261, 6, 43.500000, 
trial0029153, AA, 1760, 26, 67.692308, ZIP, 212, 6, 35.333333, 
trial0029154, AA, 1209, 26, 46.500000, ZIP, 860, 6, 143.333333, 
trial0029155, AA, 1589, 26, 61.115385, ZIP, 274, 6, 45.666667, 
trial0029156, AA, 1690, 26, 65.000000, ZIP, 460, 6, 76.666667, 
trial0029157, AA, 1790, 26, 68.846154, ZIP, 456, 6, 76.000000, 
trial0029158, AA, 1727, 26, 66.423077, ZIP, 609, 6, 101.500000, 
trial0029159, AA, 1595, 26, 61.346154, ZIP, 479, 6, 79.833333, 
trial0029160, AA, 1310, 26, 50.384615, ZIP, 844, 6, 140.666667, 
trial0029161, AA, 1888, 26, 72.615385, ZIP, 545, 6, 90.833333, 
trial0029162, AA, 2185, 26, 84.038462, ZIP, 243, 6, 40.500000, 
trial0029163, AA, 1893, 26, 72.807692, ZIP, 199, 6, 33.166667, 
trial0029164, AA, 1681, 26, 64.653846, ZIP, 450, 6, 75.000000, 
trial0029165, AA, 2358, 26, 90.692308, ZIP, 82, 6, 13.666667, 
trial0029166, AA, 1608, 26, 61.846154, ZIP, 838, 6, 139.666667, 
trial0029167, AA, 1888, 26, 72.615385, ZIP, 294, 6, 49.000000, 
trial0029168, AA, 1844, 26, 70.923077, ZIP, 430, 6, 71.666667, 
trial0029169, AA, 1787, 26, 68.730769, ZIP, 386, 6, 64.333333, 
trial0029170, AA, 2135, 26, 82.115385, ZIP, 348, 6, 58.000000, 
trial0029171, AA, 1513, 26, 58.192308, ZIP, 829, 6, 138.166667, 
trial0029172, AA, 1334, 26, 51.307692, ZIP, 713, 6, 118.833333, 
trial0029173, AA, 2096, 26, 80.615385, ZIP, 130, 6, 21.666667, 
trial0029174, AA, 1973, 26, 75.884615, ZIP, 297, 6, 49.500000, 
trial0029175, AA, 1710, 26, 65.769231, ZIP, 530, 6, 88.333333, 
trial0029176, AA, 2235, 26, 85.961538, ZIP, 43, 6, 7.166667, 
trial0029177, AA, 1845, 26, 70.961538, ZIP, 390, 6, 65.000000, 
trial0029178, AA, 1941, 26, 74.653846, ZIP, 596, 6, 99.333333, 
trial0029179, AA, 1932, 26, 74.307692, ZIP, 218, 6, 36.333333, 
trial0029180, AA, 1730, 26, 66.538462, ZIP, 560, 6, 93.333333, 
trial0029181, AA, 1804, 26, 69.384615, ZIP, 531, 6, 88.500000, 
trial0029182, AA, 2091, 26, 80.423077, ZIP, 391, 6, 65.166667, 
trial0029183, AA, 2003, 26, 77.038462, ZIP, 300, 6, 50.000000, 
trial0029184, AA, 1852, 26, 71.230769, ZIP, 372, 6, 62.000000, 
trial0029185, AA, 1658, 26, 63.769231, ZIP, 788, 6, 131.333333, 
trial0029186, AA, 1973, 26, 75.884615, ZIP, 427, 6, 71.166667, 
trial0029187, AA, 2049, 26, 78.807692, ZIP, 336, 6, 56.000000, 
trial0029188, AA, 1836, 26, 70.615385, ZIP, 156, 6, 26.000000, 
trial0029189, AA, 2145, 26, 82.500000, ZIP, 359, 6, 59.833333, 
trial0029190, AA, 1760, 26, 67.692308, ZIP, 439, 6, 73.166667, 
trial0029191, AA, 4173, 26, 160.500000, ZIP, 962, 6, 160.333333, 
trial0029192, AA, 5302, 26, 203.923077, ZIP, 121, 6, 20.166667, 
trial0029193, AA, 3964, 26, 152.461538, ZIP, 1159, 6, 193.166667, 
trial0029194, AA, 3944, 26, 151.692308, ZIP, 1029, 6, 171.500000, 
trial0029195, AA, 4310, 26, 165.769231, ZIP, 953, 6, 158.833333, 
trial0029196, AA, 3681, 26, 141.576923, ZIP, 1517, 6, 252.833333, 
trial0029197, AA, 4077, 26, 156.807692, ZIP, 1176, 6, 196.000000, 
trial0029198, AA, 4429, 26, 170.346154, ZIP, 390, 6, 65.000000, 
trial0029199, AA, 4495, 26, 172.884615, ZIP, 970, 6, 161.666667, 
trial0029200, AA, 3789, 26, 145.730769, ZIP, 1614, 6, 269.000000, 
trial0029201, AA, 4419, 26, 169.961538, ZIP, 697, 6, 116.166667, 
trial0029202, AA, 3615, 26, 139.038462, ZIP, 1638, 6, 273.000000, 
trial0029203, AA, 4441, 26, 170.807692, ZIP, 1031, 6, 171.833333, 
trial0029204, AA, 3953, 26, 152.038462, ZIP, 1417, 6, 236.166667, 
trial0029205, AA, 4910, 26, 188.846154, ZIP, 274, 6, 45.666667, 
trial0029206, AA, 4143, 26, 159.346154, ZIP, 876, 6, 146.000000, 
trial0029207, AA, 3904, 26, 150.153846, ZIP, 1306, 6, 217.666667, 
trial0029208, AA, 3415, 26, 131.346154, ZIP, 1689, 6, 281.500000, 
trial0029209, AA, 4801, 26, 184.653846, ZIP, 262, 6, 43.666667, 
trial0029210, AA, 4227, 26, 162.576923, ZIP, 1023, 6, 170.500000, 
trial0029211, AA, 5010, 26, 192.692308, ZIP, 293, 6, 48.833333, 
trial0029212, AA, 4476, 26, 172.153846, ZIP, 740, 6, 123.333333, 
trial0029213, AA, 4562, 26, 175.461538, ZIP, 845, 6, 140.833333, 
trial0029214, AA, 4385, 26, 168.653846, ZIP, 602, 6, 100.333333, 
trial0029215, AA, 4261, 26, 163.884615, ZIP, 1133, 6, 188.833333, 
trial0029216, AA, 3880, 26, 149.230769, ZIP, 1008, 6, 168.000000, 
trial0029217, AA, 3452, 26, 132.769231, ZIP, 1759, 6, 293.166667, 
trial0029218, AA, 3972, 26, 152.769231, ZIP, 869, 6, 144.833333, 
trial0029219, AA, 3890, 26, 149.615385, ZIP, 1450, 6, 241.666667, 
trial0029220, AA, 3682, 26, 141.615385, ZIP, 1512, 6, 252.000000, 
trial0029221, AA, 2739, 26, 105.346154, ZIP, 245, 6, 40.833333, 
trial0029222, AA, 2019, 26, 77.653846, ZIP, 790, 6, 131.666667, 
