trial0024301, GDX, 592, 30, 19.733333, ZIP, 0, 2, 0.000000, 
trial0024302, GDX, 181, 30, 6.033333, ZIP, 12, 2, 6.000000, 
trial0024303, GDX, 502, 30, 16.733333, ZIP, 35, 2, 17.500000, 
trial0024304, GDX, 257, 30, 8.566667, ZIP, 34, 2, 17.000000, 
trial0024305, GDX, 689, 30, 22.966667, ZIP, 166, 2, 83.000000, 
trial0024306, GDX, 301, 30, 10.033333, ZIP, 39, 2, 19.500000, 
trial0024307, GDX, 363, 30, 12.100000, ZIP, 122, 2, 61.000000, 
trial0024308, GDX, 794, 30, 26.466667, ZIP, 76, 2, 38.000000, 
trial0024309, GDX, 537, 30, 17.900000, ZIP, 58, 2, 29.000000, 
trial0024310, GDX, 268, 30, 8.933333, ZIP, 45, 2, 22.500000, 
trial0024311, GDX, 734, 30, 24.466667, ZIP, 29, 2, 14.500000, 
trial0024312, GDX, 304, 30, 10.133333, ZIP, 87, 2, 43.500000, 
trial0024313, GDX, 482, 30, 16.066667, ZIP, 0, 2, 0.000000, 
trial0024314, GDX, 243, 30, 8.100000, ZIP, 92, 2, 46.000000, 
trial0024315, GDX, 1053, 30, 35.100000, ZIP, 3, 2, 1.500000, 
trial0024316, GDX, 99, 30, 3.300000, ZIP, 30, 2, 15.000000, 
trial0024317, GDX, 315, 30, 10.500000, ZIP, 73, 2, 36.500000, 
trial0024318, GDX, 331, 30, 11.033333, ZIP, 0, 2, 0.000000, 
trial0024319, GDX, 620, 30, 20.666667, ZIP, 256, 2, 128.000000, 
trial0024320, GDX, 254, 30, 8.466667, ZIP, 76, 2, 38.000000, 
trial0024321, GDX, 146, 30, 4.866667, ZIP, 69, 2, 34.500000, 
trial0024322, GDX, 182, 30, 6.066667, ZIP, 22, 2, 11.000000, 
trial0024323, GDX, 524, 30, 17.466667, ZIP, 118, 2, 59.000000, 
trial0024324, GDX, 180, 30, 6.000000, ZIP, 156, 2, 78.000000, 
trial0024325, GDX, 330, 30, 11.000000, ZIP, 125, 2, 62.500000, 
trial0024326, GDX, 192, 30, 6.400000, ZIP, 167, 2, 83.500000, 
trial0024327, GDX, 454, 30, 15.133333, ZIP, 40, 2, 20.000000, 
trial0024328, GDX, 436, 30, 14.533333, ZIP, 11, 2, 5.500000, 
trial0024329, GDX, 730, 30, 24.333333, ZIP, 31, 2, 15.500000, 
trial0024330, GDX, 311, 30, 10.366667, ZIP, 22, 2, 11.000000, 
trial0024331, GDX, 2009, 30, 66.966667, ZIP, 0, 2, 0.000000, 
trial0024332, GDX, 901, 30, 30.033333, ZIP, 94, 2, 47.000000, 
trial0024333, GDX, 1419, 30, 47.300000, ZIP, 80, 2, 40.000000, 
trial0024334, GDX, 717, 30, 23.900000, ZIP, 28, 2, 14.000000, 
trial0024335, GDX, 1296, 30, 43.200000, ZIP, 303, 2, 151.500000, 
trial0024336, GDX, 805, 30, 26.833333, ZIP, 168, 2, 84.000000, 
trial0024337, GDX, 1435, 30, 47.833333, ZIP, 9, 2, 4.500000, 
trial0024338, GDX, 1346, 30, 44.866667, ZIP, 35, 2, 17.500000, 
trial0024339, GDX, 941, 30, 31.366667, ZIP, 31, 2, 15.500000, 
trial0024340, GDX, 1171, 30, 39.033333, ZIP, 425, 2, 212.500000, 
trial0024341, GDX, 1611, 30, 53.700000, ZIP, 178, 2, 89.000000, 
trial0024342, GDX, 1166, 30, 38.866667, ZIP, 272, 2, 136.000000, 
trial0024343, GDX, 1091, 30, 36.366667, ZIP, 359, 2, 179.500000, 
trial0024344, GDX, 1044, 30, 34.800000, ZIP, 30, 2, 15.000000, 
trial0024345, GDX, 1424, 30, 47.466667, ZIP, 6, 2, 3.000000, 
trial0024346, GDX, 666, 30, 22.200000, ZIP, 4, 2, 2.000000, 
trial0024347, GDX, 801, 30, 26.700000, ZIP, 30, 2, 15.000000, 
trial0024348, GDX, 1067, 30, 35.566667, ZIP, 0, 2, 0.000000, 
trial0024349, GDX, 1006, 30, 33.533333, ZIP, 30, 2, 15.000000, 
trial0024350, GDX, 1165, 30, 38.833333, ZIP, 121, 2, 60.500000, 
trial0024351, GDX, 891, 30, 29.700000, ZIP, 303, 2, 151.500000, 
trial0024352, GDX, 826, 30, 27.533333, ZIP, 392, 2, 196.000000, 
trial0024353, GDX, 1135, 30, 37.833333, ZIP, 185, 2, 92.500000, 
trial0024354, GDX, 1547, 30, 51.566667, ZIP, 146, 2, 73.000000, 
trial0024355, GDX, 473, 30, 15.766667, ZIP, 298, 2, 149.000000, 
trial0024356, GDX, 1211, 30, 40.366667, ZIP, 184, 2, 92.000000, 
trial0024357, GDX, 1004, 30, 33.466667, ZIP, 413, 2, 206.500000, 
trial0024358, GDX, 943, 30, 31.433333, ZIP, 14, 2, 7.000000, 
trial0024359, GDX, 819, 30, 27.300000, ZIP, 164, 2, 82.000000, 
trial0024360, GDX, 817, 30, 27.233333, ZIP, 78, 2, 39.000000, 
trial0024361, GDX, 532, 30, 17.733333, ZIP, 81, 2, 40.500000, 
trial0024362, GDX, 902, 30, 30.066667, ZIP, 10, 2, 5.000000, 
trial0024363, GDX, 515, 30, 17.166667, ZIP, 10, 2, 5.000000, 
trial0024364, GDX, 201, 30, 6.700000, ZIP, 138, 2, 69.000000, 
trial0024365, GDX, 737, 30, 24.566667, ZIP, 65, 2, 32.500000, 
trial0024366, GDX, 528, 30, 17.600000, ZIP, 121, 2, 60.500000, 
trial0024367, GDX, 600, 30, 20.000000, ZIP, 287, 2, 143.500000, 
