trial0056101, AA, 208, 18, 11.555556, ZIC, 78, 10, 7.800000, ZIP, 32, 4, 8.000000, 
trial0056102, AA, 171, 18, 9.500000, ZIC, 119, 10, 11.900000, ZIP, 34, 4, 8.500000, 
trial0056103, AA, 178, 18, 9.888889, ZIC, 124, 10, 12.400000, ZIP, 27, 4, 6.750000, 
trial0056104, AA, 178, 18, 9.888889, ZIC, 115, 10, 11.500000, ZIP, 25, 4, 6.250000, 
trial0056105, AA, 208, 18, 11.555556, ZIC, 96, 10, 9.600000, ZIP, 42, 4, 10.500000, 
trial0056106, AA, 234, 18, 13.000000, ZIC, 57, 10, 5.700000, ZIP, 43, 4, 10.750000, 
trial0056107, AA, 199, 18, 11.055556, ZIC, 104, 10, 10.400000, ZIP, 15, 4, 3.750000, 
trial0056108, AA, 142, 18, 7.888889, ZIC, 141, 10, 14.100000, ZIP, 35, 4, 8.750000, 
trial0056109, AA, 117, 18, 6.500000, ZIC, 123, 10, 12.300000, ZIP, 89, 4, 22.250000, 
trial0056110, AA, 177, 18, 9.833333, ZIC, 158, 10, 15.800000, ZIP, 11, 4, 2.750000, 
trial0056111, AA, 267, 18, 14.833333, ZIC, 34, 10, 3.400000, ZIP, 45, 4, 11.250000, 
trial0056112, AA, 225, 18, 12.500000, ZIC, 96, 10, 9.600000, ZIP, 19, 4, 4.750000, 
trial0056113, AA, 217, 18, 12.055556, ZIC, 58, 10, 5.800000, ZIP, 38, 4, 9.500000, 
trial0056114, AA, 229, 18, 12.722222, ZIC, 29, 10, 2.900000, ZIP, 82, 4, 20.500000, 
trial0056115, AA, 222, 18, 12.333333, ZIC, 54, 10, 5.400000, ZIP, 48, 4, 12.000000, 
trial0056116, AA, 250, 18, 13.888889, ZIC, 101, 10, 10.100000, ZIP, 0, 4, 0.000000, 
trial0056117, AA, 197, 18, 10.944444, ZIC, 62, 10, 6.200000, ZIP, 59, 4, 14.750000, 
trial0056118, AA, 157, 18, 8.722222, ZIC, 142, 10, 14.200000, ZIP, 19, 4, 4.750000, 
trial0056119, AA, 89, 18, 4.944444, ZIC, 186, 10, 18.600000, ZIP, 48, 4, 12.000000, 
trial0056120, AA, 240, 18, 13.333333, ZIC, 69, 10, 6.900000, ZIP, 15, 4, 3.750000, 
trial0056121, AA, 168, 18, 9.333333, ZIC, 126, 10, 12.600000, ZIP, 46, 4, 11.500000, 
trial0056122, AA, 180, 18, 10.000000, ZIC, 128, 10, 12.800000, ZIP, 5, 4, 1.250000, 
trial0056123, AA, 195, 18, 10.833333, ZIC, 99, 10, 9.900000, ZIP, 41, 4, 10.250000, 
trial0056124, AA, 265, 18, 14.722222, ZIC, 12, 10, 1.200000, ZIP, 58, 4, 14.500000, 
trial0056125, AA, 229, 18, 12.722222, ZIC, 65, 10, 6.500000, ZIP, 19, 4, 4.750000, 
trial0056126, AA, 152, 18, 8.444444, ZIC, 136, 10, 13.600000, ZIP, 41, 4, 10.250000, 
trial0056127, AA, 127, 18, 7.055556, ZIC, 208, 10, 20.800000, ZIP, 0, 4, 0.000000, 
trial0056128, AA, 234, 18, 13.000000, ZIC, 95, 10, 9.500000, ZIP, 0, 4, 0.000000, 
trial0056129, AA, 122, 18, 6.777778, ZIC, 184, 10, 18.400000, ZIP, 23, 4, 5.750000, 
