trial0057001, AA, 17, 12, 1.416667, GDX, 24, 6, 4.000000, ZIC, 32, 10, 3.200000, ZIP, 9, 4, 2.250000, 
trial0057002, AA, 41, 12, 3.416667, GDX, 24, 6, 4.000000, ZIC, 8, 10, 0.800000, ZIP, 6, 4, 1.500000, 
trial0057003, AA, 48, 12, 4.000000, GDX, 4, 6, 0.666667, ZIC, 22, 10, 2.200000, ZIP, 3, 4, 0.750000, 
trial0057004, AA, 36, 12, 3.000000, GDX, 14, 6, 2.333333, ZIC, 17, 10, 1.700000, ZIP, 0, 4, 0.000000, 
trial0057005, AA, 41, 12, 3.416667, GDX, 26, 6, 4.333333, ZIC, 2, 10, 0.200000, ZIP, 5, 4, 1.250000, 
trial0057006, AA, 31, 12, 2.583333, GDX, 15, 6, 2.500000, ZIC, 24, 10, 2.400000, ZIP, 0, 4, 0.000000, 
trial0057007, AA, 22, 12, 1.833333, GDX, 7, 6, 1.166667, ZIC, 26, 10, 2.600000, ZIP, 15, 4, 3.750000, 
trial0057008, AA, 17, 12, 1.416667, GDX, 17, 6, 2.833333, ZIC, 30, 10, 3.000000, ZIP, 16, 4, 4.000000, 
trial0057009, AA, 21, 12, 1.750000, GDX, 24, 6, 4.000000, ZIC, 28, 10, 2.800000, ZIP, 4, 4, 1.000000, 
trial0057010, AA, 23, 12, 1.916667, GDX, 24, 6, 4.000000, ZIC, 16, 10, 1.600000, ZIP, 3, 4, 0.750000, 
trial0057011, AA, 16, 12, 1.333333, GDX, 21, 6, 3.500000, ZIC, 24, 10, 2.400000, ZIP, 9, 4, 2.250000, 
trial0057012, AA, 15, 12, 1.250000, GDX, 4, 6, 0.666667, ZIC, 22, 10, 2.200000, ZIP, 8, 4, 2.000000, 
trial0057013, AA, 48, 12, 4.000000, GDX, 7, 6, 1.166667, ZIC, 25, 10, 2.500000, ZIP, 0, 4, 0.000000, 
trial0057014, AA, 45, 12, 3.750000, GDX, 22, 6, 3.666667, ZIC, 3, 10, 0.300000, ZIP, 0, 4, 0.000000, 
trial0057015, AA, 21, 12, 1.750000, GDX, 8, 6, 1.333333, ZIC, 32, 10, 3.200000, ZIP, 0, 4, 0.000000, 
trial0057016, AA, 23, 12, 1.916667, GDX, 19, 6, 3.166667, ZIC, 25, 10, 2.500000, ZIP, 10, 4, 2.500000, 
trial0057017, AA, 35, 12, 2.916667, GDX, 0, 6, 0.000000, ZIC, 27, 10, 2.700000, ZIP, 2, 4, 0.500000, 
trial0057018, AA, 25, 12, 2.083333, GDX, 31, 6, 5.166667, ZIC, 16, 10, 1.600000, ZIP, 0, 4, 0.000000, 
trial0057019, AA, 16, 12, 1.333333, GDX, 7, 6, 1.166667, ZIC, 29, 10, 2.900000, ZIP, 8, 4, 2.000000, 
trial0057020, AA, 29, 12, 2.416667, GDX, 19, 6, 3.166667, ZIC, 23, 10, 2.300000, ZIP, 0, 4, 0.000000, 
trial0057021, AA, 44, 12, 3.666667, GDX, 29, 6, 4.833333, ZIC, 14, 10, 1.400000, ZIP, 0, 4, 0.000000, 
trial0057022, AA, 29, 12, 2.416667, GDX, 12, 6, 2.000000, ZIC, 9, 10, 0.900000, ZIP, 0, 4, 0.000000, 
trial0057023, AA, 51, 12, 4.250000, GDX, 3, 6, 0.500000, ZIC, 20, 10, 2.000000, ZIP, 9, 4, 2.250000, 
trial0057024, AA, 29, 12, 2.416667, GDX, 9, 6, 1.500000, ZIC, 37, 10, 3.700000, ZIP, 0, 4, 0.000000, 
trial0057025, AA, 30, 12, 2.500000, GDX, 11, 6, 1.833333, ZIC, 20, 10, 2.000000, ZIP, 14, 4, 3.500000, 
trial0057026, AA, 33, 12, 2.750000, GDX, 16, 6, 2.666667, ZIC, 17, 10, 1.700000, ZIP, 10, 4, 2.500000, 
trial0057027, AA, 23, 12, 1.916667, GDX, 14, 6, 2.333333, ZIC, 17, 10, 1.700000, ZIP, 0, 4, 0.000000, 
trial0057028, AA, 25, 12, 2.083333, GDX, 14, 6, 2.333333, ZIC, 25, 10, 2.500000, ZIP, 10, 4, 2.500000, 
trial0057029, AA, 18, 12, 1.500000, GDX, 11, 6, 1.833333, ZIC, 17, 10, 1.700000, ZIP, 6, 4, 1.500000, 
trial0057030, AA, 28, 12, 2.333333, GDX, 32, 6, 5.333333, ZIC, 0, 10, 0.000000, ZIP, 18, 4, 4.500000, 
trial0057031, AA, 94, 12, 7.833333, GDX, 131, 6, 21.833333, ZIC, 257, 10, 25.700000, ZIP, 122, 4, 30.500000, 
trial0057032, AA, 260, 12, 21.666667, GDX, 92, 6, 15.333333, ZIC, 234, 10, 23.400000, ZIP, 71, 4, 17.750000, 
trial0057033, AA, 306, 12, 25.500000, GDX, 42, 6, 7.000000, ZIC, 220, 10, 22.000000, ZIP, 57, 4, 14.250000, 
trial0057034, AA, 344, 12, 28.666667, GDX, 37, 6, 6.166667, ZIC, 223, 10, 22.300000, ZIP, 32, 4, 8.000000, 
trial0057035, AA, 252, 12, 21.000000, GDX, 10, 6, 1.666667, ZIC, 246, 10, 24.600000, ZIP, 170, 4, 42.500000, 
trial0057036, AA, 301, 12, 25.083333, GDX, 75, 6, 12.500000, ZIC, 218, 10, 21.800000, ZIP, 84, 4, 21.000000, 
trial0057037, AA, 278, 12, 23.166667, GDX, 87, 6, 14.500000, ZIC, 145, 10, 14.500000, ZIP, 126, 4, 31.500000, 
trial0057038, AA, 352, 12, 29.333333, GDX, 32, 6, 5.333333, ZIC, 171, 10, 17.100000, ZIP, 91, 4, 22.750000, 
trial0057039, AA, 122, 12, 10.166667, GDX, 72, 6, 12.000000, ZIC, 319, 10, 31.900000, ZIP, 155, 4, 38.750000, 
trial0057040, AA, 209, 12, 17.416667, GDX, 0, 6, 0.000000, ZIC, 310, 10, 31.000000, ZIP, 85, 4, 21.250000, 
trial0057041, AA, 300, 12, 25.000000, GDX, 59, 6, 9.833333, ZIC, 233, 10, 23.300000, ZIP, 55, 4, 13.750000, 
trial0057042, AA, 342, 12, 28.500000, GDX, 129, 6, 21.500000, ZIC, 156, 10, 15.600000, ZIP, 41, 4, 10.250000, 
trial0057043, AA, 167, 12, 13.916667, GDX, 85, 6, 14.166667, ZIC, 292, 10, 29.200000, ZIP, 92, 4, 23.000000, 
trial0057044, AA, 92, 12, 7.666667, GDX, 116, 6, 19.333333, ZIC, 312, 10, 31.200000, ZIP, 127, 4, 31.750000, 
trial0057045, AA, 167, 12, 13.916667, GDX, 139, 6, 23.166667, ZIC, 149, 10, 14.900000, ZIP, 43, 4, 10.750000, 
trial0057046, AA, 377, 12, 31.416667, GDX, 17, 6, 2.833333, ZIC, 108, 10, 10.800000, ZIP, 134, 4, 33.500000, 
trial0057047, AA, 253, 12, 21.083333, GDX, 41, 6, 6.833333, ZIC, 306, 10, 30.600000, ZIP, 78, 4, 19.500000, 
trial0057048, AA, 196, 12, 16.333333, GDX, 157, 6, 26.166667, ZIC, 147, 10, 14.700000, ZIP, 147, 4, 36.750000, 
trial0057049, AA, 324, 12, 27.000000, GDX, 43, 6, 7.166667, ZIC, 136, 10, 13.600000, ZIP, 102, 4, 25.500000, 
trial0057050, AA, 261, 12, 21.750000, GDX, 74, 6, 12.333333, ZIC, 241, 10, 24.100000, ZIP, 49, 4, 12.250000, 
trial0057051, AA, 306, 12, 25.500000, GDX, 105, 6, 17.500000, ZIC, 110, 10, 11.000000, ZIP, 94, 4, 23.500000, 
trial0057052, AA, 301, 12, 25.083333, GDX, 24, 6, 4.000000, ZIC, 273, 10, 27.300000, ZIP, 70, 4, 17.500000, 
trial0057053, AA, 256, 12, 21.333333, GDX, 53, 6, 8.833333, ZIC, 136, 10, 13.600000, ZIP, 117, 4, 29.250000, 
trial0057054, AA, 149, 12, 12.416667, GDX, 160, 6, 26.666667, ZIC, 233, 10, 23.300000, ZIP, 63, 4, 15.750000, 
trial0057055, AA, 278, 12, 23.166667, GDX, 31, 6, 5.166667, ZIC, 222, 10, 22.200000, ZIP, 53, 4, 13.250000, 
trial0057056, AA, 222, 12, 18.500000, GDX, 96, 6, 16.000000, ZIC, 117, 10, 11.700000, ZIP, 84, 4, 21.000000, 
trial0057057, AA, 269, 12, 22.416667, GDX, 106, 6, 17.666667, ZIC, 185, 10, 18.500000, ZIP, 118, 4, 29.500000, 
trial0057058, AA, 238, 12, 19.833333, GDX, 152, 6, 25.333333, ZIC, 236, 10, 23.600000, ZIP, 52, 4, 13.000000, 
trial0057059, AA, 362, 12, 30.166667, GDX, 98, 6, 16.333333, ZIC, 102, 10, 10.200000, ZIP, 96, 4, 24.000000, 
trial0057060, AA, 224, 12, 18.666667, GDX, 152, 6, 25.333333, ZIC, 268, 10, 26.800000, ZIP, 3, 4, 0.750000, 
trial0057061, AA, 278, 12, 23.166667, GDX, 127, 6, 21.166667, ZIC, 70, 10, 7.000000, ZIP, 137, 4, 34.250000, 
trial0057062, AA, 205, 12, 17.083333, GDX, 109, 6, 18.166667, ZIC, 171, 10, 17.100000, ZIP, 59, 4, 14.750000, 
trial0057063, AA, 207, 12, 17.250000, GDX, 158, 6, 26.333333, ZIC, 203, 10, 20.300000, ZIP, 24, 4, 6.000000, 
trial0057064, AA, 353, 12, 29.416667, GDX, 42, 6, 7.000000, ZIC, 101, 10, 10.100000, ZIP, 107, 4, 26.750000, 
trial0057065, AA, 175, 12, 14.583333, GDX, 195, 6, 32.500000, ZIC, 128, 10, 12.800000, ZIP, 65, 4, 16.250000, 
trial0057066, AA, 347, 12, 28.916667, GDX, 0, 6, 0.000000, ZIC, 76, 10, 7.600000, ZIP, 121, 4, 30.250000, 
trial0057067, AA, 349, 12, 29.083333, GDX, 17, 6, 2.833333, ZIC, 168, 10, 16.800000, ZIP, 39, 4, 9.750000, 
trial0057068, AA, 232, 12, 19.333333, GDX, 190, 6, 31.666667, ZIC, 176, 10, 17.600000, ZIP, 24, 4, 6.000000, 
trial0057069, AA, 327, 12, 27.250000, GDX, 49, 6, 8.166667, ZIC, 236, 10, 23.600000, ZIP, 0, 4, 0.000000, 
trial0057070, AA, 162, 12, 13.500000, GDX, 152, 6, 25.333333, ZIC, 308, 10, 30.800000, ZIP, 0, 4, 0.000000, 
trial0057071, AA, 324, 12, 27.000000, GDX, 48, 6, 8.000000, ZIC, 142, 10, 14.200000, ZIP, 88, 4, 22.000000, 
trial0057072, AA, 283, 12, 23.583333, GDX, 148, 6, 24.666667, ZIC, 137, 10, 13.700000, ZIP, 34, 4, 8.500000, 
trial0057073, AA, 192, 12, 16.000000, GDX, 145, 6, 24.166667, ZIC, 203, 10, 20.300000, ZIP, 23, 4, 5.750000, 
trial0057074, AA, 118, 12, 9.833333, GDX, 309, 6, 51.500000, ZIC, 115, 10, 11.500000, ZIP, 61, 4, 15.250000, 
trial0057075, AA, 261, 12, 21.750000, GDX, 24, 6, 4.000000, ZIC, 85, 10, 8.500000, ZIP, 183, 4, 45.750000, 
trial0057076, AA, 173, 12, 14.416667, GDX, 107, 6, 17.833333, ZIC, 261, 10, 26.100000, ZIP, 81, 4, 20.250000, 
trial0057077, AA, 233, 12, 19.416667, GDX, 50, 6, 8.333333, ZIC, 326, 10, 32.600000, ZIP, 13, 4, 3.250000, 
trial0057078, AA, 210, 12, 17.500000, GDX, 96, 6, 16.000000, ZIC, 230, 10, 23.000000, ZIP, 76, 4, 19.000000, 
trial0057079, AA, 237, 12, 19.750000, GDX, 51, 6, 8.500000, ZIC, 260, 10, 26.000000, ZIP, 65, 4, 16.250000, 
trial0057080, AA, 220, 12, 18.333333, GDX, 70, 6, 11.666667, ZIC, 243, 10, 24.300000, ZIP, 89, 4, 22.250000, 
trial0057081, AA, 130, 12, 10.833333, GDX, 207, 6, 34.500000, ZIC, 241, 10, 24.100000, ZIP, 14, 4, 3.500000, 
trial0057082, AA, 227, 12, 18.916667, GDX, 169, 6, 28.166667, ZIC, 103, 10, 10.300000, ZIP, 123, 4, 30.750000, 
trial0057083, AA, 285, 12, 23.750000, GDX, 16, 6, 2.666667, ZIC, 237, 10, 23.700000, ZIP, 45, 4, 11.250000, 
trial0057084, AA, 267, 12, 22.250000, GDX, 52, 6, 8.666667, ZIC, 221, 10, 22.100000, ZIP, 62, 4, 15.500000, 
trial0057085, AA, 422, 12, 35.166667, GDX, 43, 6, 7.166667, ZIC, 127, 10, 12.700000, ZIP, 30, 4, 7.500000, 
trial0057086, AA, 59, 12, 4.916667, GDX, 140, 6, 23.333333, ZIC, 307, 10, 30.700000, ZIP, 116, 4, 29.000000, 
trial0057087, AA, 360, 12, 30.000000, GDX, 136, 6, 22.666667, ZIC, 46, 10, 4.600000, ZIP, 40, 4, 10.000000, 
trial0057088, AA, 113, 12, 9.416667, GDX, 176, 6, 29.333333, ZIC, 184, 10, 18.400000, ZIP, 149, 4, 37.250000, 
trial0057089, AA, 149, 12, 12.416667, GDX, 135, 6, 22.500000, ZIC, 242, 10, 24.200000, ZIP, 105, 4, 26.250000, 
trial0057090, AA, 287, 12, 23.916667, GDX, 77, 6, 12.833333, ZIC, 187, 10, 18.700000, ZIP, 71, 4, 17.750000, 
trial0057091, AA, 323, 12, 26.916667, GDX, 35, 6, 5.833333, ZIC, 182, 10, 18.200000, ZIP, 19, 4, 4.750000, 
trial0057092, AA, 316, 12, 26.333333, GDX, 0, 6, 0.000000, ZIC, 142, 10, 14.200000, ZIP, 49, 4, 12.250000, 
trial0057093, AA, 295, 12, 24.583333, GDX, 2, 6, 0.333333, ZIC, 123, 10, 12.300000, ZIP, 131, 4, 32.750000, 
trial0057094, AA, 210, 12, 17.500000, GDX, 34, 6, 5.666667, ZIC, 261, 10, 26.100000, ZIP, 37, 4, 9.250000, 
trial0057095, AA, 70, 12, 5.833333, GDX, 100, 6, 16.666667, ZIC, 267, 10, 26.700000, ZIP, 70, 4, 17.500000, 
trial0057096, AA, 257, 12, 21.416667, GDX, 83, 6, 13.833333, ZIC, 98, 10, 9.800000, ZIP, 16, 4, 4.000000, 
trial0057097, AA, 233, 12, 19.416667, GDX, 62, 6, 10.333333, ZIC, 162, 10, 16.200000, ZIP, 85, 4, 21.250000, 
trial0057098, AA, 157, 12, 13.083333, GDX, 136, 6, 22.666667, ZIC, 184, 10, 18.400000, ZIP, 74, 4, 18.500000, 
trial0057099, AA, 228, 12, 19.000000, GDX, 150, 6, 25.000000, ZIC, 68, 10, 6.800000, ZIP, 70, 4, 17.500000, 
trial0057100, AA, 218, 12, 18.166667, GDX, 58, 6, 9.666667, ZIC, 62, 10, 6.200000, ZIP, 47, 4, 11.750000, 
trial0057101, AA, 267, 12, 22.250000, GDX, 3, 6, 0.500000, ZIC, 135, 10, 13.500000, ZIP, 146, 4, 36.500000, 
trial0057102, AA, 191, 12, 15.916667, GDX, 47, 6, 7.833333, ZIC, 173, 10, 17.300000, ZIP, 69, 4, 17.250000, 
trial0057103, AA, 102, 12, 8.500000, GDX, 103, 6, 17.166667, ZIC, 178, 10, 17.800000, ZIP, 72, 4, 18.000000, 
trial0057104, AA, 212, 12, 17.666667, GDX, 79, 6, 13.166667, ZIC, 214, 10, 21.400000, ZIP, 2, 4, 0.500000, 
trial0057105, AA, 287, 12, 23.916667, GDX, 24, 6, 4.000000, ZIC, 142, 10, 14.200000, ZIP, 98, 4, 24.500000, 
trial0057106, AA, 216, 12, 18.000000, GDX, 78, 6, 13.000000, ZIC, 145, 10, 14.500000, ZIP, 86, 4, 21.500000, 
trial0057107, AA, 219, 12, 18.250000, GDX, 83, 6, 13.833333, ZIC, 83, 10, 8.300000, ZIP, 113, 4, 28.250000, 
trial0057108, AA, 247, 12, 20.583333, GDX, 16, 6, 2.666667, ZIC, 216, 10, 21.600000, ZIP, 46, 4, 11.500000, 
trial0057109, AA, 181, 12, 15.083333, GDX, 186, 6, 31.000000, ZIC, 144, 10, 14.400000, ZIP, 5, 4, 1.250000, 
trial0057110, AA, 288, 12, 24.000000, GDX, 69, 6, 11.500000, ZIC, 166, 10, 16.600000, ZIP, 10, 4, 2.500000, 
trial0057111, AA, 165, 12, 13.750000, GDX, 56, 6, 9.333333, ZIC, 196, 10, 19.600000, ZIP, 90, 4, 22.500000, 
trial0057112, AA, 210, 12, 17.500000, GDX, 55, 6, 9.166667, ZIC, 207, 10, 20.700000, ZIP, 53, 4, 13.250000, 
trial0057113, AA, 160, 12, 13.333333, GDX, 23, 6, 3.833333, ZIC, 235, 10, 23.500000, ZIP, 63, 4, 15.750000, 
trial0057114, AA, 70, 12, 5.833333, GDX, 6, 6, 1.000000, ZIC, 470, 10, 47.000000, ZIP, 5, 4, 1.250000, 
trial0057115, AA, 145, 12, 12.083333, GDX, 57, 6, 9.500000, ZIC, 191, 10, 19.100000, ZIP, 97, 4, 24.250000, 
trial0057116, AA, 104, 12, 8.666667, GDX, 162, 6, 27.000000, ZIC, 227, 10, 22.700000, ZIP, 5, 4, 1.250000, 
trial0057117, AA, 159, 12, 13.250000, GDX, 34, 6, 5.666667, ZIC, 294, 10, 29.400000, ZIP, 47, 4, 11.750000, 
trial0057118, AA, 219, 12, 18.250000, GDX, 122, 6, 20.333333, ZIC, 126, 10, 12.600000, ZIP, 5, 4, 1.250000, 
trial0057119, AA, 284, 12, 23.666667, GDX, 0, 6, 0.000000, ZIC, 150, 10, 15.000000, ZIP, 91, 4, 22.750000, 
trial0057120, AA, 180, 12, 15.000000, GDX, 85, 6, 14.166667, ZIC, 253, 10, 25.300000, ZIP, 33, 4, 8.250000, 
trial0057121, AA, 120, 12, 10.000000, GDX, 12, 6, 2.000000, ZIC, 145, 10, 14.500000, ZIP, 78, 4, 19.500000, 
trial0057122, AA, 116, 12, 9.666667, GDX, 25, 6, 4.166667, ZIC, 202, 10, 20.200000, ZIP, 63, 4, 15.750000, 
trial0057123, AA, 115, 12, 9.583333, GDX, 0, 6, 0.000000, ZIC, 206, 10, 20.600000, ZIP, 128, 4, 32.000000, 
trial0057124, AA, 33, 12, 2.750000, GDX, 130, 6, 21.666667, ZIC, 202, 10, 20.200000, ZIP, 84, 4, 21.000000, 
trial0057125, AA, 113, 12, 9.416667, GDX, 82, 6, 13.666667, ZIC, 172, 10, 17.200000, ZIP, 60, 4, 15.000000, 
trial0057126, AA, 160, 12, 13.333333, GDX, 32, 6, 5.333333, ZIC, 141, 10, 14.100000, ZIP, 58, 4, 14.500000, 
trial0057127, AA, 153, 12, 12.750000, GDX, 78, 6, 13.000000, ZIC, 148, 10, 14.800000, ZIP, 42, 4, 10.500000, 
trial0057128, AA, 171, 12, 14.250000, GDX, 78, 6, 13.000000, ZIC, 109, 10, 10.900000, ZIP, 77, 4, 19.250000, 
trial0057129, AA, 151, 12, 12.583333, GDX, 131, 6, 21.833333, ZIC, 105, 10, 10.500000, ZIP, 25, 4, 6.250000, 
trial0057130, AA, 181, 12, 15.083333, GDX, 55, 6, 9.166667, ZIC, 187, 10, 18.700000, ZIP, 4, 4, 1.000000, 
trial0057131, AA, 141, 12, 11.750000, GDX, 58, 6, 9.666667, ZIC, 154, 10, 15.400000, ZIP, 81, 4, 20.250000, 
trial0057132, AA, 172, 12, 14.333333, GDX, 66, 6, 11.000000, ZIC, 160, 10, 16.000000, ZIP, 22, 4, 5.500000, 
trial0057133, AA, 115, 12, 9.583333, GDX, 45, 6, 7.500000, ZIC, 217, 10, 21.700000, ZIP, 57, 4, 14.250000, 
trial0057134, AA, 186, 12, 15.500000, GDX, 17, 6, 2.833333, ZIC, 164, 10, 16.400000, ZIP, 82, 4, 20.500000, 
trial0057135, AA, 45, 12, 3.750000, GDX, 77, 6, 12.833333, ZIC, 203, 10, 20.300000, ZIP, 74, 4, 18.500000, 
trial0057136, AA, 61, 12, 5.083333, GDX, 217, 6, 36.166667, ZIC, 131, 10, 13.100000, ZIP, 26, 4, 6.500000, 
trial0057137, AA, 239, 12, 19.916667, GDX, 113, 6, 18.833333, ZIC, 58, 10, 5.800000, ZIP, 39, 4, 9.750000, 
trial0057138, AA, 100, 12, 8.333333, GDX, 133, 6, 22.166667, ZIC, 133, 10, 13.300000, ZIP, 75, 4, 18.750000, 
trial0057139, AA, 186, 12, 15.500000, GDX, 61, 6, 10.166667, ZIC, 107, 10, 10.700000, ZIP, 52, 4, 13.000000, 
trial0057140, AA, 94, 12, 7.833333, GDX, 119, 6, 19.833333, ZIC, 161, 10, 16.100000, ZIP, 53, 4, 13.250000, 
trial0057141, AA, 24, 12, 2.000000, GDX, 126, 6, 21.000000, ZIC, 185, 10, 18.500000, ZIP, 92, 4, 23.000000, 
trial0057142, AA, 176, 12, 14.666667, GDX, 53, 6, 8.833333, ZIC, 139, 10, 13.900000, ZIP, 74, 4, 18.500000, 
