trial0019801, AA, 591, 12, 49.250000, GDX, 233, 2, 116.500000, ZIC, 1139, 18, 63.277778, 
trial0019802, AA, 1089, 12, 90.750000, GDX, 47, 2, 23.500000, ZIC, 750, 18, 41.666667, 
trial0019803, AA, 782, 12, 65.166667, GDX, 293, 2, 146.500000, ZIC, 1162, 18, 64.555556, 
trial0019804, AA, 662, 12, 55.166667, GDX, 191, 2, 95.500000, ZIC, 936, 18, 52.000000, 
trial0019805, AA, 812, 12, 67.666667, GDX, 0, 2, 0.000000, ZIC, 1001, 18, 55.611111, 
trial0019806, AA, 1146, 12, 95.500000, GDX, 68, 2, 34.000000, ZIC, 1198, 18, 66.555556, 
trial0019807, AA, 1127, 12, 93.916667, GDX, 143, 2, 71.500000, ZIC, 884, 18, 49.111111, 
trial0019808, AA, 657, 12, 54.750000, GDX, 198, 2, 99.000000, ZIC, 1346, 18, 74.777778, 
trial0019809, AA, 1174, 12, 97.833333, GDX, 286, 2, 143.000000, ZIC, 737, 18, 40.944444, 
trial0019810, AA, 919, 12, 76.583333, GDX, 320, 2, 160.000000, ZIC, 1145, 18, 63.611111, 
trial0019811, AA, 815, 12, 67.916667, GDX, 135, 2, 67.500000, ZIC, 1224, 18, 68.000000, 
trial0019812, AA, 903, 12, 75.250000, GDX, 354, 2, 177.000000, ZIC, 837, 18, 46.500000, 
trial0019813, AA, 649, 12, 54.083333, GDX, 64, 2, 32.000000, ZIC, 1376, 18, 76.444444, 
trial0019814, AA, 1360, 12, 113.333333, GDX, 0, 2, 0.000000, ZIC, 742, 18, 41.222222, 
trial0019815, AA, 1158, 12, 96.500000, GDX, 255, 2, 127.500000, ZIC, 841, 18, 46.722222, 
trial0019816, AA, 1063, 12, 88.583333, GDX, 78, 2, 39.000000, ZIC, 984, 18, 54.666667, 
trial0019817, AA, 907, 12, 75.583333, GDX, 29, 2, 14.500000, ZIC, 770, 18, 42.777778, 
trial0019818, AA, 923, 12, 76.916667, GDX, 272, 2, 136.000000, ZIC, 889, 18, 49.388889, 
trial0019819, AA, 1086, 12, 90.500000, GDX, 10, 2, 5.000000, ZIC, 995, 18, 55.277778, 
trial0019820, AA, 658, 12, 54.833333, GDX, 63, 2, 31.500000, ZIC, 998, 18, 55.444444, 
trial0019821, AA, 717, 12, 59.750000, GDX, 229, 2, 114.500000, ZIC, 1250, 18, 69.444444, 
trial0019822, AA, 1201, 12, 100.083333, GDX, 80, 2, 40.000000, ZIC, 846, 18, 47.000000, 
trial0019823, AA, 1038, 12, 86.500000, GDX, 747, 2, 373.500000, ZIC, 560, 18, 31.111111, 
trial0019824, AA, 811, 12, 67.583333, GDX, 0, 2, 0.000000, ZIC, 978, 18, 54.333333, 
trial0019825, AA, 1424, 12, 118.666667, GDX, 0, 2, 0.000000, ZIC, 508, 18, 28.222222, 
trial0019826, AA, 1416, 12, 118.000000, GDX, 411, 2, 205.500000, ZIC, 597, 18, 33.166667, 
trial0019827, AA, 1185, 12, 98.750000, GDX, 243, 2, 121.500000, ZIC, 836, 18, 46.444444, 
trial0019828, AA, 1277, 12, 106.416667, GDX, 0, 2, 0.000000, ZIC, 1293, 18, 71.833333, 
trial0019829, AA, 1564, 12, 130.333333, GDX, 343, 2, 171.500000, ZIC, 512, 18, 28.444444, 
trial0019830, AA, 1194, 12, 99.500000, GDX, 262, 2, 131.000000, ZIC, 595, 18, 33.055556, 
trial0019831, AA, 694, 12, 57.833333, GDX, 351, 2, 175.500000, ZIC, 773, 18, 42.944444, 
trial0019832, AA, 792, 12, 66.000000, GDX, 269, 2, 134.500000, ZIC, 704, 18, 39.111111, 
trial0019833, AA, 677, 12, 56.416667, GDX, 170, 2, 85.000000, ZIC, 798, 18, 44.333333, 
trial0019834, AA, 735, 12, 61.250000, GDX, 136, 2, 68.000000, ZIC, 530, 18, 29.444444, 
trial0019835, AA, 262, 12, 21.833333, GDX, 297, 2, 148.500000, ZIC, 798, 18, 44.333333, 
trial0019836, AA, 625, 12, 52.083333, GDX, 194, 2, 97.000000, ZIC, 670, 18, 37.222222, 
trial0019837, AA, 1145, 12, 95.416667, GDX, 65, 2, 32.500000, ZIC, 263, 18, 14.611111, 
trial0019838, AA, 806, 12, 67.166667, GDX, 81, 2, 40.500000, ZIC, 711, 18, 39.500000, 
trial0019839, AA, 800, 12, 66.666667, GDX, 92, 2, 46.000000, ZIC, 496, 18, 27.555556, 
trial0019840, AA, 695, 12, 57.916667, GDX, 162, 2, 81.000000, ZIC, 491, 18, 27.277778, 
trial0019841, AA, 765, 12, 63.750000, GDX, 99, 2, 49.500000, ZIC, 685, 18, 38.055556, 
trial0019842, AA, 856, 12, 71.333333, GDX, 0, 2, 0.000000, ZIC, 722, 18, 40.111111, 
trial0019843, AA, 891, 12, 74.250000, GDX, 180, 2, 90.000000, ZIC, 520, 18, 28.888889, 
trial0019844, AA, 612, 12, 51.000000, GDX, 25, 2, 12.500000, ZIC, 483, 18, 26.833333, 
trial0019845, AA, 732, 12, 61.000000, GDX, 359, 2, 179.500000, ZIC, 433, 18, 24.055556, 
trial0019846, AA, 834, 12, 69.500000, GDX, 217, 2, 108.500000, ZIC, 712, 18, 39.555556, 
trial0019847, AA, 750, 12, 62.500000, GDX, 525, 2, 262.500000, ZIC, 456, 18, 25.333333, 
trial0019848, AA, 1008, 12, 84.000000, GDX, 41, 2, 20.500000, ZIC, 587, 18, 32.611111, 
trial0019849, AA, 1242, 12, 103.500000, GDX, 55, 2, 27.500000, ZIC, 367, 18, 20.388889, 
trial0019850, AA, 809, 12, 67.416667, GDX, 182, 2, 91.000000, ZIC, 608, 18, 33.777778, 
trial0019851, AA, 549, 12, 45.750000, GDX, 109, 2, 54.500000, ZIC, 1066, 18, 59.222222, 
trial0019852, AA, 748, 12, 62.333333, GDX, 121, 2, 60.500000, ZIC, 539, 18, 29.944444, 
trial0019853, AA, 572, 12, 47.666667, GDX, 234, 2, 117.000000, ZIC, 521, 18, 28.944444, 
trial0019854, AA, 1311, 12, 109.250000, GDX, 91, 2, 45.500000, ZIC, 405, 18, 22.500000, 
