trial0045301, GDX, 21, 2, 10.500000, ZIP, 468, 30, 15.600000, 
trial0045302, GDX, 17, 2, 8.500000, ZIP, 464, 30, 15.466667, 
trial0045303, GDX, 44, 2, 22.000000, ZIP, 481, 30, 16.033333, 
trial0045304, GDX, 0, 2, 0.000000, ZIP, 455, 30, 15.166667, 
trial0045305, GDX, 15, 2, 7.500000, ZIP, 500, 30, 16.666667, 
trial0045306, GDX, 7, 2, 3.500000, ZIP, 456, 30, 15.200000, 
trial0045307, GDX, 32, 2, 16.000000, ZIP, 493, 30, 16.433333, 
trial0045308, GDX, 65, 2, 32.500000, ZIP, 468, 30, 15.600000, 
trial0045309, GDX, 0, 2, 0.000000, ZIP, 507, 30, 16.900000, 
trial0045310, GDX, 0, 2, 0.000000, ZIP, 515, 30, 17.166667, 
trial0045311, GDX, 0, 2, 0.000000, ZIP, 525, 30, 17.500000, 
trial0045312, GDX, 92, 2, 46.000000, ZIP, 415, 30, 13.833333, 
trial0045313, GDX, 50, 2, 25.000000, ZIP, 405, 30, 13.500000, 
trial0045314, GDX, 0, 2, 0.000000, ZIP, 516, 30, 17.200000, 
trial0045315, GDX, 41, 2, 20.500000, ZIP, 483, 30, 16.100000, 
trial0045316, GDX, 0, 2, 0.000000, ZIP, 472, 30, 15.733333, 
trial0045317, GDX, 122, 2, 61.000000, ZIP, 412, 30, 13.733333, 
trial0045318, GDX, 55, 2, 27.500000, ZIP, 452, 30, 15.066667, 
trial0045319, GDX, 0, 2, 0.000000, ZIP, 515, 30, 17.166667, 
trial0045320, GDX, 0, 2, 0.000000, ZIP, 437, 30, 14.566667, 
trial0045321, GDX, 35, 2, 17.500000, ZIP, 410, 30, 13.666667, 
trial0045322, GDX, 0, 2, 0.000000, ZIP, 542, 30, 18.066667, 
trial0045323, GDX, 41, 2, 20.500000, ZIP, 467, 30, 15.566667, 
trial0045324, GDX, 21, 2, 10.500000, ZIP, 477, 30, 15.900000, 
trial0045325, GDX, 0, 2, 0.000000, ZIP, 472, 30, 15.733333, 
trial0045326, GDX, 26, 2, 13.000000, ZIP, 402, 30, 13.400000, 
trial0045327, GDX, 34, 2, 17.000000, ZIP, 473, 30, 15.766667, 
trial0045328, GDX, 5, 2, 2.500000, ZIP, 529, 30, 17.633333, 
trial0045329, GDX, 0, 2, 0.000000, ZIP, 516, 30, 17.200000, 
trial0045330, GDX, 7, 2, 3.500000, ZIP, 492, 30, 16.400000, 
trial0045331, GDX, 33, 2, 16.500000, ZIP, 206, 30, 6.866667, 
trial0045332, GDX, 27, 2, 13.500000, ZIP, 262, 30, 8.733333, 
trial0045333, GDX, 43, 2, 21.500000, ZIP, 216, 30, 7.200000, 
trial0045334, GDX, 0, 2, 0.000000, ZIP, 279, 30, 9.300000, 
trial0045335, GDX, 0, 2, 0.000000, ZIP, 264, 30, 8.800000, 
trial0045336, GDX, 4, 2, 2.000000, ZIP, 270, 30, 9.000000, 
