trial0045081, AA, 13, 2, 6.500000, ZIP, 384, 30, 12.800000, 
trial0045082, AA, 3, 2, 1.500000, ZIP, 393, 30, 13.100000, 
trial0045083, AA, 37, 2, 18.500000, ZIP, 328, 30, 10.933333, 
trial0045084, AA, 19, 2, 9.500000, ZIP, 333, 30, 11.100000, 
trial0045085, AA, 46, 2, 23.000000, ZIP, 299, 30, 9.966667, 
trial0045086, AA, 57, 2, 28.500000, ZIP, 307, 30, 10.233333, 
trial0045087, AA, 30, 2, 15.000000, ZIP, 341, 30, 11.366667, 
trial0045088, AA, 67, 2, 33.500000, ZIP, 336, 30, 11.200000, 
trial0045089, AA, 47, 2, 23.500000, ZIP, 299, 30, 9.966667, 
trial0045090, AA, 14, 2, 7.000000, ZIP, 396, 30, 13.200000, 
trial0045091, AA, 0, 2, 0.000000, ZIP, 732, 30, 24.400000, 
trial0045092, AA, 0, 2, 0.000000, ZIP, 744, 30, 24.800000, 
trial0045093, AA, 33, 2, 16.500000, ZIP, 711, 30, 23.700000, 
trial0045094, AA, 0, 2, 0.000000, ZIP, 649, 30, 21.633333, 
trial0045095, AA, 42, 2, 21.000000, ZIP, 678, 30, 22.600000, 
trial0045096, AA, 40, 2, 20.000000, ZIP, 668, 30, 22.266667, 
trial0045097, AA, 12, 2, 6.000000, ZIP, 613, 30, 20.433333, 
trial0045098, AA, 11, 2, 5.500000, ZIP, 697, 30, 23.233333, 
trial0045099, AA, 52, 2, 26.000000, ZIP, 656, 30, 21.866667, 
trial0045100, AA, 0, 2, 0.000000, ZIP, 708, 30, 23.600000, 
trial0045101, AA, 132, 2, 66.000000, ZIP, 624, 30, 20.800000, 
trial0045102, AA, 70, 2, 35.000000, ZIP, 627, 30, 20.900000, 
trial0045103, AA, 48, 2, 24.000000, ZIP, 649, 30, 21.633333, 
trial0045104, AA, 19, 2, 9.500000, ZIP, 701, 30, 23.366667, 
trial0045105, AA, 48, 2, 24.000000, ZIP, 520, 30, 17.333333, 
trial0045106, AA, 24, 2, 12.000000, ZIP, 708, 30, 23.600000, 
trial0045107, AA, 67, 2, 33.500000, ZIP, 630, 30, 21.000000, 
trial0045108, AA, 60, 2, 30.000000, ZIP, 684, 30, 22.800000, 
trial0045109, AA, 0, 2, 0.000000, ZIP, 697, 30, 23.233333, 
trial0045110, AA, 118, 2, 59.000000, ZIP, 484, 30, 16.133333, 
trial0045111, AA, 0, 2, 0.000000, ZIP, 697, 30, 23.233333, 
trial0045112, AA, 0, 2, 0.000000, ZIP, 637, 30, 21.233333, 
trial0045113, AA, 47, 2, 23.500000, ZIP, 626, 30, 20.866667, 
trial0045114, AA, 24, 2, 12.000000, ZIP, 555, 30, 18.500000, 
trial0045115, AA, 0, 2, 0.000000, ZIP, 744, 30, 24.800000, 
trial0045116, AA, 12, 2, 6.000000, ZIP, 732, 30, 24.400000, 
trial0045117, AA, 0, 2, 0.000000, ZIP, 685, 30, 22.833333, 
trial0045118, AA, 142, 2, 71.000000, ZIP, 590, 30, 19.666667, 
trial0045119, AA, 77, 2, 38.500000, ZIP, 655, 30, 21.833333, 
trial0045120, AA, 6, 2, 3.000000, ZIP, 667, 30, 22.233333, 
trial0045121, AA, 0, 2, 0.000000, ZIP, 222, 30, 7.400000, 
trial0045122, AA, 0, 2, 0.000000, ZIP, 216, 30, 7.200000, 
trial0045123, AA, 27, 2, 13.500000, ZIP, 136, 30, 4.533333, 
trial0045124, AA, 31, 2, 15.500000, ZIP, 234, 30, 7.800000, 
trial0045125, AA, 2, 2, 1.000000, ZIP, 193, 30, 6.433333, 
trial0045126, AA, 35, 2, 17.500000, ZIP, 219, 30, 7.300000, 
trial0045127, AA, 41, 2, 20.500000, ZIP, 278, 30, 9.266667, 
trial0045128, AA, 30, 2, 15.000000, ZIP, 175, 30, 5.833333, 
trial0045129, AA, 49, 2, 24.500000, ZIP, 119, 30, 3.966667, 
trial0045130, AA, 0, 2, 0.000000, ZIP, 222, 30, 7.400000, 
trial0045131, AA, 0, 2, 0.000000, ZIP, 270, 30, 9.000000, 
trial0045132, AA, 0, 2, 0.000000, ZIP, 167, 30, 5.566667, 
trial0045133, AA, 60, 2, 30.000000, ZIP, 231, 30, 7.700000, 
trial0045134, AA, 0, 2, 0.000000, ZIP, 188, 30, 6.266667, 
trial0045135, AA, 53, 2, 26.500000, ZIP, 207, 30, 6.900000, 
trial0045136, AA, 0, 2, 0.000000, ZIP, 276, 30, 9.200000, 
trial0045137, AA, 0, 2, 0.000000, ZIP, 173, 30, 5.766667, 
trial0045138, AA, 27, 2, 13.500000, ZIP, 108, 30, 3.600000, 
trial0045139, AA, 24, 2, 12.000000, ZIP, 283, 30, 9.433333, 
trial0045140, AA, 47, 2, 23.500000, ZIP, 245, 30, 8.166667, 
trial0045141, AA, 40, 2, 20.000000, ZIP, 176, 30, 5.866667, 
trial0045142, AA, 0, 2, 0.000000, ZIP, 200, 30, 6.666667, 
trial0045143, AA, 0, 2, 0.000000, ZIP, 216, 30, 7.200000, 
trial0045144, AA, 0, 2, 0.000000, ZIP, 243, 30, 8.100000, 
trial0045145, AA, 0, 2, 0.000000, ZIP, 141, 30, 4.700000, 
trial0045146, AA, 15, 2, 7.500000, ZIP, 163, 30, 5.433333, 
