trial0020744, AA, 665, 12, 55.416667, GDX, 215, 10, 21.500000, ZIC, 0, 2, 0.000000, ZIP, 635, 8, 79.375000, 
trial0020745, AA, 488, 12, 40.666667, GDX, 533, 10, 53.300000, ZIC, 7, 2, 3.500000, ZIP, 746, 8, 93.250000, 
trial0020746, AA, 654, 12, 54.500000, GDX, 432, 10, 43.200000, ZIC, 0, 2, 0.000000, ZIP, 507, 8, 63.375000, 
trial0020747, AA, 780, 12, 65.000000, GDX, 445, 10, 44.500000, ZIC, 140, 2, 70.000000, ZIP, 336, 8, 42.000000, 
trial0020748, AA, 741, 12, 61.750000, GDX, 559, 10, 55.900000, ZIC, 207, 2, 103.500000, ZIP, 276, 8, 34.500000, 
trial0020749, AA, 467, 12, 38.916667, GDX, 405, 10, 40.500000, ZIC, 91, 2, 45.500000, ZIP, 832, 8, 104.000000, 
trial0020750, AA, 623, 12, 51.916667, GDX, 182, 10, 18.200000, ZIC, 0, 2, 0.000000, ZIP, 528, 8, 66.000000, 
trial0020751, AA, 989, 12, 82.416667, GDX, 262, 10, 26.200000, ZIC, 360, 2, 180.000000, ZIP, 564, 8, 70.500000, 
trial0020752, AA, 740, 12, 61.666667, GDX, 451, 10, 45.100000, ZIC, 0, 2, 0.000000, ZIP, 329, 8, 41.125000, 
trial0020753, AA, 1461, 12, 121.750000, GDX, 357, 10, 35.700000, ZIC, 0, 2, 0.000000, ZIP, 462, 8, 57.750000, 
trial0020754, AA, 984, 12, 82.000000, GDX, 419, 10, 41.900000, ZIC, 48, 2, 24.000000, ZIP, 528, 8, 66.000000, 
trial0020755, AA, 221, 12, 18.416667, GDX, 720, 10, 72.000000, ZIC, 10, 2, 5.000000, ZIP, 572, 8, 71.500000, 
trial0020756, AA, 469, 12, 39.083333, GDX, 483, 10, 48.300000, ZIC, 0, 2, 0.000000, ZIP, 446, 8, 55.750000, 
trial0020757, AA, 800, 12, 66.666667, GDX, 521, 10, 52.100000, ZIC, 324, 2, 162.000000, ZIP, 415, 8, 51.875000, 
trial0020758, AA, 506, 12, 42.166667, GDX, 723, 10, 72.300000, ZIC, 217, 2, 108.500000, ZIP, 564, 8, 70.500000, 
trial0020759, AA, 598, 12, 49.833333, GDX, 725, 10, 72.500000, ZIC, 51, 2, 25.500000, ZIP, 729, 8, 91.125000, 
trial0020760, AA, 928, 12, 77.333333, GDX, 390, 10, 39.000000, ZIC, 161, 2, 80.500000, ZIP, 521, 8, 65.125000, 
trial0020761, AA, 1292, 12, 107.666667, GDX, 488, 10, 48.800000, ZIC, 188, 2, 94.000000, ZIP, 76, 8, 9.500000, 
trial0020762, AA, 771, 12, 64.250000, GDX, 730, 10, 73.000000, ZIC, 156, 2, 78.000000, ZIP, 1017, 8, 127.125000, 
trial0020763, AA, 1447, 12, 120.583333, GDX, 118, 10, 11.800000, ZIC, 86, 2, 43.000000, ZIP, 567, 8, 70.875000, 
trial0020764, AA, 766, 12, 63.833333, GDX, 896, 10, 89.600000, ZIC, 245, 2, 122.500000, ZIP, 338, 8, 42.250000, 
trial0020765, AA, 1158, 12, 96.500000, GDX, 912, 10, 91.200000, ZIC, 77, 2, 38.500000, ZIP, 577, 8, 72.125000, 
trial0020766, AA, 743, 12, 61.916667, GDX, 421, 10, 42.100000, ZIC, 0, 2, 0.000000, ZIP, 826, 8, 103.250000, 
trial0020767, AA, 1389, 12, 115.750000, GDX, 397, 10, 39.700000, ZIC, 26, 2, 13.000000, ZIP, 408, 8, 51.000000, 
trial0020768, AA, 703, 12, 58.583333, GDX, 844, 10, 84.400000, ZIC, 307, 2, 153.500000, ZIP, 545, 8, 68.125000, 
trial0020769, AA, 573, 12, 47.750000, GDX, 195, 10, 19.500000, ZIC, 0, 2, 0.000000, ZIP, 261, 8, 32.625000, 
trial0020770, AA, 1287, 12, 107.250000, GDX, 366, 10, 36.600000, ZIC, 0, 2, 0.000000, ZIP, 606, 8, 75.750000, 
trial0020771, AA, 818, 12, 68.166667, GDX, 389, 10, 38.900000, ZIC, 0, 2, 0.000000, ZIP, 523, 8, 65.375000, 
trial0020772, AA, 494, 12, 41.166667, GDX, 1030, 10, 103.000000, ZIC, 417, 2, 208.500000, ZIP, 238, 8, 29.750000, 
