trial0025201, AA, 96, 4, 24.000000, GDX, 1320, 16, 82.500000, ZIC, 158, 2, 79.000000, ZIP, 716, 10, 71.600000, 
trial0025202, AA, 758, 4, 189.500000, GDX, 1451, 16, 90.687500, ZIC, 0, 2, 0.000000, ZIP, 370, 10, 37.000000, 
trial0025203, AA, 268, 4, 67.000000, GDX, 961, 16, 60.062500, ZIC, 0, 2, 0.000000, ZIP, 962, 10, 96.200000, 
trial0025204, AA, 411, 4, 102.750000, GDX, 801, 16, 50.062500, ZIC, 0, 2, 0.000000, ZIP, 909, 10, 90.900000, 
trial0025205, AA, 533, 4, 133.250000, GDX, 1108, 16, 69.250000, ZIC, 0, 2, 0.000000, ZIP, 955, 10, 95.500000, 
trial0025206, AA, 302, 4, 75.500000, GDX, 0, 16, 0.000000, ZIC, 73, 2, 36.500000, ZIP, 563, 10, 56.300000, 
trial0025207, AA, 6, 4, 1.500000, GDX, 949, 16, 59.312500, ZIC, 316, 2, 158.000000, ZIP, 623, 10, 62.300000, 
trial0025208, AA, 469, 4, 117.250000, GDX, 822, 16, 51.375000, ZIC, 429, 2, 214.500000, ZIP, 598, 10, 59.800000, 
trial0025209, AA, 349, 4, 87.250000, GDX, 1077, 16, 67.312500, ZIC, 76, 2, 38.000000, ZIP, 979, 10, 97.900000, 
trial0025210, AA, 235, 4, 58.750000, GDX, 773, 16, 48.312500, ZIC, 0, 2, 0.000000, ZIP, 1480, 10, 148.000000, 
trial0025211, AA, 267, 4, 66.750000, GDX, 475, 16, 29.687500, ZIC, 319, 2, 159.500000, ZIP, 728, 10, 72.800000, 
trial0025212, AA, 496, 4, 124.000000, GDX, 153, 16, 9.562500, ZIC, 0, 2, 0.000000, ZIP, 1037, 10, 103.700000, 
trial0025213, AA, 309, 4, 77.250000, GDX, 1356, 16, 84.750000, ZIC, 84, 2, 42.000000, ZIP, 424, 10, 42.400000, 
trial0025214, AA, 32, 4, 8.000000, GDX, 901, 16, 56.312500, ZIC, 167, 2, 83.500000, ZIP, 449, 10, 44.900000, 
trial0025215, AA, 672, 4, 168.000000, GDX, 638, 16, 39.875000, ZIC, 250, 2, 125.000000, ZIP, 724, 10, 72.400000, 
trial0025216, AA, 689, 4, 172.250000, GDX, 857, 16, 53.562500, ZIC, 123, 2, 61.500000, ZIP, 446, 10, 44.600000, 
trial0025217, AA, 336, 4, 84.000000, GDX, 1409, 16, 88.062500, ZIC, 0, 2, 0.000000, ZIP, 581, 10, 58.100000, 
trial0025218, AA, 16, 4, 4.000000, GDX, 1039, 16, 64.937500, ZIC, 22, 2, 11.000000, ZIP, 790, 10, 79.000000, 
trial0025219, AA, 596, 4, 149.000000, GDX, 879, 16, 54.937500, ZIC, 39, 2, 19.500000, ZIP, 812, 10, 81.200000, 
trial0025220, AA, 548, 4, 137.000000, GDX, 1080, 16, 67.500000, ZIC, 97, 2, 48.500000, ZIP, 683, 10, 68.300000, 
trial0025221, AA, 300, 4, 75.000000, GDX, 260, 16, 16.250000, ZIC, 213, 2, 106.500000, ZIP, 987, 10, 98.700000, 
trial0025222, AA, 411, 4, 102.750000, GDX, 1082, 16, 67.625000, ZIC, 0, 2, 0.000000, ZIP, 519, 10, 51.900000, 
trial0025223, AA, 235, 4, 58.750000, GDX, 950, 16, 59.375000, ZIC, 202, 2, 101.000000, ZIP, 918, 10, 91.800000, 
trial0025224, AA, 480, 4, 120.000000, GDX, 1121, 16, 70.062500, ZIC, 37, 2, 18.500000, ZIP, 597, 10, 59.700000, 
trial0025225, AA, 155, 4, 38.750000, GDX, 422, 16, 26.375000, ZIC, 564, 2, 282.000000, ZIP, 666, 10, 66.600000, 
trial0025226, AA, 107, 4, 26.750000, GDX, 555, 16, 34.687500, ZIC, 14, 2, 7.000000, ZIP, 1252, 10, 125.200000, 
trial0025227, AA, 294, 4, 73.500000, GDX, 872, 16, 54.500000, ZIC, 0, 2, 0.000000, ZIP, 908, 10, 90.800000, 
trial0025228, AA, 324, 4, 81.000000, GDX, 677, 16, 42.312500, ZIC, 324, 2, 162.000000, ZIP, 1234, 10, 123.400000, 
trial0025229, AA, 624, 4, 156.000000, GDX, 824, 16, 51.500000, ZIC, 155, 2, 77.500000, ZIP, 992, 10, 99.200000, 
trial0025230, AA, 228, 4, 57.000000, GDX, 381, 16, 23.812500, ZIC, 145, 2, 72.500000, ZIP, 1110, 10, 111.000000, 
trial0025231, AA, 486, 4, 121.500000, GDX, 512, 16, 32.000000, ZIC, 235, 2, 117.500000, ZIP, 492, 10, 49.200000, 
trial0025232, AA, 75, 4, 18.750000, GDX, 908, 16, 56.750000, ZIC, 275, 2, 137.500000, ZIP, 641, 10, 64.100000, 
trial0025233, AA, 598, 4, 149.500000, GDX, 643, 16, 40.187500, ZIC, 27, 2, 13.500000, ZIP, 808, 10, 80.800000, 
trial0025234, AA, 170, 4, 42.500000, GDX, 426, 16, 26.625000, ZIC, 33, 2, 16.500000, ZIP, 1071, 10, 107.100000, 
trial0025235, AA, 200, 4, 50.000000, GDX, 646, 16, 40.375000, ZIC, 42, 2, 21.000000, ZIP, 726, 10, 72.600000, 
trial0025236, AA, 230, 4, 57.500000, GDX, 1211, 16, 75.687500, ZIC, 17, 2, 8.500000, ZIP, 631, 10, 63.100000, 
trial0025237, AA, 179, 4, 44.750000, GDX, 758, 16, 47.375000, ZIC, 199, 2, 99.500000, ZIP, 912, 10, 91.200000, 
trial0025238, AA, 287, 4, 71.750000, GDX, 855, 16, 53.437500, ZIC, 0, 2, 0.000000, ZIP, 761, 10, 76.100000, 
trial0025239, AA, 325, 4, 81.250000, GDX, 796, 16, 49.750000, ZIC, 46, 2, 23.000000, ZIP, 530, 10, 53.000000, 
trial0025240, AA, 331, 4, 82.750000, GDX, 923, 16, 57.687500, ZIC, 21, 2, 10.500000, ZIP, 702, 10, 70.200000, 
trial0025241, AA, 144, 4, 36.000000, GDX, 455, 16, 28.437500, ZIC, 355, 2, 177.500000, ZIP, 812, 10, 81.200000, 
trial0025242, AA, 161, 4, 40.250000, GDX, 861, 16, 53.812500, ZIC, 20, 2, 10.000000, ZIP, 472, 10, 47.200000, 
