trial0035158, AA, 464, 8, 58.000000, GDX, 138, 10, 13.800000, ZIC, 297, 14, 21.214286, 
trial0035159, AA, 309, 8, 38.625000, GDX, 348, 10, 34.800000, ZIC, 322, 14, 23.000000, 
trial0035160, AA, 231, 8, 28.875000, GDX, 321, 10, 32.100000, ZIC, 379, 14, 27.071429, 
trial0035161, AA, 37, 8, 4.625000, GDX, 420, 10, 42.000000, ZIC, 457, 14, 32.642857, 
trial0035162, AA, 252, 8, 31.500000, GDX, 300, 10, 30.000000, ZIC, 283, 14, 20.214286, 
trial0035163, AA, 203, 8, 25.375000, GDX, 57, 10, 5.700000, ZIC, 357, 14, 25.500000, 
trial0035164, AA, 251, 8, 31.375000, GDX, 334, 10, 33.400000, ZIC, 408, 14, 29.142857, 
trial0035165, AA, 198, 8, 24.750000, GDX, 322, 10, 32.200000, ZIC, 79, 14, 5.642857, 
trial0035166, AA, 228, 8, 28.500000, GDX, 278, 10, 27.800000, ZIC, 181, 14, 12.928571, 
trial0035167, AA, 299, 8, 37.375000, GDX, 44, 10, 4.400000, ZIC, 277, 14, 19.785714, 
trial0035168, AA, 174, 8, 21.750000, GDX, 199, 10, 19.900000, ZIC, 338, 14, 24.142857, 
trial0035169, AA, 141, 8, 17.625000, GDX, 182, 10, 18.200000, ZIC, 376, 14, 26.857143, 
trial0035170, AA, 195, 8, 24.375000, GDX, 295, 10, 29.500000, ZIC, 286, 14, 20.428571, 
trial0035171, AA, 140, 8, 17.500000, GDX, 189, 10, 18.900000, ZIC, 210, 14, 15.000000, 
trial0035172, AA, 198, 8, 24.750000, GDX, 238, 10, 23.800000, ZIC, 203, 14, 14.500000, 
trial0035173, AA, 112, 8, 14.000000, GDX, 226, 10, 22.600000, ZIC, 357, 14, 25.500000, 
trial0035174, AA, 85, 8, 10.625000, GDX, 233, 10, 23.300000, ZIC, 401, 14, 28.642857, 
trial0035175, AA, 111, 8, 13.875000, GDX, 257, 10, 25.700000, ZIC, 137, 14, 9.785714, 
trial0035176, AA, 352, 8, 44.000000, GDX, 122, 10, 12.200000, ZIC, 352, 14, 25.142857, 
