trial0032455, GDX, 8, 4, 2.000000, ZIC, 98, 12, 8.166667, ZIP, 79, 16, 4.937500, 
trial0032456, GDX, 18, 4, 4.500000, ZIC, 19, 12, 1.583333, ZIP, 416, 16, 26.000000, 
trial0032457, GDX, 41, 4, 10.250000, ZIC, 57, 12, 4.750000, ZIP, 328, 16, 20.500000, 
trial0032458, GDX, 111, 4, 27.750000, ZIC, 0, 12, 0.000000, ZIP, 291, 16, 18.187500, 
trial0032459, GDX, 75, 4, 18.750000, ZIC, 53, 12, 4.416667, ZIP, 202, 16, 12.625000, 
trial0032460, GDX, 21, 4, 5.250000, ZIC, 154, 12, 12.833333, ZIP, 293, 16, 18.312500, 
trial0032461, GDX, 0, 4, 0.000000, ZIC, 249, 12, 20.750000, ZIP, 798, 16, 49.875000, 
trial0032462, GDX, 81, 4, 20.250000, ZIC, 375, 12, 31.250000, ZIP, 669, 16, 41.812500, 
trial0032463, GDX, 71, 4, 17.750000, ZIC, 273, 12, 22.750000, ZIP, 594, 16, 37.125000, 
trial0032464, GDX, 62, 4, 15.500000, ZIC, 326, 12, 27.166667, ZIP, 444, 16, 27.750000, 
trial0032465, GDX, 87, 4, 21.750000, ZIC, 384, 12, 32.000000, ZIP, 479, 16, 29.937500, 
trial0032466, GDX, 186, 4, 46.500000, ZIC, 360, 12, 30.000000, ZIP, 525, 16, 32.812500, 
trial0032467, GDX, 165, 4, 41.250000, ZIC, 422, 12, 35.166667, ZIP, 272, 16, 17.000000, 
trial0032468, GDX, 0, 4, 0.000000, ZIC, 370, 12, 30.833333, ZIP, 687, 16, 42.937500, 
trial0032469, GDX, 42, 4, 10.500000, ZIC, 620, 12, 51.666667, ZIP, 309, 16, 19.312500, 
trial0032470, GDX, 123, 4, 30.750000, ZIC, 437, 12, 36.416667, ZIP, 475, 16, 29.687500, 
trial0032471, GDX, 68, 4, 17.000000, ZIC, 288, 12, 24.000000, ZIP, 762, 16, 47.625000, 
trial0032472, GDX, 159, 4, 39.750000, ZIC, 494, 12, 41.166667, ZIP, 504, 16, 31.500000, 
trial0032473, GDX, 94, 4, 23.500000, ZIC, 533, 12, 44.416667, ZIP, 347, 16, 21.687500, 
trial0032474, GDX, 63, 4, 15.750000, ZIC, 431, 12, 35.916667, ZIP, 507, 16, 31.687500, 
trial0032475, GDX, 112, 4, 28.000000, ZIC, 494, 12, 41.166667, ZIP, 516, 16, 32.250000, 
trial0032476, GDX, 127, 4, 31.750000, ZIC, 354, 12, 29.500000, ZIP, 682, 16, 42.625000, 
trial0032477, GDX, 94, 4, 23.500000, ZIC, 444, 12, 37.000000, ZIP, 598, 16, 37.375000, 
trial0032478, GDX, 170, 4, 42.500000, ZIC, 226, 12, 18.833333, ZIP, 696, 16, 43.500000, 
trial0032479, GDX, 174, 4, 43.500000, ZIC, 280, 12, 23.333333, ZIP, 319, 16, 19.937500, 
trial0032480, GDX, 11, 4, 2.750000, ZIC, 192, 12, 16.000000, ZIP, 616, 16, 38.500000, 
trial0032481, GDX, 93, 4, 23.250000, ZIC, 446, 12, 37.166667, ZIP, 674, 16, 42.125000, 
trial0032482, GDX, 135, 4, 33.750000, ZIC, 350, 12, 29.166667, ZIP, 443, 16, 27.687500, 
trial0032483, GDX, 135, 4, 33.750000, ZIC, 278, 12, 23.166667, ZIP, 661, 16, 41.312500, 
trial0032484, GDX, 211, 4, 52.750000, ZIC, 209, 12, 17.416667, ZIP, 249, 16, 15.562500, 
trial0032485, GDX, 11, 4, 2.750000, ZIC, 364, 12, 30.333333, ZIP, 420, 16, 26.250000, 
trial0032486, GDX, 196, 4, 49.000000, ZIC, 195, 12, 16.250000, ZIP, 592, 16, 37.000000, 
trial0032487, GDX, 172, 4, 43.000000, ZIC, 275, 12, 22.916667, ZIP, 493, 16, 30.812500, 
trial0032488, GDX, 119, 4, 29.750000, ZIC, 176, 12, 14.666667, ZIP, 654, 16, 40.875000, 
trial0032489, GDX, 156, 4, 39.000000, ZIC, 444, 12, 37.000000, ZIP, 552, 16, 34.500000, 
trial0032490, GDX, 43, 4, 10.750000, ZIC, 222, 12, 18.500000, ZIP, 623, 16, 38.937500, 
trial0032491, GDX, 4, 4, 1.000000, ZIC, 394, 12, 32.833333, ZIP, 381, 16, 23.812500, 
trial0032492, GDX, 148, 4, 37.000000, ZIC, 269, 12, 22.416667, ZIP, 406, 16, 25.375000, 
trial0032493, GDX, 93, 4, 23.250000, ZIC, 274, 12, 22.833333, ZIP, 459, 16, 28.687500, 
trial0032494, GDX, 176, 4, 44.000000, ZIC, 248, 12, 20.666667, ZIP, 479, 16, 29.937500, 
trial0032495, GDX, 89, 4, 22.250000, ZIC, 405, 12, 33.750000, ZIP, 359, 16, 22.437500, 
trial0032496, GDX, 61, 4, 15.250000, ZIC, 300, 12, 25.000000, ZIP, 613, 16, 38.312500, 
trial0032497, GDX, 100, 4, 25.000000, ZIC, 191, 12, 15.916667, ZIP, 503, 16, 31.437500, 
trial0032498, GDX, 65, 4, 16.250000, ZIC, 149, 12, 12.416667, ZIP, 478, 16, 29.875000, 
trial0032499, GDX, 115, 4, 28.750000, ZIC, 189, 12, 15.750000, ZIP, 336, 16, 21.000000, 
trial0032500, GDX, 72, 4, 18.000000, ZIC, 292, 12, 24.333333, ZIP, 303, 16, 18.937500, 
trial0032501, GDX, 103, 4, 25.750000, ZIC, 219, 12, 18.250000, ZIP, 433, 16, 27.062500, 
trial0032502, GDX, 88, 4, 22.000000, ZIC, 103, 12, 8.583333, ZIP, 512, 16, 32.000000, 
trial0032503, GDX, 55, 4, 13.750000, ZIC, 203, 12, 16.916667, ZIP, 590, 16, 36.875000, 
trial0032504, GDX, 92, 4, 23.000000, ZIC, 336, 12, 28.000000, ZIP, 505, 16, 31.562500, 
trial0032505, GDX, 15, 4, 3.750000, ZIC, 338, 12, 28.166667, ZIP, 607, 16, 37.937500, 
trial0032506, GDX, 0, 4, 0.000000, ZIC, 301, 12, 25.083333, ZIP, 424, 16, 26.500000, 
trial0032507, GDX, 181, 4, 45.250000, ZIC, 426, 12, 35.500000, ZIP, 214, 16, 13.375000, 
trial0032508, GDX, 208, 4, 52.000000, ZIC, 170, 12, 14.166667, ZIP, 399, 16, 24.937500, 
trial0032509, GDX, 92, 4, 23.000000, ZIC, 171, 12, 14.250000, ZIP, 471, 16, 29.437500, 
trial0032510, GDX, 128, 4, 32.000000, ZIC, 419, 12, 34.916667, ZIP, 454, 16, 28.375000, 
trial0032511, GDX, 171, 4, 42.750000, ZIC, 192, 12, 16.000000, ZIP, 506, 16, 31.625000, 
trial0032512, GDX, 132, 4, 33.000000, ZIC, 273, 12, 22.750000, ZIP, 413, 16, 25.812500, 
trial0032513, GDX, 72, 4, 18.000000, ZIC, 286, 12, 23.833333, ZIP, 492, 16, 30.750000, 
trial0032514, GDX, 227, 4, 56.750000, ZIC, 343, 12, 28.583333, ZIP, 310, 16, 19.375000, 
trial0032515, GDX, 106, 4, 26.500000, ZIC, 208, 12, 17.333333, ZIP, 642, 16, 40.125000, 
trial0032516, GDX, 151, 4, 37.750000, ZIC, 266, 12, 22.166667, ZIP, 537, 16, 33.562500, 
trial0032517, GDX, 89, 4, 22.250000, ZIC, 341, 12, 28.416667, ZIP, 490, 16, 30.625000, 
trial0032518, GDX, 23, 4, 5.750000, ZIC, 186, 12, 15.500000, ZIP, 748, 16, 46.750000, 
trial0032519, GDX, 65, 4, 16.250000, ZIC, 434, 12, 36.166667, ZIP, 300, 16, 18.750000, 
trial0032520, GDX, 116, 4, 29.000000, ZIC, 233, 12, 19.416667, ZIP, 456, 16, 28.500000, 
trial0032521, GDX, 167, 4, 41.750000, ZIC, 292, 12, 24.333333, ZIP, 373, 16, 23.312500, 
trial0032522, GDX, 14, 4, 3.500000, ZIC, 205, 12, 17.083333, ZIP, 379, 16, 23.687500, 
trial0032523, GDX, 298, 4, 74.500000, ZIC, 147, 12, 12.250000, ZIP, 294, 16, 18.375000, 
trial0032524, GDX, 113, 4, 28.250000, ZIC, 80, 12, 6.666667, ZIP, 407, 16, 25.437500, 
trial0032525, GDX, 52, 4, 13.000000, ZIC, 272, 12, 22.666667, ZIP, 336, 16, 21.000000, 
trial0032526, GDX, 95, 4, 23.750000, ZIC, 199, 12, 16.583333, ZIP, 433, 16, 27.062500, 
trial0032527, GDX, 38, 4, 9.500000, ZIC, 298, 12, 24.833333, ZIP, 294, 16, 18.375000, 
trial0032528, GDX, 60, 4, 15.000000, ZIC, 205, 12, 17.083333, ZIP, 385, 16, 24.062500, 
trial0032529, GDX, 112, 4, 28.000000, ZIC, 131, 12, 10.916667, ZIP, 610, 16, 38.125000, 
trial0032530, GDX, 65, 4, 16.250000, ZIC, 195, 12, 16.250000, ZIP, 584, 16, 36.500000, 
trial0032531, GDX, 6, 4, 1.500000, ZIC, 247, 12, 20.583333, ZIP, 487, 16, 30.437500, 
trial0032532, GDX, 145, 4, 36.250000, ZIC, 330, 12, 27.500000, ZIP, 451, 16, 28.187500, 
trial0032533, GDX, 89, 4, 22.250000, ZIC, 219, 12, 18.250000, ZIP, 293, 16, 18.312500, 
trial0032534, GDX, 40, 4, 10.000000, ZIC, 147, 12, 12.250000, ZIP, 547, 16, 34.187500, 
trial0032535, GDX, 106, 4, 26.500000, ZIC, 88, 12, 7.333333, ZIP, 545, 16, 34.062500, 
trial0032536, GDX, 160, 4, 40.000000, ZIC, 184, 12, 15.333333, ZIP, 305, 16, 19.062500, 
trial0032537, GDX, 60, 4, 15.000000, ZIC, 87, 12, 7.250000, ZIP, 407, 16, 25.437500, 
trial0032538, GDX, 90, 4, 22.500000, ZIC, 149, 12, 12.416667, ZIP, 287, 16, 17.937500, 
trial0032539, GDX, 163, 4, 40.750000, ZIC, 130, 12, 10.833333, ZIP, 546, 16, 34.125000, 
trial0032540, GDX, 84, 4, 21.000000, ZIC, 265, 12, 22.083333, ZIP, 428, 16, 26.750000, 
trial0032541, GDX, 17, 4, 4.250000, ZIC, 263, 12, 21.916667, ZIP, 339, 16, 21.187500, 
trial0032542, GDX, 119, 4, 29.750000, ZIC, 309, 12, 25.750000, ZIP, 346, 16, 21.625000, 
trial0032543, GDX, 103, 4, 25.750000, ZIC, 221, 12, 18.416667, ZIP, 384, 16, 24.000000, 
trial0032544, GDX, 66, 4, 16.500000, ZIC, 154, 12, 12.833333, ZIP, 314, 16, 19.625000, 
trial0032545, GDX, 136, 4, 34.000000, ZIC, 103, 12, 8.583333, ZIP, 422, 16, 26.375000, 
trial0032546, GDX, 292, 4, 73.000000, ZIC, 98, 12, 8.166667, ZIP, 305, 16, 19.062500, 
trial0032547, GDX, 98, 4, 24.500000, ZIC, 325, 12, 27.083333, ZIP, 482, 16, 30.125000, 
trial0032548, GDX, 10, 4, 2.500000, ZIC, 291, 12, 24.250000, ZIP, 574, 16, 35.875000, 
trial0032549, GDX, 21, 4, 5.250000, ZIC, 98, 12, 8.166667, ZIP, 567, 16, 35.437500, 
trial0032550, GDX, 205, 4, 51.250000, ZIC, 150, 12, 12.500000, ZIP, 373, 16, 23.312500, 
trial0032551, GDX, 44, 4, 11.000000, ZIC, 299, 12, 24.916667, ZIP, 257, 16, 16.062500, 
trial0032552, GDX, 34, 4, 8.500000, ZIC, 300, 12, 25.000000, ZIP, 429, 16, 26.812500, 
trial0032553, GDX, 0, 4, 0.000000, ZIC, 190, 12, 15.833333, ZIP, 531, 16, 33.187500, 
trial0032554, GDX, 111, 4, 27.750000, ZIC, 112, 12, 9.333333, ZIP, 448, 16, 28.000000, 
trial0032555, GDX, 58, 4, 14.500000, ZIC, 159, 12, 13.250000, ZIP, 501, 16, 31.312500, 
trial0032556, GDX, 0, 4, 0.000000, ZIC, 211, 12, 17.583333, ZIP, 501, 16, 31.312500, 
trial0032557, GDX, 78, 4, 19.500000, ZIC, 180, 12, 15.000000, ZIP, 324, 16, 20.250000, 
trial0032558, GDX, 91, 4, 22.750000, ZIC, 445, 12, 37.083333, ZIP, 352, 16, 22.000000, 
trial0032559, GDX, 75, 4, 18.750000, ZIC, 167, 12, 13.916667, ZIP, 396, 16, 24.750000, 
trial0032560, GDX, 81, 4, 20.250000, ZIC, 137, 12, 11.416667, ZIP, 459, 16, 28.687500, 
trial0032561, GDX, 58, 4, 14.500000, ZIC, 63, 12, 5.250000, ZIP, 369, 16, 23.062500, 
