trial0013501, ZIC, 1705, 10, 170.500000, ZIP, 4443, 22, 201.954545, 
trial0013502, ZIC, 1408, 10, 140.800000, ZIP, 5278, 22, 239.909091, 
trial0013503, ZIC, 1898, 10, 189.800000, ZIP, 4684, 22, 212.909091, 
trial0013504, ZIC, 1130, 10, 113.000000, ZIP, 5221, 22, 237.318182, 
trial0013505, ZIC, 1352, 10, 135.200000, ZIP, 5006, 22, 227.545455, 
trial0013506, ZIC, 1904, 10, 190.400000, ZIP, 4763, 22, 216.500000, 
trial0013507, ZIC, 1857, 10, 185.700000, ZIP, 5053, 22, 229.681818, 
trial0013508, ZIC, 1034, 10, 103.400000, ZIP, 5412, 22, 246.000000, 
trial0013509, ZIC, 1632, 10, 163.200000, ZIP, 5619, 22, 255.409091, 
trial0013510, ZIC, 1075, 10, 107.500000, ZIP, 5797, 22, 263.500000, 
trial0013511, ZIC, 2708, 10, 270.800000, ZIP, 3554, 22, 161.545455, 
trial0013512, ZIC, 2436, 10, 243.600000, ZIP, 4739, 22, 215.409091, 
trial0013513, ZIC, 825, 10, 82.500000, ZIP, 5549, 22, 252.227273, 
trial0013514, ZIC, 1815, 10, 181.500000, ZIP, 4812, 22, 218.727273, 
trial0013515, ZIC, 1432, 10, 143.200000, ZIP, 4510, 22, 205.000000, 
trial0013516, ZIC, 1978, 10, 197.800000, ZIP, 4412, 22, 200.545455, 
trial0013517, ZIC, 770, 10, 77.000000, ZIP, 5726, 22, 260.272727, 
trial0013518, ZIC, 782, 10, 78.200000, ZIP, 5932, 22, 269.636364, 
trial0013519, ZIC, 3484, 10, 348.400000, ZIP, 2815, 22, 127.954545, 
trial0013520, ZIC, 1414, 10, 141.400000, ZIP, 5013, 22, 227.863636, 
trial0013521, ZIC, 2248, 10, 224.800000, ZIP, 5460, 22, 248.181818, 
trial0013522, ZIC, 2843, 10, 284.300000, ZIP, 4658, 22, 211.727273, 
trial0013523, ZIC, 2806, 10, 280.600000, ZIP, 3848, 22, 174.909091, 
trial0013524, ZIC, 1930, 10, 193.000000, ZIP, 4911, 22, 223.227273, 
trial0013525, ZIC, 3380, 10, 338.000000, ZIP, 3567, 22, 162.136364, 
trial0013526, ZIC, 2600, 10, 260.000000, ZIP, 5049, 22, 229.500000, 
