trial0035101, AA, 273, 6, 45.500000, GDX, 175, 6, 29.166667, ZIC, 0, 2, 0.000000, ZIP, 368, 18, 20.444444, 
trial0035102, AA, 229, 6, 38.166667, GDX, 240, 6, 40.000000, ZIC, 2, 2, 1.000000, ZIP, 572, 18, 31.777778, 
trial0035103, AA, 168, 6, 28.000000, GDX, 101, 6, 16.833333, ZIC, 27, 2, 13.500000, ZIP, 516, 18, 28.666667, 
trial0035104, AA, 253, 6, 42.166667, GDX, 131, 6, 21.833333, ZIC, 83, 2, 41.500000, ZIP, 509, 18, 28.277778, 
trial0035105, AA, 131, 6, 21.833333, GDX, 70, 6, 11.666667, ZIC, 1, 2, 0.500000, ZIP, 760, 18, 42.222222, 
trial0035106, AA, 303, 6, 50.500000, GDX, 117, 6, 19.500000, ZIC, 25, 2, 12.500000, ZIP, 407, 18, 22.611111, 
trial0035107, AA, 284, 6, 47.333333, GDX, 133, 6, 22.166667, ZIC, 37, 2, 18.500000, ZIP, 539, 18, 29.944444, 
trial0035108, AA, 334, 6, 55.666667, GDX, 111, 6, 18.500000, ZIC, 17, 2, 8.500000, ZIP, 635, 18, 35.277778, 
trial0035109, AA, 75, 6, 12.500000, GDX, 169, 6, 28.166667, ZIC, 73, 2, 36.500000, ZIP, 482, 18, 26.777778, 
trial0035110, AA, 150, 6, 25.000000, GDX, 147, 6, 24.500000, ZIC, 0, 2, 0.000000, ZIP, 440, 18, 24.444444, 
trial0035111, AA, 139, 6, 23.166667, GDX, 214, 6, 35.666667, ZIC, 17, 2, 8.500000, ZIP, 670, 18, 37.222222, 
trial0035112, AA, 234, 6, 39.000000, GDX, 246, 6, 41.000000, ZIC, 66, 2, 33.000000, ZIP, 417, 18, 23.166667, 
trial0035113, AA, 263, 6, 43.833333, GDX, 282, 6, 47.000000, ZIC, 0, 2, 0.000000, ZIP, 390, 18, 21.666667, 
trial0035114, AA, 162, 6, 27.000000, GDX, 133, 6, 22.166667, ZIC, 0, 2, 0.000000, ZIP, 677, 18, 37.611111, 
trial0035115, AA, 198, 6, 33.000000, GDX, 200, 6, 33.333333, ZIC, 25, 2, 12.500000, ZIP, 589, 18, 32.722222, 
trial0035116, AA, 4, 6, 0.666667, GDX, 132, 6, 22.000000, ZIC, 21, 2, 10.500000, ZIP, 713, 18, 39.611111, 
trial0035117, AA, 160, 6, 26.666667, GDX, 199, 6, 33.166667, ZIC, 0, 2, 0.000000, ZIP, 632, 18, 35.111111, 
trial0035118, AA, 275, 6, 45.833333, GDX, 295, 6, 49.166667, ZIC, 103, 2, 51.500000, ZIP, 400, 18, 22.222222, 
trial0035119, AA, 224, 6, 37.333333, GDX, 182, 6, 30.333333, ZIC, 3, 2, 1.500000, ZIP, 493, 18, 27.388889, 
trial0035120, AA, 340, 6, 56.666667, GDX, 80, 6, 13.333333, ZIC, 101, 2, 50.500000, ZIP, 567, 18, 31.500000, 
trial0035121, AA, 322, 6, 53.666667, GDX, 129, 6, 21.500000, ZIC, 107, 2, 53.500000, ZIP, 450, 18, 25.000000, 
trial0035122, AA, 101, 6, 16.833333, GDX, 242, 6, 40.333333, ZIC, 57, 2, 28.500000, ZIP, 474, 18, 26.333333, 
trial0035123, AA, 164, 6, 27.333333, GDX, 78, 6, 13.000000, ZIC, 96, 2, 48.000000, ZIP, 609, 18, 33.833333, 
trial0035124, AA, 66, 6, 11.000000, GDX, 110, 6, 18.333333, ZIC, 73, 2, 36.500000, ZIP, 770, 18, 42.777778, 
trial0035125, AA, 156, 6, 26.000000, GDX, 43, 6, 7.166667, ZIC, 0, 2, 0.000000, ZIP, 740, 18, 41.111111, 
trial0035126, AA, 302, 6, 50.333333, GDX, 274, 6, 45.666667, ZIC, 5, 2, 2.500000, ZIP, 390, 18, 21.666667, 
trial0035127, AA, 172, 6, 28.666667, GDX, 272, 6, 45.333333, ZIC, 92, 2, 46.000000, ZIP, 505, 18, 28.055556, 
trial0035128, AA, 245, 6, 40.833333, GDX, 184, 6, 30.666667, ZIC, 0, 2, 0.000000, ZIP, 551, 18, 30.611111, 
trial0035129, AA, 161, 6, 26.833333, GDX, 114, 6, 19.000000, ZIC, 154, 2, 77.000000, ZIP, 592, 18, 32.888889, 
trial0035130, AA, 227, 6, 37.833333, GDX, 209, 6, 34.833333, ZIC, 118, 2, 59.000000, ZIP, 420, 18, 23.333333, 
trial0035131, AA, 90, 6, 15.000000, GDX, 82, 6, 13.666667, ZIC, 0, 2, 0.000000, ZIP, 716, 18, 39.777778, 
trial0035132, AA, 366, 6, 61.000000, GDX, 147, 6, 24.500000, ZIC, 49, 2, 24.500000, ZIP, 371, 18, 20.611111, 
trial0035133, AA, 48, 6, 8.000000, GDX, 217, 6, 36.166667, ZIC, 106, 2, 53.000000, ZIP, 632, 18, 35.111111, 
trial0035134, AA, 202, 6, 33.666667, GDX, 171, 6, 28.500000, ZIC, 0, 2, 0.000000, ZIP, 545, 18, 30.277778, 
trial0035135, AA, 165, 6, 27.500000, GDX, 387, 6, 64.500000, ZIC, 0, 2, 0.000000, ZIP, 323, 18, 17.944444, 
trial0035136, AA, 61, 6, 10.166667, GDX, 220, 6, 36.666667, ZIC, 192, 2, 96.000000, ZIP, 479, 18, 26.611111, 
trial0035137, AA, 334, 6, 55.666667, GDX, 130, 6, 21.666667, ZIC, 91, 2, 45.500000, ZIP, 342, 18, 19.000000, 
trial0035138, AA, 240, 6, 40.000000, GDX, 72, 6, 12.000000, ZIC, 40, 2, 20.000000, ZIP, 561, 18, 31.166667, 
trial0035139, AA, 78, 6, 13.000000, GDX, 199, 6, 33.166667, ZIC, 0, 2, 0.000000, ZIP, 629, 18, 34.944444, 
trial0035140, AA, 104, 6, 17.333333, GDX, 399, 6, 66.500000, ZIC, 129, 2, 64.500000, ZIP, 388, 18, 21.555556, 
trial0035141, AA, 119, 6, 19.833333, GDX, 136, 6, 22.666667, ZIC, 0, 2, 0.000000, ZIP, 700, 18, 38.888889, 
trial0035142, AA, 82, 6, 13.666667, GDX, 62, 6, 10.333333, ZIC, 54, 2, 27.000000, ZIP, 656, 18, 36.444444, 
trial0035143, AA, 45, 6, 7.500000, GDX, 247, 6, 41.166667, ZIC, 107, 2, 53.500000, ZIP, 577, 18, 32.055556, 
trial0035144, AA, 137, 6, 22.833333, GDX, 276, 6, 46.000000, ZIC, 91, 2, 45.500000, ZIP, 448, 18, 24.888889, 
trial0035145, AA, 203, 6, 33.833333, GDX, 257, 6, 42.833333, ZIC, 92, 2, 46.000000, ZIP, 387, 18, 21.500000, 
trial0035146, AA, 127, 6, 21.166667, GDX, 305, 6, 50.833333, ZIC, 111, 2, 55.500000, ZIP, 430, 18, 23.888889, 
trial0035147, AA, 148, 6, 24.666667, GDX, 283, 6, 47.166667, ZIC, 67, 2, 33.500000, ZIP, 499, 18, 27.722222, 
trial0035148, AA, 401, 6, 66.833333, GDX, 0, 6, 0.000000, ZIC, 152, 2, 76.000000, ZIP, 352, 18, 19.555556, 
trial0035149, AA, 195, 6, 32.500000, GDX, 111, 6, 18.500000, ZIC, 30, 2, 15.000000, ZIP, 689, 18, 38.277778, 
trial0035150, AA, 88, 6, 14.666667, GDX, 251, 6, 41.833333, ZIC, 0, 2, 0.000000, ZIP, 593, 18, 32.944444, 
trial0035151, AA, 37, 6, 6.166667, GDX, 0, 6, 0.000000, ZIC, 51, 2, 25.500000, ZIP, 498, 18, 27.666667, 
trial0035152, AA, 117, 6, 19.500000, GDX, 110, 6, 18.333333, ZIC, 187, 2, 93.500000, ZIP, 573, 18, 31.833333, 
trial0035153, AA, 197, 6, 32.833333, GDX, 190, 6, 31.666667, ZIC, 19, 2, 9.500000, ZIP, 697, 18, 38.722222, 
trial0035154, AA, 232, 6, 38.666667, GDX, 98, 6, 16.333333, ZIC, 95, 2, 47.500000, ZIP, 673, 18, 37.388889, 
trial0035155, AA, 113, 6, 18.833333, GDX, 227, 6, 37.833333, ZIC, 0, 2, 0.000000, ZIP, 420, 18, 23.333333, 
trial0035156, AA, 229, 6, 38.166667, GDX, 84, 6, 14.000000, ZIC, 78, 2, 39.000000, ZIP, 301, 18, 16.722222, 
trial0035157, AA, 131, 6, 21.833333, GDX, 128, 6, 21.333333, ZIC, 5, 2, 2.500000, ZIP, 629, 18, 34.944444, 
trial0035158, AA, 47, 6, 7.833333, GDX, 103, 6, 17.166667, ZIC, 150, 2, 75.000000, ZIP, 439, 18, 24.388889, 
trial0035159, AA, 97, 6, 16.166667, GDX, 297, 6, 49.500000, ZIC, 0, 2, 0.000000, ZIP, 495, 18, 27.500000, 
trial0035160, AA, 134, 6, 22.333333, GDX, 191, 6, 31.833333, ZIC, 97, 2, 48.500000, ZIP, 409, 18, 22.722222, 
trial0035161, AA, 158, 6, 26.333333, GDX, 523, 6, 87.166667, ZIC, 28, 2, 14.000000, ZIP, 901, 18, 50.055556, 
trial0035162, AA, 268, 6, 44.666667, GDX, 251, 6, 41.833333, ZIC, 5, 2, 2.500000, ZIP, 752, 18, 41.777778, 
trial0035163, AA, 218, 6, 36.333333, GDX, 378, 6, 63.000000, ZIC, 90, 2, 45.000000, ZIP, 1059, 18, 58.833333, 
trial0035164, AA, 219, 6, 36.500000, GDX, 333, 6, 55.500000, ZIC, 30, 2, 15.000000, ZIP, 778, 18, 43.222222, 
trial0035165, AA, 458, 6, 76.333333, GDX, 198, 6, 33.000000, ZIC, 1, 2, 0.500000, ZIP, 851, 18, 47.277778, 
trial0035166, AA, 465, 6, 77.500000, GDX, 281, 6, 46.833333, ZIC, 0, 2, 0.000000, ZIP, 911, 18, 50.611111, 
trial0035167, AA, 320, 6, 53.333333, GDX, 442, 6, 73.666667, ZIC, 31, 2, 15.500000, ZIP, 797, 18, 44.277778, 
trial0035168, AA, 12, 6, 2.000000, GDX, 243, 6, 40.500000, ZIC, 71, 2, 35.500000, ZIP, 833, 18, 46.277778, 
trial0035169, AA, 312, 6, 52.000000, GDX, 227, 6, 37.833333, ZIC, 0, 2, 0.000000, ZIP, 821, 18, 45.611111, 
trial0035170, AA, 212, 6, 35.333333, GDX, 33, 6, 5.500000, ZIC, 191, 2, 95.500000, ZIP, 966, 18, 53.666667, 
trial0035171, AA, 359, 6, 59.833333, GDX, 373, 6, 62.166667, ZIC, 306, 2, 153.000000, ZIP, 832, 18, 46.222222, 
trial0035172, AA, 381, 6, 63.500000, GDX, 198, 6, 33.000000, ZIC, 141, 2, 70.500000, ZIP, 961, 18, 53.388889, 
trial0035173, AA, 334, 6, 55.666667, GDX, 95, 6, 15.833333, ZIC, 30, 2, 15.000000, ZIP, 1134, 18, 63.000000, 
trial0035174, AA, 34, 6, 5.666667, GDX, 206, 6, 34.333333, ZIC, 311, 2, 155.500000, ZIP, 825, 18, 45.833333, 
trial0035175, AA, 251, 6, 41.833333, GDX, 374, 6, 62.333333, ZIC, 201, 2, 100.500000, ZIP, 980, 18, 54.444444, 
trial0035176, AA, 215, 6, 35.833333, GDX, 199, 6, 33.166667, ZIC, 238, 2, 119.000000, ZIP, 981, 18, 54.500000, 
trial0035177, AA, 284, 6, 47.333333, GDX, 240, 6, 40.000000, ZIC, 74, 2, 37.000000, ZIP, 1056, 18, 58.666667, 
trial0035178, AA, 228, 6, 38.000000, GDX, 82, 6, 13.666667, ZIC, 324, 2, 162.000000, ZIP, 822, 18, 45.666667, 
trial0035179, AA, 395, 6, 65.833333, GDX, 234, 6, 39.000000, ZIC, 0, 2, 0.000000, ZIP, 850, 18, 47.222222, 
trial0035180, AA, 601, 6, 100.166667, GDX, 177, 6, 29.500000, ZIC, 0, 2, 0.000000, ZIP, 840, 18, 46.666667, 
trial0035181, AA, 298, 6, 49.666667, GDX, 150, 6, 25.000000, ZIC, 63, 2, 31.500000, ZIP, 772, 18, 42.888889, 
trial0035182, AA, 83, 6, 13.833333, GDX, 481, 6, 80.166667, ZIC, 0, 2, 0.000000, ZIP, 977, 18, 54.277778, 
trial0035183, AA, 0, 6, 0.000000, GDX, 403, 6, 67.166667, ZIC, 0, 2, 0.000000, ZIP, 953, 18, 52.944444, 
trial0035184, AA, 290, 6, 48.333333, GDX, 249, 6, 41.500000, ZIC, 0, 2, 0.000000, ZIP, 742, 18, 41.222222, 
trial0035185, AA, 202, 6, 33.666667, GDX, 416, 6, 69.333333, ZIC, 210, 2, 105.000000, ZIP, 849, 18, 47.166667, 
trial0035186, AA, 567, 6, 94.500000, GDX, 184, 6, 30.666667, ZIC, 198, 2, 99.000000, ZIP, 656, 18, 36.444444, 
trial0035187, AA, 213, 6, 35.500000, GDX, 236, 6, 39.333333, ZIC, 322, 2, 161.000000, ZIP, 805, 18, 44.722222, 
trial0035188, AA, 150, 6, 25.000000, GDX, 105, 6, 17.500000, ZIC, 39, 2, 19.500000, ZIP, 1216, 18, 67.555556, 
trial0035189, AA, 515, 6, 85.833333, GDX, 430, 6, 71.666667, ZIC, 0, 2, 0.000000, ZIP, 660, 18, 36.666667, 
trial0035190, AA, 124, 6, 20.666667, GDX, 514, 6, 85.666667, ZIC, 0, 2, 0.000000, ZIP, 861, 18, 47.833333, 
trial0035191, AA, 216, 6, 36.000000, GDX, 101, 6, 16.833333, ZIC, 129, 2, 64.500000, ZIP, 141, 18, 7.833333, 
trial0035192, AA, 86, 6, 14.333333, GDX, 146, 6, 24.333333, ZIC, 50, 2, 25.000000, ZIP, 279, 18, 15.500000, 
trial0035193, AA, 157, 6, 26.166667, GDX, 55, 6, 9.166667, ZIC, 31, 2, 15.500000, ZIP, 318, 18, 17.666667, 
trial0035194, AA, 140, 6, 23.333333, GDX, 208, 6, 34.666667, ZIC, 60, 2, 30.000000, ZIP, 141, 18, 7.833333, 
trial0035195, AA, 109, 6, 18.166667, GDX, 99, 6, 16.500000, ZIC, 0, 2, 0.000000, ZIP, 61, 18, 3.388889, 
trial0035196, AA, 151, 6, 25.166667, GDX, 35, 6, 5.833333, ZIC, 35, 2, 17.500000, ZIP, 190, 18, 10.555556, 
trial0035197, AA, 187, 6, 31.166667, GDX, 31, 6, 5.166667, ZIC, 0, 2, 0.000000, ZIP, 132, 18, 7.333333, 
trial0035198, AA, 203, 6, 33.833333, GDX, 75, 6, 12.500000, ZIC, 5, 2, 2.500000, ZIP, 259, 18, 14.388889, 
trial0035199, AA, 118, 6, 19.666667, GDX, 139, 6, 23.166667, ZIC, 101, 2, 50.500000, ZIP, 204, 18, 11.333333, 
trial0035200, AA, 205, 6, 34.166667, GDX, 43, 6, 7.166667, ZIC, 63, 2, 31.500000, ZIP, 128, 18, 7.111111, 
trial0035201, AA, 8, 6, 1.333333, GDX, 38, 6, 6.333333, ZIC, 79, 2, 39.500000, ZIP, 265, 18, 14.722222, 
trial0035202, AA, 34, 6, 5.666667, GDX, 88, 6, 14.666667, ZIC, 71, 2, 35.500000, ZIP, 278, 18, 15.444444, 
