trial0041401, GDX, 13, 4, 3.250000, ZIC, 0, 2, 0.000000, ZIP, 492, 26, 18.923077, 
trial0041402, GDX, 118, 4, 29.500000, ZIC, 89, 2, 44.500000, ZIP, 600, 26, 23.076923, 
trial0041403, GDX, 142, 4, 35.500000, ZIC, 31, 2, 15.500000, ZIP, 696, 26, 26.769231, 
trial0041404, GDX, 70, 4, 17.500000, ZIC, 0, 2, 0.000000, ZIP, 402, 26, 15.461538, 
trial0041405, GDX, 159, 4, 39.750000, ZIC, 50, 2, 25.000000, ZIP, 407, 26, 15.653846, 
trial0041406, GDX, 47, 4, 11.750000, ZIC, 0, 2, 0.000000, ZIP, 620, 26, 23.846154, 
trial0041407, GDX, 182, 4, 45.500000, ZIC, 0, 2, 0.000000, ZIP, 761, 26, 29.269231, 
trial0041408, GDX, 0, 4, 0.000000, ZIC, 23, 2, 11.500000, ZIP, 300, 26, 11.538462, 
trial0041409, GDX, 83, 4, 20.750000, ZIC, 0, 2, 0.000000, ZIP, 304, 26, 11.692308, 
trial0041410, GDX, 143, 4, 35.750000, ZIC, 44, 2, 22.000000, ZIP, 629, 26, 24.192308, 
trial0041411, GDX, 169, 4, 42.250000, ZIC, 4, 2, 2.000000, ZIP, 598, 26, 23.000000, 
trial0041412, GDX, 171, 4, 42.750000, ZIC, 73, 2, 36.500000, ZIP, 640, 26, 24.615385, 
trial0041413, GDX, 116, 4, 29.000000, ZIC, 34, 2, 17.000000, ZIP, 198, 26, 7.615385, 
trial0041414, GDX, 23, 4, 5.750000, ZIC, 30, 2, 15.000000, ZIP, 556, 26, 21.384615, 
trial0041415, GDX, 120, 4, 30.000000, ZIC, 76, 2, 38.000000, ZIP, 798, 26, 30.692308, 
trial0041416, GDX, 76, 4, 19.000000, ZIC, 0, 2, 0.000000, ZIP, 473, 26, 18.192308, 
trial0041417, GDX, 101, 4, 25.250000, ZIC, 22, 2, 11.000000, ZIP, 396, 26, 15.230769, 
trial0041418, GDX, 83, 4, 20.750000, ZIC, 89, 2, 44.500000, ZIP, 501, 26, 19.269231, 
trial0041419, GDX, 133, 4, 33.250000, ZIC, 0, 2, 0.000000, ZIP, 629, 26, 24.192308, 
trial0041420, GDX, 119, 4, 29.750000, ZIC, 155, 2, 77.500000, ZIP, 379, 26, 14.576923, 
trial0041421, GDX, 48, 4, 12.000000, ZIC, 69, 2, 34.500000, ZIP, 402, 26, 15.461538, 
trial0041422, GDX, 46, 4, 11.500000, ZIC, 56, 2, 28.000000, ZIP, 386, 26, 14.846154, 
trial0041423, GDX, 105, 4, 26.250000, ZIC, 42, 2, 21.000000, ZIP, 496, 26, 19.076923, 
trial0041424, GDX, 137, 4, 34.250000, ZIC, 0, 2, 0.000000, ZIP, 585, 26, 22.500000, 
trial0041425, GDX, 108, 4, 27.000000, ZIC, 0, 2, 0.000000, ZIP, 418, 26, 16.076923, 
trial0041426, GDX, 122, 4, 30.500000, ZIC, 0, 2, 0.000000, ZIP, 509, 26, 19.576923, 
trial0041427, GDX, 40, 4, 10.000000, ZIC, 34, 2, 17.000000, ZIP, 479, 26, 18.423077, 
trial0041428, GDX, 66, 4, 16.500000, ZIC, 15, 2, 7.500000, ZIP, 320, 26, 12.307692, 
trial0041429, GDX, 93, 4, 23.250000, ZIC, 19, 2, 9.500000, ZIP, 873, 26, 33.576923, 
trial0041430, GDX, 26, 4, 6.500000, ZIC, 0, 2, 0.000000, ZIP, 694, 26, 26.692308, 
trial0041431, GDX, 8, 4, 2.000000, ZIC, 3, 2, 1.500000, ZIP, 1434, 26, 55.153846, 
trial0041432, GDX, 58, 4, 14.500000, ZIC, 0, 2, 0.000000, ZIP, 1460, 26, 56.153846, 
trial0041433, GDX, 174, 4, 43.500000, ZIC, 0, 2, 0.000000, ZIP, 1340, 26, 51.538462, 
trial0041434, GDX, 579, 4, 144.750000, ZIC, 121, 2, 60.500000, ZIP, 1279, 26, 49.192308, 
trial0041435, GDX, 195, 4, 48.750000, ZIC, 0, 2, 0.000000, ZIP, 1079, 26, 41.500000, 
trial0041436, GDX, 152, 4, 38.000000, ZIC, 22, 2, 11.000000, ZIP, 1494, 26, 57.461538, 
trial0041437, GDX, 103, 4, 25.750000, ZIC, 0, 2, 0.000000, ZIP, 1542, 26, 59.307692, 
trial0041438, GDX, 413, 4, 103.250000, ZIC, 0, 2, 0.000000, ZIP, 1135, 26, 43.653846, 
trial0041439, GDX, 187, 4, 46.750000, ZIC, 272, 2, 136.000000, ZIP, 1053, 26, 40.500000, 
trial0041440, GDX, 59, 4, 14.750000, ZIC, 243, 2, 121.500000, ZIP, 1315, 26, 50.576923, 
trial0041441, GDX, 295, 4, 73.750000, ZIC, 61, 2, 30.500000, ZIP, 1415, 26, 54.423077, 
trial0041442, GDX, 224, 4, 56.000000, ZIC, 66, 2, 33.000000, ZIP, 754, 26, 29.000000, 
trial0041443, GDX, 260, 4, 65.000000, ZIC, 0, 2, 0.000000, ZIP, 1253, 26, 48.192308, 
trial0041444, GDX, 21, 4, 5.250000, ZIC, 41, 2, 20.500000, ZIP, 1159, 26, 44.576923, 
trial0041445, GDX, 292, 4, 73.000000, ZIC, 0, 2, 0.000000, ZIP, 1571, 26, 60.423077, 
trial0041446, GDX, 281, 4, 70.250000, ZIC, 237, 2, 118.500000, ZIP, 1055, 26, 40.576923, 
trial0041447, GDX, 62, 4, 15.500000, ZIC, 213, 2, 106.500000, ZIP, 1464, 26, 56.307692, 
trial0041448, GDX, 122, 4, 30.500000, ZIC, 108, 2, 54.000000, ZIP, 934, 26, 35.923077, 
trial0041449, GDX, 468, 4, 117.000000, ZIC, 255, 2, 127.500000, ZIP, 703, 26, 27.038462, 
trial0041450, GDX, 233, 4, 58.250000, ZIC, 21, 2, 10.500000, ZIP, 1124, 26, 43.230769, 
trial0041451, GDX, 142, 4, 35.500000, ZIC, 212, 2, 106.000000, ZIP, 1028, 26, 39.538462, 
trial0041452, GDX, 299, 4, 74.750000, ZIC, 16, 2, 8.000000, ZIP, 1519, 26, 58.423077, 
trial0041453, GDX, 236, 4, 59.000000, ZIC, 21, 2, 10.500000, ZIP, 1176, 26, 45.230769, 
trial0041454, GDX, 0, 4, 0.000000, ZIC, 287, 2, 143.500000, ZIP, 1215, 26, 46.730769, 
trial0041455, GDX, 72, 4, 18.000000, ZIC, 0, 2, 0.000000, ZIP, 1353, 26, 52.038462, 
trial0041456, GDX, 0, 4, 0.000000, ZIC, 71, 2, 35.500000, ZIP, 1138, 26, 43.769231, 
trial0041457, GDX, 69, 4, 17.250000, ZIC, 227, 2, 113.500000, ZIP, 1371, 26, 52.730769, 
trial0041458, GDX, 161, 4, 40.250000, ZIC, 271, 2, 135.500000, ZIP, 1297, 26, 49.884615, 
trial0041459, GDX, 67, 4, 16.750000, ZIC, 258, 2, 129.000000, ZIP, 1225, 26, 47.115385, 
trial0041460, GDX, 262, 4, 65.500000, ZIC, 170, 2, 85.000000, ZIP, 1267, 26, 48.730769, 
trial0041461, GDX, 280, 4, 70.000000, ZIC, 153, 2, 76.500000, ZIP, 1057, 26, 40.653846, 
trial0041462, GDX, 106, 4, 26.500000, ZIC, 5, 2, 2.500000, ZIP, 1479, 26, 56.884615, 
trial0041463, GDX, 323, 4, 80.750000, ZIC, 2, 2, 1.000000, ZIP, 1270, 26, 48.846154, 
trial0041464, GDX, 142, 4, 35.500000, ZIC, 0, 2, 0.000000, ZIP, 986, 26, 37.923077, 
trial0041465, GDX, 201, 4, 50.250000, ZIC, 75, 2, 37.500000, ZIP, 1153, 26, 44.346154, 
trial0041466, GDX, 55, 4, 13.750000, ZIC, 63, 2, 31.500000, ZIP, 1187, 26, 45.653846, 
trial0041467, GDX, 0, 4, 0.000000, ZIC, 44, 2, 22.000000, ZIP, 916, 26, 35.230769, 
trial0041468, GDX, 57, 4, 14.250000, ZIC, 0, 2, 0.000000, ZIP, 1587, 26, 61.038462, 
trial0041469, GDX, 0, 4, 0.000000, ZIC, 70, 2, 35.000000, ZIP, 1286, 26, 49.461538, 
trial0041470, GDX, 164, 4, 41.000000, ZIC, 33, 2, 16.500000, ZIP, 971, 26, 37.346154, 
trial0041471, GDX, 67, 4, 16.750000, ZIC, 0, 2, 0.000000, ZIP, 1333, 26, 51.269231, 
trial0041472, GDX, 410, 4, 102.500000, ZIC, 107, 2, 53.500000, ZIP, 1087, 26, 41.807692, 
trial0041473, GDX, 151, 4, 37.750000, ZIC, 41, 2, 20.500000, ZIP, 956, 26, 36.769231, 
trial0041474, GDX, 31, 4, 7.750000, ZIC, 140, 2, 70.000000, ZIP, 1485, 26, 57.115385, 
trial0041475, GDX, 143, 4, 35.750000, ZIC, 79, 2, 39.500000, ZIP, 1167, 26, 44.884615, 
trial0041476, GDX, 214, 4, 53.500000, ZIC, 79, 2, 39.500000, ZIP, 1239, 26, 47.653846, 
trial0041477, GDX, 206, 4, 51.500000, ZIC, 0, 2, 0.000000, ZIP, 1036, 26, 39.846154, 
trial0041478, GDX, 223, 4, 55.750000, ZIC, 99, 2, 49.500000, ZIP, 660, 26, 25.384615, 
trial0041479, GDX, 275, 4, 68.750000, ZIC, 94, 2, 47.000000, ZIP, 1257, 26, 48.346154, 
trial0041480, GDX, 288, 4, 72.000000, ZIC, 54, 2, 27.000000, ZIP, 813, 26, 31.269231, 
trial0041481, GDX, 158, 4, 39.500000, ZIC, 82, 2, 41.000000, ZIP, 1075, 26, 41.346154, 
