trial0011101, AA, 2352, 14, 168.000000, ZIC, 1338, 6, 223.000000, ZIP, 1753, 12, 146.083333, 
trial0011102, AA, 1172, 14, 83.714286, ZIC, 1006, 6, 167.666667, ZIP, 2844, 12, 237.000000, 
trial0011103, AA, 2662, 14, 190.142857, ZIC, 394, 6, 65.666667, ZIP, 1694, 12, 141.166667, 
trial0011104, AA, 3000, 14, 214.285714, ZIC, 97, 6, 16.166667, ZIP, 2167, 12, 180.583333, 
trial0011105, AA, 3008, 14, 214.857143, ZIC, 431, 6, 71.833333, ZIP, 1576, 12, 131.333333, 
trial0011106, AA, 2423, 14, 173.071429, ZIC, 180, 6, 30.000000, ZIP, 2320, 12, 193.333333, 
trial0011107, AA, 2449, 14, 174.928571, ZIC, 680, 6, 113.333333, ZIP, 1553, 12, 129.416667, 
trial0011108, AA, 3083, 14, 220.214286, ZIC, 718, 6, 119.666667, ZIP, 1242, 12, 103.500000, 
trial0011109, AA, 1809, 14, 129.214286, ZIC, 465, 6, 77.500000, ZIP, 2306, 12, 192.166667, 
trial0011110, AA, 2121, 14, 151.500000, ZIC, 372, 6, 62.000000, ZIP, 2504, 12, 208.666667, 
trial0011111, AA, 2460, 14, 175.714286, ZIC, 131, 6, 21.833333, ZIP, 2567, 12, 213.916667, 
trial0011112, AA, 2640, 14, 188.571429, ZIC, 438, 6, 73.000000, ZIP, 2002, 12, 166.833333, 
trial0011113, AA, 2968, 14, 212.000000, ZIC, 289, 6, 48.166667, ZIP, 1435, 12, 119.583333, 
trial0011114, AA, 3109, 14, 222.071429, ZIC, 532, 6, 88.666667, ZIP, 1347, 12, 112.250000, 
trial0011115, AA, 3004, 14, 214.571429, ZIC, 978, 6, 163.000000, ZIP, 1401, 12, 116.750000, 
trial0011116, AA, 1858, 14, 132.714286, ZIC, 614, 6, 102.333333, ZIP, 2207, 12, 183.916667, 
trial0011117, AA, 2463, 14, 175.928571, ZIC, 546, 6, 91.000000, ZIP, 1858, 12, 154.833333, 
trial0011118, AA, 2304, 14, 164.571429, ZIC, 314, 6, 52.333333, ZIP, 1905, 12, 158.750000, 
trial0011119, AA, 2576, 14, 184.000000, ZIC, 593, 6, 98.833333, ZIP, 1737, 12, 144.750000, 
trial0011120, AA, 2251, 14, 160.785714, ZIC, 185, 6, 30.833333, ZIP, 2694, 12, 224.500000, 
trial0011121, AA, 2910, 14, 207.857143, ZIC, 556, 6, 92.666667, ZIP, 1717, 12, 143.083333, 
trial0011122, AA, 2460, 14, 175.714286, ZIC, 653, 6, 108.833333, ZIP, 2098, 12, 174.833333, 
