trial0009301, AA, 2108, 10, 210.800000, ZIC, 2344, 22, 106.545455, 
trial0009302, AA, 1090, 10, 109.000000, ZIC, 3085, 22, 140.227273, 
trial0009303, AA, 1659, 10, 165.900000, ZIC, 3133, 22, 142.409091, 
trial0009304, AA, 988, 10, 98.800000, ZIC, 3091, 22, 140.500000, 
trial0009305, AA, 2097, 10, 209.700000, ZIC, 2019, 22, 91.772727, 
trial0009306, AA, 2614, 10, 261.400000, ZIC, 1966, 22, 89.363636, 
trial0009307, AA, 1456, 10, 145.600000, ZIC, 3269, 22, 148.590909, 
trial0009308, AA, 1010, 10, 101.000000, ZIC, 3173, 22, 144.227273, 
trial0009309, AA, 1966, 10, 196.600000, ZIC, 2296, 22, 104.363636, 
trial0009310, AA, 2059, 10, 205.900000, ZIC, 2411, 22, 109.590909, 
trial0009311, AA, 1364, 10, 136.400000, ZIC, 2573, 22, 116.954545, 
trial0009312, AA, 2144, 10, 214.400000, ZIC, 1992, 22, 90.545455, 
trial0009313, AA, 1986, 10, 198.600000, ZIC, 2401, 22, 109.136364, 
trial0009314, AA, 1102, 10, 110.200000, ZIC, 3499, 22, 159.045455, 
trial0009315, AA, 1310, 10, 131.000000, ZIC, 2685, 22, 122.045455, 
trial0009316, AA, 2270, 10, 227.000000, ZIC, 2375, 22, 107.954545, 
trial0009317, AA, 2586, 10, 258.600000, ZIC, 2201, 22, 100.045455, 
trial0009318, AA, 2176, 10, 217.600000, ZIC, 2460, 22, 111.818182, 
trial0009319, AA, 557, 10, 55.700000, ZIC, 3304, 22, 150.181818, 
trial0009320, AA, 1722, 10, 172.200000, ZIC, 3319, 22, 150.863636, 
trial0009321, AA, 2349, 10, 234.900000, ZIC, 1778, 22, 80.818182, 
trial0009322, AA, 1190, 10, 119.000000, ZIC, 2875, 22, 130.681818, 
trial0009323, AA, 2172, 10, 217.200000, ZIC, 2186, 22, 99.363636, 
trial0009324, AA, 1527, 10, 152.700000, ZIC, 2127, 22, 96.681818, 
trial0009325, AA, 1339, 10, 133.900000, ZIC, 2145, 22, 97.500000, 
trial0009326, AA, 1458, 10, 145.800000, ZIC, 3594, 22, 163.363636, 
trial0009327, AA, 2206, 10, 220.600000, ZIC, 2194, 22, 99.727273, 
trial0009328, AA, 1155, 10, 115.500000, ZIC, 2776, 22, 126.181818, 
trial0009329, AA, 1923, 10, 192.300000, ZIC, 2455, 22, 111.590909, 
trial0009330, AA, 2288, 10, 228.800000, ZIC, 2493, 22, 113.318182, 
trial0009331, AA, 2266, 10, 226.600000, ZIC, 2500, 22, 113.636364, 
trial0009332, AA, 1104, 10, 110.400000, ZIC, 2906, 22, 132.090909, 
trial0009333, AA, 1177, 10, 117.700000, ZIC, 2715, 22, 123.409091, 
trial0009334, AA, 1594, 10, 159.400000, ZIC, 3224, 22, 146.545455, 
trial0009335, AA, 822, 10, 82.200000, ZIC, 3681, 22, 167.318182, 
trial0009336, AA, 1491, 10, 149.100000, ZIC, 3124, 22, 142.000000, 
trial0009337, AA, 2260, 10, 226.000000, ZIC, 2398, 22, 109.000000, 
trial0009338, AA, 2596, 10, 259.600000, ZIC, 2196, 22, 99.818182, 
trial0009339, AA, 2411, 10, 241.100000, ZIC, 2753, 22, 125.136364, 
trial0009340, AA, 1917, 10, 191.700000, ZIC, 2475, 22, 112.500000, 
trial0009341, AA, 1722, 10, 172.200000, ZIC, 3013, 22, 136.954545, 
trial0009342, AA, 2405, 10, 240.500000, ZIC, 2059, 22, 93.590909, 
trial0009343, AA, 1098, 10, 109.800000, ZIC, 3513, 22, 159.681818, 
trial0009344, AA, 2534, 10, 253.400000, ZIC, 2412, 22, 109.636364, 
trial0009345, AA, 846, 10, 84.600000, ZIC, 3516, 22, 159.818182, 
trial0009346, AA, 1487, 10, 148.700000, ZIC, 3279, 22, 149.045455, 
trial0009347, AA, 2327, 10, 232.700000, ZIC, 2359, 22, 107.227273, 
trial0009348, AA, 1961, 10, 196.100000, ZIC, 2429, 22, 110.409091, 
trial0009349, AA, 1866, 10, 186.600000, ZIC, 2418, 22, 109.909091, 
trial0009350, AA, 961, 10, 96.100000, ZIC, 3024, 22, 137.454545, 
trial0009351, AA, 2467, 10, 246.700000, ZIC, 2351, 22, 106.863636, 
trial0009352, AA, 2408, 10, 240.800000, ZIC, 1954, 22, 88.818182, 
trial0009353, AA, 1476, 10, 147.600000, ZIC, 2209, 22, 100.409091, 
trial0009354, AA, 615, 10, 61.500000, ZIC, 3124, 22, 142.000000, 
trial0009355, AA, 1842, 10, 184.200000, ZIC, 2135, 22, 97.045455, 
trial0009356, AA, 2770, 10, 277.000000, ZIC, 2198, 22, 99.909091, 
trial0009357, AA, 1270, 10, 127.000000, ZIC, 2662, 22, 121.000000, 
trial0009358, AA, 813, 10, 81.300000, ZIC, 3016, 22, 137.090909, 
trial0009359, AA, 1845, 10, 184.500000, ZIC, 2935, 22, 133.409091, 
trial0009360, AA, 1462, 10, 146.200000, ZIC, 2282, 22, 103.727273, 
trial0009361, AA, 1140, 10, 114.000000, ZIC, 987, 22, 44.863636, 
trial0009362, AA, 460, 10, 46.000000, ZIC, 945, 22, 42.954545, 
trial0009363, AA, 1282, 10, 128.200000, ZIC, 903, 22, 41.045455, 
trial0009364, AA, 1440, 10, 144.000000, ZIC, 606, 22, 27.545455, 
trial0009365, AA, 1030, 10, 103.000000, ZIC, 643, 22, 29.227273, 
trial0009366, AA, 1312, 10, 131.200000, ZIC, 600, 22, 27.272727, 
trial0009367, AA, 687, 10, 68.700000, ZIC, 908, 22, 41.272727, 
trial0009368, AA, 890, 10, 89.000000, ZIC, 856, 22, 38.909091, 
trial0009369, AA, 1029, 10, 102.900000, ZIC, 1002, 22, 45.545455, 
trial0009370, AA, 523, 10, 52.300000, ZIC, 860, 22, 39.090909, 
