trial0010801, GDX, 487, 10, 48.700000, ZIC, 1026, 22, 46.636364, 
trial0010802, GDX, 662, 10, 66.200000, ZIC, 873, 22, 39.681818, 
trial0010803, GDX, 864, 10, 86.400000, ZIC, 536, 22, 24.363636, 
trial0010804, GDX, 171, 10, 17.100000, ZIC, 1004, 22, 45.636364, 
trial0010805, GDX, 1007, 10, 100.700000, ZIC, 733, 22, 33.318182, 
trial0010806, GDX, 526, 10, 52.600000, ZIC, 925, 22, 42.045455, 
trial0010807, GDX, 396, 10, 39.600000, ZIC, 621, 22, 28.227273, 
trial0010808, GDX, 252, 10, 25.200000, ZIC, 1065, 22, 48.409091, 
trial0010809, GDX, 315, 10, 31.500000, ZIC, 784, 22, 35.636364, 
trial0010810, GDX, 633, 10, 63.300000, ZIC, 1113, 22, 50.590909, 
trial0010811, GDX, 429, 10, 42.900000, ZIC, 1272, 22, 57.818182, 
trial0010812, GDX, 601, 10, 60.100000, ZIC, 954, 22, 43.363636, 
trial0010813, GDX, 566, 10, 56.600000, ZIC, 872, 22, 39.636364, 
trial0010814, GDX, 827, 10, 82.700000, ZIC, 761, 22, 34.590909, 
trial0010815, GDX, 1198, 10, 119.800000, ZIC, 644, 22, 29.272727, 
trial0010816, GDX, 662, 10, 66.200000, ZIC, 983, 22, 44.681818, 
trial0010817, GDX, 752, 10, 75.200000, ZIC, 1577, 22, 71.681818, 
trial0010818, GDX, 399, 10, 39.900000, ZIC, 796, 22, 36.181818, 
trial0010819, GDX, 825, 10, 82.500000, ZIC, 798, 22, 36.272727, 
trial0010820, GDX, 440, 10, 44.000000, ZIC, 1001, 22, 45.500000, 
trial0010821, GDX, 798, 10, 79.800000, ZIC, 894, 22, 40.636364, 
trial0010822, GDX, 955, 10, 95.500000, ZIC, 556, 22, 25.272727, 
trial0010823, GDX, 505, 10, 50.500000, ZIC, 971, 22, 44.136364, 
trial0010824, GDX, 1087, 10, 108.700000, ZIC, 779, 22, 35.409091, 
trial0010825, GDX, 656, 10, 65.600000, ZIC, 924, 22, 42.000000, 
trial0010826, GDX, 788, 10, 78.800000, ZIC, 503, 22, 22.863636, 
trial0010827, GDX, 487, 10, 48.700000, ZIC, 1230, 22, 55.909091, 
trial0010828, GDX, 879, 10, 87.900000, ZIC, 1587, 22, 72.136364, 
trial0010829, GDX, 877, 10, 87.700000, ZIC, 788, 22, 35.818182, 
trial0010830, GDX, 650, 10, 65.000000, ZIC, 1182, 22, 53.727273, 
trial0010831, GDX, 254, 10, 25.400000, ZIC, 498, 22, 22.636364, 
trial0010832, GDX, 279, 10, 27.900000, ZIC, 789, 22, 35.863636, 
trial0010833, GDX, 391, 10, 39.100000, ZIC, 461, 22, 20.954545, 
trial0010834, GDX, 365, 10, 36.500000, ZIC, 363, 22, 16.500000, 
trial0010835, GDX, 682, 10, 68.200000, ZIC, 390, 22, 17.727273, 
trial0010836, GDX, 246, 10, 24.600000, ZIC, 993, 22, 45.136364, 
trial0010837, GDX, 543, 10, 54.300000, ZIC, 788, 22, 35.818182, 
trial0010838, GDX, 639, 10, 63.900000, ZIC, 308, 22, 14.000000, 
trial0010839, GDX, 448, 10, 44.800000, ZIC, 566, 22, 25.727273, 
trial0010840, GDX, 340, 10, 34.000000, ZIC, 580, 22, 26.363636, 
trial0010841, GDX, 744, 10, 74.400000, ZIC, 948, 22, 43.090909, 
trial0010842, GDX, 410, 10, 41.000000, ZIC, 331, 22, 15.045455, 
trial0010843, GDX, 346, 10, 34.600000, ZIC, 605, 22, 27.500000, 
trial0010844, GDX, 190, 10, 19.000000, ZIC, 567, 22, 25.772727, 
trial0010845, GDX, 201, 10, 20.100000, ZIC, 490, 22, 22.272727, 
trial0010846, GDX, 398, 10, 39.800000, ZIC, 581, 22, 26.409091, 
trial0010847, GDX, 351, 10, 35.100000, ZIC, 580, 22, 26.363636, 
trial0010848, GDX, 377, 10, 37.700000, ZIC, 818, 22, 37.181818, 
trial0010849, GDX, 693, 10, 69.300000, ZIC, 504, 22, 22.909091, 
trial0010850, GDX, 635, 10, 63.500000, ZIC, 610, 22, 27.727273, 
trial0010851, GDX, 305, 10, 30.500000, ZIC, 738, 22, 33.545455, 
trial0010852, GDX, 490, 10, 49.000000, ZIC, 621, 22, 28.227273, 
trial0010853, GDX, 229, 10, 22.900000, ZIC, 742, 22, 33.727273, 
trial0010854, GDX, 486, 10, 48.600000, ZIC, 543, 22, 24.681818, 
trial0010855, GDX, 129, 10, 12.900000, ZIC, 766, 22, 34.818182, 
trial0010856, GDX, 570, 10, 57.000000, ZIC, 641, 22, 29.136364, 
trial0010857, GDX, 246, 10, 24.600000, ZIC, 853, 22, 38.772727, 
trial0010858, GDX, 873, 10, 87.300000, ZIC, 755, 22, 34.318182, 
trial0010859, GDX, 223, 10, 22.300000, ZIC, 989, 22, 44.954545, 
trial0010860, GDX, 508, 10, 50.800000, ZIC, 517, 22, 23.500000, 
trial0010861, GDX, 812, 10, 81.200000, ZIC, 1277, 22, 58.045455, 
trial0010862, GDX, 370, 10, 37.000000, ZIC, 1940, 22, 88.181818, 
trial0010863, GDX, 2543, 10, 254.300000, ZIC, 1462, 22, 66.454545, 
trial0010864, GDX, 1238, 10, 123.800000, ZIC, 2819, 22, 128.136364, 
trial0010865, GDX, 1510, 10, 151.000000, ZIC, 1410, 22, 64.090909, 
trial0010866, GDX, 1246, 10, 124.600000, ZIC, 1982, 22, 90.090909, 
trial0010867, GDX, 479, 10, 47.900000, ZIC, 1934, 22, 87.909091, 
trial0010868, GDX, 1430, 10, 143.000000, ZIC, 2815, 22, 127.954545, 
trial0010869, GDX, 1473, 10, 147.300000, ZIC, 1248, 22, 56.727273, 
trial0010870, GDX, 1479, 10, 147.900000, ZIC, 1818, 22, 82.636364, 
trial0010871, GDX, 703, 10, 70.300000, ZIC, 1601, 22, 72.772727, 
trial0010872, GDX, 517, 10, 51.700000, ZIC, 1109, 22, 50.409091, 
trial0010873, GDX, 645, 10, 64.500000, ZIC, 1867, 22, 84.863636, 
trial0010874, GDX, 1273, 10, 127.300000, ZIC, 2118, 22, 96.272727, 
trial0010875, GDX, 1056, 10, 105.600000, ZIC, 1762, 22, 80.090909, 
trial0010876, GDX, 1321, 10, 132.100000, ZIC, 1712, 22, 77.818182, 
trial0010877, GDX, 797, 10, 79.700000, ZIC, 2410, 22, 109.545455, 
trial0010878, GDX, 1528, 10, 152.800000, ZIC, 1393, 22, 63.318182, 
trial0010879, GDX, 1404, 10, 140.400000, ZIC, 1317, 22, 59.863636, 
trial0010880, GDX, 662, 10, 66.200000, ZIC, 1790, 22, 81.363636, 
trial0010881, GDX, 923, 10, 92.300000, ZIC, 3121, 22, 141.863636, 
trial0010882, GDX, 1025, 10, 102.500000, ZIC, 1270, 22, 57.727273, 
trial0010883, GDX, 408, 10, 40.800000, ZIC, 2353, 22, 106.954545, 
trial0010884, GDX, 1040, 10, 104.000000, ZIC, 2380, 22, 108.181818, 
trial0010885, GDX, 1647, 10, 164.700000, ZIC, 2313, 22, 105.136364, 
trial0010886, GDX, 1314, 10, 131.400000, ZIC, 2853, 22, 129.681818, 
trial0010887, GDX, 834, 10, 83.400000, ZIC, 1636, 22, 74.363636, 
trial0010888, GDX, 558, 10, 55.800000, ZIC, 1587, 22, 72.136364, 
trial0010889, GDX, 883, 10, 88.300000, ZIC, 2246, 22, 102.090909, 
trial0010890, GDX, 1069, 10, 106.900000, ZIC, 960, 22, 43.636364, 
trial0010891, GDX, 236, 10, 23.600000, ZIC, 880, 22, 40.000000, 
trial0010892, GDX, 684, 10, 68.400000, ZIC, 1027, 22, 46.681818, 
trial0010893, GDX, 763, 10, 76.300000, ZIC, 1404, 22, 63.818182, 
trial0010894, GDX, 492, 10, 49.200000, ZIC, 1702, 22, 77.363636, 
trial0010895, GDX, 987, 10, 98.700000, ZIC, 1019, 22, 46.318182, 
trial0010896, GDX, 800, 10, 80.000000, ZIC, 1444, 22, 65.636364, 
trial0010897, GDX, 262, 10, 26.200000, ZIC, 1330, 22, 60.454545, 
trial0010898, GDX, 852, 10, 85.200000, ZIC, 1222, 22, 55.545455, 
trial0010899, GDX, 1314, 10, 131.400000, ZIC, 1648, 22, 74.909091, 
trial0010900, GDX, 491, 10, 49.100000, ZIC, 1142, 22, 51.909091, 
trial0010901, GDX, 396, 10, 39.600000, ZIC, 1432, 22, 65.090909, 
trial0010902, GDX, 562, 10, 56.200000, ZIC, 1012, 22, 46.000000, 
trial0010903, GDX, 718, 10, 71.800000, ZIC, 838, 22, 38.090909, 
trial0010904, GDX, 449, 10, 44.900000, ZIC, 748, 22, 34.000000, 
trial0010905, GDX, 591, 10, 59.100000, ZIC, 1027, 22, 46.681818, 
trial0010906, GDX, 482, 10, 48.200000, ZIC, 1397, 22, 63.500000, 
trial0010907, GDX, 624, 10, 62.400000, ZIC, 982, 22, 44.636364, 
trial0010908, GDX, 478, 10, 47.800000, ZIC, 1138, 22, 51.727273, 
trial0010909, GDX, 756, 10, 75.600000, ZIC, 1091, 22, 49.590909, 
trial0010910, GDX, 259, 10, 25.900000, ZIC, 1210, 22, 55.000000, 
trial0010911, GDX, 485, 10, 48.500000, ZIC, 1463, 22, 66.500000, 
trial0010912, GDX, 183, 10, 18.300000, ZIC, 1785, 22, 81.136364, 
trial0010913, GDX, 456, 10, 45.600000, ZIC, 1106, 22, 50.272727, 
