trial0033657, AA, 963, 22, 43.772727, GDX, 0, 2, 0.000000, ZIP, 325, 8, 40.625000, 
trial0033658, AA, 1200, 22, 54.545455, GDX, 0, 2, 0.000000, ZIP, 315, 8, 39.375000, 
trial0033659, AA, 915, 22, 41.590909, GDX, 239, 2, 119.500000, ZIP, 350, 8, 43.750000, 
trial0033660, AA, 1049, 22, 47.681818, GDX, 109, 2, 54.500000, ZIP, 314, 8, 39.250000, 
trial0033661, AA, 1611, 22, 73.227273, GDX, 152, 2, 76.000000, ZIP, 434, 8, 54.250000, 
trial0033662, AA, 1777, 22, 80.772727, GDX, 205, 2, 102.500000, ZIP, 334, 8, 41.750000, 
trial0033663, AA, 1453, 22, 66.045455, GDX, 18, 2, 9.000000, ZIP, 777, 8, 97.125000, 
trial0033664, AA, 1426, 22, 64.818182, GDX, 205, 2, 102.500000, ZIP, 675, 8, 84.375000, 
trial0033665, AA, 1468, 22, 66.727273, GDX, 73, 2, 36.500000, ZIP, 582, 8, 72.750000, 
trial0033666, AA, 1647, 22, 74.863636, GDX, 134, 2, 67.000000, ZIP, 393, 8, 49.125000, 
trial0033667, AA, 1573, 22, 71.500000, GDX, 20, 2, 10.000000, ZIP, 380, 8, 47.500000, 
trial0033668, AA, 1590, 22, 72.272727, GDX, 97, 2, 48.500000, ZIP, 400, 8, 50.000000, 
trial0033669, AA, 1362, 22, 61.909091, GDX, 182, 2, 91.000000, ZIP, 576, 8, 72.000000, 
trial0033670, AA, 1353, 22, 61.500000, GDX, 54, 2, 27.000000, ZIP, 653, 8, 81.625000, 
trial0033671, AA, 1555, 22, 70.681818, GDX, 76, 2, 38.000000, ZIP, 656, 8, 82.000000, 
trial0033672, AA, 1541, 22, 70.045455, GDX, 0, 2, 0.000000, ZIP, 582, 8, 72.750000, 
trial0033673, AA, 931, 22, 42.318182, GDX, 83, 2, 41.500000, ZIP, 785, 8, 98.125000, 
trial0033674, AA, 1491, 22, 67.772727, GDX, 80, 2, 40.000000, ZIP, 692, 8, 86.500000, 
trial0033675, AA, 1934, 22, 87.909091, GDX, 122, 2, 61.000000, ZIP, 237, 8, 29.625000, 
