trial0036901, GDX, 177, 24, 7.375000, ZIP, 40, 8, 5.000000, 
trial0036902, GDX, 145, 24, 6.041667, ZIP, 95, 8, 11.875000, 
trial0036903, GDX, 114, 24, 4.750000, ZIP, 55, 8, 6.875000, 
trial0036904, GDX, 47, 24, 1.958333, ZIP, 13, 8, 1.625000, 
trial0036905, GDX, 145, 24, 6.041667, ZIP, 58, 8, 7.250000, 
trial0036906, GDX, 129, 24, 5.375000, ZIP, 0, 8, 0.000000, 
trial0036907, GDX, 195, 24, 8.125000, ZIP, 30, 8, 3.750000, 
trial0036908, GDX, 11, 24, 0.458333, ZIP, 15, 8, 1.875000, 
trial0036909, GDX, 157, 24, 6.541667, ZIP, 15, 8, 1.875000, 
trial0036910, GDX, 56, 24, 2.333333, ZIP, 124, 8, 15.500000, 
trial0036911, GDX, 135, 24, 5.625000, ZIP, 7, 8, 0.875000, 
trial0036912, GDX, 80, 24, 3.333333, ZIP, 175, 8, 21.875000, 
trial0036913, GDX, 49, 24, 2.041667, ZIP, 48, 8, 6.000000, 
trial0036914, GDX, 37, 24, 1.541667, ZIP, 202, 8, 25.250000, 
trial0036915, GDX, 157, 24, 6.541667, ZIP, 75, 8, 9.375000, 
trial0036916, GDX, 181, 24, 7.541667, ZIP, 29, 8, 3.625000, 
trial0036917, GDX, 153, 24, 6.375000, ZIP, 115, 8, 14.375000, 
trial0036918, GDX, 194, 24, 8.083333, ZIP, 35, 8, 4.375000, 
trial0036919, GDX, 168, 24, 7.000000, ZIP, 82, 8, 10.250000, 
trial0036920, GDX, 42, 24, 1.750000, ZIP, 13, 8, 1.625000, 
trial0036921, GDX, 96, 24, 4.000000, ZIP, 14, 8, 1.750000, 
trial0036922, GDX, 198, 24, 8.250000, ZIP, 248, 8, 31.000000, 
trial0036923, GDX, 185, 24, 7.708333, ZIP, 55, 8, 6.875000, 
trial0036924, GDX, 153, 24, 6.375000, ZIP, 34, 8, 4.250000, 
trial0036925, GDX, 104, 24, 4.333333, ZIP, 71, 8, 8.875000, 
trial0036926, GDX, 166, 24, 6.916667, ZIP, 30, 8, 3.750000, 
trial0036927, GDX, 175, 24, 7.291667, ZIP, 1, 8, 0.125000, 
trial0036928, GDX, 172, 24, 7.166667, ZIP, 13, 8, 1.625000, 
trial0036929, GDX, 80, 24, 3.333333, ZIP, 0, 8, 0.000000, 
trial0036930, GDX, 102, 24, 4.250000, ZIP, 7, 8, 0.875000, 
trial0036931, GDX, 447, 24, 18.625000, ZIP, 193, 8, 24.125000, 
trial0036932, GDX, 732, 24, 30.500000, ZIP, 448, 8, 56.000000, 
trial0036933, GDX, 610, 24, 25.416667, ZIP, 356, 8, 44.500000, 
trial0036934, GDX, 703, 24, 29.291667, ZIP, 181, 8, 22.625000, 
trial0036935, GDX, 224, 24, 9.333333, ZIP, 147, 8, 18.375000, 
trial0036936, GDX, 461, 24, 19.208333, ZIP, 409, 8, 51.125000, 
trial0036937, GDX, 469, 24, 19.541667, ZIP, 249, 8, 31.125000, 
trial0036938, GDX, 737, 24, 30.708333, ZIP, 212, 8, 26.500000, 
trial0036939, GDX, 704, 24, 29.333333, ZIP, 74, 8, 9.250000, 
trial0036940, GDX, 183, 24, 7.625000, ZIP, 398, 8, 49.750000, 
trial0036941, GDX, 468, 24, 19.500000, ZIP, 340, 8, 42.500000, 
trial0036942, GDX, 525, 24, 21.875000, ZIP, 409, 8, 51.125000, 
trial0036943, GDX, 432, 24, 18.000000, ZIP, 695, 8, 86.875000, 
trial0036944, GDX, 602, 24, 25.083333, ZIP, 229, 8, 28.625000, 
trial0036945, GDX, 637, 24, 26.541667, ZIP, 96, 8, 12.000000, 
trial0036946, GDX, 421, 24, 17.541667, ZIP, 392, 8, 49.000000, 
trial0036947, GDX, 135, 24, 5.625000, ZIP, 64, 8, 8.000000, 
trial0036948, GDX, 158, 24, 6.583333, ZIP, 344, 8, 43.000000, 
trial0036949, GDX, 186, 24, 7.750000, ZIP, 316, 8, 39.500000, 
trial0036950, GDX, 645, 24, 26.875000, ZIP, 241, 8, 30.125000, 
trial0036951, GDX, 854, 24, 35.583333, ZIP, 320, 8, 40.000000, 
trial0036952, GDX, 464, 24, 19.333333, ZIP, 526, 8, 65.750000, 
trial0036953, GDX, 343, 24, 14.291667, ZIP, 303, 8, 37.875000, 
trial0036954, GDX, 126, 24, 5.250000, ZIP, 524, 8, 65.500000, 
trial0036955, GDX, 1096, 24, 45.666667, ZIP, 309, 8, 38.625000, 
trial0036956, GDX, 375, 24, 15.625000, ZIP, 209, 8, 26.125000, 
trial0036957, GDX, 434, 24, 18.083333, ZIP, 252, 8, 31.500000, 
trial0036958, GDX, 586, 24, 24.416667, ZIP, 417, 8, 52.125000, 
trial0036959, GDX, 287, 24, 11.958333, ZIP, 441, 8, 55.125000, 
trial0036960, GDX, 399, 24, 16.625000, ZIP, 619, 8, 77.375000, 
trial0036961, GDX, 587, 24, 24.458333, ZIP, 143, 8, 17.875000, 
trial0036962, GDX, 276, 24, 11.500000, ZIP, 206, 8, 25.750000, 
trial0036963, GDX, 563, 24, 23.458333, ZIP, 300, 8, 37.500000, 
trial0036964, GDX, 485, 24, 20.208333, ZIP, 32, 8, 4.000000, 
trial0036965, GDX, 483, 24, 20.125000, ZIP, 474, 8, 59.250000, 
trial0036966, GDX, 476, 24, 19.833333, ZIP, 295, 8, 36.875000, 
trial0036967, GDX, 574, 24, 23.916667, ZIP, 258, 8, 32.250000, 
trial0036968, GDX, 324, 24, 13.500000, ZIP, 275, 8, 34.375000, 
trial0036969, GDX, 681, 24, 28.375000, ZIP, 182, 8, 22.750000, 
trial0036970, GDX, 287, 24, 11.958333, ZIP, 92, 8, 11.500000, 
trial0036971, GDX, 505, 24, 21.041667, ZIP, 369, 8, 46.125000, 
trial0036972, GDX, 757, 24, 31.541667, ZIP, 266, 8, 33.250000, 
trial0036973, GDX, 234, 24, 9.750000, ZIP, 433, 8, 54.125000, 
trial0036974, GDX, 860, 24, 35.833333, ZIP, 197, 8, 24.625000, 
trial0036975, GDX, 400, 24, 16.666667, ZIP, 394, 8, 49.250000, 
trial0036976, GDX, 225, 24, 9.375000, ZIP, 99, 8, 12.375000, 
trial0036977, GDX, 362, 24, 15.083333, ZIP, 201, 8, 25.125000, 
trial0036978, GDX, 464, 24, 19.333333, ZIP, 211, 8, 26.375000, 
trial0036979, GDX, 490, 24, 20.416667, ZIP, 137, 8, 17.125000, 
trial0036980, GDX, 538, 24, 22.416667, ZIP, 137, 8, 17.125000, 
trial0036981, GDX, 240, 24, 10.000000, ZIP, 252, 8, 31.500000, 
trial0036982, GDX, 191, 24, 7.958333, ZIP, 49, 8, 6.125000, 
trial0036983, GDX, 218, 24, 9.083333, ZIP, 323, 8, 40.375000, 
trial0036984, GDX, 632, 24, 26.333333, ZIP, 315, 8, 39.375000, 
trial0036985, GDX, 356, 24, 14.833333, ZIP, 214, 8, 26.750000, 
trial0036986, GDX, 149, 24, 6.208333, ZIP, 345, 8, 43.125000, 
trial0036987, GDX, 630, 24, 26.250000, ZIP, 431, 8, 53.875000, 
trial0036988, GDX, 500, 24, 20.833333, ZIP, 411, 8, 51.375000, 
trial0036989, GDX, 314, 24, 13.083333, ZIP, 160, 8, 20.000000, 
trial0036990, GDX, 273, 24, 11.375000, ZIP, 296, 8, 37.000000, 
trial0036991, GDX, 402, 24, 16.750000, ZIP, 177, 8, 22.125000, 
