trial0031201, AA, 1234, 30, 41.133333, ZIC, 31, 2, 15.500000, 
trial0031202, AA, 1218, 30, 40.600000, ZIC, 30, 2, 15.000000, 
trial0031203, AA, 1297, 30, 43.233333, ZIC, 0, 2, 0.000000, 
trial0031204, AA, 1246, 30, 41.533333, ZIC, 38, 2, 19.000000, 
trial0031205, AA, 998, 30, 33.266667, ZIC, 251, 2, 125.500000, 
trial0031206, AA, 1157, 30, 38.566667, ZIC, 127, 2, 63.500000, 
trial0031207, AA, 1278, 30, 42.600000, ZIC, 0, 2, 0.000000, 
trial0031208, AA, 1071, 30, 35.700000, ZIC, 126, 2, 63.000000, 
trial0031209, AA, 995, 30, 33.166667, ZIC, 213, 2, 106.500000, 
trial0031210, AA, 1207, 30, 40.233333, ZIC, 92, 2, 46.000000, 
trial0031211, AA, 1232, 30, 41.066667, ZIC, 33, 2, 16.500000, 
trial0031212, AA, 1291, 30, 43.033333, ZIC, 4, 2, 2.000000, 
trial0031213, AA, 1189, 30, 39.633333, ZIC, 56, 2, 28.000000, 
trial0031214, AA, 1116, 30, 37.200000, ZIC, 147, 2, 73.500000, 
trial0031215, AA, 1275, 30, 42.500000, ZIC, 15, 2, 7.500000, 
trial0031216, AA, 1251, 30, 41.700000, ZIC, 44, 2, 22.000000, 
trial0031217, AA, 1105, 30, 36.833333, ZIC, 187, 2, 93.500000, 
trial0031218, AA, 1167, 30, 38.900000, ZIC, 84, 2, 42.000000, 
trial0031219, AA, 1233, 30, 41.100000, ZIC, 11, 2, 5.500000, 
trial0031220, AA, 1008, 30, 33.600000, ZIC, 294, 2, 147.000000, 
trial0031221, AA, 1157, 30, 38.566667, ZIC, 138, 2, 69.000000, 
trial0031222, AA, 1204, 30, 40.133333, ZIC, 73, 2, 36.500000, 
trial0031223, AA, 1096, 30, 36.533333, ZIC, 181, 2, 90.500000, 
trial0031224, AA, 1224, 30, 40.800000, ZIC, 48, 2, 24.000000, 
trial0031225, AA, 1181, 30, 39.366667, ZIC, 95, 2, 47.500000, 
trial0031226, AA, 1205, 30, 40.166667, ZIC, 83, 2, 41.500000, 
trial0031227, AA, 1234, 30, 41.133333, ZIC, 0, 2, 0.000000, 
trial0031228, AA, 1277, 30, 42.566667, ZIC, 21, 2, 10.500000, 
trial0031229, AA, 1014, 30, 33.800000, ZIC, 251, 2, 125.500000, 
trial0031230, AA, 1260, 30, 42.000000, ZIC, 63, 2, 31.500000, 
trial0031231, AA, 0, 30, 0.000000, ZIC, 0, 2, 0.000000, 
trial0031232, AA, 224, 30, 7.466667, ZIC, 20, 2, 10.000000, 
trial0031233, AA, 281, 30, 9.366667, ZIC, 16, 2, 8.000000, 
trial0031234, AA, 266, 30, 8.866667, ZIC, 4, 2, 2.000000, 
trial0031235, AA, 267, 30, 8.900000, ZIC, 8, 2, 4.000000, 
trial0031236, AA, 276, 30, 9.200000, ZIC, 2, 2, 1.000000, 
trial0031237, AA, 261, 30, 8.700000, ZIC, 2, 2, 1.000000, 
trial0031238, AA, 231, 30, 7.700000, ZIC, 35, 2, 17.500000, 
trial0031239, AA, 0, 30, 0.000000, ZIC, 0, 2, 0.000000, 
trial0031240, AA, 252, 30, 8.400000, ZIC, 30, 2, 15.000000, 
trial0031241, AA, 245, 30, 8.166667, ZIC, 34, 2, 17.000000, 
trial0031242, AA, 230, 30, 7.666667, ZIC, 22, 2, 11.000000, 
trial0031243, AA, 248, 30, 8.266667, ZIC, 20, 2, 10.000000, 
trial0031244, AA, 0, 30, 0.000000, ZIC, 0, 2, 0.000000, 
trial0031245, AA, 283, 30, 9.433333, ZIC, 5, 2, 2.500000, 
trial0031246, AA, 311, 30, 10.366667, ZIC, 36, 2, 18.000000, 
trial0031247, AA, 222, 30, 7.400000, ZIC, 23, 2, 11.500000, 
trial0031248, AA, 277, 30, 9.233333, ZIC, 2, 2, 1.000000, 
trial0031249, AA, 229, 30, 7.633333, ZIC, 5, 2, 2.500000, 
trial0031250, AA, 226, 30, 7.533333, ZIC, 9, 2, 4.500000, 
trial0031251, AA, 296, 30, 9.866667, ZIC, 14, 2, 7.000000, 
trial0031252, AA, 0, 30, 0.000000, ZIC, 0, 2, 0.000000, 
trial0031253, AA, 250, 30, 8.333333, ZIC, 8, 2, 4.000000, 
trial0031254, AA, 257, 30, 8.566667, ZIC, 10, 2, 5.000000, 
trial0031255, AA, 246, 30, 8.200000, ZIC, 9, 2, 4.500000, 
trial0031256, AA, 276, 30, 9.200000, ZIC, 52, 2, 26.000000, 
trial0031257, AA, 243, 30, 8.100000, ZIC, 14, 2, 7.000000, 
trial0031258, AA, 285, 30, 9.500000, ZIC, 14, 2, 7.000000, 
trial0031259, AA, 253, 30, 8.433333, ZIC, 15, 2, 7.500000, 
trial0031260, AA, 250, 30, 8.333333, ZIC, 2, 2, 1.000000, 
