trial0000601, AA, 5875, 28, 209.821429, GDX, 3553, 4, 888.250000, 
trial0000602, AA, 6649, 28, 237.464286, GDX, 3182, 4, 795.500000, 
trial0000603, AA, 8063, 28, 287.964286, GDX, 1703, 4, 425.750000, 
trial0000604, AA, 10093, 28, 360.464286, GDX, 24, 4, 6.000000, 
trial0000605, AA, 8553, 28, 305.464286, GDX, 942, 4, 235.500000, 
trial0000606, AA, 9791, 28, 349.678571, GDX, 175, 4, 43.750000, 
trial0000607, AA, 9746, 28, 348.071429, GDX, 135, 4, 33.750000, 
trial0000608, AA, 9065, 28, 323.750000, GDX, 774, 4, 193.500000, 
trial0000609, AA, 9067, 28, 323.821429, GDX, 344, 4, 86.000000, 
trial0000610, AA, 8214, 28, 293.357143, GDX, 1646, 4, 411.500000, 
trial0000611, AA, 8829, 28, 315.321429, GDX, 1267, 4, 316.750000, 
trial0000612, AA, 7841, 28, 280.035714, GDX, 2048, 4, 512.000000, 
trial0000613, AA, 8354, 28, 298.357143, GDX, 1063, 4, 265.750000, 
trial0000614, AA, 8402, 28, 300.071429, GDX, 1523, 4, 380.750000, 
trial0000615, AA, 9408, 28, 336.000000, GDX, 78, 4, 19.500000, 
trial0000616, AA, 6575, 28, 234.821429, GDX, 3207, 4, 801.750000, 
trial0000617, AA, 8392, 28, 299.714286, GDX, 828, 4, 207.000000, 
trial0000618, AA, 7257, 28, 259.178571, GDX, 2366, 4, 591.500000, 
trial0000619, AA, 8395, 28, 299.821429, GDX, 1359, 4, 339.750000, 
trial0000620, AA, 9346, 28, 333.785714, GDX, 838, 4, 209.500000, 
trial0000621, AA, 7747, 28, 276.678571, GDX, 1863, 4, 465.750000, 
trial0000622, AA, 9481, 28, 338.607143, GDX, 394, 4, 98.500000, 
trial0000623, AA, 8719, 28, 311.392857, GDX, 811, 4, 202.750000, 
trial0000624, AA, 8470, 28, 302.500000, GDX, 1214, 4, 303.500000, 
trial0000625, AA, 8364, 28, 298.714286, GDX, 1333, 4, 333.250000, 
trial0000626, AA, 8029, 28, 286.750000, GDX, 2077, 4, 519.250000, 
trial0000627, AA, 9593, 28, 342.607143, GDX, 47, 4, 11.750000, 
trial0000628, AA, 8669, 28, 309.607143, GDX, 1192, 4, 298.000000, 
trial0000629, AA, 8007, 28, 285.964286, GDX, 1638, 4, 409.500000, 
trial0000630, AA, 8677, 28, 309.892857, GDX, 1249, 4, 312.250000, 
trial0000631, AA, 1818, 28, 64.928571, GDX, 527, 4, 131.750000, 
trial0000632, AA, 2275, 28, 81.250000, GDX, 473, 4, 118.250000, 
trial0000633, AA, 2379, 28, 84.964286, GDX, 293, 4, 73.250000, 
trial0000634, AA, 2195, 28, 78.392857, GDX, 603, 4, 150.750000, 
trial0000635, AA, 2014, 28, 71.928571, GDX, 903, 4, 225.750000, 
trial0000636, AA, 2210, 28, 78.928571, GDX, 621, 4, 155.250000, 
trial0000637, AA, 2523, 28, 90.107143, GDX, 306, 4, 76.500000, 
trial0000638, AA, 2219, 28, 79.250000, GDX, 518, 4, 129.500000, 
trial0000639, AA, 2126, 28, 75.928571, GDX, 570, 4, 142.500000, 
trial0000640, AA, 2101, 28, 75.035714, GDX, 885, 4, 221.250000, 
trial0000641, AA, 1892, 28, 67.571429, GDX, 894, 4, 223.500000, 
trial0000642, AA, 2037, 28, 72.750000, GDX, 813, 4, 203.250000, 
trial0000643, AA, 2305, 28, 82.321429, GDX, 598, 4, 149.500000, 
trial0000644, AA, 2084, 28, 74.428571, GDX, 597, 4, 149.250000, 
trial0000645, AA, 2448, 28, 87.428571, GDX, 253, 4, 63.250000, 
trial0000646, AA, 2235, 28, 79.821429, GDX, 580, 4, 145.000000, 
trial0000647, AA, 2586, 28, 92.357143, GDX, 273, 4, 68.250000, 
trial0000648, AA, 2138, 28, 76.357143, GDX, 570, 4, 142.500000, 
trial0000649, AA, 2292, 28, 81.857143, GDX, 638, 4, 159.500000, 
trial0000650, AA, 2501, 28, 89.321429, GDX, 267, 4, 66.750000, 
trial0000651, AA, 1796, 28, 64.142857, GDX, 301, 4, 75.250000, 
trial0000652, AA, 2012, 28, 71.857143, GDX, 895, 4, 223.750000, 
