trial0038701, AA, 219, 10, 21.900000, GDX, 458, 14, 32.714286, ZIC, 173, 8, 21.625000, 
trial0038702, AA, 197, 10, 19.700000, GDX, 490, 14, 35.000000, ZIC, 171, 8, 21.375000, 
trial0038703, AA, 88, 10, 8.800000, GDX, 326, 14, 23.285714, ZIC, 269, 8, 33.625000, 
trial0038704, AA, 224, 10, 22.400000, GDX, 317, 14, 22.642857, ZIC, 161, 8, 20.125000, 
trial0038705, AA, 230, 10, 23.000000, GDX, 362, 14, 25.857143, ZIC, 0, 8, 0.000000, 
trial0038706, AA, 149, 10, 14.900000, GDX, 321, 14, 22.928571, ZIC, 300, 8, 37.500000, 
trial0038707, AA, 251, 10, 25.100000, GDX, 182, 14, 13.000000, ZIC, 167, 8, 20.875000, 
trial0038708, AA, 205, 10, 20.500000, GDX, 122, 14, 8.714286, ZIC, 218, 8, 27.250000, 
trial0038709, AA, 456, 10, 45.600000, GDX, 128, 14, 9.142857, ZIC, 143, 8, 17.875000, 
trial0038710, AA, 156, 10, 15.600000, GDX, 384, 14, 27.428571, ZIC, 120, 8, 15.000000, 
trial0038711, AA, 64, 10, 6.400000, GDX, 285, 14, 20.357143, ZIC, 206, 8, 25.750000, 
trial0038712, AA, 109, 10, 10.900000, GDX, 208, 14, 14.857143, ZIC, 188, 8, 23.500000, 
trial0038713, AA, 166, 10, 16.600000, GDX, 215, 14, 15.357143, ZIC, 225, 8, 28.125000, 
trial0038714, AA, 417, 10, 41.700000, GDX, 272, 14, 19.428571, ZIC, 171, 8, 21.375000, 
trial0038715, AA, 232, 10, 23.200000, GDX, 270, 14, 19.285714, ZIC, 264, 8, 33.000000, 
trial0038716, AA, 171, 10, 17.100000, GDX, 105, 14, 7.500000, ZIC, 159, 8, 19.875000, 
trial0038717, AA, 227, 10, 22.700000, GDX, 269, 14, 19.214286, ZIC, 232, 8, 29.000000, 
trial0038718, AA, 310, 10, 31.000000, GDX, 216, 14, 15.428571, ZIC, 206, 8, 25.750000, 
trial0038719, AA, 204, 10, 20.400000, GDX, 187, 14, 13.357143, ZIC, 163, 8, 20.375000, 
trial0038720, AA, 242, 10, 24.200000, GDX, 280, 14, 20.000000, ZIC, 161, 8, 20.125000, 
trial0038721, AA, 196, 10, 19.600000, GDX, 185, 14, 13.214286, ZIC, 249, 8, 31.125000, 
trial0038722, AA, 193, 10, 19.300000, GDX, 164, 14, 11.714286, ZIC, 248, 8, 31.000000, 
trial0038723, AA, 169, 10, 16.900000, GDX, 320, 14, 22.857143, ZIC, 121, 8, 15.125000, 
trial0038724, AA, 374, 10, 37.400000, GDX, 96, 14, 6.857143, ZIC, 142, 8, 17.750000, 
trial0038725, AA, 113, 10, 11.300000, GDX, 9, 14, 0.642857, ZIC, 251, 8, 31.375000, 
trial0038726, AA, 233, 10, 23.300000, GDX, 221, 14, 15.785714, ZIC, 181, 8, 22.625000, 
trial0038727, AA, 135, 10, 13.500000, GDX, 398, 14, 28.428571, ZIC, 183, 8, 22.875000, 
trial0038728, AA, 280, 10, 28.000000, GDX, 161, 14, 11.500000, ZIC, 100, 8, 12.500000, 
trial0038729, AA, 91, 10, 9.100000, GDX, 315, 14, 22.500000, ZIC, 143, 8, 17.875000, 
trial0038730, AA, 380, 10, 38.000000, GDX, 260, 14, 18.571429, ZIC, 127, 8, 15.875000, 
trial0038731, AA, 106, 10, 10.600000, GDX, 88, 14, 6.285714, ZIC, 67, 8, 8.375000, 
trial0038732, AA, 117, 10, 11.700000, GDX, 95, 14, 6.785714, ZIC, 58, 8, 7.250000, 
trial0038733, AA, 107, 10, 10.700000, GDX, 167, 14, 11.928571, ZIC, 13, 8, 1.625000, 
trial0038734, AA, 87, 10, 8.700000, GDX, 4, 14, 0.285714, ZIC, 18, 8, 2.250000, 
trial0038735, AA, 58, 10, 5.800000, GDX, 38, 14, 2.714286, ZIC, 36, 8, 4.500000, 
trial0038736, AA, 49, 10, 4.900000, GDX, 120, 14, 8.571429, ZIC, 30, 8, 3.750000, 
trial0038737, AA, 60, 10, 6.000000, GDX, 88, 14, 6.285714, ZIC, 6, 8, 0.750000, 
trial0038738, AA, 116, 10, 11.600000, GDX, 154, 14, 11.000000, ZIC, 26, 8, 3.250000, 
trial0038739, AA, 19, 10, 1.900000, GDX, 61, 14, 4.357143, ZIC, 59, 8, 7.375000, 
trial0038740, AA, 48, 10, 4.800000, GDX, 0, 14, 0.000000, ZIC, 36, 8, 4.500000, 
trial0038741, AA, 69, 10, 6.900000, GDX, 94, 14, 6.714286, ZIC, 23, 8, 2.875000, 
trial0038742, AA, 110, 10, 11.000000, GDX, 82, 14, 5.857143, ZIC, 23, 8, 2.875000, 
trial0038743, AA, 33, 10, 3.300000, GDX, 103, 14, 7.357143, ZIC, 26, 8, 3.250000, 
trial0038744, AA, 41, 10, 4.100000, GDX, 87, 14, 6.214286, ZIC, 32, 8, 4.000000, 
trial0038745, AA, 25, 10, 2.500000, GDX, 99, 14, 7.071429, ZIC, 62, 8, 7.750000, 
trial0038746, AA, 49, 10, 4.900000, GDX, 190, 14, 13.571429, ZIC, 41, 8, 5.125000, 
trial0038747, AA, 97, 10, 9.700000, GDX, 110, 14, 7.857143, ZIC, 48, 8, 6.000000, 
trial0038748, AA, 54, 10, 5.400000, GDX, 128, 14, 9.142857, ZIC, 0, 8, 0.000000, 
trial0038749, AA, 115, 10, 11.500000, GDX, 146, 14, 10.428571, ZIC, 17, 8, 2.125000, 
trial0038750, AA, 57, 10, 5.700000, GDX, 122, 14, 8.714286, ZIC, 13, 8, 1.625000, 
trial0038751, AA, 123, 10, 12.300000, GDX, 133, 14, 9.500000, ZIC, 0, 8, 0.000000, 
trial0038752, AA, 11, 10, 1.100000, GDX, 55, 14, 3.928571, ZIC, 5, 8, 0.625000, 
trial0038753, AA, 99, 10, 9.900000, GDX, 91, 14, 6.500000, ZIC, 9, 8, 1.125000, 
trial0038754, AA, 31, 10, 3.100000, GDX, 80, 14, 5.714286, ZIC, 22, 8, 2.750000, 
trial0038755, AA, 40, 10, 4.000000, GDX, 61, 14, 4.357143, ZIC, 47, 8, 5.875000, 
trial0038756, AA, 115, 10, 11.500000, GDX, 158, 14, 11.285714, ZIC, 13, 8, 1.625000, 
trial0038757, AA, 21, 10, 2.100000, GDX, 53, 14, 3.785714, ZIC, 5, 8, 0.625000, 
trial0038758, AA, 35, 10, 3.500000, GDX, 118, 14, 8.428571, ZIC, 34, 8, 4.250000, 
